lag_record_id,relationship_id,hospital_id,department_id,source_kpi_id,source_kpi_name,target_kpi_id,target_kpi_name,best_supported_lag,lag_unit,lagged_correlation,lagged_observation_count,reverse_lagged_correlation,temporal_precedence_rate,reverse_temporal_precedence_rate,temporal_interpretation,engine_run_id,processed_at
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_004-kpi_006,kpi_004_kpi_006,HOSP-001,DEPT-ED,kpi_004,Average Patient Waiting Time,kpi_006,Patient Satisfaction Score,0,days,,0,,0.5,0.3039,Same-Period Association,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_005-kpi_006,kpi_005_kpi_006,HOSP-001,DEPT-ED,kpi_005,Patient Complaint Rate,kpi_006,Patient Satisfaction Score,0,days,,0,,0.3377,0.5974,Target Frequently Precedes Source,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_002,kpi_001_kpi_002,HOSP-001,DEPT-ICU,kpi_001,Staffing Level,kpi_002,Staff Absenteeism Rate,0,days,-0.7186,365,-0.7186,0.3261,0.3043,Same-Period Association,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_003,kpi_001_kpi_003,HOSP-001,DEPT-ICU,kpi_001,Staffing Level,kpi_003,Bed Occupancy Rate,0,days,-0.152,365,-0.152,0.338,0.5493,Same-Period Association,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_004,kpi_001_kpi_004,HOSP-001,DEPT-ICU,kpi_001,Staffing Level,kpi_004,Average Patient Waiting Time,0,days,,0,,1.0,0.0,Source Frequently Precedes Target,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_005,kpi_001_kpi_005,HOSP-001,DEPT-ICU,kpi_001,Staffing Level,kpi_005,Patient Complaint Rate,0,days,,0,,1.0,0.0,Source Frequently Precedes Target,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_006,kpi_001_kpi_006,HOSP-001,DEPT-ICU,kpi_001,Staffing Level,kpi_006,Patient Satisfaction Score,0,days,,0,,0.5455,0.3535,Same-Period Association,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_002-kpi_003,kpi_002_kpi_003,HOSP-001,DEPT-ICU,kpi_002,Staff Absenteeism Rate,kpi_003,Bed Occupancy Rate,0,days,0.2008,365,0.2008,0.3188,0.5507,Target Frequently Precedes Source,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_002-kpi_004,kpi_002_kpi_004,HOSP-001,DEPT-ICU,kpi_002,Staff Absenteeism Rate,kpi_004,Average Patient Waiting Time,0,days,,0,,1.0,0.0,Source Frequently Precedes Target,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_002-kpi_005,kpi_002_kpi_005,HOSP-001,DEPT-ICU,kpi_002,Staff Absenteeism Rate,kpi_005,Patient Complaint Rate,0,days,,0,,1.0,0.0,Source Frequently Precedes Target,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_002-kpi_006,kpi_002_kpi_006,HOSP-001,DEPT-ICU,kpi_002,Staff Absenteeism Rate,kpi_006,Patient Satisfaction Score,0,days,,0,,0.5455,0.3737,Same-Period Association,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_003-kpi_004,kpi_003_kpi_004,HOSP-001,DEPT-ICU,kpi_003,Bed Occupancy Rate,kpi_004,Average Patient Waiting Time,0,days,,0,,1.0,0.0,Source Frequently Precedes Target,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_003-kpi_005,kpi_003_kpi_005,HOSP-001,DEPT-ICU,kpi_003,Bed Occupancy Rate,kpi_005,Patient Complaint Rate,0,days,,0,,1.0,0.0,Source Frequently Precedes Target,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_003-kpi_006,kpi_003_kpi_006,HOSP-001,DEPT-ICU,kpi_003,Bed Occupancy Rate,kpi_006,Patient Satisfaction Score,0,days,,0,,0.64,0.248,Source Frequently Precedes Target,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_004-kpi_005,kpi_004_kpi_005,HOSP-001,DEPT-ICU,kpi_004,Average Patient Waiting Time,kpi_005,Patient Complaint Rate,0,days,,0,,,,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_004-kpi_006,kpi_004_kpi_006,HOSP-001,DEPT-ICU,kpi_004,Average Patient Waiting Time,kpi_006,Patient Satisfaction Score,0,days,,0,,0.0,1.0,Target Frequently Precedes Source,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_005-kpi_006,kpi_005_kpi_006,HOSP-001,DEPT-ICU,kpi_005,Patient Complaint Rate,kpi_006,Patient Satisfaction Score,0,days,,0,,0.0,1.0,Target Frequently Precedes Source,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_001-kpi_002,kpi_001_kpi_002,HOSP-001,DEPT-MED,kpi_001,Staffing Level,kpi_002,Staff Absenteeism Rate,0,days,-0.665,365,-0.665,0.2727,0.3485,Same-Period Association,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_001-kpi_003,kpi_001_kpi_003,HOSP-001,DEPT-MED,kpi_001,Staffing Level,kpi_003,Bed Occupancy Rate,0,days,-0.1932,365,-0.1932,0.2887,0.5567,Target Frequently Precedes Source,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_001-kpi_004,kpi_001_kpi_004,HOSP-001,DEPT-MED,kpi_001,Staffing Level,kpi_004,Average Patient Waiting Time,0,days,,0,,1.0,0.0,Source Frequently Precedes Target,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_001-kpi_005,kpi_001_kpi_005,HOSP-001,DEPT-MED,kpi_001,Staffing Level,kpi_005,Patient Complaint Rate,0,days,,0,,1.0,0.0,Source Frequently Precedes Target,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_001-kpi_006,kpi_001_kpi_006,HOSP-001,DEPT-MED,kpi_001,Staffing Level,kpi_006,Patient Satisfaction Score,0,days,,0,,0.4471,0.4941,Same-Period Association,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_002-kpi_003,kpi_002_kpi_003,HOSP-001,DEPT-MED,kpi_002,Staff Absenteeism Rate,kpi_003,Bed Occupancy Rate,1,days,0.2128,364,0.1451,0.31,0.5385,No Temporal Pattern,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_002-kpi_004,kpi_002_kpi_004,HOSP-001,DEPT-MED,kpi_002,Staff Absenteeism Rate,kpi_004,Average Patient Waiting Time,0,days,,0,,1.0,0.0,Source Frequently Precedes Target,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_002-kpi_005,kpi_002_kpi_005,HOSP-001,DEPT-MED,kpi_002,Staff Absenteeism Rate,kpi_005,Patient Complaint Rate,0,days,,0,,1.0,0.0,Source Frequently Precedes Target,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_002-kpi_006,kpi_002_kpi_006,HOSP-001,DEPT-MED,kpi_002,Staff Absenteeism Rate,kpi_006,Patient Satisfaction Score,0,days,,0,,0.4659,0.4545,Same-Period Association,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_003-kpi_004,kpi_003_kpi_004,HOSP-001,DEPT-MED,kpi_003,Bed Occupancy Rate,kpi_004,Average Patient Waiting Time,0,days,,0,,1.0,0.0,Source Frequently Precedes Target,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_003-kpi_005,kpi_003_kpi_005,HOSP-001,DEPT-MED,kpi_003,Bed Occupancy Rate,kpi_005,Patient Complaint Rate,0,days,,0,,1.0,0.0,Source Frequently Precedes Target,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_003-kpi_006,kpi_003_kpi_006,HOSP-001,DEPT-MED,kpi_003,Bed Occupancy Rate,kpi_006,Patient Satisfaction Score,0,days,,0,,0.5566,0.3491,Source Frequently Precedes Target,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_004-kpi_005,kpi_004_kpi_005,HOSP-001,DEPT-MED,kpi_004,Average Patient Waiting Time,kpi_005,Patient Complaint Rate,0,days,,0,,,,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_004-kpi_006,kpi_004_kpi_006,HOSP-001,DEPT-MED,kpi_004,Average Patient Waiting Time,kpi_006,Patient Satisfaction Score,0,days,,0,,0.0,1.0,Target Frequently Precedes Source,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_005-kpi_006,kpi_005_kpi_006,HOSP-001,DEPT-MED,kpi_005,Patient Complaint Rate,kpi_006,Patient Satisfaction Score,0,days,,0,,0.0,1.0,Target Frequently Precedes Source,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_001-kpi_002,kpi_001_kpi_002,HOSP-001,DEPT-OPC,kpi_001,Staffing Level,kpi_002,Staff Absenteeism Rate,0,days,-0.7174,365,-0.7174,0.3036,0.2143,Same-Period Association,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_001-kpi_003,kpi_001_kpi_003,HOSP-001,DEPT-OPC,kpi_001,Staffing Level,kpi_003,Bed Occupancy Rate,0,days,,0,,1.0,0.0,Source Frequently Precedes Target,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_001-kpi_004,kpi_001_kpi_004,HOSP-001,DEPT-OPC,kpi_001,Staffing Level,kpi_004,Average Patient Waiting Time,2,days,-0.217,363,-0.182,0.4409,0.3071,No Temporal Pattern,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_001-kpi_005,kpi_001_kpi_005,HOSP-001,DEPT-OPC,kpi_001,Staffing Level,kpi_005,Patient Complaint Rate,0,days,,0,,0.7273,0.2,Source Frequently Precedes Target,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_001-kpi_006,kpi_001_kpi_006,HOSP-001,DEPT-OPC,kpi_001,Staffing Level,kpi_006,Patient Satisfaction Score,0,days,,0,,0.6033,0.2727,Source Frequently Precedes Target,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_002-kpi_003,kpi_002_kpi_003,HOSP-001,DEPT-OPC,kpi_002,Staff Absenteeism Rate,kpi_003,Bed Occupancy Rate,0,days,,0,,1.0,0.0,Source Frequently Precedes Target,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_002-kpi_004,kpi_002_kpi_004,HOSP-001,DEPT-OPC,kpi_002,Staff Absenteeism Rate,kpi_004,Average Patient Waiting Time,2,days,0.2303,363,0.2091,0.4228,0.376,No Temporal Pattern,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_002-kpi_005,kpi_002_kpi_005,HOSP-001,DEPT-OPC,kpi_002,Staff Absenteeism Rate,kpi_005,Patient Complaint Rate,0,days,,0,,0.7,0.22,Source Frequently Precedes Target,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_002-kpi_006,kpi_002_kpi_006,HOSP-001,DEPT-OPC,kpi_002,Staff Absenteeism Rate,kpi_006,Patient Satisfaction Score,0,days,,0,,0.5789,0.3158,Source Frequently Precedes Target,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_003-kpi_004,kpi_003_kpi_004,HOSP-001,DEPT-OPC,kpi_003,Bed Occupancy Rate,kpi_004,Average Patient Waiting Time,0,days,,0,,0.0,1.0,Target Frequently Precedes Source,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_003-kpi_005,kpi_003_kpi_005,HOSP-001,DEPT-OPC,kpi_003,Bed Occupancy Rate,kpi_005,Patient Complaint Rate,0,days,,0,,0.0,1.0,Target Frequently Precedes Source,RELCF-20260728043649,2026-07-28T04:37:23.836220
