department_risk_record_id,hospital_id,department_id,reporting_date,assessable_kpi_count,unavailable_kpi_count,green_kpi_count,amber_kpi_count,red_kpi_count,critical_kpi_count,low_utilisation_count,watch_condition_count,repeated_breach_count,deteriorating_kpi_count,provisional_kpi_count,maximum_kpi_risk_score,average_assessable_kpi_risk_score,concurrent_risk_flag,concurrent_kpi_count,concurrent_kpi_list,concurrence_score,concurrence_rule_id,escalation_score,department_risk_score_raw,department_risk_score_normalized,department_priority_tier,urgency_level,dominant_kpi_id,dominant_kpi_name,dominant_kpi_score,dominant_driver_reason,dominant_driver_is_provisional,secondary_driver_1,secondary_driver_2,contributing_kpi_count,contributing_kpi_list,confidence_level,contains_provisional_kpi,provisional_risk_flag,provisional_risk_contribution,provisional_contribution_materiality,governance_warning,evidence_pack_id,data_availability_status,department_data_availability_rate,minimum_assessable_kpi_requirement,engine_run_id,processed_at,kpi_id,threshold_state,threshold_is_provisional,dominant_threshold_is_provisional,dominant_breach_type_governed,dominant_driver_governance_warning,dominant_driver_reason_governed
DRS-8ACEAC398C87,HOSP-001,DEPT-DIAG,2026-01-02,3,3,3,0,0,0,0,0,0,0,2,0.0,0.0,False,0,,0.0,,0.0,0.0,0.0,Stable,Routine Monitoring,kpi_001,Staffing Level,0.0,No current adverse indicators,False,kpi_002,kpi_004,0,,Moderate,True,False,0.0,,Department contains provisional threshold KPIs,DEP-EP-90347F9E21BE,Limited,0.5,4,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471,kpi_001,Green,False,False,No Breach,Dominant risk driver uses approved threshold,No current adverse indicators
DRS-49ABF76C7D4B,HOSP-001,DEPT-PEX,2026-01-03,3,3,1,1,1,0,0,3,0,0,2,61.9565,35.108666666666664,True,2,kpi_001; kpi_002,5.0,Workforce Pressure,0.0,39.163025,53.674,Elevated,Immediate Review,kpi_002,Staff Absenteeism Rate,61.9565,threshold=Red; breach=Provisional Breach; watch=High,False,kpi_001,kpi_006,2,kpi_002; kpi_001,Moderate,True,False,0.0,,Department contains provisional threshold KPIs,DEP-EP-B17BD3B5B23B,Limited,0.5,4,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471,kpi_002,Red,False,False,Red Breach,Dominant risk driver uses approved threshold,threshold=Red; breach=Red Breach
DRS-8CDF64EA14BA,HOSP-001,DEPT-MED,2026-01-03,4,2,3,0,1,0,0,3,0,0,2,61.9565,20.25,False,1,kpi_006,0.0,,0.0,33.955425,46.5368,Elevated,Immediate Review,kpi_006,Patient Satisfaction Score,61.9565,threshold=Red; breach=Provisional Breach; watch=High,False,kpi_001,kpi_003,1,kpi_006,Low,True,False,6.6522,Minor,Department contains provisional threshold KPIs,DEP-EP-35D498EB23F9,Sufficient,0.6666666666666666,4,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471,kpi_006,Red,False,False,Red Breach,Dominant risk driver uses approved threshold,threshold=Red; breach=Red Breach
DRS-6AEAE203DE12,HOSP-001,DEPT-DIAG,2026-01-03,5,1,4,0,1,0,0,2,0,0,2,61.9565,14.04348,False,1,kpi_002,0.0,,0.0,32.093469,43.9849,Elevated,Immediate Review,kpi_002,Staff Absenteeism Rate,61.9565,threshold=Red; breach=Provisional Breach; watch=High,False,kpi_006,kpi_001,1,kpi_002,Low,True,False,0.0,,Department contains provisional threshold KPIs,DEP-EP-D631F50ACF34,Sufficient,0.8333333333333334,4,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471,kpi_002,Red,False,False,Red Breach,Dominant risk driver uses approved threshold,threshold=Red; breach=Red Breach
DRS-FA0496900FFF,HOSP-001,DEPT-ICU,2026-01-03,4,2,3,0,0,0,1,3,1,0,2,31.5978,13.578775,False,1,kpi_003,0.0,,3.0,18.5926425,25.4817,Monitor,Prompt Review,kpi_003,Bed Occupancy Rate,31.5978,threshold=Low Utilisation; breach=Provisional Breach; watch=Moderate,True,kpi_002,kpi_001,1,kpi_003,Low,True,True,31.5978,Dominant,Department contains provisional threshold KPIs; Provisional KPI is dominant risk driver,DEP-EP-1FE0839774D4,Sufficient,0.6666666666666666,4,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471,kpi_003,Low Utilisation,True,True,Provisional Breach,Dominant risk driver uses provisional threshold,threshold=Low Utilisation; breach=Provisional Breach
DRS-713F26C7BA98,HOSP-001,DEPT-SURG,2026-01-03,4,2,3,0,0,0,1,3,0,0,2,28.2717,9.64945,False,1,kpi_003,0.0,,0.0,15.6171,21.4036,Monitor,Routine Monitoring,kpi_003,Bed Occupancy Rate,28.2717,threshold=Low Utilisation; breach=Provisional Breach; watch=Moderate,True,kpi_006,kpi_002,1,kpi_003,Low,True,True,28.2717,Dominant,Department contains provisional threshold KPIs; Provisional KPI is dominant risk driver,DEP-EP-86BEFE455035,Sufficient,0.6666666666666666,4,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471,kpi_003,Low Utilisation,True,True,Provisional Breach,Dominant risk driver uses provisional threshold,threshold=Low Utilisation; breach=Provisional Breach
DRS-8C7AC8E40F4C,HOSP-001,DEPT-ED,2026-01-03,5,1,5,0,0,0,0,2,0,0,2,6.6522,3.80868,False,0,,0.0,,0.0,4.136094,5.6686,Stable,Routine Monitoring,kpi_005,Patient Complaint Rate,6.6522,watch=Low,True,kpi_002,kpi_004,0,,Low,True,True,6.6522,Dominant,Department contains provisional threshold KPIs; Provisional KPI is dominant risk driver,DEP-EP-2DC83F4DB6A0,Sufficient,0.8333333333333334,4,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471,kpi_005,Green,True,True,No Breach,Dominant risk driver uses provisional threshold,No current adverse indicators
DRS-027CA67F3EB2,HOSP-001,DEPT-ADM,2026-01-03,3,3,3,0,0,0,0,1,0,0,2,4.1304,2.7536,False,0,,0.0,,0.0,2.68476,3.6795,Stable,Routine Monitoring,kpi_001,Staffing Level,4.1304,No current adverse indicators,False,kpi_006,kpi_002,0,,Moderate,True,False,0.0,,Department contains provisional threshold KPIs,DEP-EP-32861815E582,Limited,0.5,4,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471,kpi_001,Green,False,False,No Breach,Dominant risk driver uses approved threshold,No current adverse indicators
DRS-F902E7A5BCD0,HOSP-001,DEPT-OPC,2026-01-03,5,1,5,0,0,0,0,1,0,0,2,4.1304,1.65216,False,0,,0.0,,0.0,2.354328,3.2267,Stable,Routine Monitoring,kpi_004,Average Patient Waiting Time,4.1304,No current adverse indicators,False,kpi_006,kpi_001,0,,Low,True,False,0.0,,Department contains provisional threshold KPIs,DEP-EP-4EC3C2ACB876,Sufficient,0.8333333333333334,4,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471,kpi_004,Green,False,False,No Breach,Dominant risk driver uses approved threshold,No current adverse indicators
DRS-C1941251E8C8,HOSP-001,DEPT-ICU,2026-01-04,4,2,2,0,1,0,1,4,1,0,2,68.1522,28.035325,False,2,kpi_002; kpi_003,0.0,,3.0,39.3790875,53.9701,Elevated,Immediate Review,kpi_002,Staff Absenteeism Rate,68.1522,threshold=Red; breach=Provisional Breach; watch=High,False,kpi_003,kpi_001,2,kpi_002; kpi_003,Low,True,True,31.5978,Material,Department contains provisional threshold KPIs; Provisional KPI materially affects department risk,DEP-EP-D72A4BDFCFAA,Sufficient,0.6666666666666666,4,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471,kpi_002,Red,False,False,Red Breach,Dominant risk driver uses approved threshold,threshold=Red; breach=Red Breach
DRS-C3C4F47790E4,HOSP-001,DEPT-DIAG,2026-01-04,5,1,3,2,0,0,0,2,0,0,2,43.3696,14.99348,True,2,kpi_005; kpi_006,5.0,Complaint-Satisfaction Pressure,0.0,24.764364,33.9402,Monitor,Review Soon,kpi_006,Patient Satisfaction Score,43.3696,threshold=Amber; breach=Provisional Breach; watch=Moderate,False,kpi_005,kpi_001,2,kpi_006; kpi_005,Low,True,True,31.5978,Material,Department contains provisional threshold KPIs; Provisional KPI materially affects department risk,DEP-EP-2EC83626EFA5,Sufficient,0.8333333333333334,4,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471,kpi_006,Amber,False,False,Amber Condition,Dominant risk driver uses approved threshold,threshold=Amber; breach=Amber Condition
DRS-5F98BB805CB1,HOSP-001,DEPT-SURG,2026-01-04,4,2,3,1,0,0,0,3,0,0,2,43.3696,12.190225,False,1,kpi_006,0.0,,0.0,23.1733875,31.7597,Monitor,Review Soon,kpi_006,Patient Satisfaction Score,43.3696,threshold=Amber; breach=Provisional Breach; watch=Moderate,False,kpi_003,kpi_002,1,kpi_006,Low,True,False,3.3261,Minor,Department contains provisional threshold KPIs,DEP-EP-864D511DE8C2,Sufficient,0.6666666666666666,4,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471,kpi_006,Amber,False,False,Amber Condition,Dominant risk driver uses approved threshold,threshold=Amber; breach=Amber Condition
DRS-B06D0BF97E62,HOSP-001,DEPT-MED,2026-01-04,3,3,2,0,0,0,1,1,0,0,2,31.5978,10.5326,False,1,kpi_003,0.0,,0.0,17.378790000000002,23.8181,Monitor,Routine Monitoring,kpi_003,Bed Occupancy Rate,31.5978,threshold=Low Utilisation; breach=Provisional Breach; watch=Moderate,True,kpi_001,kpi_002,1,kpi_003,Low,True,True,31.5978,Dominant,Department contains provisional threshold KPIs; Provisional KPI is dominant risk driver,DEP-EP-5438190EE3BD,Limited,0.5,4,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471,kpi_003,Low Utilisation,True,True,Provisional Breach,Dominant risk driver uses provisional threshold,threshold=Low Utilisation; breach=Provisional Breach
DRS-8D7B2962800C,HOSP-001,DEPT-ED,2026-01-04,5,1,5,0,0,0,0,1,0,0,2,4.1304,3.14346,False,0,,0.0,,0.0,2.801718,3.8398,Stable,Routine Monitoring,kpi_002,Staff Absenteeism Rate,4.1304,No current adverse indicators,False,kpi_004,kpi_006,0,,Low,True,False,3.3261,Minor,Department contains provisional threshold KPIs,DEP-EP-251ED462ADC9,Sufficient,0.8333333333333334,4,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471,kpi_002,Green,False,False,No Breach,Dominant risk driver uses approved threshold,No current adverse indicators
DRS-9058928819D2,HOSP-001,DEPT-ADM,2026-01-04,3,3,3,0,0,0,0,1,0,0,2,4.1304,2.7536,False,0,,0.0,,0.0,2.68476,3.6795,Stable,Routine Monitoring,kpi_001,Staffing Level,4.1304,No current adverse indicators,False,kpi_006,kpi_002,0,,Moderate,True,False,0.0,,Department contains provisional threshold KPIs,DEP-EP-3C3E8C80E947,Limited,0.5,4,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471,kpi_001,Green,False,False,No Breach,Dominant risk driver uses approved threshold,No current adverse indicators
DRS-46FB4C84245A,HOSP-001,DEPT-OPC,2026-01-04,4,2,4,0,0,0,0,1,0,0,2,4.1304,1.864125,False,0,,0.0,,0.0,2.4179175,3.3138,Stable,Routine Monitoring,kpi_004,Average Patient Waiting Time,4.1304,No current adverse indicators,False,kpi_005,kpi_001,0,,Low,True,False,3.3261,Minor,Department contains provisional threshold KPIs,DEP-EP-5AF69DE00F4D,Sufficient,0.6666666666666666,4,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471,kpi_004,Green,False,False,No Breach,Dominant risk driver uses approved threshold,No current adverse indicators
DRS-4310C780B464,HOSP-001,DEPT-PEX,2026-01-04,2,4,2,0,0,0,0,1,0,0,2,2.0652,1.0326,False,0,,0.0,,0.0,1.23912,1.6982,Stable,Routine Monitoring,kpi_001,Staffing Level,2.0652,watch=Informational,False,kpi_002,,0,,Moderate,True,False,0.0,,Department contains provisional threshold KPIs,DEP-EP-F163B687FC58,Limited,0.3333333333333333,4,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471,kpi_001,Green,False,False,No Breach,Dominant risk driver uses approved threshold,No current adverse indicators
DRS-7EBE2556DEF0,HOSP-001,DEPT-ICU,2026-01-05,4,2,3,0,0,0,1,3,1,0,2,28.2717,11.71465,False,1,kpi_003,0.0,,3.0,16.53666,22.6639,Monitor,Prompt Review,kpi_003,Bed Occupancy Rate,28.2717,threshold=Low Utilisation; breach=Provisional Breach; watch=Moderate,True,kpi_002,kpi_006,1,kpi_003,Low,True,True,28.2717,Dominant,Department contains provisional threshold KPIs; Provisional KPI is dominant risk driver,DEP-EP-5DC0F20FAB46,Sufficient,0.6666666666666666,4,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471,kpi_003,Low Utilisation,True,True,Provisional Breach,Dominant risk driver uses provisional threshold,threshold=Low Utilisation; breach=Provisional Breach
DRS-0984B2CFA0B7,HOSP-001,DEPT-MED,2026-01-05,4,2,3,0,0,0,1,2,0,0,2,31.5978,8.93205,False,1,kpi_003,0.0,,0.0,16.898625000000003,23.16,Monitor,Routine Monitoring,kpi_003,Bed Occupancy Rate,31.5978,threshold=Low Utilisation; breach=Provisional Breach; watch=Moderate,True,kpi_006,kpi_001,1,kpi_003,Low,True,True,31.5978,Dominant,Department contains provisional threshold KPIs; Provisional KPI is dominant risk driver,DEP-EP-0C433EBC84DE,Sufficient,0.6666666666666666,4,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471,kpi_003,Low Utilisation,True,True,Provisional Breach,Dominant risk driver uses provisional threshold,threshold=Low Utilisation; breach=Provisional Breach
DRS-B003A501D4E6,HOSP-001,DEPT-SURG,2026-01-05,4,2,3,0,0,0,1,3,0,0,2,28.2717,8.616825,False,1,kpi_003,0.0,,0.0,15.3073125,20.9791,Monitor,Routine Monitoring,kpi_003,Bed Occupancy Rate,28.2717,threshold=Low Utilisation; breach=Provisional Breach; watch=Moderate,True,kpi_006,kpi_002,1,kpi_003,Low,True,True,28.2717,Dominant,Department contains provisional threshold KPIs; Provisional KPI is dominant risk driver,DEP-EP-C631C749BBC8,Sufficient,0.6666666666666666,4,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471,kpi_003,Low Utilisation,True,True,Provisional Breach,Dominant risk driver uses provisional threshold,threshold=Low Utilisation; breach=Provisional Breach
DRS-1F233352A866,HOSP-001,DEPT-DIAG,2026-01-05,5,1,5,0,0,0,0,1,0,0,2,8.2609,3.30434,False,0,,0.0,,0.0,4.708707,6.4534,Stable,Routine Monitoring,kpi_006,Patient Satisfaction Score,8.2609,watch=Low,False,kpi_002,kpi_004,0,,Low,True,False,0.0,,Department contains provisional threshold KPIs,DEP-EP-88DF36FB0002,Sufficient,0.8333333333333334,4,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471,kpi_006,Green,False,False,No Breach,Dominant risk driver uses approved threshold,No current adverse indicators
DRS-E96268C53499,HOSP-001,DEPT-PEX,2026-01-05,2,4,2,0,0,0,0,2,0,0,2,4.1304,4.1304,False,0,,0.0,,0.0,3.0978,4.2456,Stable,Routine Monitoring,kpi_001,Staffing Level,4.1304,watch=Low,False,kpi_002,,0,,Moderate,True,False,0.0,,Department contains provisional threshold KPIs,DEP-EP-EF086B9F64CE,Limited,0.3333333333333333,4,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471,kpi_001,Green,False,False,No Breach,Dominant risk driver uses approved threshold,No current adverse indicators
DRS-C95583DCAE42,HOSP-001,DEPT-ADM,2026-01-05,3,3,3,0,0,0,0,1,0,0,2,4.1304,2.7536,False,0,,0.0,,0.0,2.68476,3.6795,Stable,Routine Monitoring,kpi_001,Staffing Level,4.1304,No current adverse indicators,False,kpi_006,kpi_002,0,,Moderate,True,False,0.0,,Department contains provisional threshold KPIs,DEP-EP-E0ACC370089E,Limited,0.5,4,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471,kpi_001,Green,False,False,No Breach,Dominant risk driver uses approved threshold,No current adverse indicators
DRS-BC23B55B594C,HOSP-001,DEPT-ED,2026-01-05,5,1,5,0,0,0,0,1,0,0,2,4.1304,2.47824,False,0,,0.0,,0.0,2.602152,3.5663,Stable,Routine Monitoring,kpi_001,Staffing Level,4.1304,No current adverse indicators,False,kpi_002,kpi_006,0,,Low,True,False,0.0,,Department contains provisional threshold KPIs,DEP-EP-B1B9F3CD2F87,Sufficient,0.8333333333333334,4,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471,kpi_001,Green,False,False,No Breach,Dominant risk driver uses approved threshold,No current adverse indicators
DRS-317751A985EC,HOSP-001,DEPT-OPC,2026-01-05,5,1,5,0,0,0,0,1,0,0,2,4.1304,1.65216,False,0,,0.0,,0.0,2.354328,3.2267,Stable,Routine Monitoring,kpi_001,Staffing Level,4.1304,No current adverse indicators,False,kpi_006,kpi_002,0,,Low,True,False,0.0,,Department contains provisional threshold KPIs,DEP-EP-E83913480B21,Sufficient,0.8333333333333334,4,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471,kpi_001,Green,False,False,No Breach,Dominant risk driver uses approved threshold,No current adverse indicators
DRS-AFA572FE31B9,HOSP-001,DEPT-ICU,2026-01-06,3,3,1,1,1,0,0,3,1,2,2,76.087,47.688433333333336,True,3,kpi_001; kpi_002; kpi_003,5.0,Workforce Pressure,7.0,49.99568000000001,68.5204,High,Immediate Review,kpi_001,Staffing Level,76.087,threshold=Red; breach=Provisional Breach; watch=High; trend=deteriorating,False,kpi_003,kpi_002,3,kpi_001; kpi_003; kpi_002,Moderate,True,True,40.8913,Material,Department contains provisional threshold KPIs; Provisional KPI materially affects department risk,DEP-EP-7CEB70E3CBAA,Limited,0.5,4,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471,kpi_001,Red,False,False,Red Breach,Dominant risk driver uses approved threshold,threshold=Red; breach=Red Breach
