evidence_record_id,relationship_record_id,evidence_type,source_reference,records_used,calculation_method,result_summary,engine_run_id,processed_at
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_002,RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_002,Pairwise Association,analytical_six_kpi_daily.csv,365.0,Pearson and Spearman correlation; direction agreement,Pearson=-0.6971; Spearman=-0.6763,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_001-kpi_005,RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_001-kpi_005,Pairwise Association,analytical_six_kpi_daily.csv,327.0,Pearson and Spearman correlation; direction agreement,Pearson=-0.0167; Spearman=-0.0113,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_001-kpi_006,RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_001-kpi_006,Pairwise Association,analytical_six_kpi_daily.csv,297.0,Pearson and Spearman correlation; direction agreement,Pearson=0.0576; Spearman=0.0656,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_002-kpi_003,RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_002-kpi_003,Pairwise Association,analytical_six_kpi_daily.csv,0.0,Pearson and Spearman correlation; direction agreement,Pearson=nan; Spearman=nan,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_002-kpi_004,RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_002-kpi_004,Pairwise Association,analytical_six_kpi_daily.csv,365.0,Pearson and Spearman correlation; direction agreement,Pearson=0.1286; Spearman=0.1269,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_002-kpi_005,RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_002-kpi_005,Pairwise Association,analytical_six_kpi_daily.csv,327.0,Pearson and Spearman correlation; direction agreement,Pearson=-0.0162; Spearman=-0.0107,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_002-kpi_006,RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_002-kpi_006,Pairwise Association,analytical_six_kpi_daily.csv,297.0,Pearson and Spearman correlation; direction agreement,Pearson=-0.0151; Spearman=-0.0296,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_003-kpi_004,RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_003-kpi_004,Pairwise Association,analytical_six_kpi_daily.csv,0.0,Pearson and Spearman correlation; direction agreement,Pearson=nan; Spearman=nan,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_003-kpi_005,RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_003-kpi_005,Pairwise Association,analytical_six_kpi_daily.csv,0.0,Pearson and Spearman correlation; direction agreement,Pearson=nan; Spearman=nan,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_003-kpi_006,RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_003-kpi_006,Pairwise Association,analytical_six_kpi_daily.csv,0.0,Pearson and Spearman correlation; direction agreement,Pearson=nan; Spearman=nan,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_004-kpi_005,RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_004-kpi_005,Pairwise Association,analytical_six_kpi_daily.csv,327.0,Pearson and Spearman correlation; direction agreement,Pearson=0.1965; Spearman=0.1309,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_004-kpi_006,RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_004-kpi_006,Pairwise Association,analytical_six_kpi_daily.csv,297.0,Pearson and Spearman correlation; direction agreement,Pearson=-0.202; Spearman=-0.1992,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_005-kpi_006,RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_005-kpi_006,Pairwise Association,analytical_six_kpi_daily.csv,297.0,Pearson and Spearman correlation; direction agreement,Pearson=-0.0595; Spearman=-0.0468,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_001-kpi_002,RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_001-kpi_002,Pairwise Association,analytical_six_kpi_daily.csv,365.0,Pearson and Spearman correlation; direction agreement,Pearson=-0.7068; Spearman=-0.6634,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_001-kpi_003,RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_001-kpi_003,Pairwise Association,analytical_six_kpi_daily.csv,0.0,Pearson and Spearman correlation; direction agreement,Pearson=nan; Spearman=nan,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_001-kpi_004,RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_001-kpi_004,Pairwise Association,analytical_six_kpi_daily.csv,365.0,Pearson and Spearman correlation; direction agreement,Pearson=-0.1864; Spearman=-0.1486,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_001-kpi_005,RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_001-kpi_005,Pairwise Association,analytical_six_kpi_daily.csv,324.0,Pearson and Spearman correlation; direction agreement,Pearson=-0.071; Spearman=-0.0382,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_001-kpi_006,RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_001-kpi_006,Pairwise Association,analytical_six_kpi_daily.csv,305.0,Pearson and Spearman correlation; direction agreement,Pearson=0.0975; Spearman=0.0781,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_002-kpi_003,RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_002-kpi_003,Pairwise Association,analytical_six_kpi_daily.csv,0.0,Pearson and Spearman correlation; direction agreement,Pearson=nan; Spearman=nan,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_002-kpi_004,RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_002-kpi_004,Pairwise Association,analytical_six_kpi_daily.csv,365.0,Pearson and Spearman correlation; direction agreement,Pearson=0.3063; Spearman=0.2671,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_002-kpi_005,RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_002-kpi_005,Pairwise Association,analytical_six_kpi_daily.csv,324.0,Pearson and Spearman correlation; direction agreement,Pearson=0.0072; Spearman=-0.0128,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_002-kpi_006,RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_002-kpi_006,Pairwise Association,analytical_six_kpi_daily.csv,305.0,Pearson and Spearman correlation; direction agreement,Pearson=-0.1276; Spearman=-0.1189,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_003-kpi_004,RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_003-kpi_004,Pairwise Association,analytical_six_kpi_daily.csv,0.0,Pearson and Spearman correlation; direction agreement,Pearson=nan; Spearman=nan,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_003-kpi_005,RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_003-kpi_005,Pairwise Association,analytical_six_kpi_daily.csv,0.0,Pearson and Spearman correlation; direction agreement,Pearson=nan; Spearman=nan,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_003-kpi_006,RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_003-kpi_006,Pairwise Association,analytical_six_kpi_daily.csv,0.0,Pearson and Spearman correlation; direction agreement,Pearson=nan; Spearman=nan,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_004-kpi_005,RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_004-kpi_005,Pairwise Association,analytical_six_kpi_daily.csv,324.0,Pearson and Spearman correlation; direction agreement,Pearson=0.1224; Spearman=0.0776,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_004-kpi_006,RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_004-kpi_006,Pairwise Association,analytical_six_kpi_daily.csv,305.0,Pearson and Spearman correlation; direction agreement,Pearson=-0.2607; Spearman=-0.2298,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_005-kpi_006,RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_005-kpi_006,Pairwise Association,analytical_six_kpi_daily.csv,305.0,Pearson and Spearman correlation; direction agreement,Pearson=0.0203; Spearman=0.0422,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_002,RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_002,Pairwise Association,analytical_six_kpi_daily.csv,365.0,Pearson and Spearman correlation; direction agreement,Pearson=-0.7186; Spearman=-0.6704,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_003,RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_003,Pairwise Association,analytical_six_kpi_daily.csv,365.0,Pearson and Spearman correlation; direction agreement,Pearson=-0.152; Spearman=-0.1305,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_004,RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_004,Pairwise Association,analytical_six_kpi_daily.csv,0.0,Pearson and Spearman correlation; direction agreement,Pearson=nan; Spearman=nan,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_005,RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_005,Pairwise Association,analytical_six_kpi_daily.csv,0.0,Pearson and Spearman correlation; direction agreement,Pearson=nan; Spearman=nan,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_006,RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_006,Pairwise Association,analytical_six_kpi_daily.csv,280.0,Pearson and Spearman correlation; direction agreement,Pearson=0.0229; Spearman=0.0066,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_002-kpi_003,RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_002-kpi_003,Pairwise Association,analytical_six_kpi_daily.csv,365.0,Pearson and Spearman correlation; direction agreement,Pearson=0.2008; Spearman=0.1646,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_002-kpi_004,RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_002-kpi_004,Pairwise Association,analytical_six_kpi_daily.csv,0.0,Pearson and Spearman correlation; direction agreement,Pearson=nan; Spearman=nan,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_002-kpi_005,RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_002-kpi_005,Pairwise Association,analytical_six_kpi_daily.csv,0.0,Pearson and Spearman correlation; direction agreement,Pearson=nan; Spearman=nan,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_002-kpi_006,RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_002-kpi_006,Pairwise Association,analytical_six_kpi_daily.csv,280.0,Pearson and Spearman correlation; direction agreement,Pearson=-0.0369; Spearman=-0.0263,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_003-kpi_004,RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_003-kpi_004,Pairwise Association,analytical_six_kpi_daily.csv,0.0,Pearson and Spearman correlation; direction agreement,Pearson=nan; Spearman=nan,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_003-kpi_005,RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_003-kpi_005,Pairwise Association,analytical_six_kpi_daily.csv,0.0,Pearson and Spearman correlation; direction agreement,Pearson=nan; Spearman=nan,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_003-kpi_006,RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_003-kpi_006,Pairwise Association,analytical_six_kpi_daily.csv,280.0,Pearson and Spearman correlation; direction agreement,Pearson=-0.2104; Spearman=-0.2045,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_004-kpi_005,RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_004-kpi_005,Pairwise Association,analytical_six_kpi_daily.csv,0.0,Pearson and Spearman correlation; direction agreement,Pearson=nan; Spearman=nan,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_004-kpi_006,RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_004-kpi_006,Pairwise Association,analytical_six_kpi_daily.csv,0.0,Pearson and Spearman correlation; direction agreement,Pearson=nan; Spearman=nan,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_005-kpi_006,RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_005-kpi_006,Pairwise Association,analytical_six_kpi_daily.csv,0.0,Pearson and Spearman correlation; direction agreement,Pearson=nan; Spearman=nan,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_001-kpi_002,RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_001-kpi_002,Pairwise Association,analytical_six_kpi_daily.csv,365.0,Pearson and Spearman correlation; direction agreement,Pearson=-0.665; Spearman=-0.6281,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_001-kpi_003,RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_001-kpi_003,Pairwise Association,analytical_six_kpi_daily.csv,365.0,Pearson and Spearman correlation; direction agreement,Pearson=-0.1932; Spearman=-0.1398,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_001-kpi_004,RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_001-kpi_004,Pairwise Association,analytical_six_kpi_daily.csv,0.0,Pearson and Spearman correlation; direction agreement,Pearson=nan; Spearman=nan,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_001-kpi_005,RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_001-kpi_005,Pairwise Association,analytical_six_kpi_daily.csv,0.0,Pearson and Spearman correlation; direction agreement,Pearson=nan; Spearman=nan,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_001-kpi_006,RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_001-kpi_006,Pairwise Association,analytical_six_kpi_daily.csv,296.0,Pearson and Spearman correlation; direction agreement,Pearson=0.0213; Spearman=0.0069,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_002-kpi_003,RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_002-kpi_003,Pairwise Association,analytical_six_kpi_daily.csv,365.0,Pearson and Spearman correlation; direction agreement,Pearson=0.1646; Spearman=0.1153,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_002-kpi_004,RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_002-kpi_004,Pairwise Association,analytical_six_kpi_daily.csv,0.0,Pearson and Spearman correlation; direction agreement,Pearson=nan; Spearman=nan,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_002-kpi_005,RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_002-kpi_005,Pairwise Association,analytical_six_kpi_daily.csv,0.0,Pearson and Spearman correlation; direction agreement,Pearson=nan; Spearman=nan,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_002-kpi_006,RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_002-kpi_006,Pairwise Association,analytical_six_kpi_daily.csv,296.0,Pearson and Spearman correlation; direction agreement,Pearson=-0.0496; Spearman=-0.0519,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_003-kpi_004,RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_003-kpi_004,Pairwise Association,analytical_six_kpi_daily.csv,0.0,Pearson and Spearman correlation; direction agreement,Pearson=nan; Spearman=nan,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_003-kpi_005,RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_003-kpi_005,Pairwise Association,analytical_six_kpi_daily.csv,0.0,Pearson and Spearman correlation; direction agreement,Pearson=nan; Spearman=nan,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_003-kpi_006,RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_003-kpi_006,Pairwise Association,analytical_six_kpi_daily.csv,296.0,Pearson and Spearman correlation; direction agreement,Pearson=-0.214; Spearman=-0.2294,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_004-kpi_005,RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_004-kpi_005,Pairwise Association,analytical_six_kpi_daily.csv,0.0,Pearson and Spearman correlation; direction agreement,Pearson=nan; Spearman=nan,RELCF-20260728043649,2026-07-28T04:37:58.486833
EVID-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_004-kpi_006,RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_004-kpi_006,Pairwise Association,analytical_six_kpi_daily.csv,0.0,Pearson and Spearman correlation; direction agreement,Pearson=nan; Spearman=nan,RELCF-20260728043649,2026-07-28T04:37:58.486833
