comparison_id,scenario_run_id_a,scenario_run_id_b,comparator_a,comparator_b,approval_package_id,episode_id,scenario_template_id,incremental_primary_kpi_change,confidence_change,warning_change,comparator_relationship,evidence_basis
COMP-SR-BL-DC41AA9F364EC81B-COMP-CONS-001-Conservative-vs-Baseline,SR-BL-DC41AA9F364EC81B-COMP-CONS-001,SR-BL-DC41AA9F364EC81B-COMP-BASE-001,Conservative,Baseline,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,EP-HOSP-001-DEPT-ADM-kpi_001-20260209,SCEN-STAFF-001,11.1111111111111,0,0.0,Incremental Benefit with Limited Additional Risk,Pairwise comparison of Conservative versus Baseline comparator results
COMP-SR-BL-DC41AA9F364EC81B-COMP-EXP-001-Expected-vs-Conservative,SR-BL-DC41AA9F364EC81B-COMP-EXP-001,SR-BL-DC41AA9F364EC81B-COMP-CONS-001,Expected,Conservative,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,EP-HOSP-001-DEPT-ADM-kpi_001-20260209,SCEN-STAFF-001,11.111111111111114,0,0.0,Incremental Benefit with Limited Additional Risk,Pairwise comparison of Expected versus Conservative comparator results
COMP-SR-BL-DC41AA9F364EC81B-COMP-HIGH-001-Higher Intensity-vs-Expected,SR-BL-DC41AA9F364EC81B-COMP-HIGH-001,SR-BL-DC41AA9F364EC81B-COMP-EXP-001,Higher Intensity,Expected,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,EP-HOSP-001-DEPT-ADM-kpi_001-20260209,SCEN-STAFF-001,0.0,0,0.0,No Material Incremental Benefit,Pairwise comparison of Higher Intensity versus Expected comparator results
COMP-SR-BL-DC41AA9F364EC81B-COMP-EXP-001-Expected-vs-Baseline,SR-BL-DC41AA9F364EC81B-COMP-EXP-001,SR-BL-DC41AA9F364EC81B-COMP-BASE-001,Expected,Baseline,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,EP-HOSP-001-DEPT-ADM-kpi_001-20260209,SCEN-STAFF-001,22.222222222222214,0,0.0,Incremental Benefit with Limited Additional Risk,Pairwise comparison of Expected versus Baseline comparator results
COMP-SR-BL-DC41AA9F364EC81B-COMP-HIGH-001-Higher Intensity-vs-Baseline,SR-BL-DC41AA9F364EC81B-COMP-HIGH-001,SR-BL-DC41AA9F364EC81B-COMP-BASE-001,Higher Intensity,Baseline,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,EP-HOSP-001-DEPT-ADM-kpi_001-20260209,SCEN-STAFF-001,22.222222222222214,0,0.0,Incremental Benefit with Limited Additional Risk,Pairwise comparison of Higher Intensity versus Baseline comparator results
COMP-SR-BL-3048F5335B1741BC-COMP-CONS-001-Conservative-vs-Baseline,SR-BL-3048F5335B1741BC-COMP-CONS-001,SR-BL-3048F5335B1741BC-COMP-BASE-001,Conservative,Baseline,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,EP-HOSP-001-DEPT-ADM-kpi_001-20260328,SCEN-STAFF-001,12.04819277108433,0,0.0,Incremental Benefit with Limited Additional Risk,Pairwise comparison of Conservative versus Baseline comparator results
COMP-SR-BL-3048F5335B1741BC-COMP-EXP-001-Expected-vs-Conservative,SR-BL-3048F5335B1741BC-COMP-EXP-001,SR-BL-3048F5335B1741BC-COMP-CONS-001,Expected,Conservative,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,EP-HOSP-001-DEPT-ADM-kpi_001-20260328,SCEN-STAFF-001,3.6144578313253106,0,0.0,Diminishing Improvement,Pairwise comparison of Expected versus Conservative comparator results
COMP-SR-BL-3048F5335B1741BC-COMP-HIGH-001-Higher Intensity-vs-Expected,SR-BL-3048F5335B1741BC-COMP-HIGH-001,SR-BL-3048F5335B1741BC-COMP-EXP-001,Higher Intensity,Expected,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,EP-HOSP-001-DEPT-ADM-kpi_001-20260328,SCEN-STAFF-001,0.0,0,0.0,No Material Incremental Benefit,Pairwise comparison of Higher Intensity versus Expected comparator results
COMP-SR-BL-3048F5335B1741BC-COMP-EXP-001-Expected-vs-Baseline,SR-BL-3048F5335B1741BC-COMP-EXP-001,SR-BL-3048F5335B1741BC-COMP-BASE-001,Expected,Baseline,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,EP-HOSP-001-DEPT-ADM-kpi_001-20260328,SCEN-STAFF-001,15.662650602409641,0,0.0,Incremental Benefit with Limited Additional Risk,Pairwise comparison of Expected versus Baseline comparator results
COMP-SR-BL-3048F5335B1741BC-COMP-HIGH-001-Higher Intensity-vs-Baseline,SR-BL-3048F5335B1741BC-COMP-HIGH-001,SR-BL-3048F5335B1741BC-COMP-BASE-001,Higher Intensity,Baseline,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,EP-HOSP-001-DEPT-ADM-kpi_001-20260328,SCEN-STAFF-001,15.662650602409641,0,0.0,Incremental Benefit with Limited Additional Risk,Pairwise comparison of Higher Intensity versus Baseline comparator results
COMP-SR-BL-EB935D17ADFCF500-COMP-CONS-001-Conservative-vs-Baseline,SR-BL-EB935D17ADFCF500-COMP-CONS-001,SR-BL-EB935D17ADFCF500-COMP-BASE-001,Conservative,Baseline,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,EP-HOSP-001-DEPT-ADM-kpi_001-20260410,SCEN-STAFF-001,11.1111111111111,0,0.0,Incremental Benefit with Limited Additional Risk,Pairwise comparison of Conservative versus Baseline comparator results
COMP-SR-BL-EB935D17ADFCF500-COMP-EXP-001-Expected-vs-Conservative,SR-BL-EB935D17ADFCF500-COMP-EXP-001,SR-BL-EB935D17ADFCF500-COMP-CONS-001,Expected,Conservative,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,EP-HOSP-001-DEPT-ADM-kpi_001-20260410,SCEN-STAFF-001,5.555555555555557,0,0.0,Incremental Benefit with Limited Additional Risk,Pairwise comparison of Expected versus Conservative comparator results
COMP-SR-BL-EB935D17ADFCF500-COMP-HIGH-001-Higher Intensity-vs-Expected,SR-BL-EB935D17ADFCF500-COMP-HIGH-001,SR-BL-EB935D17ADFCF500-COMP-EXP-001,Higher Intensity,Expected,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,EP-HOSP-001-DEPT-ADM-kpi_001-20260410,SCEN-STAFF-001,0.0,0,0.0,No Material Incremental Benefit,Pairwise comparison of Higher Intensity versus Expected comparator results
COMP-SR-BL-EB935D17ADFCF500-COMP-EXP-001-Expected-vs-Baseline,SR-BL-EB935D17ADFCF500-COMP-EXP-001,SR-BL-EB935D17ADFCF500-COMP-BASE-001,Expected,Baseline,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,EP-HOSP-001-DEPT-ADM-kpi_001-20260410,SCEN-STAFF-001,16.666666666666657,0,0.0,Incremental Benefit with Limited Additional Risk,Pairwise comparison of Expected versus Baseline comparator results
COMP-SR-BL-EB935D17ADFCF500-COMP-HIGH-001-Higher Intensity-vs-Baseline,SR-BL-EB935D17ADFCF500-COMP-HIGH-001,SR-BL-EB935D17ADFCF500-COMP-BASE-001,Higher Intensity,Baseline,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,EP-HOSP-001-DEPT-ADM-kpi_001-20260410,SCEN-STAFF-001,16.666666666666657,0,0.0,Incremental Benefit with Limited Additional Risk,Pairwise comparison of Higher Intensity versus Baseline comparator results
COMP-SR-BL-24E8132F23E980FC-COMP-CONS-001-Conservative-vs-Baseline,SR-BL-24E8132F23E980FC-COMP-CONS-001,SR-BL-24E8132F23E980FC-COMP-BASE-001,Conservative,Baseline,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,EP-HOSP-001-DEPT-ADM-kpi_001-20260420,SCEN-STAFF-001,14.285714285714292,0,0.0,Incremental Benefit with Limited Additional Risk,Pairwise comparison of Conservative versus Baseline comparator results
COMP-SR-BL-24E8132F23E980FC-COMP-EXP-001-Expected-vs-Conservative,SR-BL-24E8132F23E980FC-COMP-EXP-001,SR-BL-24E8132F23E980FC-COMP-CONS-001,Expected,Conservative,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,EP-HOSP-001-DEPT-ADM-kpi_001-20260420,SCEN-STAFF-001,7.142857142857139,0,0.0,Incremental Benefit with Limited Additional Risk,Pairwise comparison of Expected versus Conservative comparator results
COMP-SR-BL-24E8132F23E980FC-COMP-HIGH-001-Higher Intensity-vs-Expected,SR-BL-24E8132F23E980FC-COMP-HIGH-001,SR-BL-24E8132F23E980FC-COMP-EXP-001,Higher Intensity,Expected,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,EP-HOSP-001-DEPT-ADM-kpi_001-20260420,SCEN-STAFF-001,0.0,0,0.0,No Material Incremental Benefit,Pairwise comparison of Higher Intensity versus Expected comparator results
COMP-SR-BL-24E8132F23E980FC-COMP-EXP-001-Expected-vs-Baseline,SR-BL-24E8132F23E980FC-COMP-EXP-001,SR-BL-24E8132F23E980FC-COMP-BASE-001,Expected,Baseline,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,EP-HOSP-001-DEPT-ADM-kpi_001-20260420,SCEN-STAFF-001,21.42857142857143,0,0.0,Incremental Benefit with Limited Additional Risk,Pairwise comparison of Expected versus Baseline comparator results
COMP-SR-BL-24E8132F23E980FC-COMP-HIGH-001-Higher Intensity-vs-Baseline,SR-BL-24E8132F23E980FC-COMP-HIGH-001,SR-BL-24E8132F23E980FC-COMP-BASE-001,Higher Intensity,Baseline,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,EP-HOSP-001-DEPT-ADM-kpi_001-20260420,SCEN-STAFF-001,21.42857142857143,0,0.0,Incremental Benefit with Limited Additional Risk,Pairwise comparison of Higher Intensity versus Baseline comparator results
COMP-SR-BL-1A12AF7C3E39DADF-COMP-CONS-001-Conservative-vs-Baseline,SR-BL-1A12AF7C3E39DADF-COMP-CONS-001,SR-BL-1A12AF7C3E39DADF-COMP-BASE-001,Conservative,Baseline,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,EP-HOSP-001-DEPT-ADM-kpi_001-20260506,SCEN-STAFF-001,12.5,0,0.0,Incremental Benefit with Limited Additional Risk,Pairwise comparison of Conservative versus Baseline comparator results
COMP-SR-BL-1A12AF7C3E39DADF-COMP-EXP-001-Expected-vs-Conservative,SR-BL-1A12AF7C3E39DADF-COMP-EXP-001,SR-BL-1A12AF7C3E39DADF-COMP-CONS-001,Expected,Conservative,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,EP-HOSP-001-DEPT-ADM-kpi_001-20260506,SCEN-STAFF-001,12.5,0,0.0,Incremental Benefit with Limited Additional Risk,Pairwise comparison of Expected versus Conservative comparator results
COMP-SR-BL-1A12AF7C3E39DADF-COMP-HIGH-001-Higher Intensity-vs-Expected,SR-BL-1A12AF7C3E39DADF-COMP-HIGH-001,SR-BL-1A12AF7C3E39DADF-COMP-EXP-001,Higher Intensity,Expected,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,EP-HOSP-001-DEPT-ADM-kpi_001-20260506,SCEN-STAFF-001,0.0,0,0.0,No Material Incremental Benefit,Pairwise comparison of Higher Intensity versus Expected comparator results
COMP-SR-BL-1A12AF7C3E39DADF-COMP-EXP-001-Expected-vs-Baseline,SR-BL-1A12AF7C3E39DADF-COMP-EXP-001,SR-BL-1A12AF7C3E39DADF-COMP-BASE-001,Expected,Baseline,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,EP-HOSP-001-DEPT-ADM-kpi_001-20260506,SCEN-STAFF-001,25.0,0,0.0,Incremental Benefit with Limited Additional Risk,Pairwise comparison of Expected versus Baseline comparator results
COMP-SR-BL-1A12AF7C3E39DADF-COMP-HIGH-001-Higher Intensity-vs-Baseline,SR-BL-1A12AF7C3E39DADF-COMP-HIGH-001,SR-BL-1A12AF7C3E39DADF-COMP-BASE-001,Higher Intensity,Baseline,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,EP-HOSP-001-DEPT-ADM-kpi_001-20260506,SCEN-STAFF-001,25.0,0,0.0,Incremental Benefit with Limited Additional Risk,Pairwise comparison of Higher Intensity versus Baseline comparator results
COMP-SR-BL-AF5E6D0F3A7F29BE-COMP-CONS-001-Conservative-vs-Baseline,SR-BL-AF5E6D0F3A7F29BE-COMP-CONS-001,SR-BL-AF5E6D0F3A7F29BE-COMP-BASE-001,Conservative,Baseline,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,EP-HOSP-001-DEPT-ADM-kpi_001-20260602,SCEN-STAFF-001,11.1111111111111,0,0.0,Incremental Benefit with Limited Additional Risk,Pairwise comparison of Conservative versus Baseline comparator results
COMP-SR-BL-AF5E6D0F3A7F29BE-COMP-EXP-001-Expected-vs-Conservative,SR-BL-AF5E6D0F3A7F29BE-COMP-EXP-001,SR-BL-AF5E6D0F3A7F29BE-COMP-CONS-001,Expected,Conservative,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,EP-HOSP-001-DEPT-ADM-kpi_001-20260602,SCEN-STAFF-001,5.555555555555557,0,0.0,Incremental Benefit with Limited Additional Risk,Pairwise comparison of Expected versus Conservative comparator results
COMP-SR-BL-AF5E6D0F3A7F29BE-COMP-HIGH-001-Higher Intensity-vs-Expected,SR-BL-AF5E6D0F3A7F29BE-COMP-HIGH-001,SR-BL-AF5E6D0F3A7F29BE-COMP-EXP-001,Higher Intensity,Expected,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,EP-HOSP-001-DEPT-ADM-kpi_001-20260602,SCEN-STAFF-001,0.0,0,0.0,No Material Incremental Benefit,Pairwise comparison of Higher Intensity versus Expected comparator results
COMP-SR-BL-AF5E6D0F3A7F29BE-COMP-EXP-001-Expected-vs-Baseline,SR-BL-AF5E6D0F3A7F29BE-COMP-EXP-001,SR-BL-AF5E6D0F3A7F29BE-COMP-BASE-001,Expected,Baseline,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,EP-HOSP-001-DEPT-ADM-kpi_001-20260602,SCEN-STAFF-001,16.666666666666657,0,0.0,Incremental Benefit with Limited Additional Risk,Pairwise comparison of Expected versus Baseline comparator results
COMP-SR-BL-AF5E6D0F3A7F29BE-COMP-HIGH-001-Higher Intensity-vs-Baseline,SR-BL-AF5E6D0F3A7F29BE-COMP-HIGH-001,SR-BL-AF5E6D0F3A7F29BE-COMP-BASE-001,Higher Intensity,Baseline,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,EP-HOSP-001-DEPT-ADM-kpi_001-20260602,SCEN-STAFF-001,16.666666666666657,0,0.0,Incremental Benefit with Limited Additional Risk,Pairwise comparison of Higher Intensity versus Baseline comparator results
COMP-SR-BL-CAC926848EDEB1B6-COMP-CONS-001-Conservative-vs-Baseline,SR-BL-CAC926848EDEB1B6-COMP-CONS-001,SR-BL-CAC926848EDEB1B6-COMP-BASE-001,Conservative,Baseline,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,EP-HOSP-001-DEPT-ADM-kpi_001-20260608,SCEN-STAFF-001,12.5,0,0.0,Incremental Benefit with Limited Additional Risk,Pairwise comparison of Conservative versus Baseline comparator results
COMP-SR-BL-CAC926848EDEB1B6-COMP-EXP-001-Expected-vs-Conservative,SR-BL-CAC926848EDEB1B6-COMP-EXP-001,SR-BL-CAC926848EDEB1B6-COMP-CONS-001,Expected,Conservative,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,EP-HOSP-001-DEPT-ADM-kpi_001-20260608,SCEN-STAFF-001,12.5,0,0.0,Incremental Benefit with Limited Additional Risk,Pairwise comparison of Expected versus Conservative comparator results
COMP-SR-BL-CAC926848EDEB1B6-COMP-HIGH-001-Higher Intensity-vs-Expected,SR-BL-CAC926848EDEB1B6-COMP-HIGH-001,SR-BL-CAC926848EDEB1B6-COMP-EXP-001,Higher Intensity,Expected,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,EP-HOSP-001-DEPT-ADM-kpi_001-20260608,SCEN-STAFF-001,0.0,0,0.0,No Material Incremental Benefit,Pairwise comparison of Higher Intensity versus Expected comparator results
COMP-SR-BL-CAC926848EDEB1B6-COMP-EXP-001-Expected-vs-Baseline,SR-BL-CAC926848EDEB1B6-COMP-EXP-001,SR-BL-CAC926848EDEB1B6-COMP-BASE-001,Expected,Baseline,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,EP-HOSP-001-DEPT-ADM-kpi_001-20260608,SCEN-STAFF-001,25.0,0,0.0,Incremental Benefit with Limited Additional Risk,Pairwise comparison of Expected versus Baseline comparator results
COMP-SR-BL-CAC926848EDEB1B6-COMP-HIGH-001-Higher Intensity-vs-Baseline,SR-BL-CAC926848EDEB1B6-COMP-HIGH-001,SR-BL-CAC926848EDEB1B6-COMP-BASE-001,Higher Intensity,Baseline,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,EP-HOSP-001-DEPT-ADM-kpi_001-20260608,SCEN-STAFF-001,25.0,0,0.0,Incremental Benefit with Limited Additional Risk,Pairwise comparison of Higher Intensity versus Baseline comparator results
COMP-SR-BL-1E49DB13E2EAA2B1-COMP-CONS-001-Conservative-vs-Baseline,SR-BL-1E49DB13E2EAA2B1-COMP-CONS-001,SR-BL-1E49DB13E2EAA2B1-COMP-BASE-001,Conservative,Baseline,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,EP-HOSP-001-DEPT-ADM-kpi_001-20260721,SCEN-STAFF-001,11.764705882352942,0,0.0,Incremental Benefit with Limited Additional Risk,Pairwise comparison of Conservative versus Baseline comparator results
COMP-SR-BL-1E49DB13E2EAA2B1-COMP-EXP-001-Expected-vs-Conservative,SR-BL-1E49DB13E2EAA2B1-COMP-EXP-001,SR-BL-1E49DB13E2EAA2B1-COMP-CONS-001,Expected,Conservative,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,EP-HOSP-001-DEPT-ADM-kpi_001-20260721,SCEN-STAFF-001,17.647058823529406,0,0.0,Incremental Benefit with Limited Additional Risk,Pairwise comparison of Expected versus Conservative comparator results
COMP-SR-BL-1E49DB13E2EAA2B1-COMP-HIGH-001-Higher Intensity-vs-Expected,SR-BL-1E49DB13E2EAA2B1-COMP-HIGH-001,SR-BL-1E49DB13E2EAA2B1-COMP-EXP-001,Higher Intensity,Expected,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,EP-HOSP-001-DEPT-ADM-kpi_001-20260721,SCEN-STAFF-001,5.882352941176478,0,0.0,Incremental Benefit with Limited Additional Risk,Pairwise comparison of Higher Intensity versus Expected comparator results
COMP-SR-BL-1E49DB13E2EAA2B1-COMP-EXP-001-Expected-vs-Baseline,SR-BL-1E49DB13E2EAA2B1-COMP-EXP-001,SR-BL-1E49DB13E2EAA2B1-COMP-BASE-001,Expected,Baseline,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,EP-HOSP-001-DEPT-ADM-kpi_001-20260721,SCEN-STAFF-001,29.411764705882348,0,0.0,Incremental Benefit with Limited Additional Risk,Pairwise comparison of Expected versus Baseline comparator results
COMP-SR-BL-1E49DB13E2EAA2B1-COMP-HIGH-001-Higher Intensity-vs-Baseline,SR-BL-1E49DB13E2EAA2B1-COMP-HIGH-001,SR-BL-1E49DB13E2EAA2B1-COMP-BASE-001,Higher Intensity,Baseline,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,EP-HOSP-001-DEPT-ADM-kpi_001-20260721,SCEN-STAFF-001,35.294117647058826,0,0.0,Incremental Benefit with Limited Additional Risk,Pairwise comparison of Higher Intensity versus Baseline comparator results
COMP-SR-BL-A75EBEA50E13F73B-COMP-CONS-001-Conservative-vs-Baseline,SR-BL-A75EBEA50E13F73B-COMP-CONS-001,SR-BL-A75EBEA50E13F73B-COMP-BASE-001,Conservative,Baseline,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,EP-HOSP-001-DEPT-ADM-kpi_001-20260726,SCEN-STAFF-001,11.111111111111128,0,0.0,Incremental Benefit with Limited Additional Risk,Pairwise comparison of Conservative versus Baseline comparator results
COMP-SR-BL-A75EBEA50E13F73B-COMP-EXP-001-Expected-vs-Conservative,SR-BL-A75EBEA50E13F73B-COMP-EXP-001,SR-BL-A75EBEA50E13F73B-COMP-CONS-001,Expected,Conservative,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,EP-HOSP-001-DEPT-ADM-kpi_001-20260726,SCEN-STAFF-001,16.666666666666657,0,0.0,Incremental Benefit with Limited Additional Risk,Pairwise comparison of Expected versus Conservative comparator results
COMP-SR-BL-A75EBEA50E13F73B-COMP-HIGH-001-Higher Intensity-vs-Expected,SR-BL-A75EBEA50E13F73B-COMP-HIGH-001,SR-BL-A75EBEA50E13F73B-COMP-EXP-001,Higher Intensity,Expected,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,EP-HOSP-001-DEPT-ADM-kpi_001-20260726,SCEN-STAFF-001,0.0,0,0.0,No Material Incremental Benefit,Pairwise comparison of Higher Intensity versus Expected comparator results
COMP-SR-BL-A75EBEA50E13F73B-COMP-EXP-001-Expected-vs-Baseline,SR-BL-A75EBEA50E13F73B-COMP-EXP-001,SR-BL-A75EBEA50E13F73B-COMP-BASE-001,Expected,Baseline,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,EP-HOSP-001-DEPT-ADM-kpi_001-20260726,SCEN-STAFF-001,27.777777777777786,0,0.0,Incremental Benefit with Limited Additional Risk,Pairwise comparison of Expected versus Baseline comparator results
COMP-SR-BL-A75EBEA50E13F73B-COMP-HIGH-001-Higher Intensity-vs-Baseline,SR-BL-A75EBEA50E13F73B-COMP-HIGH-001,SR-BL-A75EBEA50E13F73B-COMP-BASE-001,Higher Intensity,Baseline,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,EP-HOSP-001-DEPT-ADM-kpi_001-20260726,SCEN-STAFF-001,27.777777777777786,0,0.0,Incremental Benefit with Limited Additional Risk,Pairwise comparison of Higher Intensity versus Baseline comparator results
COMP-SR-BL-E2B02306C6DE9E93-COMP-CONS-001-Conservative-vs-Baseline,SR-BL-E2B02306C6DE9E93-COMP-CONS-001,SR-BL-E2B02306C6DE9E93-COMP-BASE-001,Conservative,Baseline,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,EP-HOSP-001-DEPT-ADM-kpi_001-20260822,SCEN-STAFF-001,8.695652173913047,0,0.0,Incremental Benefit with Limited Additional Risk,Pairwise comparison of Conservative versus Baseline comparator results
