lineage_id,scenario_run_id,source_type,source_id,source_file,link_type,recorded_at
LIN-EV-SR-BL-8967EE194089397D-COMP-CONS-001-PKG-4,SR-BL-8967EE194089397D-COMP-CONS-001,Package,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,data/scenario_inputs/step_2c1d_episode_approval_package_register.csv,Authorised By,2026-07-28T14:58:57.713696
LIN-EV-SR-BL-8967EE194089397D-COMP-CONS-001-EP-5,SR-BL-8967EE194089397D-COMP-CONS-001,Episode,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,data/scenario_inputs/step_2c1c_corrected_episode_register.csv,Based On,2026-07-28T14:58:57.713702
LIN-EV-SR-BL-8967EE194089397D-COMP-EXP-001-BASE-0,SR-BL-8967EE194089397D-COMP-EXP-001,Analytical Dataset,analytical_workforce_kpi_daily.csv,analytical_workforce_kpi_daily.csv,Derived From,2026-07-28T14:58:57.718109
LIN-EV-SR-BL-8967EE194089397D-COMP-EXP-001-REC-1,SR-BL-8967EE194089397D-COMP-EXP-001,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260116,,Contributed To,2026-07-28T14:58:57.718115
LIN-EV-SR-BL-8967EE194089397D-COMP-EXP-001-RECID-2,SR-BL-8967EE194089397D-COMP-EXP-001,Recommendation,REC-CASE-DEPT-ADM-20260116-OPT1,,Approved By,2026-07-28T14:58:57.718119
LIN-EV-SR-BL-8967EE194089397D-COMP-EXP-001-COMP-3,SR-BL-8967EE194089397D-COMP-EXP-001,Comparator Config,COMP-EXP-001,config/scenario_comparator_config.csv,Defined By,2026-07-28T14:58:57.718123
LIN-EV-SR-BL-8967EE194089397D-COMP-EXP-001-PKG-4,SR-BL-8967EE194089397D-COMP-EXP-001,Package,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,data/scenario_inputs/step_2c1d_episode_approval_package_register.csv,Authorised By,2026-07-28T14:58:57.718127
LIN-EV-SR-BL-8967EE194089397D-COMP-EXP-001-EP-5,SR-BL-8967EE194089397D-COMP-EXP-001,Episode,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,data/scenario_inputs/step_2c1c_corrected_episode_register.csv,Based On,2026-07-28T14:58:57.718131
LIN-EV-SR-BL-8967EE194089397D-COMP-HIGH-001-BASE-0,SR-BL-8967EE194089397D-COMP-HIGH-001,Analytical Dataset,analytical_workforce_kpi_daily.csv,analytical_workforce_kpi_daily.csv,Derived From,2026-07-28T14:58:57.722498
LIN-EV-SR-BL-8967EE194089397D-COMP-HIGH-001-REC-1,SR-BL-8967EE194089397D-COMP-HIGH-001,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260116,,Contributed To,2026-07-28T14:58:57.722504
LIN-EV-SR-BL-8967EE194089397D-COMP-HIGH-001-RECID-2,SR-BL-8967EE194089397D-COMP-HIGH-001,Recommendation,REC-CASE-DEPT-ADM-20260116-OPT1,,Approved By,2026-07-28T14:58:57.722508
LIN-EV-SR-BL-8967EE194089397D-COMP-HIGH-001-COMP-3,SR-BL-8967EE194089397D-COMP-HIGH-001,Comparator Config,COMP-HIGH-001,config/scenario_comparator_config.csv,Defined By,2026-07-28T14:58:57.722513
LIN-EV-SR-BL-8967EE194089397D-COMP-HIGH-001-PKG-4,SR-BL-8967EE194089397D-COMP-HIGH-001,Package,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,data/scenario_inputs/step_2c1d_episode_approval_package_register.csv,Authorised By,2026-07-28T14:58:57.722517
LIN-EV-SR-BL-8967EE194089397D-COMP-HIGH-001-EP-5,SR-BL-8967EE194089397D-COMP-HIGH-001,Episode,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,data/scenario_inputs/step_2c1c_corrected_episode_register.csv,Based On,2026-07-28T14:58:57.722521
LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-BASE-0,SR-BL-DC41AA9F364EC81B-COMP-BASE-001,Analytical Dataset,analytical_workforce_kpi_daily.csv,analytical_workforce_kpi_daily.csv,Derived From,2026-07-28T14:58:57.731855
LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-REC-1,SR-BL-DC41AA9F364EC81B-COMP-BASE-001,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260209,,Contributed To,2026-07-28T14:58:57.731862
LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-RECID-2,SR-BL-DC41AA9F364EC81B-COMP-BASE-001,Recommendation,REC-CASE-DEPT-ADM-20260209-OPT1,,Approved By,2026-07-28T14:58:57.731867
LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-COMP-3,SR-BL-DC41AA9F364EC81B-COMP-BASE-001,Comparator Config,COMP-BASE-001,config/scenario_comparator_config.csv,Defined By,2026-07-28T14:58:57.731872
LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-PKG-4,SR-BL-DC41AA9F364EC81B-COMP-BASE-001,Package,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,data/scenario_inputs/step_2c1d_episode_approval_package_register.csv,Authorised By,2026-07-28T14:58:57.731876
LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-EP-5,SR-BL-DC41AA9F364EC81B-COMP-BASE-001,Episode,EP-HOSP-001-DEPT-ADM-kpi_001-20260209,data/scenario_inputs/step_2c1c_corrected_episode_register.csv,Based On,2026-07-28T14:58:57.731880
LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-CONS-001-BASE-0,SR-BL-DC41AA9F364EC81B-COMP-CONS-001,Analytical Dataset,analytical_workforce_kpi_daily.csv,analytical_workforce_kpi_daily.csv,Derived From,2026-07-28T14:58:57.735887
LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-CONS-001-REC-1,SR-BL-DC41AA9F364EC81B-COMP-CONS-001,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260209,,Contributed To,2026-07-28T14:58:57.735892
LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-CONS-001-RECID-2,SR-BL-DC41AA9F364EC81B-COMP-CONS-001,Recommendation,REC-CASE-DEPT-ADM-20260209-OPT1,,Approved By,2026-07-28T14:58:57.735897
LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-CONS-001-COMP-3,SR-BL-DC41AA9F364EC81B-COMP-CONS-001,Comparator Config,COMP-CONS-001,config/scenario_comparator_config.csv,Defined By,2026-07-28T14:58:57.735901
LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-CONS-001-PKG-4,SR-BL-DC41AA9F364EC81B-COMP-CONS-001,Package,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,data/scenario_inputs/step_2c1d_episode_approval_package_register.csv,Authorised By,2026-07-28T14:58:57.735905
LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-CONS-001-EP-5,SR-BL-DC41AA9F364EC81B-COMP-CONS-001,Episode,EP-HOSP-001-DEPT-ADM-kpi_001-20260209,data/scenario_inputs/step_2c1c_corrected_episode_register.csv,Based On,2026-07-28T14:58:57.735909
LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-EXP-001-BASE-0,SR-BL-DC41AA9F364EC81B-COMP-EXP-001,Analytical Dataset,analytical_workforce_kpi_daily.csv,analytical_workforce_kpi_daily.csv,Derived From,2026-07-28T14:58:57.739710
LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-EXP-001-REC-1,SR-BL-DC41AA9F364EC81B-COMP-EXP-001,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260209,,Contributed To,2026-07-28T14:58:57.739716
LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-EXP-001-RECID-2,SR-BL-DC41AA9F364EC81B-COMP-EXP-001,Recommendation,REC-CASE-DEPT-ADM-20260209-OPT1,,Approved By,2026-07-28T14:58:57.739720
LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-EXP-001-COMP-3,SR-BL-DC41AA9F364EC81B-COMP-EXP-001,Comparator Config,COMP-EXP-001,config/scenario_comparator_config.csv,Defined By,2026-07-28T14:58:57.739724
LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-EXP-001-PKG-4,SR-BL-DC41AA9F364EC81B-COMP-EXP-001,Package,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,data/scenario_inputs/step_2c1d_episode_approval_package_register.csv,Authorised By,2026-07-28T14:58:57.739728
LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-EXP-001-EP-5,SR-BL-DC41AA9F364EC81B-COMP-EXP-001,Episode,EP-HOSP-001-DEPT-ADM-kpi_001-20260209,data/scenario_inputs/step_2c1c_corrected_episode_register.csv,Based On,2026-07-28T14:58:57.739732
LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-HIGH-001-BASE-0,SR-BL-DC41AA9F364EC81B-COMP-HIGH-001,Analytical Dataset,analytical_workforce_kpi_daily.csv,analytical_workforce_kpi_daily.csv,Derived From,2026-07-28T14:58:57.744680
LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-HIGH-001-REC-1,SR-BL-DC41AA9F364EC81B-COMP-HIGH-001,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260209,,Contributed To,2026-07-28T14:58:57.744701
LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-HIGH-001-RECID-2,SR-BL-DC41AA9F364EC81B-COMP-HIGH-001,Recommendation,REC-CASE-DEPT-ADM-20260209-OPT1,,Approved By,2026-07-28T14:58:57.744710
LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-HIGH-001-COMP-3,SR-BL-DC41AA9F364EC81B-COMP-HIGH-001,Comparator Config,COMP-HIGH-001,config/scenario_comparator_config.csv,Defined By,2026-07-28T14:58:57.744719
LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-HIGH-001-PKG-4,SR-BL-DC41AA9F364EC81B-COMP-HIGH-001,Package,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,data/scenario_inputs/step_2c1d_episode_approval_package_register.csv,Authorised By,2026-07-28T14:58:57.744726
LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-HIGH-001-EP-5,SR-BL-DC41AA9F364EC81B-COMP-HIGH-001,Episode,EP-HOSP-001-DEPT-ADM-kpi_001-20260209,data/scenario_inputs/step_2c1c_corrected_episode_register.csv,Based On,2026-07-28T14:58:57.744733
LIN-EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-BASE-0,SR-BL-3048F5335B1741BC-COMP-BASE-001,Analytical Dataset,analytical_workforce_kpi_daily.csv,analytical_workforce_kpi_daily.csv,Derived From,2026-07-28T14:58:57.756327
LIN-EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-REC-1,SR-BL-3048F5335B1741BC-COMP-BASE-001,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260328,,Contributed To,2026-07-28T14:58:57.756333
LIN-EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-REC-2,SR-BL-3048F5335B1741BC-COMP-BASE-001,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260329,,Contributed To,2026-07-28T14:58:57.756337
LIN-EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-REC-3,SR-BL-3048F5335B1741BC-COMP-BASE-001,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260330,,Contributed To,2026-07-28T14:58:57.756341
LIN-EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-REC-4,SR-BL-3048F5335B1741BC-COMP-BASE-001,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260331,,Contributed To,2026-07-28T14:58:57.756344
LIN-EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-REC-5,SR-BL-3048F5335B1741BC-COMP-BASE-001,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260401,,Contributed To,2026-07-28T14:58:57.756347
LIN-EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-RECID-6,SR-BL-3048F5335B1741BC-COMP-BASE-001,Recommendation,REC-CASE-DEPT-ADM-20260328-OPT1,,Approved By,2026-07-28T14:58:57.756351
LIN-EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-RECID-7,SR-BL-3048F5335B1741BC-COMP-BASE-001,Recommendation,REC-CASE-DEPT-ADM-20260329-OPT1,,Approved By,2026-07-28T14:58:57.756355
LIN-EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-RECID-8,SR-BL-3048F5335B1741BC-COMP-BASE-001,Recommendation,REC-CASE-DEPT-ADM-20260401-OPT1,,Approved By,2026-07-28T14:58:57.756358
LIN-EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-COMP-9,SR-BL-3048F5335B1741BC-COMP-BASE-001,Comparator Config,COMP-BASE-001,config/scenario_comparator_config.csv,Defined By,2026-07-28T14:58:57.756362
LIN-EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-PKG-10,SR-BL-3048F5335B1741BC-COMP-BASE-001,Package,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,data/scenario_inputs/step_2c1d_episode_approval_package_register.csv,Authorised By,2026-07-28T14:58:57.756366
LIN-EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-EP-11,SR-BL-3048F5335B1741BC-COMP-BASE-001,Episode,EP-HOSP-001-DEPT-ADM-kpi_001-20260328,data/scenario_inputs/step_2c1c_corrected_episode_register.csv,Based On,2026-07-28T14:58:57.756370
LIN-EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-BASE-0,SR-BL-3048F5335B1741BC-COMP-CONS-001,Analytical Dataset,analytical_workforce_kpi_daily.csv,analytical_workforce_kpi_daily.csv,Derived From,2026-07-28T14:58:57.761385
LIN-EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-REC-1,SR-BL-3048F5335B1741BC-COMP-CONS-001,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260328,,Contributed To,2026-07-28T14:58:57.761392
LIN-EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-REC-2,SR-BL-3048F5335B1741BC-COMP-CONS-001,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260329,,Contributed To,2026-07-28T14:58:57.761396
LIN-EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-REC-3,SR-BL-3048F5335B1741BC-COMP-CONS-001,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260330,,Contributed To,2026-07-28T14:58:57.761400
LIN-EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-REC-4,SR-BL-3048F5335B1741BC-COMP-CONS-001,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260331,,Contributed To,2026-07-28T14:58:57.761403
LIN-EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-REC-5,SR-BL-3048F5335B1741BC-COMP-CONS-001,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260401,,Contributed To,2026-07-28T14:58:57.761407
LIN-EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-RECID-6,SR-BL-3048F5335B1741BC-COMP-CONS-001,Recommendation,REC-CASE-DEPT-ADM-20260328-OPT1,,Approved By,2026-07-28T14:58:57.761411
LIN-EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-RECID-7,SR-BL-3048F5335B1741BC-COMP-CONS-001,Recommendation,REC-CASE-DEPT-ADM-20260329-OPT1,,Approved By,2026-07-28T14:58:57.761414
LIN-EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-RECID-8,SR-BL-3048F5335B1741BC-COMP-CONS-001,Recommendation,REC-CASE-DEPT-ADM-20260401-OPT1,,Approved By,2026-07-28T14:58:57.761417
LIN-EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-COMP-9,SR-BL-3048F5335B1741BC-COMP-CONS-001,Comparator Config,COMP-CONS-001,config/scenario_comparator_config.csv,Defined By,2026-07-28T14:58:57.761421
LIN-EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-PKG-10,SR-BL-3048F5335B1741BC-COMP-CONS-001,Package,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,data/scenario_inputs/step_2c1d_episode_approval_package_register.csv,Authorised By,2026-07-28T14:58:57.761425
LIN-EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-EP-11,SR-BL-3048F5335B1741BC-COMP-CONS-001,Episode,EP-HOSP-001-DEPT-ADM-kpi_001-20260328,data/scenario_inputs/step_2c1c_corrected_episode_register.csv,Based On,2026-07-28T14:58:57.761428
LIN-EV-SR-BL-3048F5335B1741BC-COMP-EXP-001-BASE-0,SR-BL-3048F5335B1741BC-COMP-EXP-001,Analytical Dataset,analytical_workforce_kpi_daily.csv,analytical_workforce_kpi_daily.csv,Derived From,2026-07-28T14:58:57.765805
LIN-EV-SR-BL-3048F5335B1741BC-COMP-EXP-001-REC-1,SR-BL-3048F5335B1741BC-COMP-EXP-001,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260328,,Contributed To,2026-07-28T14:58:57.765811
LIN-EV-SR-BL-3048F5335B1741BC-COMP-EXP-001-REC-2,SR-BL-3048F5335B1741BC-COMP-EXP-001,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260329,,Contributed To,2026-07-28T14:58:57.765815
LIN-EV-SR-BL-3048F5335B1741BC-COMP-EXP-001-REC-3,SR-BL-3048F5335B1741BC-COMP-EXP-001,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260330,,Contributed To,2026-07-28T14:58:57.765818
LIN-EV-SR-BL-3048F5335B1741BC-COMP-EXP-001-REC-4,SR-BL-3048F5335B1741BC-COMP-EXP-001,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260331,,Contributed To,2026-07-28T14:58:57.765821
LIN-EV-SR-BL-3048F5335B1741BC-COMP-EXP-001-REC-5,SR-BL-3048F5335B1741BC-COMP-EXP-001,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260401,,Contributed To,2026-07-28T14:58:57.765825
LIN-EV-SR-BL-3048F5335B1741BC-COMP-EXP-001-RECID-6,SR-BL-3048F5335B1741BC-COMP-EXP-001,Recommendation,REC-CASE-DEPT-ADM-20260328-OPT1,,Approved By,2026-07-28T14:58:57.765828
