hospital_risk_summary_id,hospital_id,reporting_date,department_count,assessable_department_count,stable_department_count,monitor_department_count,elevated_department_count,high_department_count,critical_department_count,not_assessable_department_count,highest_department_risk_score,highest_risk_department_id,top_three_department_ids,top_three_dominant_drivers,provisional_risk_department_count,overall_data_availability_rate,maximum_urgency_level,hospital_summary_status,engine_run_id,processed_at
HRS-0E20516155A1,HOSP-001,2026-01-01,8,8,5,3,0,0,0,0,30.1441,DEPT-ADM,DEPT-ADM; DEPT-ICU; DEPT-SURG,Staffing Level; Bed Occupancy Rate; Bed Occupancy Rate,2,0.6875,Prompt Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-449B76244EED,HOSP-001,2026-01-12,8,8,0,6,2,0,0,0,43.9894,DEPT-DIAG,DEPT-DIAG; DEPT-ICU; DEPT-MED,Patient Complaint Rate; Bed Occupancy Rate; Bed Occupancy Rate,4,0.6458,Prompt Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-F69367982218,HOSP-001,2026-01-13,8,8,2,6,0,0,0,0,23.6627,DEPT-DIAG,DEPT-DIAG; DEPT-ED; DEPT-MED,Staffing Level; Staffing Level; Staffing Level,1,0.6458,Prompt Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-1F270C1F8B63,HOSP-001,2026-01-14,8,8,1,5,1,1,0,0,55.3291,DEPT-ICU,DEPT-ICU; DEPT-SURG; DEPT-MED,Staffing Level; Staff Absenteeism Rate; Staffing Level,2,0.6667,Prompt Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-1B1581BDF8AF,HOSP-001,2026-01-15,8,8,1,3,3,1,0,0,59.3766,DEPT-PEX,DEPT-PEX; DEPT-MED; DEPT-ICU,Staffing Level; Bed Occupancy Rate; Bed Occupancy Rate,3,0.625,Prompt Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-E6FE568C728D,HOSP-001,2026-01-16,8,8,1,3,3,1,0,0,55.9324,DEPT-MED,DEPT-MED; DEPT-ADM; DEPT-DIAG,Staffing Level; Staffing Level; Patient Complaint Rate,4,0.6458,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-AFCE48DFB146,HOSP-001,2026-01-17,8,8,3,3,2,0,0,0,38.8127,DEPT-MED,DEPT-MED; DEPT-ICU; DEPT-PEX,Bed Occupancy Rate; Bed Occupancy Rate; Staffing Level,3,0.6875,Prompt Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-1D374049B132,HOSP-001,2026-01-18,8,8,1,6,0,1,0,0,61.9147,DEPT-OPC,DEPT-OPC; DEPT-SURG; DEPT-MED,Staff Absenteeism Rate; Bed Occupancy Rate; Staffing Level,1,0.6458,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-787A1ADAAE86,HOSP-001,2026-01-19,8,8,0,7,0,1,0,0,56.1025,DEPT-OPC,DEPT-OPC; DEPT-SURG; DEPT-ICU,Patient Satisfaction Score; Bed Occupancy Rate; Bed Occupancy Rate,2,0.6042,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-6CA903FC1E3B,HOSP-001,2026-01-20,8,8,0,6,1,1,0,0,59.6894,DEPT-SURG,DEPT-SURG; DEPT-MED; DEPT-DIAG,Staff Absenteeism Rate; Bed Occupancy Rate; Staff Absenteeism Rate,2,0.6875,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-AB75ABEBE150,HOSP-001,2026-01-21,8,8,1,2,5,0,0,0,54.97,DEPT-PEX,DEPT-PEX; DEPT-ADM; DEPT-MED,Patient Satisfaction Score; Staffing Level; Bed Occupancy Rate,3,0.625,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-42D18F7FB0D9,HOSP-001,2026-01-22,8,8,3,2,3,0,0,0,53.2905,DEPT-DIAG,DEPT-DIAG; DEPT-OPC; DEPT-ICU,Staff Absenteeism Rate; Staffing Level; Bed Occupancy Rate,2,0.6667,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-B35BFB1F0A88,HOSP-001,2026-01-23,8,8,1,5,2,0,0,0,49.5879,DEPT-DIAG,DEPT-DIAG; DEPT-SURG; DEPT-ED,Patient Complaint Rate; Bed Occupancy Rate; Staffing Level,3,0.6458,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-39C96E0AEDBF,HOSP-001,2026-01-24,8,8,3,4,1,0,0,0,36.9208,DEPT-PEX,DEPT-PEX; DEPT-SURG; DEPT-ICU,Staff Absenteeism Rate; Bed Occupancy Rate; Bed Occupancy Rate,4,0.6458,Prompt Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-7360A070BA9A,HOSP-001,2026-01-25,8,8,3,4,0,1,0,0,64.6884,DEPT-SURG,DEPT-SURG; DEPT-DIAG; DEPT-ADM,Staff Absenteeism Rate; Staff Absenteeism Rate; Patient Satisfaction Score,2,0.625,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-D57AA29CC086,HOSP-001,2026-01-26,8,8,2,3,1,2,0,0,64.8631,DEPT-ICU,DEPT-ICU; DEPT-DIAG; DEPT-MED,Staff Absenteeism Rate; Patient Satisfaction Score; Bed Occupancy Rate,3,0.625,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-7F33A3BD03DB,HOSP-001,2026-01-27,8,8,2,5,0,1,0,0,55.6583,DEPT-SURG,DEPT-SURG; DEPT-MED; DEPT-ICU,Staffing Level; Bed Occupancy Rate; Staff Absenteeism Rate,2,0.6667,Prompt Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-4DAC80216AB1,HOSP-001,2026-01-28,8,8,2,0,4,2,0,0,57.609,DEPT-MED,DEPT-MED; DEPT-ED; DEPT-SURG,Staff Absenteeism Rate; Patient Satisfaction Score; Bed Occupancy Rate,3,0.625,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-6B3B2A7807F6,HOSP-001,2026-01-29,8,8,1,5,1,1,0,0,55.1664,DEPT-ED,DEPT-ED; DEPT-OPC; DEPT-MED,Patient Satisfaction Score; Patient Satisfaction Score; Bed Occupancy Rate,1,0.625,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-08BECA24A1DE,HOSP-001,2026-01-30,8,8,2,2,3,1,0,0,73.7165,DEPT-ADM,DEPT-ADM; DEPT-DIAG; DEPT-SURG,Patient Satisfaction Score; Patient Complaint Rate; Bed Occupancy Rate,4,0.6875,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-F65D9BCED2B5,HOSP-001,2026-01-31,8,8,2,4,1,1,0,0,56.2985,DEPT-SURG,DEPT-SURG; DEPT-MED; DEPT-ADM,Staffing Level; Bed Occupancy Rate; Staff Absenteeism Rate,2,0.6875,Prompt Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-EEB41AE432F8,HOSP-001,2026-02-01,8,8,2,5,0,1,0,0,55.7247,DEPT-ED,DEPT-ED; DEPT-MED; DEPT-ICU,Staffing Level; Bed Occupancy Rate; Bed Occupancy Rate,3,0.6875,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-A3C04188ACCD,HOSP-001,2026-02-02,8,8,1,2,4,1,0,0,68.1658,DEPT-ADM,DEPT-ADM; DEPT-PEX; DEPT-SURG,Staff Absenteeism Rate; Patient Satisfaction Score; Bed Occupancy Rate,3,0.6667,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-33E886A6D9C2,HOSP-001,2026-02-03,8,8,1,5,2,0,0,0,47.1848,DEPT-PEX,DEPT-PEX; DEPT-SURG; DEPT-MED,Staffing Level; Bed Occupancy Rate; Bed Occupancy Rate,2,0.6667,Prompt Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-2DBA98066F02,HOSP-001,2026-02-04,8,8,1,5,2,0,0,0,36.6169,DEPT-MED,DEPT-MED; DEPT-ICU; DEPT-SURG,Bed Occupancy Rate; Bed Occupancy Rate; Bed Occupancy Rate,3,0.625,Prompt Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-D55B3C34FEBD,HOSP-001,2026-02-05,8,8,1,6,1,0,0,0,35.1067,DEPT-SURG,DEPT-SURG; DEPT-PEX; DEPT-ADM,Bed Occupancy Rate; Staff Absenteeism Rate; Patient Satisfaction Score,1,0.625,Prompt Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-FA8A9452CC6C,HOSP-001,2026-02-06,8,8,0,4,3,0,1,0,75.1823,DEPT-ADM,DEPT-ADM; DEPT-PEX; DEPT-SURG,Staff Absenteeism Rate; Staffing Level; Bed Occupancy Rate,4,0.6667,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-9B80ED7642CE,HOSP-001,2026-02-07,8,8,0,4,2,2,0,0,71.9288,DEPT-ED,DEPT-ED; DEPT-PEX; DEPT-DIAG,Staff Absenteeism Rate; Staffing Level; Patient Complaint Rate,2,0.625,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-26FD8A38AB2E,HOSP-001,2026-02-08,8,8,2,4,2,0,0,0,46.4891,DEPT-MED,DEPT-MED; DEPT-ICU; DEPT-SURG,Staffing Level; Bed Occupancy Rate; Staffing Level,3,0.6458,Prompt Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-171C2F3EA43B,HOSP-001,2026-02-09,8,8,1,1,1,3,2,0,81.1754,DEPT-MED,DEPT-MED; DEPT-ED; DEPT-ADM,Staff Absenteeism Rate; Patient Complaint Rate; Staffing Level,4,0.6458,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-32F4C1248BD2,HOSP-001,2026-02-10,8,8,1,5,2,0,0,0,38.8127,DEPT-MED,DEPT-MED; DEPT-ICU; DEPT-SURG,Bed Occupancy Rate; Bed Occupancy Rate; Staffing Level,3,0.6667,Prompt Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-23E5C5E9D1E0,HOSP-001,2026-02-11,8,8,1,2,3,2,0,0,73.2109,DEPT-ED,DEPT-ED; DEPT-ICU; DEPT-OPC,Staffing Level; Staffing Level; Patient Satisfaction Score,4,0.6667,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-B68DAB5DE339,HOSP-001,2026-02-12,8,8,1,4,3,0,0,0,50.4384,DEPT-PEX,DEPT-PEX; DEPT-ICU; DEPT-DIAG,Staffing Level; Bed Occupancy Rate; Staffing Level,1,0.6458,Prompt Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-308E01E8C8CF,HOSP-001,2026-02-13,8,8,0,6,2,0,0,0,42.5761,DEPT-DIAG,DEPT-DIAG; DEPT-SURG; DEPT-MED,Patient Complaint Rate; Bed Occupancy Rate; Bed Occupancy Rate,4,0.625,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-17A5F62B3C47,HOSP-001,2026-02-14,8,8,0,2,4,2,0,0,59.1173,DEPT-ADM,DEPT-ADM; DEPT-SURG; DEPT-PEX,Patient Satisfaction Score; Staff Absenteeism Rate; Staffing Level,3,0.5833,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-DC211797BE91,HOSP-001,2026-02-15,8,8,1,3,2,2,0,0,63.3444,DEPT-ICU,DEPT-ICU; DEPT-PEX; DEPT-MED,Patient Satisfaction Score; Patient Satisfaction Score; Bed Occupancy Rate,3,0.6667,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-F83EFAE8BDAA,HOSP-001,2026-02-16,8,8,1,3,2,1,1,0,82.2256,DEPT-ICU,DEPT-ICU; DEPT-ED; DEPT-MED,Staffing Level; Patient Complaint Rate; Bed Occupancy Rate,4,0.6042,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-0ADD2E92E9E8,HOSP-001,2026-02-17,8,8,1,5,1,0,1,0,77.1446,DEPT-SURG,DEPT-SURG; DEPT-MED; DEPT-ICU,Patient Satisfaction Score; Bed Occupancy Rate; Staff Absenteeism Rate,3,0.625,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-5B4D767C36AB,HOSP-001,2026-02-18,8,8,2,4,2,0,0,0,52.8942,DEPT-DIAG,DEPT-DIAG; DEPT-ICU; DEPT-PEX,Patient Satisfaction Score; Bed Occupancy Rate; Staffing Level,2,0.625,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-7001B592F140,HOSP-001,2026-02-19,8,8,3,4,1,0,0,0,51.3068,DEPT-ICU,DEPT-ICU; DEPT-ED; DEPT-MED,Staff Absenteeism Rate; Average Patient Waiting Time; Staff Absenteeism Rate,3,0.6667,Prompt Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-118F566C637B,HOSP-001,2026-02-20,8,8,2,4,1,1,0,0,55.6599,DEPT-DIAG,DEPT-DIAG; DEPT-MED; DEPT-ICU,Patient Complaint Rate; Bed Occupancy Rate; Staff Absenteeism Rate,3,0.625,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-90984DA8C0D4,HOSP-001,2026-02-21,8,8,2,2,3,1,0,0,58.9535,DEPT-PEX,DEPT-PEX; DEPT-ADM; DEPT-ICU,Staff Absenteeism Rate; Staff Absenteeism Rate; Bed Occupancy Rate,5,0.6667,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-C4725ECAD88E,HOSP-001,2026-02-22,8,8,2,4,1,0,1,0,75.5298,DEPT-MED,DEPT-MED; DEPT-ICU; DEPT-DIAG,Staff Absenteeism Rate; Bed Occupancy Rate; Staff Absenteeism Rate,3,0.5833,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-EAEDDDEEA735,HOSP-001,2026-02-23,8,8,1,4,2,1,0,0,57.1297,DEPT-SURG,DEPT-SURG; DEPT-ICU; DEPT-DIAG,Patient Satisfaction Score; Bed Occupancy Rate; Patient Complaint Rate,4,0.6458,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-28793A10EE08,HOSP-001,2026-02-24,8,8,3,2,1,2,0,0,62.5045,DEPT-MED,DEPT-MED; DEPT-DIAG; DEPT-ICU,Patient Satisfaction Score; Patient Satisfaction Score; Bed Occupancy Rate,4,0.6458,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-B49AB4C182CF,HOSP-001,2026-02-25,8,8,3,3,2,0,0,0,38.9609,DEPT-SURG,DEPT-SURG; DEPT-ICU; DEPT-DIAG,Staff Absenteeism Rate; Bed Occupancy Rate; Staffing Level,2,0.6875,Prompt Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-EE306A9B2990,HOSP-001,2026-02-26,8,8,3,2,2,1,0,0,58.2731,DEPT-SURG,DEPT-SURG; DEPT-ICU; DEPT-DIAG,Staff Absenteeism Rate; Bed Occupancy Rate; Patient Complaint Rate,3,0.625,Prompt Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-5C1FAC6C0FF1,HOSP-001,2026-02-27,8,8,3,3,1,1,0,0,61.3839,DEPT-ICU,DEPT-ICU; DEPT-ED; DEPT-DIAG,Staff Absenteeism Rate; Patient Complaint Rate; Staffing Level,2,0.6458,Prompt Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-D4392DF2FA0E,HOSP-001,2026-02-28,8,8,2,2,4,0,0,0,44.5272,DEPT-ADM,DEPT-ADM; DEPT-SURG; DEPT-ICU,Staff Absenteeism Rate; Staffing Level; Bed Occupancy Rate,4,0.6875,Prompt Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-1D4F746779C9,HOSP-001,2026-03-01,8,8,1,5,0,1,1,0,78.5386,DEPT-SURG,DEPT-SURG; DEPT-PEX; DEPT-DIAG,Staffing Level; Patient Satisfaction Score; Staffing Level,0,0.6042,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-52963AA170D9,HOSP-001,2026-03-02,8,8,0,5,2,1,0,0,55.3714,DEPT-DIAG,DEPT-DIAG; DEPT-PEX; DEPT-SURG,Patient Complaint Rate; Staff Absenteeism Rate; Bed Occupancy Rate,3,0.6458,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-F7F6570E0B31,HOSP-001,2026-03-03,8,8,1,4,1,1,1,0,85.1484,DEPT-PEX,DEPT-PEX; DEPT-ED; DEPT-DIAG,Staff Absenteeism Rate; Staffing Level; Staff Absenteeism Rate,0,0.625,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-C08D0983B3AD,HOSP-001,2026-03-04,8,8,1,4,1,1,1,0,75.4803,DEPT-PEX,DEPT-PEX; DEPT-SURG; DEPT-DIAG,Staff Absenteeism Rate; Staff Absenteeism Rate; Patient Complaint Rate,2,0.6458,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-54EE22A11805,HOSP-001,2026-03-05,8,8,2,2,2,1,1,0,80.6436,DEPT-SURG,DEPT-SURG; DEPT-OPC; DEPT-ICU,Staffing Level; Staffing Level; Staff Absenteeism Rate,1,0.6875,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-CC66D1C7A61D,HOSP-001,2026-03-06,8,8,1,3,3,0,1,0,76.5925,DEPT-OPC,DEPT-OPC; DEPT-PEX; DEPT-ED,Staffing Level; Patient Satisfaction Score; Patient Satisfaction Score,2,0.6458,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-13FEC7AF80A7,HOSP-001,2026-03-07,8,8,2,3,3,0,0,0,53.932,DEPT-DIAG,DEPT-DIAG; DEPT-ICU; DEPT-SURG,Patient Complaint Rate; Bed Occupancy Rate; Bed Occupancy Rate,4,0.6458,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-A495F99E436C,HOSP-001,2026-03-08,8,8,3,3,1,0,1,0,79.1703,DEPT-OPC,DEPT-OPC; DEPT-DIAG; DEPT-SURG,Staffing Level; Patient Complaint Rate; Staff Absenteeism Rate,1,0.6458,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-B0D6BBD94155,HOSP-001,2026-03-09,8,8,2,3,3,0,0,0,53.3918,DEPT-ED,DEPT-ED; DEPT-DIAG; DEPT-SURG,Patient Satisfaction Score; Patient Complaint Rate; Bed Occupancy Rate,4,0.6667,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-7E1927D76BC1,HOSP-001,2026-03-10,8,8,0,5,2,1,0,0,66.0889,DEPT-ED,DEPT-ED; DEPT-SURG; DEPT-ICU,Staff Absenteeism Rate; Bed Occupancy Rate; Bed Occupancy Rate,3,0.6875,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-6B0F350E0F37,HOSP-001,2026-03-11,8,8,1,4,3,0,0,0,54.8382,DEPT-SURG,DEPT-SURG; DEPT-ICU; DEPT-ADM,Staffing Level; Bed Occupancy Rate; Staffing Level,1,0.6458,Prompt Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-386151BD6E63,HOSP-001,2026-03-12,8,8,2,3,2,0,1,0,79.8004,DEPT-SURG,DEPT-SURG; DEPT-ED; DEPT-MED,Staffing Level; Patient Complaint Rate; Bed Occupancy Rate,2,0.625,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-C980F22B472C,HOSP-001,2026-03-13,8,8,1,5,1,0,1,0,81.1553,DEPT-MED,DEPT-MED; DEPT-ICU; DEPT-ED,Patient Satisfaction Score; Bed Occupancy Rate; Patient Complaint Rate,2,0.6458,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-A499F9EDD57C,HOSP-001,2026-03-14,8,8,0,2,3,2,1,0,80.0242,DEPT-OPC,DEPT-OPC; DEPT-SURG; DEPT-PEX,Staffing Level; Staff Absenteeism Rate; Patient Satisfaction Score,2,0.6875,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-F4133091D240,HOSP-001,2026-03-15,8,8,1,2,2,2,1,0,77.1446,DEPT-SURG,DEPT-SURG; DEPT-OPC; DEPT-ICU,Staff Absenteeism Rate; Staffing Level; Staff Absenteeism Rate,3,0.6667,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-D76865EB2F72,HOSP-001,2026-03-16,8,8,0,5,2,1,0,0,67.0668,DEPT-ED,DEPT-ED; DEPT-PEX; DEPT-MED,Patient Complaint Rate; Patient Satisfaction Score; Bed Occupancy Rate,4,0.6667,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-B775141E0955,HOSP-001,2026-03-17,8,8,1,5,2,0,0,0,47.8478,DEPT-DIAG,DEPT-DIAG; DEPT-MED; DEPT-SURG,Patient Complaint Rate; Bed Occupancy Rate; Bed Occupancy Rate,4,0.6458,Prompt Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-7323F38F3335,HOSP-001,2026-03-18,8,8,1,4,1,1,1,0,77.7002,DEPT-ED,DEPT-ED; DEPT-DIAG; DEPT-MED,Patient Satisfaction Score; Patient Complaint Rate; Bed Occupancy Rate,4,0.625,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-0D0A9C5F9A86,HOSP-001,2026-03-19,8,8,1,2,1,0,4,0,85.7279,DEPT-DIAG,DEPT-DIAG; DEPT-SURG; DEPT-ED,Patient Satisfaction Score; Staff Absenteeism Rate; Staffing Level,4,0.6458,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-F694323D898A,HOSP-001,2026-03-20,8,8,0,5,1,1,1,0,75.1436,DEPT-SURG,DEPT-SURG; DEPT-DIAG; DEPT-ADM,Staff Absenteeism Rate; Patient Complaint Rate; Patient Satisfaction Score,2,0.6042,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-F16EB36CC1AE,HOSP-001,2026-03-21,8,8,0,4,1,1,2,0,84.7015,DEPT-DIAG,DEPT-DIAG; DEPT-OPC; DEPT-PEX,Patient Satisfaction Score; Staff Absenteeism Rate; Patient Satisfaction Score,2,0.6875,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-0FE79D8AE2E2,HOSP-001,2026-03-22,8,8,1,4,2,1,0,0,63.2643,DEPT-MED,DEPT-MED; DEPT-ADM; DEPT-ICU,Staff Absenteeism Rate; Staff Absenteeism Rate; Bed Occupancy Rate,3,0.6458,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
