relationship_record_id,relationship_id,hospital_id,department_id,source_kpi_id,target_kpi_id,confidence_level,pearson_correlation,spearman_correlation,paired_observation_count,engine_run_id,processed_at
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_004-kpi_006,kpi_004_kpi_006,HOSP-001,DEPT-ED,kpi_004,kpi_006,High,-0.2607,-0.2298,305,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_005-kpi_006,kpi_005_kpi_006,HOSP-001,DEPT-ED,kpi_005,kpi_006,High,0.0203,0.0422,305,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_002,kpi_001_kpi_002,HOSP-001,DEPT-ICU,kpi_001,kpi_002,High,-0.7186,-0.6704,365,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_003,kpi_001_kpi_003,HOSP-001,DEPT-ICU,kpi_001,kpi_003,High,-0.152,-0.1305,365,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_004,kpi_001_kpi_004,HOSP-001,DEPT-ICU,kpi_001,kpi_004,Insufficient Evidence,,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_005,kpi_001_kpi_005,HOSP-001,DEPT-ICU,kpi_001,kpi_005,Insufficient Evidence,,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_006,kpi_001_kpi_006,HOSP-001,DEPT-ICU,kpi_001,kpi_006,High,0.0229,0.0066,280,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_002-kpi_003,kpi_002_kpi_003,HOSP-001,DEPT-ICU,kpi_002,kpi_003,High,0.2008,0.1646,365,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_002-kpi_004,kpi_002_kpi_004,HOSP-001,DEPT-ICU,kpi_002,kpi_004,Insufficient Evidence,,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_002-kpi_005,kpi_002_kpi_005,HOSP-001,DEPT-ICU,kpi_002,kpi_005,Insufficient Evidence,,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_002-kpi_006,kpi_002_kpi_006,HOSP-001,DEPT-ICU,kpi_002,kpi_006,High,-0.0369,-0.0263,280,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_003-kpi_004,kpi_003_kpi_004,HOSP-001,DEPT-ICU,kpi_003,kpi_004,Insufficient Evidence,,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_003-kpi_005,kpi_003_kpi_005,HOSP-001,DEPT-ICU,kpi_003,kpi_005,Insufficient Evidence,,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_003-kpi_006,kpi_003_kpi_006,HOSP-001,DEPT-ICU,kpi_003,kpi_006,High,-0.2104,-0.2045,280,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_004-kpi_005,kpi_004_kpi_005,HOSP-001,DEPT-ICU,kpi_004,kpi_005,Insufficient Evidence,,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_004-kpi_006,kpi_004_kpi_006,HOSP-001,DEPT-ICU,kpi_004,kpi_006,Insufficient Evidence,,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_005-kpi_006,kpi_005_kpi_006,HOSP-001,DEPT-ICU,kpi_005,kpi_006,Insufficient Evidence,,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_001-kpi_002,kpi_001_kpi_002,HOSP-001,DEPT-MED,kpi_001,kpi_002,High,-0.665,-0.6281,365,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_001-kpi_003,kpi_001_kpi_003,HOSP-001,DEPT-MED,kpi_001,kpi_003,High,-0.1932,-0.1398,365,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_001-kpi_004,kpi_001_kpi_004,HOSP-001,DEPT-MED,kpi_001,kpi_004,Insufficient Evidence,,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_001-kpi_005,kpi_001_kpi_005,HOSP-001,DEPT-MED,kpi_001,kpi_005,Insufficient Evidence,,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_001-kpi_006,kpi_001_kpi_006,HOSP-001,DEPT-MED,kpi_001,kpi_006,High,0.0213,0.0069,296,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_002-kpi_003,kpi_002_kpi_003,HOSP-001,DEPT-MED,kpi_002,kpi_003,High,0.1646,0.1153,365,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_002-kpi_004,kpi_002_kpi_004,HOSP-001,DEPT-MED,kpi_002,kpi_004,Insufficient Evidence,,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_002-kpi_005,kpi_002_kpi_005,HOSP-001,DEPT-MED,kpi_002,kpi_005,Insufficient Evidence,,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_002-kpi_006,kpi_002_kpi_006,HOSP-001,DEPT-MED,kpi_002,kpi_006,High,-0.0496,-0.0519,296,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_003-kpi_004,kpi_003_kpi_004,HOSP-001,DEPT-MED,kpi_003,kpi_004,Insufficient Evidence,,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_003-kpi_005,kpi_003_kpi_005,HOSP-001,DEPT-MED,kpi_003,kpi_005,Insufficient Evidence,,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_003-kpi_006,kpi_003_kpi_006,HOSP-001,DEPT-MED,kpi_003,kpi_006,High,-0.214,-0.2294,296,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_004-kpi_005,kpi_004_kpi_005,HOSP-001,DEPT-MED,kpi_004,kpi_005,Insufficient Evidence,,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_004-kpi_006,kpi_004_kpi_006,HOSP-001,DEPT-MED,kpi_004,kpi_006,Insufficient Evidence,,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_005-kpi_006,kpi_005_kpi_006,HOSP-001,DEPT-MED,kpi_005,kpi_006,Insufficient Evidence,,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_001-kpi_002,kpi_001_kpi_002,HOSP-001,DEPT-OPC,kpi_001,kpi_002,High,-0.7174,-0.6807,365,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_001-kpi_003,kpi_001_kpi_003,HOSP-001,DEPT-OPC,kpi_001,kpi_003,Insufficient Evidence,,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_001-kpi_004,kpi_001_kpi_004,HOSP-001,DEPT-OPC,kpi_001,kpi_004,High,-0.1379,-0.14,365,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_001-kpi_005,kpi_001_kpi_005,HOSP-001,DEPT-OPC,kpi_001,kpi_005,High,-0.1006,-0.0495,333,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_001-kpi_006,kpi_001_kpi_006,HOSP-001,DEPT-OPC,kpi_001,kpi_006,High,0.0722,0.0574,303,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_002-kpi_003,kpi_002_kpi_003,HOSP-001,DEPT-OPC,kpi_002,kpi_003,Insufficient Evidence,,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_002-kpi_004,kpi_002_kpi_004,HOSP-001,DEPT-OPC,kpi_002,kpi_004,High,0.2014,0.2194,365,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_002-kpi_005,kpi_002_kpi_005,HOSP-001,DEPT-OPC,kpi_002,kpi_005,High,0.1045,0.045,333,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_002-kpi_006,kpi_002_kpi_006,HOSP-001,DEPT-OPC,kpi_002,kpi_006,High,-0.0486,-0.032,303,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_003-kpi_004,kpi_003_kpi_004,HOSP-001,DEPT-OPC,kpi_003,kpi_004,Insufficient Evidence,,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_003-kpi_005,kpi_003_kpi_005,HOSP-001,DEPT-OPC,kpi_003,kpi_005,Insufficient Evidence,,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_003-kpi_006,kpi_003_kpi_006,HOSP-001,DEPT-OPC,kpi_003,kpi_006,Insufficient Evidence,,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_004-kpi_005,kpi_004_kpi_005,HOSP-001,DEPT-OPC,kpi_004,kpi_005,High,0.2436,0.1659,333,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_004-kpi_006,kpi_004_kpi_006,HOSP-001,DEPT-OPC,kpi_004,kpi_006,High,-0.2619,-0.2451,303,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_005-kpi_006,kpi_005_kpi_006,HOSP-001,DEPT-OPC,kpi_005,kpi_006,High,-0.0667,-0.0349,303,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_001-kpi_002,kpi_001_kpi_002,HOSP-001,DEPT-PEX,kpi_001,kpi_002,High,-0.6883,-0.6682,365,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_001-kpi_003,kpi_001_kpi_003,HOSP-001,DEPT-PEX,kpi_001,kpi_003,Insufficient Evidence,,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_001-kpi_004,kpi_001_kpi_004,HOSP-001,DEPT-PEX,kpi_001,kpi_004,Insufficient Evidence,,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_001-kpi_005,kpi_001_kpi_005,HOSP-001,DEPT-PEX,kpi_001,kpi_005,Insufficient Evidence,,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_001-kpi_006,kpi_001_kpi_006,HOSP-001,DEPT-PEX,kpi_001,kpi_006,High,0.0896,0.085,297,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_002-kpi_003,kpi_002_kpi_003,HOSP-001,DEPT-PEX,kpi_002,kpi_003,Insufficient Evidence,,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_002-kpi_004,kpi_002_kpi_004,HOSP-001,DEPT-PEX,kpi_002,kpi_004,Insufficient Evidence,,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_002-kpi_005,kpi_002_kpi_005,HOSP-001,DEPT-PEX,kpi_002,kpi_005,Insufficient Evidence,,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_002-kpi_006,kpi_002_kpi_006,HOSP-001,DEPT-PEX,kpi_002,kpi_006,High,-0.1596,-0.1459,297,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_003-kpi_004,kpi_003_kpi_004,HOSP-001,DEPT-PEX,kpi_003,kpi_004,Insufficient Evidence,,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_003-kpi_005,kpi_003_kpi_005,HOSP-001,DEPT-PEX,kpi_003,kpi_005,Insufficient Evidence,,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_003-kpi_006,kpi_003_kpi_006,HOSP-001,DEPT-PEX,kpi_003,kpi_006,Insufficient Evidence,,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_004-kpi_005,kpi_004_kpi_005,HOSP-001,DEPT-PEX,kpi_004,kpi_005,Insufficient Evidence,,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_004-kpi_006,kpi_004_kpi_006,HOSP-001,DEPT-PEX,kpi_004,kpi_006,Insufficient Evidence,,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_005-kpi_006,kpi_005_kpi_006,HOSP-001,DEPT-PEX,kpi_005,kpi_006,Insufficient Evidence,,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_001-kpi_002,kpi_001_kpi_002,HOSP-001,DEPT-SURG,kpi_001,kpi_002,High,-0.6968,-0.6506,365,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_001-kpi_003,kpi_001_kpi_003,HOSP-001,DEPT-SURG,kpi_001,kpi_003,High,-0.1272,-0.1565,365,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_001-kpi_004,kpi_001_kpi_004,HOSP-001,DEPT-SURG,kpi_001,kpi_004,Insufficient Evidence,,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_001-kpi_005,kpi_001_kpi_005,HOSP-001,DEPT-SURG,kpi_001,kpi_005,Insufficient Evidence,,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_001-kpi_006,kpi_001_kpi_006,HOSP-001,DEPT-SURG,kpi_001,kpi_006,High,-0.0421,-0.0349,298,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_002-kpi_003,kpi_002_kpi_003,HOSP-001,DEPT-SURG,kpi_002,kpi_003,High,0.1456,0.1456,365,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_002-kpi_004,kpi_002_kpi_004,HOSP-001,DEPT-SURG,kpi_002,kpi_004,Insufficient Evidence,,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_002-kpi_005,kpi_002_kpi_005,HOSP-001,DEPT-SURG,kpi_002,kpi_005,Insufficient Evidence,,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_002-kpi_006,kpi_002_kpi_006,HOSP-001,DEPT-SURG,kpi_002,kpi_006,High,0.0185,0.0307,298,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_003-kpi_004,kpi_003_kpi_004,HOSP-001,DEPT-SURG,kpi_003,kpi_004,Insufficient Evidence,,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
