interpretation_id,approval_package_id,scenario_template_id,episode_id,scenario_family,comparator_summary,primary_kpi_effect,supporting_kpi_effects,adverse_effects,displacement_risk,assumption_drivers,management_validation_required,sensitivity_classification,diminishing_return_classification,trade_off_band,management_readiness,interpretation_text
INT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,SCEN-STAFF-001,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,Staffing Coverage Adjustment,Baseline: No Change (0.0%); Conservative: Increase (11.1111111111111%); Expected: Increase (16.666666666666657%); Higher Intensity: Increase (16.666666666666657%),Staffing coverage adjusted from 83.33% to 100.00%. Adjusted available staff: 20.0 (required: 18.0).,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Sensitive to Assumption Intensity,Diminishing,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108 (SCEN-STAFF-001): Comparators show Baseline: No Change (0.0%); Conservative: Increase (11.1111111111111%); Expected: Increase (16.666666666666657%); Higher Intensity: Increase (16.666666666666657%). Sensitivity: Sensitive to Assumption Intensity. Diminishing returns: Diminishing. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,SCEN-STAFF-001,EP-HOSP-001-DEPT-ADM-kpi_001-20261127,Staffing Coverage Adjustment,Baseline: Increase (0.23543707754234333%); Conservative: Increase (9.759246601351862%); Expected: Increase (16.108452950558217%); Higher Intensity: Increase (16.108452950558217%),Staffing coverage adjusted from 83.89% to 100.00%. Adjusted available staff: 22.7 (required: 21.0).,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Stable with Magnitude Variation,Diminishing,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127 (SCEN-STAFF-001): Comparators show Baseline: Increase (0.23543707754234333%); Conservative: Increase (9.759246601351862%); Expected: Increase (16.108452950558217%); Higher Intensity: Increase (16.108452950558217%). Sensitivity: Stable with Magnitude Variation. Diminishing returns: Diminishing. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,SCEN-STAFF-001,EP-HOSP-001-DEPT-ADM-kpi_001-20261205,Staffing Coverage Adjustment,Baseline: Increase (0.050125313283217565%); Conservative: Increase (10.050125313283218%); Expected: Increase (20.050125313283218%); Higher Intensity: Increase (20.050125313283218%),Staffing coverage adjusted from 79.95% to 100.00%. Adjusted available staff: 21.0 (required: 20.0).,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Stable with Magnitude Variation,Diminishing,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205 (SCEN-STAFF-001): Comparators show Baseline: Increase (0.050125313283217565%); Conservative: Increase (10.050125313283218%); Expected: Increase (20.050125313283218%); Higher Intensity: Increase (20.050125313283218%). Sensitivity: Stable with Magnitude Variation. Diminishing returns: Diminishing. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,SCEN-STAFF-001,EP-HOSP-001-DEPT-ADM-kpi_001-20261220,Staffing Coverage Adjustment,Baseline: Decrease (-0.07437585863850416%); Conservative: Increase (9.826614240371399%); Expected: Increase (20.71770334928229%); Higher Intensity: Increase (20.71770334928229%),Staffing coverage adjusted from 79.28% to 100.00%. Adjusted available staff: 21.0 (required: 20.2).,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Direction Reversal,Diminishing,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220 (SCEN-STAFF-001): Comparators show Baseline: Decrease (-0.07437585863850416%); Conservative: Increase (9.826614240371399%); Expected: Increase (20.71770334928229%); Higher Intensity: Increase (20.71770334928229%). Sensitivity: Direction Reversal. Diminishing returns: Diminishing. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202-SCEN-ABS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,SCEN-ABS-001,EP-HOSP-001-DEPT-ADM-kpi_002-20260202,Absenteeism Contingency,Baseline: No Change (0.0%); Conservative: Decrease (-9.999999999999995%); Expected: Decrease (-19.99999999999999%); Higher Intensity: Decrease (-35.0%),Absenteeism adjusted from 23.81% to 19.05%. Reduction: 20.0%. Replacement coverage: 50.0%. Residual exposure: 4.76%.,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Sensitive to Assumption Intensity,Not Assessable,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202 (SCEN-ABS-001): Comparators show Baseline: No Change (0.0%); Conservative: Decrease (-9.999999999999995%); Expected: Decrease (-19.99999999999999%); Higher Intensity: Decrease (-35.0%). Sensitivity: Sensitive to Assumption Intensity. Diminishing returns: Not Assessable. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206-SCEN-ABS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,SCEN-ABS-001,EP-HOSP-001-DEPT-ADM-kpi_002-20260206,Absenteeism Contingency,Baseline: No Change (0.0%); Conservative: Decrease (-10.0%); Expected: Decrease (-20.0%); Higher Intensity: Decrease (-35.0%),Absenteeism adjusted from 27.27% to 21.82%. Reduction: 20.0%. Replacement coverage: 50.0%. Residual exposure: 5.45%.,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Sensitive to Assumption Intensity,Not Assessable,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206 (SCEN-ABS-001): Comparators show Baseline: No Change (0.0%); Conservative: Decrease (-10.0%); Expected: Decrease (-20.0%); Higher Intensity: Decrease (-35.0%). Sensitivity: Sensitive to Assumption Intensity. Diminishing returns: Not Assessable. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330-SCEN-ABS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,SCEN-ABS-001,EP-HOSP-001-DEPT-ADM-kpi_002-20260330,Absenteeism Contingency,Baseline: No Change (0.0%); Conservative: Decrease (-9.999999999999995%); Expected: Decrease (-19.99999999999999%); Higher Intensity: Decrease (-35.0%),Absenteeism adjusted from 23.53% to 18.82%. Reduction: 20.0%. Replacement coverage: 50.0%. Residual exposure: 4.71%.,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Sensitive to Assumption Intensity,Not Assessable,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330 (SCEN-ABS-001): Comparators show Baseline: No Change (0.0%); Conservative: Decrease (-9.999999999999995%); Expected: Decrease (-19.99999999999999%); Higher Intensity: Decrease (-35.0%). Sensitivity: Sensitive to Assumption Intensity. Diminishing returns: Not Assessable. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409-SCEN-ABS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,SCEN-ABS-001,EP-HOSP-001-DEPT-ADM-kpi_002-20260409,Absenteeism Contingency,Baseline: No Change (0.0%); Conservative: Decrease (-9.999999999999993%); Expected: Decrease (-19.999999999999993%); Higher Intensity: Decrease (-35.0%),Absenteeism adjusted from 18.14% to 14.51%. Reduction: 20.0%. Replacement coverage: 50.0%. Residual exposure: 3.63%.,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Sensitive to Assumption Intensity,Not Assessable,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409 (SCEN-ABS-001): Comparators show Baseline: No Change (0.0%); Conservative: Decrease (-9.999999999999993%); Expected: Decrease (-19.999999999999993%); Higher Intensity: Decrease (-35.0%). Sensitivity: Sensitive to Assumption Intensity. Diminishing returns: Not Assessable. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524-SCEN-ABS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,SCEN-ABS-001,EP-HOSP-001-DEPT-ADM-kpi_002-20260524,Absenteeism Contingency,Baseline: No Change (0.0%); Conservative: Decrease (-9.999999999999996%); Expected: Decrease (-19.999999999999993%); Higher Intensity: Decrease (-35.0%),Absenteeism adjusted from 17.86% to 14.29%. Reduction: 20.0%. Replacement coverage: 50.0%. Residual exposure: 3.57%.,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Sensitive to Assumption Intensity,Not Assessable,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524 (SCEN-ABS-001): Comparators show Baseline: No Change (0.0%); Conservative: Decrease (-9.999999999999996%); Expected: Decrease (-19.999999999999993%); Higher Intensity: Decrease (-35.0%). Sensitivity: Sensitive to Assumption Intensity. Diminishing returns: Not Assessable. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529-SCEN-ABS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,SCEN-ABS-001,EP-HOSP-001-DEPT-ADM-kpi_002-20260529,Absenteeism Contingency,Baseline: No Change (0.0%); Conservative: Decrease (-10.000000000000004%); Expected: Decrease (-19.999999999999996%); Higher Intensity: Decrease (-34.99999999999999%),Absenteeism adjusted from 15.79% to 12.63%. Reduction: 20.0%. Replacement coverage: 50.0%. Residual exposure: 3.16%.,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Sensitive to Assumption Intensity,Not Assessable,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529 (SCEN-ABS-001): Comparators show Baseline: No Change (0.0%); Conservative: Decrease (-10.000000000000004%); Expected: Decrease (-19.999999999999996%); Higher Intensity: Decrease (-34.99999999999999%). Sensitivity: Sensitive to Assumption Intensity. Diminishing returns: Not Assessable. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611-SCEN-ABS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,SCEN-ABS-001,EP-HOSP-001-DEPT-ADM-kpi_002-20260611,Absenteeism Contingency,Baseline: No Change (0.0%); Conservative: Decrease (-9.999999999999995%); Expected: Decrease (-19.99999999999999%); Higher Intensity: Decrease (-35.0%),Absenteeism adjusted from 23.81% to 19.05%. Reduction: 20.0%. Replacement coverage: 50.0%. Residual exposure: 4.76%.,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Sensitive to Assumption Intensity,Not Assessable,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611 (SCEN-ABS-001): Comparators show Baseline: No Change (0.0%); Conservative: Decrease (-9.999999999999995%); Expected: Decrease (-19.99999999999999%); Higher Intensity: Decrease (-35.0%). Sensitivity: Sensitive to Assumption Intensity. Diminishing returns: Not Assessable. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620-SCEN-ABS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,SCEN-ABS-001,EP-HOSP-001-DEPT-ADM-kpi_002-20260620,Absenteeism Contingency,Baseline: No Change (0.0%); Conservative: Decrease (-9.999999999999998%); Expected: Decrease (-19.999999999999996%); Higher Intensity: Decrease (-34.99999999999999%),Absenteeism adjusted from 21.05% to 16.84%. Reduction: 20.0%. Replacement coverage: 50.0%. Residual exposure: 4.21%.,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Sensitive to Assumption Intensity,Not Assessable,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620 (SCEN-ABS-001): Comparators show Baseline: No Change (0.0%); Conservative: Decrease (-9.999999999999998%); Expected: Decrease (-19.999999999999996%); Higher Intensity: Decrease (-34.99999999999999%). Sensitivity: Sensitive to Assumption Intensity. Diminishing returns: Not Assessable. Management validation required for assumption accuracy and operational feasibility.
