cf_record_id,relationship_id,hospital_id,department_id,source_kpi_id,source_kpi_name,target_kpi_id,target_kpi_name,association_component,cooccurrence_component,temporal_component,trend_component,department_stability_component,time_stability_component,plausibility_component,evidence_quality_component,contradiction_penalty,governance_adjustment,contributing_factor_score_raw,contributing_factor_score_normalized,contributing_factor_classification,contradiction_flag,contradiction_severity,contradiction_summary,contains_provisional_kpi,provisional_relationship_flag,provisional_kpi_list,provisional_contribution_materiality,confidence_level,engine_run_id,processed_at
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_001-kpi_004,kpi_001_kpi_004,HOSP-001,DEPT-DIAG,kpi_001,Staffing Level,kpi_004,Average Patient Waiting Time,15.73,9.86,29.25,37.81,100.0,50,75.0,100.0,5,1.0,40.29,40.29,Plausible Contributing Factor,True,Minor,Trends frequently move in opposite directions,False,False,,No Contradiction,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_001-kpi_005,kpi_001_kpi_005,HOSP-001,DEPT-DIAG,kpi_001,Staffing Level,kpi_005,Patient Complaint Rate,1.67,18.08,9.62,34.19,33.33,50,75.0,100.0,15,0.92,18.74,17.24,No Supported Relationship,True,Material,Pooled direction differs from most departments; Target frequently precedes source; Trends frequently move in opposite directions,True,True,kpi_005,Material,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_001-kpi_006,kpi_001_kpi_006,HOSP-001,DEPT-DIAG,kpi_001,Staffing Level,kpi_006,Patient Satisfaction Score,5.76,7.68,26.73,35.46,0.0,50,75.0,100.0,15,1.0,17.36,17.36,No Supported Relationship,True,Material,Pooled direction differs from most departments; Trends frequently move in opposite directions,False,False,,No Contradiction,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_002-kpi_003,kpi_002_kpi_003,HOSP-001,DEPT-DIAG,kpi_002,Staff Absenteeism Rate,kpi_003,Bed Occupancy Rate,0.0,0.0,50.0,0.0,66.67,50,50.0,0.0,5,0.92,19.17,17.63,No Supported Relationship,True,Minor,Very limited observation count,True,True,kpi_003,Material,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_002-kpi_004,kpi_002_kpi_004,HOSP-001,DEPT-DIAG,kpi_002,Staff Absenteeism Rate,kpi_004,Average Patient Waiting Time,12.86,12.6,29.52,36.82,100.0,50,75.0,100.0,5,1.0,40.07,40.07,Plausible Contributing Factor,True,Minor,Trends frequently move in opposite directions,False,False,,No Contradiction,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_002-kpi_005,kpi_002_kpi_005,HOSP-001,DEPT-DIAG,kpi_002,Staff Absenteeism Rate,kpi_005,Patient Complaint Rate,1.62,16.44,14.49,34.27,33.33,50,50.0,100.0,15,0.92,16.72,15.39,No Supported Relationship,True,Material,Pooled direction differs from most departments; Trends frequently move in opposite directions,True,True,kpi_005,Material,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_002-kpi_006,kpi_002_kpi_006,HOSP-001,DEPT-DIAG,kpi_002,Staff Absenteeism Rate,kpi_006,Patient Satisfaction Score,1.51,7.68,30.89,36.13,25.0,50,50.0,100.0,15,1.0,17.2,17.2,No Supported Relationship,True,Material,Pooled direction differs from most departments; Trends frequently move in opposite directions,False,False,,No Contradiction,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_003-kpi_004,kpi_003_kpi_004,HOSP-001,DEPT-DIAG,kpi_003,Bed Occupancy Rate,kpi_004,Average Patient Waiting Time,0.0,0.0,0.0,0.0,50.0,50,75.0,0.0,5,0.92,12.5,11.5,No Supported Relationship,True,Minor,Target frequently precedes source; Very limited observation count,True,True,kpi_003,Material,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_003-kpi_005,kpi_003_kpi_005,HOSP-001,DEPT-DIAG,kpi_003,Bed Occupancy Rate,kpi_005,Patient Complaint Rate,0.0,0.0,0.0,0.0,50.0,50,75.0,0.0,5,0.92,12.5,11.5,No Supported Relationship,True,Minor,Target frequently precedes source; Very limited observation count,True,True,kpi_003; kpi_005,Material,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_003-kpi_006,kpi_003_kpi_006,HOSP-001,DEPT-DIAG,kpi_003,Bed Occupancy Rate,kpi_006,Patient Satisfaction Score,0.0,0.0,0.0,0.0,33.33,50,50.0,0.0,15,0.92,-1.67,0.0,No Supported Relationship,True,Material,Pooled direction differs from most departments; Target frequently precedes source; Very limited observation count,True,True,kpi_003,Material,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_004-kpi_005,kpi_004_kpi_005,HOSP-001,DEPT-DIAG,kpi_004,Average Patient Waiting Time,kpi_005,Patient Complaint Rate,19.65,19.72,10.7,34.54,100.0,50,75.0,100.0,5,0.92,39.45,36.29,Supported Association,True,Minor,Trends frequently move in opposite directions,True,True,kpi_005,Material,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_004-kpi_006,kpi_004_kpi_006,HOSP-001,DEPT-DIAG,kpi_004,Average Patient Waiting Time,kpi_006,Patient Satisfaction Score,20.2,9.32,27.83,35.87,100.0,50,75.0,100.0,5,1.0,40.7,40.7,Plausible Contributing Factor,True,Minor,Trends frequently move in opposite directions,False,False,,No Contradiction,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_005-kpi_006,kpi_005_kpi_006,HOSP-001,DEPT-DIAG,kpi_005,Patient Complaint Rate,kpi_006,Patient Satisfaction Score,5.95,10.96,36.49,33.26,0.0,50,75.0,100.0,15,0.92,19.13,17.6,No Supported Relationship,True,Material,Pooled direction differs from most departments; Trends frequently move in opposite directions,True,True,kpi_005,Material,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_001-kpi_002,kpi_001_kpi_002,HOSP-001,DEPT-ED,kpi_001,Staffing Level,kpi_002,Staff Absenteeism Rate,70.68,20.82,50.23,42.17,100.0,50,75.0,100.0,15,1.0,46.51,46.51,Plausible Contributing Factor,True,Material,Opposite direction correlation; Trends frequently move in opposite directions,False,False,,No Contradiction,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_001-kpi_003,kpi_001_kpi_003,HOSP-001,DEPT-ED,kpi_001,Staffing Level,kpi_003,Bed Occupancy Rate,0.0,0.0,50.0,0.0,33.33,50,50.0,0.0,15,0.92,5.83,5.37,No Supported Relationship,True,Material,Pooled direction differs from most departments; Very limited observation count,True,True,kpi_003,Material,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_001-kpi_004,kpi_001_kpi_004,HOSP-001,DEPT-ED,kpi_001,Staffing Level,kpi_004,Average Patient Waiting Time,18.64,11.5,28.74,36.62,100.0,50,75.0,100.0,5,1.0,40.93,40.93,Plausible Contributing Factor,True,Minor,Trends frequently move in opposite directions,False,False,,No Contradiction,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_001-kpi_005,kpi_001_kpi_005,HOSP-001,DEPT-ED,kpi_001,Staffing Level,kpi_005,Patient Complaint Rate,7.1,4.38,32.58,32.56,33.33,50,75.0,100.0,15,0.92,21.05,19.37,No Supported Relationship,True,Material,Pooled direction differs from most departments; Trends frequently move in opposite directions,True,True,kpi_005,Material,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_001-kpi_006,kpi_001_kpi_006,HOSP-001,DEPT-ED,kpi_001,Staffing Level,kpi_006,Patient Satisfaction Score,9.75,6.02,25.95,35.04,0.0,50,75.0,100.0,15,1.0,17.75,17.75,No Supported Relationship,True,Material,Pooled direction differs from most departments; Trends frequently move in opposite directions,False,False,,No Contradiction,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_002-kpi_003,kpi_002_kpi_003,HOSP-001,DEPT-ED,kpi_002,Staff Absenteeism Rate,kpi_003,Bed Occupancy Rate,0.0,0.0,50.0,0.0,66.67,50,50.0,0.0,5,0.92,19.17,17.63,No Supported Relationship,True,Minor,Very limited observation count,True,True,kpi_003,Material,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_002-kpi_004,kpi_002_kpi_004,HOSP-001,DEPT-ED,kpi_002,Staff Absenteeism Rate,kpi_004,Average Patient Waiting Time,30.63,15.9,33.39,36.03,100.0,50,75.0,100.0,5,1.0,44.62,44.62,Plausible Contributing Factor,True,Minor,Trends frequently move in opposite directions,False,False,,No Contradiction,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_002-kpi_005,kpi_002_kpi_005,HOSP-001,DEPT-ED,kpi_002,Staff Absenteeism Rate,kpi_005,Patient Complaint Rate,0.72,4.38,32.58,32.46,33.33,50,50.0,100.0,15,0.92,17.27,15.89,No Supported Relationship,True,Material,Pooled direction differs from most departments; Trends frequently move in opposite directions,True,True,kpi_005,Material,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_002-kpi_006,kpi_002_kpi_006,HOSP-001,DEPT-ED,kpi_002,Staff Absenteeism Rate,kpi_006,Patient Satisfaction Score,12.76,7.68,25.25,35.08,25.0,50,50.0,100.0,15,1.0,18.5,18.5,No Supported Relationship,True,Material,Pooled direction differs from most departments; Trends frequently move in opposite directions,False,False,,No Contradiction,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_003-kpi_004,kpi_003_kpi_004,HOSP-001,DEPT-ED,kpi_003,Bed Occupancy Rate,kpi_004,Average Patient Waiting Time,0.0,0.0,0.0,0.0,50.0,50,75.0,0.0,5,0.92,12.5,11.5,No Supported Relationship,True,Minor,Target frequently precedes source; Very limited observation count,True,True,kpi_003,Material,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_003-kpi_005,kpi_003_kpi_005,HOSP-001,DEPT-ED,kpi_003,Bed Occupancy Rate,kpi_005,Patient Complaint Rate,0.0,0.0,0.0,0.0,50.0,50,75.0,0.0,5,0.92,12.5,11.5,No Supported Relationship,True,Minor,Target frequently precedes source; Very limited observation count,True,True,kpi_003; kpi_005,Material,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_003-kpi_006,kpi_003_kpi_006,HOSP-001,DEPT-ED,kpi_003,Bed Occupancy Rate,kpi_006,Patient Satisfaction Score,0.0,0.0,0.0,0.0,33.33,50,50.0,0.0,15,0.92,-1.67,0.0,No Supported Relationship,True,Material,Pooled direction differs from most departments; Target frequently precedes source; Very limited observation count,True,True,kpi_003,Material,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_004-kpi_005,kpi_004_kpi_005,HOSP-001,DEPT-ED,kpi_004,Average Patient Waiting Time,kpi_005,Patient Complaint Rate,12.24,7.12,32.58,33.58,100.0,50,75.0,100.0,5,0.92,39.26,36.12,Supported Association,True,Minor,Trends frequently move in opposite directions,True,True,kpi_005,Material,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_004-kpi_006,kpi_004_kpi_006,HOSP-001,DEPT-ED,kpi_004,Average Patient Waiting Time,kpi_006,Patient Satisfaction Score,26.07,10.96,25.0,35.58,100.0,50,75.0,100.0,5,1.0,41.67,41.67,Plausible Contributing Factor,True,Minor,Trends frequently move in opposite directions,False,False,,No Contradiction,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_005-kpi_006,kpi_005_kpi_006,HOSP-001,DEPT-ED,kpi_005,Patient Complaint Rate,kpi_006,Patient Satisfaction Score,2.03,2.74,16.89,32.74,0.0,50,75.0,100.0,15,0.92,14.12,12.99,No Supported Relationship,True,Material,Pooled direction differs from most departments; Trends frequently move in opposite directions,True,True,kpi_005,Material,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_002,kpi_001_kpi_002,HOSP-001,DEPT-ICU,kpi_001,Staffing Level,kpi_002,Staff Absenteeism Rate,71.86,18.64,52.23,42.2,100.0,50,75.0,100.0,15,1.0,46.72,46.72,Plausible Contributing Factor,True,Material,Opposite direction correlation; Trends frequently move in opposite directions,False,False,,No Contradiction,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_003,kpi_001_kpi_003,HOSP-001,DEPT-ICU,kpi_001,Staffing Level,kpi_003,Bed Occupancy Rate,3.58,8.76,24.5,37.46,33.33,50,50.0,100.0,15,0.92,17.78,16.36,No Supported Relationship,True,Material,Pooled direction differs from most departments; Trends frequently move in opposite directions,True,True,kpi_003,Material,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_004,kpi_001_kpi_004,HOSP-001,DEPT-ICU,kpi_001,Staffing Level,kpi_004,Average Patient Waiting Time,0.0,0.0,50.0,0.0,100.0,50,75.0,0.0,5,1.0,25.0,25.0,Weak Association,True,Minor,Very limited observation count,False,False,,No Contradiction,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_005,kpi_001_kpi_005,HOSP-001,DEPT-ICU,kpi_001,Staffing Level,kpi_005,Patient Complaint Rate,0.0,0.0,50.0,0.0,33.33,50,75.0,0.0,15,0.92,8.33,7.67,No Supported Relationship,True,Material,Pooled direction differs from most departments; Very limited observation count,True,True,kpi_005,Material,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_006,kpi_001_kpi_006,HOSP-001,DEPT-ICU,kpi_001,Staffing Level,kpi_006,Patient Satisfaction Score,2.29,5.48,27.27,35.66,0.0,50,75.0,100.0,15,1.0,16.44,16.44,No Supported Relationship,True,Material,Pooled direction differs from most departments; Trends frequently move in opposite directions,False,False,,No Contradiction,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_002-kpi_003,kpi_002_kpi_003,HOSP-001,DEPT-ICU,kpi_002,Staff Absenteeism Rate,kpi_003,Bed Occupancy Rate,7.34,9.86,25.98,37.95,66.67,50,50.0,100.0,5,0.92,32.31,29.72,Weak Association,True,Minor,Trends frequently move in opposite directions,True,True,kpi_003,Material,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_002-kpi_004,kpi_002_kpi_004,HOSP-001,DEPT-ICU,kpi_002,Staff Absenteeism Rate,kpi_004,Average Patient Waiting Time,0.0,0.0,50.0,0.0,100.0,50,75.0,0.0,5,1.0,25.0,25.0,Weak Association,True,Minor,Very limited observation count,False,False,,No Contradiction,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_002-kpi_005,kpi_002_kpi_005,HOSP-001,DEPT-ICU,kpi_002,Staff Absenteeism Rate,kpi_005,Patient Complaint Rate,0.0,0.0,50.0,0.0,33.33,50,50.0,0.0,15,0.92,5.83,5.37,No Supported Relationship,True,Material,Pooled direction differs from most departments; Very limited observation count,True,True,kpi_005,Material,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_002-kpi_006,kpi_002_kpi_006,HOSP-001,DEPT-ICU,kpi_002,Staff Absenteeism Rate,kpi_006,Patient Satisfaction Score,3.69,4.38,27.27,36.0,25.0,50,50.0,100.0,15,1.0,16.59,16.59,No Supported Relationship,True,Material,Pooled direction differs from most departments; Trends frequently move in opposite directions,False,False,,No Contradiction,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_003-kpi_004,kpi_003_kpi_004,HOSP-001,DEPT-ICU,kpi_003,Bed Occupancy Rate,kpi_004,Average Patient Waiting Time,0.0,0.0,50.0,0.0,50.0,50,75.0,0.0,5,0.92,20.0,18.4,No Supported Relationship,True,Minor,Very limited observation count,True,True,kpi_003,Material,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_003-kpi_005,kpi_003_kpi_005,HOSP-001,DEPT-ICU,kpi_003,Bed Occupancy Rate,kpi_005,Patient Complaint Rate,0.0,0.0,50.0,0.0,50.0,50,75.0,0.0,5,0.92,20.0,18.4,No Supported Relationship,True,Minor,Very limited observation count,True,True,kpi_003; kpi_005,Material,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_003-kpi_006,kpi_003_kpi_006,HOSP-001,DEPT-ICU,kpi_003,Bed Occupancy Rate,kpi_006,Patient Satisfaction Score,10.54,7.68,32.0,36.85,33.33,50,50.0,100.0,15,0.92,20.08,18.47,No Supported Relationship,True,Material,Pooled direction differs from most departments; Trends frequently move in opposite directions,True,True,kpi_003,Material,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_004-kpi_005,kpi_004_kpi_005,HOSP-001,DEPT-ICU,kpi_004,Average Patient Waiting Time,kpi_005,Patient Complaint Rate,0.0,0.0,0.0,0.0,100.0,50,75.0,0.0,5,0.92,17.5,16.1,No Supported Relationship,True,Minor,Very limited observation count,True,True,kpi_005,Material,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_004-kpi_006,kpi_004_kpi_006,HOSP-001,DEPT-ICU,kpi_004,Average Patient Waiting Time,kpi_006,Patient Satisfaction Score,0.0,0.0,0.0,0.0,100.0,50,75.0,0.0,5,1.0,17.5,17.5,No Supported Relationship,True,Minor,Target frequently precedes source; Very limited observation count,False,False,,No Contradiction,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
