primary_impact_id,scenario_run_id,approval_package_id,episode_id,primary_kpi_id,baseline_primary_kpi_value,scenario_primary_kpi_value,absolute_change,percentage_change,direction_of_change,comparator_type,scenario_family,final_scenario_confidence,impact_classification,effect_direction,evidence_language
PI-SR-BL-EB935D17ADFCF500-COMP-BASE-001,SR-BL-EB935D17ADFCF500-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,EP-HOSP-001-DEPT-ADM-kpi_001-20260410,kpi_001,83.33333333333334,83.33333333333334,0.0,0.0,No Change,Baseline,Staffing Coverage Adjustment,Low,No Material Change,Neutral,analytical approximation
PI-SR-BL-EB935D17ADFCF500-COMP-CONS-001,SR-BL-EB935D17ADFCF500-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,EP-HOSP-001-DEPT-ADM-kpi_001-20260410,kpi_001,83.33333333333334,94.44444444444444,2.0,11.1111111111111,Increase,Conservative,Staffing Coverage Adjustment,Low,Moderate Directional Improvement,Improvement,estimated operational change
PI-SR-BL-EB935D17ADFCF500-COMP-EXP-001,SR-BL-EB935D17ADFCF500-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,EP-HOSP-001-DEPT-ADM-kpi_001-20260410,kpi_001,83.33333333333334,100.0,5.0,16.666666666666657,Increase,Expected,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-EB935D17ADFCF500-COMP-HIGH-001,SR-BL-EB935D17ADFCF500-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,EP-HOSP-001-DEPT-ADM-kpi_001-20260410,kpi_001,83.33333333333334,100.0,9.0,16.666666666666657,Increase,Higher Intensity,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-24E8132F23E980FC-COMP-BASE-001,SR-BL-24E8132F23E980FC-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,EP-HOSP-001-DEPT-ADM-kpi_001-20260420,kpi_001,78.57142857142857,78.57142857142857,0.0,0.0,No Change,Baseline,Staffing Coverage Adjustment,Low,No Material Change,Neutral,analytical approximation
PI-SR-BL-24E8132F23E980FC-COMP-CONS-001,SR-BL-24E8132F23E980FC-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,EP-HOSP-001-DEPT-ADM-kpi_001-20260420,kpi_001,78.57142857142857,92.85714285714286,2.0,14.285714285714292,Increase,Conservative,Staffing Coverage Adjustment,Low,Moderate Directional Improvement,Improvement,estimated operational change
PI-SR-BL-24E8132F23E980FC-COMP-EXP-001,SR-BL-24E8132F23E980FC-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,EP-HOSP-001-DEPT-ADM-kpi_001-20260420,kpi_001,78.57142857142857,100.0,5.0,21.42857142857143,Increase,Expected,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-24E8132F23E980FC-COMP-HIGH-001,SR-BL-24E8132F23E980FC-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,EP-HOSP-001-DEPT-ADM-kpi_001-20260420,kpi_001,78.57142857142857,100.0,9.0,21.42857142857143,Increase,Higher Intensity,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-1A12AF7C3E39DADF-COMP-BASE-001,SR-BL-1A12AF7C3E39DADF-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,EP-HOSP-001-DEPT-ADM-kpi_001-20260506,kpi_001,75.0,75.0,0.0,0.0,No Change,Baseline,Staffing Coverage Adjustment,Low,No Material Change,Neutral,analytical approximation
PI-SR-BL-1A12AF7C3E39DADF-COMP-CONS-001,SR-BL-1A12AF7C3E39DADF-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,EP-HOSP-001-DEPT-ADM-kpi_001-20260506,kpi_001,75.0,87.5,2.0,12.5,Increase,Conservative,Staffing Coverage Adjustment,Low,Moderate Directional Improvement,Improvement,estimated operational change
PI-SR-BL-1A12AF7C3E39DADF-COMP-EXP-001,SR-BL-1A12AF7C3E39DADF-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,EP-HOSP-001-DEPT-ADM-kpi_001-20260506,kpi_001,75.0,100.0,5.0,25.0,Increase,Expected,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-1A12AF7C3E39DADF-COMP-HIGH-001,SR-BL-1A12AF7C3E39DADF-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,EP-HOSP-001-DEPT-ADM-kpi_001-20260506,kpi_001,75.0,100.0,9.0,25.0,Increase,Higher Intensity,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-AF5E6D0F3A7F29BE-COMP-BASE-001,SR-BL-AF5E6D0F3A7F29BE-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,EP-HOSP-001-DEPT-ADM-kpi_001-20260602,kpi_001,83.33333333333334,83.33333333333334,0.0,0.0,No Change,Baseline,Staffing Coverage Adjustment,Low,No Material Change,Neutral,analytical approximation
PI-SR-BL-AF5E6D0F3A7F29BE-COMP-CONS-001,SR-BL-AF5E6D0F3A7F29BE-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,EP-HOSP-001-DEPT-ADM-kpi_001-20260602,kpi_001,83.33333333333334,94.44444444444444,2.0,11.1111111111111,Increase,Conservative,Staffing Coverage Adjustment,Low,Moderate Directional Improvement,Improvement,estimated operational change
PI-SR-BL-AF5E6D0F3A7F29BE-COMP-EXP-001,SR-BL-AF5E6D0F3A7F29BE-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,EP-HOSP-001-DEPT-ADM-kpi_001-20260602,kpi_001,83.33333333333334,100.0,5.0,16.666666666666657,Increase,Expected,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-AF5E6D0F3A7F29BE-COMP-HIGH-001,SR-BL-AF5E6D0F3A7F29BE-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,EP-HOSP-001-DEPT-ADM-kpi_001-20260602,kpi_001,83.33333333333334,100.0,9.0,16.666666666666657,Increase,Higher Intensity,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-CAC926848EDEB1B6-COMP-BASE-001,SR-BL-CAC926848EDEB1B6-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,EP-HOSP-001-DEPT-ADM-kpi_001-20260608,kpi_001,75.0,75.0,0.0,0.0,No Change,Baseline,Staffing Coverage Adjustment,Low,No Material Change,Neutral,analytical approximation
PI-SR-BL-CAC926848EDEB1B6-COMP-CONS-001,SR-BL-CAC926848EDEB1B6-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,EP-HOSP-001-DEPT-ADM-kpi_001-20260608,kpi_001,75.0,87.5,2.0,12.5,Increase,Conservative,Staffing Coverage Adjustment,Low,Moderate Directional Improvement,Improvement,estimated operational change
PI-SR-BL-CAC926848EDEB1B6-COMP-EXP-001,SR-BL-CAC926848EDEB1B6-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,EP-HOSP-001-DEPT-ADM-kpi_001-20260608,kpi_001,75.0,100.0,5.0,25.0,Increase,Expected,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-CAC926848EDEB1B6-COMP-HIGH-001,SR-BL-CAC926848EDEB1B6-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,EP-HOSP-001-DEPT-ADM-kpi_001-20260608,kpi_001,75.0,100.0,9.0,25.0,Increase,Higher Intensity,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-1E49DB13E2EAA2B1-COMP-BASE-001,SR-BL-1E49DB13E2EAA2B1-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,EP-HOSP-001-DEPT-ADM-kpi_001-20260721,kpi_001,64.70588235294117,64.70588235294117,0.0,0.0,No Change,Baseline,Staffing Coverage Adjustment,Low,No Material Change,Neutral,analytical approximation
PI-SR-BL-1E49DB13E2EAA2B1-COMP-CONS-001,SR-BL-1E49DB13E2EAA2B1-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,EP-HOSP-001-DEPT-ADM-kpi_001-20260721,kpi_001,64.70588235294117,76.47058823529412,2.0,11.764705882352942,Increase,Conservative,Staffing Coverage Adjustment,Low,Moderate Directional Improvement,Improvement,estimated operational change
PI-SR-BL-1E49DB13E2EAA2B1-COMP-EXP-001,SR-BL-1E49DB13E2EAA2B1-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,EP-HOSP-001-DEPT-ADM-kpi_001-20260721,kpi_001,64.70588235294117,94.11764705882352,5.0,29.411764705882348,Increase,Expected,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-1E49DB13E2EAA2B1-COMP-HIGH-001,SR-BL-1E49DB13E2EAA2B1-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,EP-HOSP-001-DEPT-ADM-kpi_001-20260721,kpi_001,64.70588235294117,100.0,9.0,35.294117647058826,Increase,Higher Intensity,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-A75EBEA50E13F73B-COMP-BASE-001,SR-BL-A75EBEA50E13F73B-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,EP-HOSP-001-DEPT-ADM-kpi_001-20260726,kpi_001,72.22222222222221,72.22222222222221,0.0,0.0,No Change,Baseline,Staffing Coverage Adjustment,Low,No Material Change,Neutral,analytical approximation
PI-SR-BL-A75EBEA50E13F73B-COMP-CONS-001,SR-BL-A75EBEA50E13F73B-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,EP-HOSP-001-DEPT-ADM-kpi_001-20260726,kpi_001,72.22222222222221,83.33333333333334,2.0,11.111111111111128,Increase,Conservative,Staffing Coverage Adjustment,Low,Moderate Directional Improvement,Improvement,estimated operational change
PI-SR-BL-A75EBEA50E13F73B-COMP-EXP-001,SR-BL-A75EBEA50E13F73B-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,EP-HOSP-001-DEPT-ADM-kpi_001-20260726,kpi_001,72.22222222222221,100.0,5.0,27.777777777777786,Increase,Expected,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-A75EBEA50E13F73B-COMP-HIGH-001,SR-BL-A75EBEA50E13F73B-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,EP-HOSP-001-DEPT-ADM-kpi_001-20260726,kpi_001,72.22222222222221,100.0,9.0,27.777777777777786,Increase,Higher Intensity,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-E2B02306C6DE9E93-COMP-BASE-001,SR-BL-E2B02306C6DE9E93-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,EP-HOSP-001-DEPT-ADM-kpi_001-20260822,kpi_001,73.91304347826086,73.91304347826086,0.0,0.0,No Change,Baseline,Staffing Coverage Adjustment,Low,No Material Change,Neutral,analytical approximation
PI-SR-BL-E2B02306C6DE9E93-COMP-CONS-001,SR-BL-E2B02306C6DE9E93-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,EP-HOSP-001-DEPT-ADM-kpi_001-20260822,kpi_001,73.91304347826086,82.6086956521739,2.0,8.695652173913047,Increase,Conservative,Staffing Coverage Adjustment,Low,Moderate Directional Improvement,Improvement,estimated operational change
PI-SR-BL-E2B02306C6DE9E93-COMP-EXP-001,SR-BL-E2B02306C6DE9E93-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,EP-HOSP-001-DEPT-ADM-kpi_001-20260822,kpi_001,73.91304347826086,95.65217391304348,5.0,21.739130434782624,Increase,Expected,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-E2B02306C6DE9E93-COMP-HIGH-001,SR-BL-E2B02306C6DE9E93-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,EP-HOSP-001-DEPT-ADM-kpi_001-20260822,kpi_001,73.91304347826086,100.0,9.0,26.08695652173914,Increase,Higher Intensity,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-391D7921E462CF87-COMP-BASE-001,SR-BL-391D7921E462CF87-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,EP-HOSP-001-DEPT-ADM-kpi_001-20261012,kpi_001,80.95238095238095,80.95238095238095,0.0,0.0,No Change,Baseline,Staffing Coverage Adjustment,Low,No Material Change,Neutral,analytical approximation
PI-SR-BL-391D7921E462CF87-COMP-CONS-001,SR-BL-391D7921E462CF87-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,EP-HOSP-001-DEPT-ADM-kpi_001-20261012,kpi_001,80.95238095238095,90.47619047619048,2.0,9.523809523809533,Increase,Conservative,Staffing Coverage Adjustment,Low,Moderate Directional Improvement,Improvement,estimated operational change
PI-SR-BL-391D7921E462CF87-COMP-EXP-001,SR-BL-391D7921E462CF87-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,EP-HOSP-001-DEPT-ADM-kpi_001-20261012,kpi_001,80.95238095238095,100.0,5.0,19.04761904761905,Increase,Expected,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-391D7921E462CF87-COMP-HIGH-001,SR-BL-391D7921E462CF87-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,EP-HOSP-001-DEPT-ADM-kpi_001-20261012,kpi_001,80.95238095238095,100.0,9.0,19.04761904761905,Increase,Higher Intensity,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-B581A76BC79E1F57-COMP-BASE-001,SR-BL-B581A76BC79E1F57-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,EP-HOSP-001-DEPT-ADM-kpi_001-20261021,kpi_001,75.0,75.0,0.0,0.0,No Change,Baseline,Staffing Coverage Adjustment,Low,No Material Change,Neutral,analytical approximation
PI-SR-BL-B581A76BC79E1F57-COMP-CONS-001,SR-BL-B581A76BC79E1F57-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,EP-HOSP-001-DEPT-ADM-kpi_001-20261021,kpi_001,75.0,87.5,2.0,12.5,Increase,Conservative,Staffing Coverage Adjustment,Low,Moderate Directional Improvement,Improvement,estimated operational change
PI-SR-BL-B581A76BC79E1F57-COMP-EXP-001,SR-BL-B581A76BC79E1F57-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,EP-HOSP-001-DEPT-ADM-kpi_001-20261021,kpi_001,75.0,100.0,5.0,25.0,Increase,Expected,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-B581A76BC79E1F57-COMP-HIGH-001,SR-BL-B581A76BC79E1F57-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,EP-HOSP-001-DEPT-ADM-kpi_001-20261021,kpi_001,75.0,100.0,9.0,25.0,Increase,Higher Intensity,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-A8F1AB286327924A-COMP-BASE-001,SR-BL-A8F1AB286327924A-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,EP-HOSP-001-DEPT-ADM-kpi_001-20261127,kpi_001,83.89154704944178,84.12698412698413,0.0,0.23543707754234333,Increase,Baseline,Staffing Coverage Adjustment,Low,No Material Change,Neutral,analytical approximation
PI-SR-BL-A8F1AB286327924A-COMP-CONS-001,SR-BL-A8F1AB286327924A-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,EP-HOSP-001-DEPT-ADM-kpi_001-20261127,kpi_001,83.89154704944178,93.65079365079364,2.0,9.759246601351862,Increase,Conservative,Staffing Coverage Adjustment,Low,Moderate Directional Improvement,Improvement,estimated operational change
PI-SR-BL-A8F1AB286327924A-COMP-EXP-001,SR-BL-A8F1AB286327924A-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,EP-HOSP-001-DEPT-ADM-kpi_001-20261127,kpi_001,83.89154704944178,100.0,5.0,16.108452950558217,Increase,Expected,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-A8F1AB286327924A-COMP-HIGH-001,SR-BL-A8F1AB286327924A-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,EP-HOSP-001-DEPT-ADM-kpi_001-20261127,kpi_001,83.89154704944178,100.0,9.0,16.108452950558217,Increase,Higher Intensity,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-57C70AF120BE0469-COMP-BASE-001,SR-BL-57C70AF120BE0469-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,EP-HOSP-001-DEPT-ADM-kpi_001-20261205,kpi_001,79.94987468671678,80.0,0.0,0.050125313283217565,Increase,Baseline,Staffing Coverage Adjustment,Low,No Material Change,Neutral,analytical approximation
PI-SR-BL-57C70AF120BE0469-COMP-CONS-001,SR-BL-57C70AF120BE0469-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,EP-HOSP-001-DEPT-ADM-kpi_001-20261205,kpi_001,79.94987468671678,90.0,2.0,10.050125313283218,Increase,Conservative,Staffing Coverage Adjustment,Low,Moderate Directional Improvement,Improvement,estimated operational change
PI-SR-BL-57C70AF120BE0469-COMP-EXP-001,SR-BL-57C70AF120BE0469-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,EP-HOSP-001-DEPT-ADM-kpi_001-20261205,kpi_001,79.94987468671678,100.0,5.0,20.050125313283218,Increase,Expected,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-57C70AF120BE0469-COMP-HIGH-001,SR-BL-57C70AF120BE0469-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,EP-HOSP-001-DEPT-ADM-kpi_001-20261205,kpi_001,79.94987468671678,100.0,9.0,20.050125313283218,Increase,Higher Intensity,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-C3F11B1E0C2533F4-COMP-BASE-001,SR-BL-C3F11B1E0C2533F4-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,EP-HOSP-001-DEPT-ADM-kpi_001-20261220,kpi_001,79.28229665071771,79.20792079207921,0.0,-0.07437585863850416,Decrease,Baseline,Staffing Coverage Adjustment,Low,No Material Change,Neutral,analytical approximation
PI-SR-BL-C3F11B1E0C2533F4-COMP-CONS-001,SR-BL-C3F11B1E0C2533F4-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,EP-HOSP-001-DEPT-ADM-kpi_001-20261220,kpi_001,79.28229665071771,89.10891089108911,2.0,9.826614240371399,Increase,Conservative,Staffing Coverage Adjustment,Low,Moderate Directional Improvement,Improvement,estimated operational change
PI-SR-BL-C3F11B1E0C2533F4-COMP-EXP-001,SR-BL-C3F11B1E0C2533F4-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,EP-HOSP-001-DEPT-ADM-kpi_001-20261220,kpi_001,79.28229665071771,100.0,5.0,20.71770334928229,Increase,Expected,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-C3F11B1E0C2533F4-COMP-HIGH-001,SR-BL-C3F11B1E0C2533F4-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,EP-HOSP-001-DEPT-ADM-kpi_001-20261220,kpi_001,79.28229665071771,100.0,9.0,20.71770334928229,Increase,Higher Intensity,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
