watch_record_id,integration_record_id,hospital_id,department_id,reporting_date,kpi_id,trend_direction,operational_trend_interpretation,trend_confidence,sustained_movement_flag,statistical_signal_flag,source_trend_record_id,engine_run_id,processed_at
WCH-884AD04D24C04F44,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260120,HOSP-001,DEPT-ADM,2026-01-20,kpi_001,Sustained Increase,Improving,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260120-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-E7D1C9F669C54845,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260121,HOSP-001,DEPT-ADM,2026-01-21,kpi_001,Sustained Increase,Improving,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260121-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-A8ECFA12EBB6489B,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260122,HOSP-001,DEPT-ADM,2026-01-22,kpi_001,Sustained Increase,Improving,Medium,False,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260122-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-FF2341BB027B489C,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260123,HOSP-001,DEPT-ADM,2026-01-23,kpi_001,Sustained Increase,Improving,Medium,False,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260123-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-FC059604A38F43B6,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260124,HOSP-001,DEPT-ADM,2026-01-24,kpi_001,Sustained Increase,Improving,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260124-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-BA368A20A0AB48D0,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260125,HOSP-001,DEPT-ADM,2026-01-25,kpi_001,Sustained Increase,Improving,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260125-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-8C7EE8B231624D64,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260126,HOSP-001,DEPT-ADM,2026-01-26,kpi_001,Sustained Increase,Improving,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260126-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-8C83A282D3C54BBF,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260127,HOSP-001,DEPT-ADM,2026-01-27,kpi_001,Sustained Increase,Improving,Medium,False,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260127-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-1D8429A90E0648D7,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260128,HOSP-001,DEPT-ADM,2026-01-28,kpi_001,Sustained Increase,Improving,Medium,False,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260128-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-0349C98A42AA4DCA,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260129,HOSP-001,DEPT-ADM,2026-01-29,kpi_001,Sustained Increase,Improving,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260129-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-E6E4D25734344BF5,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260130,HOSP-001,DEPT-ADM,2026-01-30,kpi_001,Sustained Increase,Improving,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260130-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-DAA44F3EDD214CED,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260131,HOSP-001,DEPT-ADM,2026-01-31,kpi_001,Sustained Increase,Improving,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260131-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-30CF3A76DE934451,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260201,HOSP-001,DEPT-ADM,2026-02-01,kpi_001,Sustained Decrease,Deteriorating,Medium,False,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260201-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-E5ED59452E884145,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260202,HOSP-001,DEPT-ADM,2026-02-02,kpi_001,Sustained Increase,Improving,Medium,False,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260202-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-FBF4E96A6A15480A,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260203,HOSP-001,DEPT-ADM,2026-02-03,kpi_001,Sustained Decrease,Deteriorating,Medium,False,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260203-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-0ACDD17660D04432,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260204,HOSP-001,DEPT-ADM,2026-02-04,kpi_001,Sustained Increase,Improving,Medium,False,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260204-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-B6F91FAE5C434D17,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260205,HOSP-001,DEPT-ADM,2026-02-05,kpi_001,Sustained Increase,Improving,Medium,False,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260205-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-53231136FF80466D,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260206,HOSP-001,DEPT-ADM,2026-02-06,kpi_001,Sustained Increase,Improving,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260206-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-19131AC139F84A3C,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260207,HOSP-001,DEPT-ADM,2026-02-07,kpi_001,Sustained Increase,Improving,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260207-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-C91AE62A5883437C,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260208,HOSP-001,DEPT-ADM,2026-02-08,kpi_001,Sustained Increase,Improving,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260208-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-8C47C805B61B4ECF,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260209,HOSP-001,DEPT-ADM,2026-02-09,kpi_001,Sustained Increase,Improving,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260209-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-221D7964BF014FEC,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260210,HOSP-001,DEPT-ADM,2026-02-10,kpi_001,Sustained Increase,Improving,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260210-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-49F4F049AC7542A0,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260211,HOSP-001,DEPT-ADM,2026-02-11,kpi_001,Sustained Decrease,Deteriorating,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260211-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-A6B14B0562E94390,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260212,HOSP-001,DEPT-ADM,2026-02-12,kpi_001,Sustained Increase,Improving,Medium,False,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260212-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-06AFBE28B7784532,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260213,HOSP-001,DEPT-ADM,2026-02-13,kpi_001,Sustained Decrease,Deteriorating,Medium,False,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260213-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-C205D84ECAFC42CD,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260214,HOSP-001,DEPT-ADM,2026-02-14,kpi_001,Sustained Increase,Improving,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260214-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-937818D5CC6342DB,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260215,HOSP-001,DEPT-ADM,2026-02-15,kpi_001,Sustained Decrease,Deteriorating,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260215-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-0CECDEC1CCA4439B,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260216,HOSP-001,DEPT-ADM,2026-02-16,kpi_001,Sustained Decrease,Deteriorating,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260216-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-89F6D8E097234DB9,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260217,HOSP-001,DEPT-ADM,2026-02-17,kpi_001,Sustained Decrease,Deteriorating,Medium,False,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260217-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-9CA2280FCAF54BEF,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260218,HOSP-001,DEPT-ADM,2026-02-18,kpi_001,Sustained Increase,Improving,Medium,False,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260218-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-825993BF5D0C4D88,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260219,HOSP-001,DEPT-ADM,2026-02-19,kpi_001,Sustained Increase,Improving,Medium,False,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260219-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-D8009D742B75444D,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260220,HOSP-001,DEPT-ADM,2026-02-20,kpi_001,Sustained Increase,Improving,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260220-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-5B1BB4FE477E4243,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260221,HOSP-001,DEPT-ADM,2026-02-21,kpi_001,Sustained Increase,Improving,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260221-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-F7775F39B07F4759,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260222,HOSP-001,DEPT-ADM,2026-02-22,kpi_001,Sustained Increase,Improving,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260222-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-A95E81959A24425C,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260223,HOSP-001,DEPT-ADM,2026-02-23,kpi_001,Sustained Increase,Improving,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260223-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-00A7651D7EB449A8,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260224,HOSP-001,DEPT-ADM,2026-02-24,kpi_001,Sustained Increase,Improving,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260224-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-519AB61B8DE846EC,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260225,HOSP-001,DEPT-ADM,2026-02-25,kpi_001,Sustained Increase,Improving,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260225-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-779A08757F484241,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260226,HOSP-001,DEPT-ADM,2026-02-26,kpi_001,Sustained Increase,Improving,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260226-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-639A6213954E4BB2,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260227,HOSP-001,DEPT-ADM,2026-02-27,kpi_001,Sustained Increase,Improving,Medium,False,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260227-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-7B9C2728D43F4AF0,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260228,HOSP-001,DEPT-ADM,2026-02-28,kpi_001,Sustained Increase,Improving,Medium,False,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260228-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-1CEC740A42A84AF9,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260301,HOSP-001,DEPT-ADM,2026-03-01,kpi_001,Sustained Increase,Improving,Medium,False,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260301-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-03FAFAD1AC484269,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260302,HOSP-001,DEPT-ADM,2026-03-02,kpi_001,Sustained Increase,Improving,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260302-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-9519B73DC98D4F8C,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260303,HOSP-001,DEPT-ADM,2026-03-03,kpi_001,Sustained Increase,Improving,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260303-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-3D9170C71AB0429E,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260304,HOSP-001,DEPT-ADM,2026-03-04,kpi_001,Sustained Increase,Improving,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260304-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-72F04A30A28747C0,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260305,HOSP-001,DEPT-ADM,2026-03-05,kpi_001,Sustained Increase,Improving,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260305-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-2057623B03E744FB,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260306,HOSP-001,DEPT-ADM,2026-03-06,kpi_001,Sustained Increase,Improving,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260306-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-0908FC9250B6438B,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260307,HOSP-001,DEPT-ADM,2026-03-07,kpi_001,Sustained Increase,Improving,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260307-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-C508599CC80E451C,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260308,HOSP-001,DEPT-ADM,2026-03-08,kpi_001,Sustained Increase,Improving,Medium,False,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260308-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-861505B5FA844C2F,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260309,HOSP-001,DEPT-ADM,2026-03-09,kpi_001,Sustained Increase,Improving,Medium,False,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260309-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-871E58CEA21744AA,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260310,HOSP-001,DEPT-ADM,2026-03-10,kpi_001,Sustained Increase,Improving,Medium,False,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260310-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-6CD8EDA024384855,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260311,HOSP-001,DEPT-ADM,2026-03-11,kpi_001,Sustained Increase,Improving,Medium,False,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260311-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-7868108A42754C3F,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260312,HOSP-001,DEPT-ADM,2026-03-12,kpi_001,Sustained Increase,Improving,Medium,False,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260312-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-F9B7B5598CF04B36,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260313,HOSP-001,DEPT-ADM,2026-03-13,kpi_001,Sustained Increase,Improving,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260313-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-84B44D7D7C154211,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260314,HOSP-001,DEPT-ADM,2026-03-14,kpi_001,Sustained Decrease,Deteriorating,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260314-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-F9B921939D0C4322,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260315,HOSP-001,DEPT-ADM,2026-03-15,kpi_001,Sustained Decrease,Deteriorating,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260315-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-EFE5ADF48EE0465B,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260316,HOSP-001,DEPT-ADM,2026-03-16,kpi_001,Sustained Decrease,Deteriorating,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260316-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-0EDC320A8AF44FBC,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260317,HOSP-001,DEPT-ADM,2026-03-17,kpi_001,Sustained Increase,Improving,Medium,False,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260317-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-BB516A4A849A4086,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260318,HOSP-001,DEPT-ADM,2026-03-18,kpi_001,Sustained Decrease,Deteriorating,Medium,False,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260318-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-4AD7BF976EDD4716,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260319,HOSP-001,DEPT-ADM,2026-03-19,kpi_001,Sustained Increase,Improving,Medium,False,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260319-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-1D0D87E652CB452F,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260320,HOSP-001,DEPT-ADM,2026-03-20,kpi_001,Sustained Decrease,Deteriorating,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260320-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-0497BD1BB2D8433B,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260321,HOSP-001,DEPT-ADM,2026-03-21,kpi_001,Sustained Decrease,Deteriorating,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260321-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-678C1F025CF648C0,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260322,HOSP-001,DEPT-ADM,2026-03-22,kpi_001,Sustained Increase,Improving,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260322-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-17ECD38C37E54B89,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260323,HOSP-001,DEPT-ADM,2026-03-23,kpi_001,Sustained Increase,Improving,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260323-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
