relationship_record_id,relationship_id,hospital_id,department_id,analysis_period_start,analysis_period_end,source_kpi_id,source_kpi_name,target_kpi_id,target_kpi_name,paired_observation_count,adversity_correlation,adversity_relationship_direction,adversity_relationship_strength,engine_run_id,processed_at,confidence_level
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_001-kpi_006,kpi_001_kpi_006,HOSP-001,DEPT-DIAG,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_006,Patient Satisfaction Score,297,0.0576,None Detected,No Relationship,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_002-kpi_003,kpi_002_kpi_003,HOSP-001,DEPT-DIAG,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_003,Bed Occupancy Rate,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_002-kpi_004,kpi_002_kpi_004,HOSP-001,DEPT-DIAG,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_004,Average Patient Waiting Time,365,0.1286,None Detected,No Relationship,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_002-kpi_005,kpi_002_kpi_005,HOSP-001,DEPT-DIAG,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_005,Patient Complaint Rate,327,-0.0162,None Detected,No Relationship,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_002-kpi_006,kpi_002_kpi_006,HOSP-001,DEPT-DIAG,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_006,Patient Satisfaction Score,297,0.0151,None Detected,No Relationship,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_003-kpi_004,kpi_003_kpi_004,HOSP-001,DEPT-DIAG,2026-01-01,2026-12-31,kpi_003,Bed Occupancy Rate,kpi_004,Average Patient Waiting Time,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_003-kpi_005,kpi_003_kpi_005,HOSP-001,DEPT-DIAG,2026-01-01,2026-12-31,kpi_003,Bed Occupancy Rate,kpi_005,Patient Complaint Rate,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_003-kpi_006,kpi_003_kpi_006,HOSP-001,DEPT-DIAG,2026-01-01,2026-12-31,kpi_003,Bed Occupancy Rate,kpi_006,Patient Satisfaction Score,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_004-kpi_005,kpi_004_kpi_005,HOSP-001,DEPT-DIAG,2026-01-01,2026-12-31,kpi_004,Average Patient Waiting Time,kpi_005,Patient Complaint Rate,327,0.1965,None Detected,Weak,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_004-kpi_006,kpi_004_kpi_006,HOSP-001,DEPT-DIAG,2026-01-01,2026-12-31,kpi_004,Average Patient Waiting Time,kpi_006,Patient Satisfaction Score,297,0.202,Positive,Weak,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_005-kpi_006,kpi_005_kpi_006,HOSP-001,DEPT-DIAG,2026-01-01,2026-12-31,kpi_005,Patient Complaint Rate,kpi_006,Patient Satisfaction Score,297,0.0595,None Detected,No Relationship,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_001-kpi_002,kpi_001_kpi_002,HOSP-001,DEPT-ED,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_002,Staff Absenteeism Rate,365,0.7068,Positive,Strong,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_001-kpi_003,kpi_001_kpi_003,HOSP-001,DEPT-ED,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_003,Bed Occupancy Rate,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_001-kpi_004,kpi_001_kpi_004,HOSP-001,DEPT-ED,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_004,Average Patient Waiting Time,365,0.1864,None Detected,Weak,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_001-kpi_005,kpi_001_kpi_005,HOSP-001,DEPT-ED,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_005,Patient Complaint Rate,324,0.071,None Detected,No Relationship,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_001-kpi_006,kpi_001_kpi_006,HOSP-001,DEPT-ED,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_006,Patient Satisfaction Score,305,0.0975,None Detected,No Relationship,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_002-kpi_003,kpi_002_kpi_003,HOSP-001,DEPT-ED,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_003,Bed Occupancy Rate,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_002-kpi_004,kpi_002_kpi_004,HOSP-001,DEPT-ED,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_004,Average Patient Waiting Time,365,0.3063,Positive,Weak,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_002-kpi_005,kpi_002_kpi_005,HOSP-001,DEPT-ED,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_005,Patient Complaint Rate,324,0.0072,None Detected,No Relationship,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_002-kpi_006,kpi_002_kpi_006,HOSP-001,DEPT-ED,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_006,Patient Satisfaction Score,305,0.1276,None Detected,No Relationship,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_003-kpi_004,kpi_003_kpi_004,HOSP-001,DEPT-ED,2026-01-01,2026-12-31,kpi_003,Bed Occupancy Rate,kpi_004,Average Patient Waiting Time,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_003-kpi_005,kpi_003_kpi_005,HOSP-001,DEPT-ED,2026-01-01,2026-12-31,kpi_003,Bed Occupancy Rate,kpi_005,Patient Complaint Rate,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_003-kpi_006,kpi_003_kpi_006,HOSP-001,DEPT-ED,2026-01-01,2026-12-31,kpi_003,Bed Occupancy Rate,kpi_006,Patient Satisfaction Score,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_004-kpi_005,kpi_004_kpi_005,HOSP-001,DEPT-ED,2026-01-01,2026-12-31,kpi_004,Average Patient Waiting Time,kpi_005,Patient Complaint Rate,324,0.1224,None Detected,No Relationship,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_004-kpi_006,kpi_004_kpi_006,HOSP-001,DEPT-ED,2026-01-01,2026-12-31,kpi_004,Average Patient Waiting Time,kpi_006,Patient Satisfaction Score,305,0.2607,Positive,Weak,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_005-kpi_006,kpi_005_kpi_006,HOSP-001,DEPT-ED,2026-01-01,2026-12-31,kpi_005,Patient Complaint Rate,kpi_006,Patient Satisfaction Score,305,-0.0203,None Detected,No Relationship,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_002,kpi_001_kpi_002,HOSP-001,DEPT-ICU,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_002,Staff Absenteeism Rate,365,0.7186,Positive,Strong,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_003,kpi_001_kpi_003,HOSP-001,DEPT-ICU,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_003,Bed Occupancy Rate,365,0.0358,None Detected,No Relationship,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_004,kpi_001_kpi_004,HOSP-001,DEPT-ICU,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_004,Average Patient Waiting Time,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_005,kpi_001_kpi_005,HOSP-001,DEPT-ICU,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_005,Patient Complaint Rate,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_006,kpi_001_kpi_006,HOSP-001,DEPT-ICU,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_006,Patient Satisfaction Score,280,0.0229,None Detected,No Relationship,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_002-kpi_003,kpi_002_kpi_003,HOSP-001,DEPT-ICU,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_003,Bed Occupancy Rate,365,0.0734,None Detected,No Relationship,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_002-kpi_004,kpi_002_kpi_004,HOSP-001,DEPT-ICU,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_004,Average Patient Waiting Time,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_002-kpi_005,kpi_002_kpi_005,HOSP-001,DEPT-ICU,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_005,Patient Complaint Rate,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_002-kpi_006,kpi_002_kpi_006,HOSP-001,DEPT-ICU,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_006,Patient Satisfaction Score,280,0.0369,None Detected,No Relationship,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_003-kpi_004,kpi_003_kpi_004,HOSP-001,DEPT-ICU,2026-01-01,2026-12-31,kpi_003,Bed Occupancy Rate,kpi_004,Average Patient Waiting Time,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_003-kpi_005,kpi_003_kpi_005,HOSP-001,DEPT-ICU,2026-01-01,2026-12-31,kpi_003,Bed Occupancy Rate,kpi_005,Patient Complaint Rate,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_003-kpi_006,kpi_003_kpi_006,HOSP-001,DEPT-ICU,2026-01-01,2026-12-31,kpi_003,Bed Occupancy Rate,kpi_006,Patient Satisfaction Score,280,0.1054,None Detected,No Relationship,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_004-kpi_005,kpi_004_kpi_005,HOSP-001,DEPT-ICU,2026-01-01,2026-12-31,kpi_004,Average Patient Waiting Time,kpi_005,Patient Complaint Rate,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_004-kpi_006,kpi_004_kpi_006,HOSP-001,DEPT-ICU,2026-01-01,2026-12-31,kpi_004,Average Patient Waiting Time,kpi_006,Patient Satisfaction Score,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_005-kpi_006,kpi_005_kpi_006,HOSP-001,DEPT-ICU,2026-01-01,2026-12-31,kpi_005,Patient Complaint Rate,kpi_006,Patient Satisfaction Score,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_001-kpi_002,kpi_001_kpi_002,HOSP-001,DEPT-MED,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_002,Staff Absenteeism Rate,365,0.665,Positive,Strong,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_001-kpi_003,kpi_001_kpi_003,HOSP-001,DEPT-MED,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_003,Bed Occupancy Rate,365,0.1346,None Detected,No Relationship,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_001-kpi_004,kpi_001_kpi_004,HOSP-001,DEPT-MED,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_004,Average Patient Waiting Time,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_001-kpi_005,kpi_001_kpi_005,HOSP-001,DEPT-MED,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_005,Patient Complaint Rate,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_001-kpi_006,kpi_001_kpi_006,HOSP-001,DEPT-MED,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_006,Patient Satisfaction Score,296,0.0213,None Detected,No Relationship,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_002-kpi_003,kpi_002_kpi_003,HOSP-001,DEPT-MED,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_003,Bed Occupancy Rate,365,0.1377,None Detected,No Relationship,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_002-kpi_004,kpi_002_kpi_004,HOSP-001,DEPT-MED,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_004,Average Patient Waiting Time,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_002-kpi_005,kpi_002_kpi_005,HOSP-001,DEPT-MED,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_005,Patient Complaint Rate,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_002-kpi_006,kpi_002_kpi_006,HOSP-001,DEPT-MED,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_006,Patient Satisfaction Score,296,0.0496,None Detected,No Relationship,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_003-kpi_004,kpi_003_kpi_004,HOSP-001,DEPT-MED,2026-01-01,2026-12-31,kpi_003,Bed Occupancy Rate,kpi_004,Average Patient Waiting Time,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_003-kpi_005,kpi_003_kpi_005,HOSP-001,DEPT-MED,2026-01-01,2026-12-31,kpi_003,Bed Occupancy Rate,kpi_005,Patient Complaint Rate,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_003-kpi_006,kpi_003_kpi_006,HOSP-001,DEPT-MED,2026-01-01,2026-12-31,kpi_003,Bed Occupancy Rate,kpi_006,Patient Satisfaction Score,296,0.0649,None Detected,No Relationship,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_004-kpi_005,kpi_004_kpi_005,HOSP-001,DEPT-MED,2026-01-01,2026-12-31,kpi_004,Average Patient Waiting Time,kpi_005,Patient Complaint Rate,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_004-kpi_006,kpi_004_kpi_006,HOSP-001,DEPT-MED,2026-01-01,2026-12-31,kpi_004,Average Patient Waiting Time,kpi_006,Patient Satisfaction Score,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_005-kpi_006,kpi_005_kpi_006,HOSP-001,DEPT-MED,2026-01-01,2026-12-31,kpi_005,Patient Complaint Rate,kpi_006,Patient Satisfaction Score,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_001-kpi_002,kpi_001_kpi_002,HOSP-001,DEPT-OPC,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_002,Staff Absenteeism Rate,365,0.7174,Positive,Strong,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_001-kpi_003,kpi_001_kpi_003,HOSP-001,DEPT-OPC,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_003,Bed Occupancy Rate,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_001-kpi_004,kpi_001_kpi_004,HOSP-001,DEPT-OPC,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_004,Average Patient Waiting Time,365,0.1379,None Detected,No Relationship,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_001-kpi_005,kpi_001_kpi_005,HOSP-001,DEPT-OPC,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_005,Patient Complaint Rate,333,0.1006,None Detected,No Relationship,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_001-kpi_006,kpi_001_kpi_006,HOSP-001,DEPT-OPC,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_006,Patient Satisfaction Score,303,0.0722,None Detected,No Relationship,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_002-kpi_003,kpi_002_kpi_003,HOSP-001,DEPT-OPC,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_003,Bed Occupancy Rate,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
