relationship_record_id,relationship_id,hospital_id,department_id,analysis_period_start,analysis_period_end,source_kpi_id,source_kpi_name,target_kpi_id,target_kpi_name,grain,possible_observation_count,paired_observation_count,paired_availability_rate,sufficiency_status,pearson_correlation,spearman_correlation,pearson_pvalue,spearman_pvalue,raw_relationship_direction,raw_relationship_strength,adversity_correlation,adversity_relationship_direction,adversity_relationship_strength,direction_agreement_rate,both_assessable_count,both_green_count,either_amber_count,both_amber_or_worse_count,either_red_or_worse_count,both_red_or_worse_count,adverse_cooccurrence_rate,conditional_adverse_rate,reverse_conditional_adverse_rate,trend_agreement_rate,both_deteriorating_count,opposing_trend_count,engine_run_id,processed_at,issue_flag,confidence_level
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_004-kpi_006,kpi_004_kpi_006,HOSP-001,DEPT-ADM,2026-01-01,2026-12-31,kpi_004,Average Patient Waiting Time,kpi_006,Patient Satisfaction Score,department,365,0,0.0,Insufficient,,,,,Insufficient Evidence,Insufficient Evidence,,Insufficient Evidence,Insufficient Evidence,,365,0,19,0,30,0,0.0,,0.0,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368,False,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_005-kpi_006,kpi_005_kpi_006,HOSP-001,DEPT-ADM,2026-01-01,2026-12-31,kpi_005,Patient Complaint Rate,kpi_006,Patient Satisfaction Score,department,365,0,0.0,Insufficient,,,,,Insufficient Evidence,Insufficient Evidence,,Insufficient Evidence,Insufficient Evidence,,365,0,19,0,30,0,0.0,,0.0,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368,False,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_001-kpi_002,kpi_001_kpi_002,HOSP-001,DEPT-DIAG,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_002,Staff Absenteeism Rate,department,365,365,1.0,Sufficient,-0.6306,-0.6062,0.0,0.0,Negative,Strong,0.6306,Positive,Strong,0.2115,365,251,67,44,61,17,0.1205,0.6471,0.4889,0.4269,466,368,RELCF-20260728043649,2026-07-28T04:36:50.467368,False,High
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_001-kpi_003,kpi_001_kpi_003,HOSP-001,DEPT-DIAG,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_003,Bed Occupancy Rate,department,365,0,0.0,Insufficient,,,,,Insufficient Evidence,Insufficient Evidence,,Insufficient Evidence,Insufficient Evidence,,365,0,33,0,35,0,0.0,0.0,,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368,False,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_001-kpi_004,kpi_001_kpi_004,HOSP-001,DEPT-DIAG,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_004,Average Patient Waiting Time,department,365,365,1.0,Sufficient,-0.1573,-0.1472,0.002574,0.00483,None Detected,Weak,0.1573,None Detected,Weak,0.478,365,239,70,18,66,6,0.0493,0.2647,0.2368,0.3781,370,666,RELCF-20260728043649,2026-07-28T04:36:50.467368,False,High
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_001-kpi_005,kpi_001_kpi_005,HOSP-001,DEPT-DIAG,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_005,Patient Complaint Rate,department,365,327,0.8959,Sufficient,-0.0167,-0.0113,0.763758,0.838007,None Detected,No Relationship,0.0167,None Detected,No Relationship,0.365,365,150,105,33,95,7,0.0904,0.4853,0.2245,0.3419,210,463,RELCF-20260728043649,2026-07-28T04:36:50.467368,False,High
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_001-kpi_006,kpi_001_kpi_006,HOSP-001,DEPT-DIAG,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_006,Patient Satisfaction Score,department,365,297,0.8137,Sufficient,0.0576,0.0656,0.322521,0.259651,None Detected,No Relationship,0.0576,None Detected,No Relationship,0.3581,365,207,46,14,61,3,0.0384,0.2059,0.2979,0.3546,241,517,RELCF-20260728043649,2026-07-28T04:36:50.467368,False,High
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_002-kpi_003,kpi_002_kpi_003,HOSP-001,DEPT-DIAG,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_003,Bed Occupancy Rate,department,365,0,0.0,Insufficient,,,,,Insufficient Evidence,Insufficient Evidence,,Insufficient Evidence,Insufficient Evidence,,365,0,47,0,43,0,0.0,0.0,,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368,False,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_002-kpi_004,kpi_002_kpi_004,HOSP-001,DEPT-DIAG,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_004,Average Patient Waiting Time,department,365,365,1.0,Sufficient,0.1286,0.1269,0.013963,0.015293,None Detected,No Relationship,0.1286,None Detected,No Relationship,0.4176,365,222,80,23,75,5,0.063,0.2556,0.3026,0.3682,333,720,RELCF-20260728043649,2026-07-28T04:36:50.467368,False,High
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_002-kpi_005,kpi_002_kpi_005,HOSP-001,DEPT-DIAG,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_005,Patient Complaint Rate,department,365,327,0.8959,Sufficient,-0.0162,-0.0107,0.771019,0.846541,None Detected,No Relationship,-0.0162,None Detected,No Relationship,0.3037,365,128,121,30,102,8,0.0822,0.3333,0.2041,0.3427,203,462,RELCF-20260728043649,2026-07-28T04:36:50.467368,False,High
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_002-kpi_006,kpi_002_kpi_006,HOSP-001,DEPT-DIAG,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_006,Patient Satisfaction Score,department,365,297,0.8137,Sufficient,-0.0151,-0.0296,0.795733,0.610849,None Detected,No Relationship,0.0151,None Detected,No Relationship,0.3446,365,191,60,14,71,1,0.0384,0.1556,0.2979,0.3613,249,486,RELCF-20260728043649,2026-07-28T04:36:50.467368,False,High
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_003-kpi_004,kpi_003_kpi_004,HOSP-001,DEPT-DIAG,2026-01-01,2026-12-31,kpi_003,Bed Occupancy Rate,kpi_004,Average Patient Waiting Time,department,365,0,0.0,Insufficient,,,,,Insufficient Evidence,Insufficient Evidence,,Insufficient Evidence,Insufficient Evidence,,365,0,39,0,37,0,0.0,,0.0,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368,False,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_003-kpi_005,kpi_003_kpi_005,HOSP-001,DEPT-DIAG,2026-01-01,2026-12-31,kpi_003,Bed Occupancy Rate,kpi_005,Patient Complaint Rate,department,365,0,0.0,Insufficient,,,,,Insufficient Evidence,Insufficient Evidence,,Insufficient Evidence,Insufficient Evidence,,365,0,80,0,67,0,0.0,,0.0,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368,False,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_003-kpi_006,kpi_003_kpi_006,HOSP-001,DEPT-DIAG,2026-01-01,2026-12-31,kpi_003,Bed Occupancy Rate,kpi_006,Patient Satisfaction Score,department,365,0,0.0,Insufficient,,,,,Insufficient Evidence,Insufficient Evidence,,Insufficient Evidence,Insufficient Evidence,,365,0,18,0,29,0,0.0,,0.0,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368,False,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_004-kpi_005,kpi_004_kpi_005,HOSP-001,DEPT-DIAG,2026-01-01,2026-12-31,kpi_004,Average Patient Waiting Time,kpi_005,Patient Complaint Rate,department,365,327,0.8959,Sufficient,0.1965,0.1309,0.000351,0.017895,None Detected,Weak,0.1965,None Detected,Weak,0.3497,365,150,109,36,93,11,0.0986,0.4737,0.2449,0.3454,243,453,RELCF-20260728043649,2026-07-28T04:36:50.467368,False,High
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_004-kpi_006,kpi_004_kpi_006,HOSP-001,DEPT-DIAG,2026-01-01,2026-12-31,kpi_004,Average Patient Waiting Time,kpi_006,Patient Satisfaction Score,department,365,297,0.8137,Sufficient,-0.202,-0.1992,0.000461,0.000554,Negative,Weak,0.202,Positive,Weak,0.4257,365,211,53,17,63,3,0.0466,0.2237,0.3617,0.3587,274,512,RELCF-20260728043649,2026-07-28T04:36:50.467368,False,High
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_005-kpi_006,kpi_005_kpi_006,HOSP-001,DEPT-DIAG,2026-01-01,2026-12-31,kpi_005,Patient Complaint Rate,kpi_006,Patient Satisfaction Score,department,365,297,0.8137,Sufficient,-0.0595,-0.0468,0.306906,0.421325,None Detected,No Relationship,0.0595,None Detected,No Relationship,0.2635,365,145,91,20,92,4,0.0548,0.1361,0.4255,0.3326,156,412,RELCF-20260728043649,2026-07-28T04:36:50.467368,False,High
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_001-kpi_002,kpi_001_kpi_002,HOSP-001,DEPT-ED,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_002,Staff Absenteeism Rate,department,365,365,1.0,Sufficient,-0.7068,-0.6634,0.0,0.0,Negative,Strong,0.7068,Positive,Strong,0.1593,365,271,56,38,48,20,0.1041,0.5758,0.5758,0.4217,472,315,RELCF-20260728043649,2026-07-28T04:36:50.467368,False,High
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_001-kpi_003,kpi_001_kpi_003,HOSP-001,DEPT-ED,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_003,Bed Occupancy Rate,department,365,0,0.0,Insufficient,,,,,Insufficient Evidence,Insufficient Evidence,,Insufficient Evidence,Insufficient Evidence,,365,0,34,0,32,0,0.0,0.0,,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368,False,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_001-kpi_004,kpi_001_kpi_004,HOSP-001,DEPT-ED,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_004,Average Patient Waiting Time,department,365,365,1.0,Sufficient,-0.1864,-0.1486,0.000344,0.00444,None Detected,Weak,0.1864,None Detected,Weak,0.4203,365,249,67,21,60,6,0.0575,0.3182,0.2958,0.3662,377,730,RELCF-20260728043649,2026-07-28T04:36:50.467368,False,High
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_001-kpi_005,kpi_001_kpi_005,HOSP-001,DEPT-ED,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_005,Patient Complaint Rate,department,365,324,0.8877,Sufficient,-0.071,-0.0382,0.202292,0.493613,None Detected,No Relationship,0.071,None Detected,No Relationship,0.2786,365,241,52,8,39,3,0.0219,0.1212,0.2581,0.3256,160,410,RELCF-20260728043649,2026-07-28T04:36:50.467368,False,High
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_001-kpi_006,kpi_001_kpi_006,HOSP-001,DEPT-ED,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_006,Patient Satisfaction Score,department,365,305,0.8356,Sufficient,0.0975,0.0781,0.089161,0.173633,None Detected,No Relationship,0.0975,None Detected,No Relationship,0.3849,365,209,52,11,59,4,0.0301,0.1667,0.2157,0.3504,239,524,RELCF-20260728043649,2026-07-28T04:36:50.467368,False,High
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_002-kpi_003,kpi_002_kpi_003,HOSP-001,DEPT-ED,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_003,Bed Occupancy Rate,department,365,0,0.0,Insufficient,,,,,Insufficient Evidence,Insufficient Evidence,,Insufficient Evidence,Insufficient Evidence,,365,0,30,0,36,0,0.0,0.0,,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368,False,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_002-kpi_004,kpi_002_kpi_004,HOSP-001,DEPT-ED,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_004,Average Patient Waiting Time,department,365,365,1.0,Sufficient,0.3063,0.2671,0.0,0.0,Positive,Weak,0.3063,Positive,Weak,0.4093,365,257,61,29,62,8,0.0795,0.4394,0.4085,0.3603,346,686,RELCF-20260728043649,2026-07-28T04:36:50.467368,False,High
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_002-kpi_005,kpi_002_kpi_005,HOSP-001,DEPT-ED,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_005,Patient Complaint Rate,department,365,324,0.8877,Sufficient,0.0072,-0.0128,0.897045,0.818237,None Detected,No Relationship,0.0072,None Detected,No Relationship,0.2848,365,241,49,8,44,2,0.0219,0.1212,0.2581,0.3246,145,401,RELCF-20260728043649,2026-07-28T04:36:50.467368,False,High
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_002-kpi_006,kpi_002_kpi_006,HOSP-001,DEPT-ED,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_006,Patient Satisfaction Score,department,365,305,0.8356,Sufficient,-0.1276,-0.1189,0.025835,0.037988,None Detected,No Relationship,0.1276,None Detected,No Relationship,0.3191,365,212,48,14,62,5,0.0384,0.2121,0.2745,0.3508,242,475,RELCF-20260728043649,2026-07-28T04:36:50.467368,False,High
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_003-kpi_004,kpi_003_kpi_004,HOSP-001,DEPT-ED,2026-01-01,2026-12-31,kpi_003,Bed Occupancy Rate,kpi_004,Average Patient Waiting Time,department,365,0,0.0,Insufficient,,,,,Insufficient Evidence,Insufficient Evidence,,Insufficient Evidence,Insufficient Evidence,,365,0,37,0,34,0,0.0,,0.0,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368,False,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_003-kpi_005,kpi_003_kpi_005,HOSP-001,DEPT-ED,2026-01-01,2026-12-31,kpi_003,Bed Occupancy Rate,kpi_005,Patient Complaint Rate,department,365,0,0.0,Insufficient,,,,,Insufficient Evidence,Insufficient Evidence,,Insufficient Evidence,Insufficient Evidence,,365,0,21,0,10,0,0.0,,0.0,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368,False,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_003-kpi_006,kpi_003_kpi_006,HOSP-001,DEPT-ED,2026-01-01,2026-12-31,kpi_003,Bed Occupancy Rate,kpi_006,Patient Satisfaction Score,department,365,0,0.0,Insufficient,,,,,Insufficient Evidence,Insufficient Evidence,,Insufficient Evidence,Insufficient Evidence,,365,0,20,0,31,0,0.0,,0.0,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368,False,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_004-kpi_005,kpi_004_kpi_005,HOSP-001,DEPT-ED,2026-01-01,2026-12-31,kpi_004,Average Patient Waiting Time,kpi_005,Patient Complaint Rate,department,365,324,0.8877,Sufficient,0.1224,0.0776,0.027606,0.163409,None Detected,No Relationship,0.1224,None Detected,No Relationship,0.387,365,239,52,13,43,1,0.0356,0.1831,0.4194,0.3358,221,360,RELCF-20260728043649,2026-07-28T04:36:50.467368,False,High
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_004-kpi_006,kpi_004_kpi_006,HOSP-001,DEPT-ED,2026-01-01,2026-12-31,kpi_004,Average Patient Waiting Time,kpi_006,Patient Satisfaction Score,department,365,305,0.8356,Sufficient,-0.2607,-0.2298,4e-06,5.1e-05,Negative,Weak,0.2607,Positive,Weak,0.4309,365,213,51,20,58,7,0.0548,0.2817,0.3922,0.3558,295,510,RELCF-20260728043649,2026-07-28T04:36:50.467368,False,High
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_005-kpi_006,kpi_005_kpi_006,HOSP-001,DEPT-ED,2026-01-01,2026-12-31,kpi_005,Patient Complaint Rate,kpi_006,Patient Satisfaction Score,department,365,305,0.8356,Sufficient,0.0203,0.0422,0.724173,0.462765,None Detected,No Relationship,-0.0203,None Detected,No Relationship,0.3059,365,231,40,5,40,1,0.0137,0.1613,0.098,0.3274,126,344,RELCF-20260728043649,2026-07-28T04:36:50.467368,False,High
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_002,kpi_001_kpi_002,HOSP-001,DEPT-ICU,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_002,Staff Absenteeism Rate,department,365,365,1.0,Sufficient,-0.7186,-0.6704,0.0,0.0,Negative,Strong,0.7186,Positive,Strong,0.1593,365,273,63,34,41,14,0.0932,0.5312,0.5484,0.422,463,390,RELCF-20260728043649,2026-07-28T04:36:50.467368,False,High
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_003,kpi_001_kpi_003,HOSP-001,DEPT-ICU,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_003,Bed Occupancy Rate,department,365,365,1.0,Sufficient,-0.152,-0.1305,0.003607,0.012561,None Detected,Weak,0.0358,None Detected,No Relationship,0.3819,365,0,36,16,65,6,0.0438,0.25,0.1702,0.3746,359,656,RELCF-20260728043649,2026-07-28T04:36:50.467368,False,High
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_004,kpi_001_kpi_004,HOSP-001,DEPT-ICU,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_004,Average Patient Waiting Time,department,365,0,0.0,Insufficient,,,,,Insufficient Evidence,Insufficient Evidence,,Insufficient Evidence,Insufficient Evidence,,365,0,36,0,28,0,0.0,0.0,,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368,False,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_005,kpi_001_kpi_005,HOSP-001,DEPT-ICU,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_005,Patient Complaint Rate,department,365,0,0.0,Insufficient,,,,,Insufficient Evidence,Insufficient Evidence,,Insufficient Evidence,Insufficient Evidence,,365,0,36,0,28,0,0.0,0.0,,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368,False,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_006,kpi_001_kpi_006,HOSP-001,DEPT-ICU,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_006,Patient Satisfaction Score,department,365,280,0.7671,Sufficient,0.0229,0.0066,0.703348,0.912873,None Detected,No Relationship,0.0229,None Detected,No Relationship,0.3907,365,202,50,10,55,1,0.0274,0.1562,0.2222,0.3566,221,501,RELCF-20260728043649,2026-07-28T04:36:50.467368,False,High
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_002-kpi_003,kpi_002_kpi_003,HOSP-001,DEPT-ICU,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_003,Bed Occupancy Rate,department,365,365,1.0,Sufficient,0.2008,0.1646,0.000112,0.001604,Positive,Weak,0.0734,None Detected,No Relationship,0.4368,365,0,35,18,61,9,0.0493,0.2903,0.1915,0.3795,383,631,RELCF-20260728043649,2026-07-28T04:36:50.467368,False,High
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_002-kpi_004,kpi_002_kpi_004,HOSP-001,DEPT-ICU,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_004,Average Patient Waiting Time,department,365,0,0.0,Insufficient,,,,,Insufficient Evidence,Insufficient Evidence,,Insufficient Evidence,Insufficient Evidence,,365,0,35,0,27,0,0.0,0.0,,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368,False,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_002-kpi_005,kpi_002_kpi_005,HOSP-001,DEPT-ICU,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_005,Patient Complaint Rate,department,365,0,0.0,Insufficient,,,,,Insufficient Evidence,Insufficient Evidence,,Insufficient Evidence,Insufficient Evidence,,365,0,35,0,27,0,0.0,0.0,,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368,False,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_002-kpi_006,kpi_002_kpi_006,HOSP-001,DEPT-ICU,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_006,Patient Satisfaction Score,department,365,280,0.7671,Sufficient,-0.0369,-0.0263,0.538782,0.661245,None Detected,No Relationship,0.0369,None Detected,No Relationship,0.3441,365,196,51,8,54,1,0.0219,0.129,0.1778,0.36,240,482,RELCF-20260728043649,2026-07-28T04:36:50.467368,False,High
