exclusion_id,kpi_id,hospital_id,department_id,reporting_date,reason_code,reason_description,source_record_id,calculation_run_id,_source_domain,integration_exclusion_id,source_exclusion_id,exclusion_origin,integration_run_id
EXC-88E35C5A,kpi_003,HOSP-001,DEPT-ADM,2026-01-11,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260111,PF-KPI-4E7933DFEF21,patient_flow,IEXC-279017CC,EXC-88E35C5A,source_engine,SIX-KPI-8EC2F4190438
EXC-7F1C4E5D,kpi_003,HOSP-001,DEPT-ADM,2026-01-12,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260112,PF-KPI-4E7933DFEF21,patient_flow,IEXC-A8A43BFA,EXC-7F1C4E5D,source_engine,SIX-KPI-8EC2F4190438
EXC-683F15BC,kpi_003,HOSP-001,DEPT-ADM,2026-01-13,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260113,PF-KPI-4E7933DFEF21,patient_flow,IEXC-79B93318,EXC-683F15BC,source_engine,SIX-KPI-8EC2F4190438
EXC-FD847227,kpi_003,HOSP-001,DEPT-ADM,2026-01-14,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260114,PF-KPI-4E7933DFEF21,patient_flow,IEXC-A14D8B64,EXC-FD847227,source_engine,SIX-KPI-8EC2F4190438
EXC-930D914B,kpi_003,HOSP-001,DEPT-ADM,2026-01-15,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260115,PF-KPI-4E7933DFEF21,patient_flow,IEXC-09A825D0,EXC-930D914B,source_engine,SIX-KPI-8EC2F4190438
EXC-6A3EF701,kpi_003,HOSP-001,DEPT-ADM,2026-01-16,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260116,PF-KPI-4E7933DFEF21,patient_flow,IEXC-8C19B7A6,EXC-6A3EF701,source_engine,SIX-KPI-8EC2F4190438
EXC-373EA43A,kpi_003,HOSP-001,DEPT-ADM,2026-01-17,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260117,PF-KPI-4E7933DFEF21,patient_flow,IEXC-738F956A,EXC-373EA43A,source_engine,SIX-KPI-8EC2F4190438
EXC-E7009983,kpi_003,HOSP-001,DEPT-ADM,2026-01-18,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260118,PF-KPI-4E7933DFEF21,patient_flow,IEXC-416D08F7,EXC-E7009983,source_engine,SIX-KPI-8EC2F4190438
EXC-CB178CB4,kpi_003,HOSP-001,DEPT-ADM,2026-01-19,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260119,PF-KPI-4E7933DFEF21,patient_flow,IEXC-CB5BF82B,EXC-CB178CB4,source_engine,SIX-KPI-8EC2F4190438
EXC-3D9AE542,kpi_003,HOSP-001,DEPT-ADM,2026-01-20,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260120,PF-KPI-4E7933DFEF21,patient_flow,IEXC-D64E6658,EXC-3D9AE542,source_engine,SIX-KPI-8EC2F4190438
EXC-3C3A8755,kpi_003,HOSP-001,DEPT-ADM,2026-01-21,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260121,PF-KPI-4E7933DFEF21,patient_flow,IEXC-4A392B25,EXC-3C3A8755,source_engine,SIX-KPI-8EC2F4190438
EXC-071BF005,kpi_003,HOSP-001,DEPT-ADM,2026-01-22,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260122,PF-KPI-4E7933DFEF21,patient_flow,IEXC-6F65891A,EXC-071BF005,source_engine,SIX-KPI-8EC2F4190438
EXC-125DE6F5,kpi_003,HOSP-001,DEPT-ADM,2026-01-23,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260123,PF-KPI-4E7933DFEF21,patient_flow,IEXC-8E4F8032,EXC-125DE6F5,source_engine,SIX-KPI-8EC2F4190438
EXC-6425F1B7,kpi_003,HOSP-001,DEPT-ADM,2026-01-24,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260124,PF-KPI-4E7933DFEF21,patient_flow,IEXC-EE3FF8D1,EXC-6425F1B7,source_engine,SIX-KPI-8EC2F4190438
EXC-919251EE,kpi_003,HOSP-001,DEPT-ADM,2026-01-25,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260125,PF-KPI-4E7933DFEF21,patient_flow,IEXC-B288D5FA,EXC-919251EE,source_engine,SIX-KPI-8EC2F4190438
EXC-BA48EF74,kpi_003,HOSP-001,DEPT-ADM,2026-01-26,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260126,PF-KPI-4E7933DFEF21,patient_flow,IEXC-50CAE080,EXC-BA48EF74,source_engine,SIX-KPI-8EC2F4190438
EXC-243D5C68,kpi_003,HOSP-001,DEPT-ADM,2026-01-27,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260127,PF-KPI-4E7933DFEF21,patient_flow,IEXC-D511DAC0,EXC-243D5C68,source_engine,SIX-KPI-8EC2F4190438
EXC-03F13AED,kpi_003,HOSP-001,DEPT-ADM,2026-01-28,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260128,PF-KPI-4E7933DFEF21,patient_flow,IEXC-1F75223D,EXC-03F13AED,source_engine,SIX-KPI-8EC2F4190438
EXC-14CF3BEC,kpi_003,HOSP-001,DEPT-ADM,2026-01-29,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260129,PF-KPI-4E7933DFEF21,patient_flow,IEXC-61777A98,EXC-14CF3BEC,source_engine,SIX-KPI-8EC2F4190438
EXC-F6A01513,kpi_003,HOSP-001,DEPT-ADM,2026-01-30,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260130,PF-KPI-4E7933DFEF21,patient_flow,IEXC-F020F97D,EXC-F6A01513,source_engine,SIX-KPI-8EC2F4190438
EXC-D7A1B02C,kpi_003,HOSP-001,DEPT-ADM,2026-01-31,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260131,PF-KPI-4E7933DFEF21,patient_flow,IEXC-11D6DF04,EXC-D7A1B02C,source_engine,SIX-KPI-8EC2F4190438
EXC-889ABB14,kpi_003,HOSP-001,DEPT-ADM,2026-02-01,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260201,PF-KPI-4E7933DFEF21,patient_flow,IEXC-3D284601,EXC-889ABB14,source_engine,SIX-KPI-8EC2F4190438
EXC-32EEDA01,kpi_003,HOSP-001,DEPT-ADM,2026-02-02,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260202,PF-KPI-4E7933DFEF21,patient_flow,IEXC-9E6D7380,EXC-32EEDA01,source_engine,SIX-KPI-8EC2F4190438
EXC-DFC2B2D0,kpi_003,HOSP-001,DEPT-ADM,2026-02-03,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260203,PF-KPI-4E7933DFEF21,patient_flow,IEXC-A08F0675,EXC-DFC2B2D0,source_engine,SIX-KPI-8EC2F4190438
EXC-681E7662,kpi_003,HOSP-001,DEPT-ADM,2026-02-04,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260204,PF-KPI-4E7933DFEF21,patient_flow,IEXC-E8B73A2C,EXC-681E7662,source_engine,SIX-KPI-8EC2F4190438
EXC-C0824FC9,kpi_003,HOSP-001,DEPT-ADM,2026-02-05,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260205,PF-KPI-4E7933DFEF21,patient_flow,IEXC-BA9FB58B,EXC-C0824FC9,source_engine,SIX-KPI-8EC2F4190438
EXC-6D1B0F11,kpi_003,HOSP-001,DEPT-ADM,2026-02-06,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260206,PF-KPI-4E7933DFEF21,patient_flow,IEXC-DA75BA9E,EXC-6D1B0F11,source_engine,SIX-KPI-8EC2F4190438
EXC-CDA0FC68,kpi_003,HOSP-001,DEPT-ADM,2026-02-07,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260207,PF-KPI-4E7933DFEF21,patient_flow,IEXC-DF896F1F,EXC-CDA0FC68,source_engine,SIX-KPI-8EC2F4190438
EXC-E9E5BDFF,kpi_003,HOSP-001,DEPT-ADM,2026-02-08,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260208,PF-KPI-4E7933DFEF21,patient_flow,IEXC-330EA719,EXC-E9E5BDFF,source_engine,SIX-KPI-8EC2F4190438
EXC-1522A2D5,kpi_003,HOSP-001,DEPT-ADM,2026-02-09,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260209,PF-KPI-4E7933DFEF21,patient_flow,IEXC-239C37A3,EXC-1522A2D5,source_engine,SIX-KPI-8EC2F4190438
EXC-69191F7A,kpi_003,HOSP-001,DEPT-ADM,2026-02-10,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260210,PF-KPI-4E7933DFEF21,patient_flow,IEXC-A9972130,EXC-69191F7A,source_engine,SIX-KPI-8EC2F4190438
EXC-B9580CCC,kpi_003,HOSP-001,DEPT-ADM,2026-02-11,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260211,PF-KPI-4E7933DFEF21,patient_flow,IEXC-13927007,EXC-B9580CCC,source_engine,SIX-KPI-8EC2F4190438
EXC-426B5E63,kpi_003,HOSP-001,DEPT-ADM,2026-02-12,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260212,PF-KPI-4E7933DFEF21,patient_flow,IEXC-8F1FE7CE,EXC-426B5E63,source_engine,SIX-KPI-8EC2F4190438
EXC-C3C0EFDB,kpi_003,HOSP-001,DEPT-ADM,2026-02-13,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260213,PF-KPI-4E7933DFEF21,patient_flow,IEXC-DEFECA5C,EXC-C3C0EFDB,source_engine,SIX-KPI-8EC2F4190438
EXC-24F3D20D,kpi_003,HOSP-001,DEPT-ADM,2026-02-14,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260214,PF-KPI-4E7933DFEF21,patient_flow,IEXC-9D0B27BD,EXC-24F3D20D,source_engine,SIX-KPI-8EC2F4190438
EXC-FA0D5941,kpi_003,HOSP-001,DEPT-ADM,2026-02-15,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260215,PF-KPI-4E7933DFEF21,patient_flow,IEXC-514CF37A,EXC-FA0D5941,source_engine,SIX-KPI-8EC2F4190438
EXC-B889242E,kpi_003,HOSP-001,DEPT-ADM,2026-02-16,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260216,PF-KPI-4E7933DFEF21,patient_flow,IEXC-2F1149E6,EXC-B889242E,source_engine,SIX-KPI-8EC2F4190438
EXC-388E5F7D,kpi_003,HOSP-001,DEPT-ADM,2026-02-17,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260217,PF-KPI-4E7933DFEF21,patient_flow,IEXC-5C250854,EXC-388E5F7D,source_engine,SIX-KPI-8EC2F4190438
EXC-AA36FBB9,kpi_003,HOSP-001,DEPT-ADM,2026-02-18,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260218,PF-KPI-4E7933DFEF21,patient_flow,IEXC-15B7CB27,EXC-AA36FBB9,source_engine,SIX-KPI-8EC2F4190438
EXC-2D16CEF8,kpi_003,HOSP-001,DEPT-ADM,2026-02-19,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260219,PF-KPI-4E7933DFEF21,patient_flow,IEXC-F53647BB,EXC-2D16CEF8,source_engine,SIX-KPI-8EC2F4190438
EXC-4820D343,kpi_003,HOSP-001,DEPT-ADM,2026-02-20,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260220,PF-KPI-4E7933DFEF21,patient_flow,IEXC-00FF99F4,EXC-4820D343,source_engine,SIX-KPI-8EC2F4190438
EXC-EE77AE26,kpi_003,HOSP-001,DEPT-ADM,2026-02-21,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260221,PF-KPI-4E7933DFEF21,patient_flow,IEXC-10CB06C9,EXC-EE77AE26,source_engine,SIX-KPI-8EC2F4190438
EXC-38249537,kpi_003,HOSP-001,DEPT-ADM,2026-02-22,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260222,PF-KPI-4E7933DFEF21,patient_flow,IEXC-C2A26678,EXC-38249537,source_engine,SIX-KPI-8EC2F4190438
EXC-7EEBE9A9,kpi_003,HOSP-001,DEPT-ADM,2026-02-23,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260223,PF-KPI-4E7933DFEF21,patient_flow,IEXC-A51E365A,EXC-7EEBE9A9,source_engine,SIX-KPI-8EC2F4190438
EXC-21391DB5,kpi_003,HOSP-001,DEPT-ADM,2026-02-24,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260224,PF-KPI-4E7933DFEF21,patient_flow,IEXC-D4A2EB7D,EXC-21391DB5,source_engine,SIX-KPI-8EC2F4190438
EXC-61446CAC,kpi_003,HOSP-001,DEPT-ADM,2026-02-25,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260225,PF-KPI-4E7933DFEF21,patient_flow,IEXC-927933B6,EXC-61446CAC,source_engine,SIX-KPI-8EC2F4190438
EXC-A71C9C9F,kpi_003,HOSP-001,DEPT-ADM,2026-02-26,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260226,PF-KPI-4E7933DFEF21,patient_flow,IEXC-A7E20889,EXC-A71C9C9F,source_engine,SIX-KPI-8EC2F4190438
EXC-4EC34AA1,kpi_003,HOSP-001,DEPT-ADM,2026-02-27,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260227,PF-KPI-4E7933DFEF21,patient_flow,IEXC-7ADDEC02,EXC-4EC34AA1,source_engine,SIX-KPI-8EC2F4190438
EXC-36467794,kpi_003,HOSP-001,DEPT-ADM,2026-02-28,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260228,PF-KPI-4E7933DFEF21,patient_flow,IEXC-A4A7CFC7,EXC-36467794,source_engine,SIX-KPI-8EC2F4190438
EXC-EEDF3DBD,kpi_003,HOSP-001,DEPT-ADM,2026-03-01,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260301,PF-KPI-4E7933DFEF21,patient_flow,IEXC-519A0FA5,EXC-EEDF3DBD,source_engine,SIX-KPI-8EC2F4190438
EXC-488B4484,kpi_003,HOSP-001,DEPT-ADM,2026-03-02,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260302,PF-KPI-4E7933DFEF21,patient_flow,IEXC-51E2481D,EXC-488B4484,source_engine,SIX-KPI-8EC2F4190438
EXC-72BECA99,kpi_003,HOSP-001,DEPT-ADM,2026-03-03,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260303,PF-KPI-4E7933DFEF21,patient_flow,IEXC-2CA8B739,EXC-72BECA99,source_engine,SIX-KPI-8EC2F4190438
EXC-085B6F11,kpi_003,HOSP-001,DEPT-ADM,2026-03-04,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260304,PF-KPI-4E7933DFEF21,patient_flow,IEXC-CDC3605C,EXC-085B6F11,source_engine,SIX-KPI-8EC2F4190438
EXC-B725A7F7,kpi_003,HOSP-001,DEPT-ADM,2026-03-05,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260305,PF-KPI-4E7933DFEF21,patient_flow,IEXC-09624FF4,EXC-B725A7F7,source_engine,SIX-KPI-8EC2F4190438
EXC-C4F7BA40,kpi_003,HOSP-001,DEPT-ADM,2026-03-06,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260306,PF-KPI-4E7933DFEF21,patient_flow,IEXC-680ACFF0,EXC-C4F7BA40,source_engine,SIX-KPI-8EC2F4190438
EXC-BEA2596D,kpi_003,HOSP-001,DEPT-ADM,2026-03-07,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260307,PF-KPI-4E7933DFEF21,patient_flow,IEXC-B116F09E,EXC-BEA2596D,source_engine,SIX-KPI-8EC2F4190438
EXC-47529066,kpi_003,HOSP-001,DEPT-ADM,2026-03-08,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260308,PF-KPI-4E7933DFEF21,patient_flow,IEXC-28DFFFB2,EXC-47529066,source_engine,SIX-KPI-8EC2F4190438
EXC-6D45922F,kpi_003,HOSP-001,DEPT-ADM,2026-03-09,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260309,PF-KPI-4E7933DFEF21,patient_flow,IEXC-1D20A19E,EXC-6D45922F,source_engine,SIX-KPI-8EC2F4190438
EXC-BD87A94A,kpi_003,HOSP-001,DEPT-ADM,2026-03-10,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260310,PF-KPI-4E7933DFEF21,patient_flow,IEXC-70A954D3,EXC-BD87A94A,source_engine,SIX-KPI-8EC2F4190438
EXC-47617D41,kpi_003,HOSP-001,DEPT-ADM,2026-03-11,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260311,PF-KPI-4E7933DFEF21,patient_flow,IEXC-79675F6F,EXC-47617D41,source_engine,SIX-KPI-8EC2F4190438
EXC-337786BF,kpi_003,HOSP-001,DEPT-ADM,2026-03-12,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260312,PF-KPI-4E7933DFEF21,patient_flow,IEXC-A5EE8710,EXC-337786BF,source_engine,SIX-KPI-8EC2F4190438
EXC-F8E23B6F,kpi_003,HOSP-001,DEPT-ADM,2026-03-13,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260313,PF-KPI-4E7933DFEF21,patient_flow,IEXC-2F71BCBA,EXC-F8E23B6F,source_engine,SIX-KPI-8EC2F4190438
EXC-8B9EA389,kpi_003,HOSP-001,DEPT-ADM,2026-03-14,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260314,PF-KPI-4E7933DFEF21,patient_flow,IEXC-74611421,EXC-8B9EA389,source_engine,SIX-KPI-8EC2F4190438
EXC-F9798ECD,kpi_003,HOSP-001,DEPT-ADM,2026-03-15,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260315,PF-KPI-4E7933DFEF21,patient_flow,IEXC-11801205,EXC-F9798ECD,source_engine,SIX-KPI-8EC2F4190438
EXC-5DFCF361,kpi_003,HOSP-001,DEPT-ADM,2026-03-16,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260316,PF-KPI-4E7933DFEF21,patient_flow,IEXC-D82E5243,EXC-5DFCF361,source_engine,SIX-KPI-8EC2F4190438
EXC-45D7C808,kpi_003,HOSP-001,DEPT-ADM,2026-03-17,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260317,PF-KPI-4E7933DFEF21,patient_flow,IEXC-7DC3CF22,EXC-45D7C808,source_engine,SIX-KPI-8EC2F4190438
EXC-8EF37D7A,kpi_003,HOSP-001,DEPT-ADM,2026-03-18,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260318,PF-KPI-4E7933DFEF21,patient_flow,IEXC-E7DDB50E,EXC-8EF37D7A,source_engine,SIX-KPI-8EC2F4190438
EXC-3D4924D7,kpi_003,HOSP-001,DEPT-ADM,2026-03-19,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260319,PF-KPI-4E7933DFEF21,patient_flow,IEXC-EA0E40E5,EXC-3D4924D7,source_engine,SIX-KPI-8EC2F4190438
EXC-0FC101DF,kpi_003,HOSP-001,DEPT-ADM,2026-03-20,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260320,PF-KPI-4E7933DFEF21,patient_flow,IEXC-EC474E28,EXC-0FC101DF,source_engine,SIX-KPI-8EC2F4190438
EXC-CFD05354,kpi_003,HOSP-001,DEPT-ADM,2026-03-21,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260321,PF-KPI-4E7933DFEF21,patient_flow,IEXC-83BD2C78,EXC-CFD05354,source_engine,SIX-KPI-8EC2F4190438
EXC-B69FA00B,kpi_003,HOSP-001,DEPT-ADM,2026-03-22,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260322,PF-KPI-4E7933DFEF21,patient_flow,IEXC-6C9711FD,EXC-B69FA00B,source_engine,SIX-KPI-8EC2F4190438
EXC-E7062178,kpi_003,HOSP-001,DEPT-ADM,2026-03-23,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260323,PF-KPI-4E7933DFEF21,patient_flow,IEXC-CA5D2723,EXC-E7062178,source_engine,SIX-KPI-8EC2F4190438
EXC-8887B3E6,kpi_003,HOSP-001,DEPT-ADM,2026-03-24,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260324,PF-KPI-4E7933DFEF21,patient_flow,IEXC-0C1D15B7,EXC-8887B3E6,source_engine,SIX-KPI-8EC2F4190438
EXC-88285AA7,kpi_003,HOSP-001,DEPT-ADM,2026-03-25,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260325,PF-KPI-4E7933DFEF21,patient_flow,IEXC-BC0535C9,EXC-88285AA7,source_engine,SIX-KPI-8EC2F4190438
EXC-E89967B7,kpi_003,HOSP-001,DEPT-ADM,2026-03-26,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260326,PF-KPI-4E7933DFEF21,patient_flow,IEXC-FC7DFCBC,EXC-E89967B7,source_engine,SIX-KPI-8EC2F4190438
EXC-BD35D017,kpi_003,HOSP-001,DEPT-ADM,2026-03-27,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260327,PF-KPI-4E7933DFEF21,patient_flow,IEXC-D4922087,EXC-BD35D017,source_engine,SIX-KPI-8EC2F4190438
EXC-4E234A3E,kpi_003,HOSP-001,DEPT-ADM,2026-03-28,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260328,PF-KPI-4E7933DFEF21,patient_flow,IEXC-9A3E4769,EXC-4E234A3E,source_engine,SIX-KPI-8EC2F4190438
EXC-2BD6680B,kpi_003,HOSP-001,DEPT-ADM,2026-03-29,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260329,PF-KPI-4E7933DFEF21,patient_flow,IEXC-E6ECA1A9,EXC-2BD6680B,source_engine,SIX-KPI-8EC2F4190438
EXC-44BA841A,kpi_003,HOSP-001,DEPT-ADM,2026-03-30,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260330,PF-KPI-4E7933DFEF21,patient_flow,IEXC-FC0B19AB,EXC-44BA841A,source_engine,SIX-KPI-8EC2F4190438
EXC-98962880,kpi_003,HOSP-001,DEPT-ADM,2026-03-31,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260331,PF-KPI-4E7933DFEF21,patient_flow,IEXC-1E8B6CB6,EXC-98962880,source_engine,SIX-KPI-8EC2F4190438
EXC-2E4D08F8,kpi_003,HOSP-001,DEPT-ADM,2026-04-01,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260401,PF-KPI-4E7933DFEF21,patient_flow,IEXC-9178922B,EXC-2E4D08F8,source_engine,SIX-KPI-8EC2F4190438
EXC-25E3CE65,kpi_003,HOSP-001,DEPT-ADM,2026-04-02,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260402,PF-KPI-4E7933DFEF21,patient_flow,IEXC-E42D7180,EXC-25E3CE65,source_engine,SIX-KPI-8EC2F4190438
