analytical_record_id,kpi_id,evidence_type,source_dataset,source_field,source_value,evidence_role,source_record_id,calculation_run_id
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260106,kpi_005,multiplier,config/kpi_definition_config.csv,formula,1000.0,per_1000_multiplier,,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260106,kpi_006,numerator,processed_operational_daily.csv,survey_score_weighted_sum,7.0,weighted_score_numerator,OPD-HOSP-001-DEPT-ADM-20260106,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260106,kpi_006,denominator,processed_operational_daily.csv,survey_valid_score_record_count,2.0,valid_response_denominator,OPD-HOSP-001-DEPT-ADM-20260106,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260106,kpi_006,scale,config/kpi_definition_config.csv,unit,1-5,score_scale,,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260106,kpi_006,weighting_method,config/kpi_definition_config.csv,formula,weighted_sum / valid_response_count,response_weighting,,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260107,kpi_005,numerator,processed_operational_daily.csv,complaint_valid_record_count,,valid_complaint_count,OPD-HOSP-001-DEPT-ADM-20260107,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260107,kpi_005,denominator,processed_operational_daily.csv,encounter_record_count,,exposure_denominator,OPD-HOSP-001-DEPT-ADM-20260107,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260107,kpi_005,multiplier,config/kpi_definition_config.csv,formula,1000.0,per_1000_multiplier,,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260107,kpi_006,numerator,processed_operational_daily.csv,survey_score_weighted_sum,,weighted_score_numerator,OPD-HOSP-001-DEPT-ADM-20260107,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260107,kpi_006,denominator,processed_operational_daily.csv,survey_valid_score_record_count,,valid_response_denominator,OPD-HOSP-001-DEPT-ADM-20260107,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260107,kpi_006,scale,config/kpi_definition_config.csv,unit,1-5,score_scale,,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260107,kpi_006,weighting_method,config/kpi_definition_config.csv,formula,weighted_sum / valid_response_count,response_weighting,,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260108,kpi_005,numerator,processed_operational_daily.csv,complaint_valid_record_count,,valid_complaint_count,OPD-HOSP-001-DEPT-ADM-20260108,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260108,kpi_005,denominator,processed_operational_daily.csv,encounter_record_count,0.0,exposure_denominator,OPD-HOSP-001-DEPT-ADM-20260108,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260108,kpi_005,multiplier,config/kpi_definition_config.csv,formula,1000.0,per_1000_multiplier,,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260108,kpi_006,numerator,processed_operational_daily.csv,survey_score_weighted_sum,7.0,weighted_score_numerator,OPD-HOSP-001-DEPT-ADM-20260108,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260108,kpi_006,denominator,processed_operational_daily.csv,survey_valid_score_record_count,2.0,valid_response_denominator,OPD-HOSP-001-DEPT-ADM-20260108,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260108,kpi_006,scale,config/kpi_definition_config.csv,unit,1-5,score_scale,,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260108,kpi_006,weighting_method,config/kpi_definition_config.csv,formula,weighted_sum / valid_response_count,response_weighting,,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260109,kpi_005,numerator,processed_operational_daily.csv,complaint_valid_record_count,,valid_complaint_count,OPD-HOSP-001-DEPT-ADM-20260109,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260109,kpi_005,denominator,processed_operational_daily.csv,encounter_record_count,0.0,exposure_denominator,OPD-HOSP-001-DEPT-ADM-20260109,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260109,kpi_005,multiplier,config/kpi_definition_config.csv,formula,1000.0,per_1000_multiplier,,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260109,kpi_006,numerator,processed_operational_daily.csv,survey_score_weighted_sum,7.0,weighted_score_numerator,OPD-HOSP-001-DEPT-ADM-20260109,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260109,kpi_006,denominator,processed_operational_daily.csv,survey_valid_score_record_count,2.0,valid_response_denominator,OPD-HOSP-001-DEPT-ADM-20260109,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260109,kpi_006,scale,config/kpi_definition_config.csv,unit,1-5,score_scale,,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260109,kpi_006,weighting_method,config/kpi_definition_config.csv,formula,weighted_sum / valid_response_count,response_weighting,,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260110,kpi_005,numerator,processed_operational_daily.csv,complaint_valid_record_count,,valid_complaint_count,OPD-HOSP-001-DEPT-ADM-20260110,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260110,kpi_005,denominator,processed_operational_daily.csv,encounter_record_count,0.0,exposure_denominator,OPD-HOSP-001-DEPT-ADM-20260110,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260110,kpi_005,multiplier,config/kpi_definition_config.csv,formula,1000.0,per_1000_multiplier,,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260110,kpi_006,numerator,processed_operational_daily.csv,survey_score_weighted_sum,3.0,weighted_score_numerator,OPD-HOSP-001-DEPT-ADM-20260110,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260110,kpi_006,denominator,processed_operational_daily.csv,survey_valid_score_record_count,1.0,valid_response_denominator,OPD-HOSP-001-DEPT-ADM-20260110,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260110,kpi_006,scale,config/kpi_definition_config.csv,unit,1-5,score_scale,,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260110,kpi_006,weighting_method,config/kpi_definition_config.csv,formula,weighted_sum / valid_response_count,response_weighting,,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260111,kpi_005,numerator,processed_operational_daily.csv,complaint_valid_record_count,,valid_complaint_count,OPD-HOSP-001-DEPT-ADM-20260111,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260111,kpi_005,denominator,processed_operational_daily.csv,encounter_record_count,,exposure_denominator,OPD-HOSP-001-DEPT-ADM-20260111,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260111,kpi_005,multiplier,config/kpi_definition_config.csv,formula,1000.0,per_1000_multiplier,,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260111,kpi_006,numerator,processed_operational_daily.csv,survey_score_weighted_sum,,weighted_score_numerator,OPD-HOSP-001-DEPT-ADM-20260111,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260111,kpi_006,denominator,processed_operational_daily.csv,survey_valid_score_record_count,,valid_response_denominator,OPD-HOSP-001-DEPT-ADM-20260111,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260111,kpi_006,scale,config/kpi_definition_config.csv,unit,1-5,score_scale,,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260111,kpi_006,weighting_method,config/kpi_definition_config.csv,formula,weighted_sum / valid_response_count,response_weighting,,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260112,kpi_005,numerator,processed_operational_daily.csv,complaint_valid_record_count,,valid_complaint_count,OPD-HOSP-001-DEPT-ADM-20260112,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260112,kpi_005,denominator,processed_operational_daily.csv,encounter_record_count,0.0,exposure_denominator,OPD-HOSP-001-DEPT-ADM-20260112,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260112,kpi_005,multiplier,config/kpi_definition_config.csv,formula,1000.0,per_1000_multiplier,,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260112,kpi_006,numerator,processed_operational_daily.csv,survey_score_weighted_sum,3.0,weighted_score_numerator,OPD-HOSP-001-DEPT-ADM-20260112,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260112,kpi_006,denominator,processed_operational_daily.csv,survey_valid_score_record_count,1.0,valid_response_denominator,OPD-HOSP-001-DEPT-ADM-20260112,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260112,kpi_006,scale,config/kpi_definition_config.csv,unit,1-5,score_scale,,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260112,kpi_006,weighting_method,config/kpi_definition_config.csv,formula,weighted_sum / valid_response_count,response_weighting,,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260113,kpi_005,numerator,processed_operational_daily.csv,complaint_valid_record_count,,valid_complaint_count,OPD-HOSP-001-DEPT-ADM-20260113,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260113,kpi_005,denominator,processed_operational_daily.csv,encounter_record_count,0.0,exposure_denominator,OPD-HOSP-001-DEPT-ADM-20260113,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260113,kpi_005,multiplier,config/kpi_definition_config.csv,formula,1000.0,per_1000_multiplier,,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260113,kpi_006,numerator,processed_operational_daily.csv,survey_score_weighted_sum,7.0,weighted_score_numerator,OPD-HOSP-001-DEPT-ADM-20260113,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260113,kpi_006,denominator,processed_operational_daily.csv,survey_valid_score_record_count,2.0,valid_response_denominator,OPD-HOSP-001-DEPT-ADM-20260113,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260113,kpi_006,scale,config/kpi_definition_config.csv,unit,1-5,score_scale,,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260113,kpi_006,weighting_method,config/kpi_definition_config.csv,formula,weighted_sum / valid_response_count,response_weighting,,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260114,kpi_005,numerator,processed_operational_daily.csv,complaint_valid_record_count,,valid_complaint_count,OPD-HOSP-001-DEPT-ADM-20260114,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260114,kpi_005,denominator,processed_operational_daily.csv,encounter_record_count,0.0,exposure_denominator,OPD-HOSP-001-DEPT-ADM-20260114,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260114,kpi_005,multiplier,config/kpi_definition_config.csv,formula,1000.0,per_1000_multiplier,,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260114,kpi_006,numerator,processed_operational_daily.csv,survey_score_weighted_sum,10.0,weighted_score_numerator,OPD-HOSP-001-DEPT-ADM-20260114,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260114,kpi_006,denominator,processed_operational_daily.csv,survey_valid_score_record_count,3.0,valid_response_denominator,OPD-HOSP-001-DEPT-ADM-20260114,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260114,kpi_006,scale,config/kpi_definition_config.csv,unit,1-5,score_scale,,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260114,kpi_006,weighting_method,config/kpi_definition_config.csv,formula,weighted_sum / valid_response_count,response_weighting,,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260115,kpi_005,numerator,processed_operational_daily.csv,complaint_valid_record_count,,valid_complaint_count,OPD-HOSP-001-DEPT-ADM-20260115,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260115,kpi_005,denominator,processed_operational_daily.csv,encounter_record_count,0.0,exposure_denominator,OPD-HOSP-001-DEPT-ADM-20260115,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260115,kpi_005,multiplier,config/kpi_definition_config.csv,formula,1000.0,per_1000_multiplier,,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260115,kpi_006,numerator,processed_operational_daily.csv,survey_score_weighted_sum,4.0,weighted_score_numerator,OPD-HOSP-001-DEPT-ADM-20260115,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260115,kpi_006,denominator,processed_operational_daily.csv,survey_valid_score_record_count,1.0,valid_response_denominator,OPD-HOSP-001-DEPT-ADM-20260115,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260115,kpi_006,scale,config/kpi_definition_config.csv,unit,1-5,score_scale,,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260115,kpi_006,weighting_method,config/kpi_definition_config.csv,formula,weighted_sum / valid_response_count,response_weighting,,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260116,kpi_005,numerator,processed_operational_daily.csv,complaint_valid_record_count,,valid_complaint_count,OPD-HOSP-001-DEPT-ADM-20260116,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260116,kpi_005,denominator,processed_operational_daily.csv,encounter_record_count,0.0,exposure_denominator,OPD-HOSP-001-DEPT-ADM-20260116,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260116,kpi_005,multiplier,config/kpi_definition_config.csv,formula,1000.0,per_1000_multiplier,,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260116,kpi_006,numerator,processed_operational_daily.csv,survey_score_weighted_sum,4.0,weighted_score_numerator,OPD-HOSP-001-DEPT-ADM-20260116,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260116,kpi_006,denominator,processed_operational_daily.csv,survey_valid_score_record_count,1.0,valid_response_denominator,OPD-HOSP-001-DEPT-ADM-20260116,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260116,kpi_006,scale,config/kpi_definition_config.csv,unit,1-5,score_scale,,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260116,kpi_006,weighting_method,config/kpi_definition_config.csv,formula,weighted_sum / valid_response_count,response_weighting,,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260117,kpi_005,numerator,processed_operational_daily.csv,complaint_valid_record_count,,valid_complaint_count,OPD-HOSP-001-DEPT-ADM-20260117,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260117,kpi_005,denominator,processed_operational_daily.csv,encounter_record_count,0.0,exposure_denominator,OPD-HOSP-001-DEPT-ADM-20260117,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260117,kpi_005,multiplier,config/kpi_definition_config.csv,formula,1000.0,per_1000_multiplier,,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260117,kpi_006,numerator,processed_operational_daily.csv,survey_score_weighted_sum,4.0,weighted_score_numerator,OPD-HOSP-001-DEPT-ADM-20260117,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260117,kpi_006,denominator,processed_operational_daily.csv,survey_valid_score_record_count,1.0,valid_response_denominator,OPD-HOSP-001-DEPT-ADM-20260117,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260117,kpi_006,scale,config/kpi_definition_config.csv,unit,1-5,score_scale,,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260117,kpi_006,weighting_method,config/kpi_definition_config.csv,formula,weighted_sum / valid_response_count,response_weighting,,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260118,kpi_005,numerator,processed_operational_daily.csv,complaint_valid_record_count,,valid_complaint_count,OPD-HOSP-001-DEPT-ADM-20260118,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260118,kpi_005,denominator,processed_operational_daily.csv,encounter_record_count,0.0,exposure_denominator,OPD-HOSP-001-DEPT-ADM-20260118,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260118,kpi_005,multiplier,config/kpi_definition_config.csv,formula,1000.0,per_1000_multiplier,,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260118,kpi_006,numerator,processed_operational_daily.csv,survey_score_weighted_sum,,weighted_score_numerator,OPD-HOSP-001-DEPT-ADM-20260118,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260118,kpi_006,denominator,processed_operational_daily.csv,survey_valid_score_record_count,0.0,valid_response_denominator,OPD-HOSP-001-DEPT-ADM-20260118,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260118,kpi_006,scale,config/kpi_definition_config.csv,unit,1-5,score_scale,,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260118,kpi_006,weighting_method,config/kpi_definition_config.csv,formula,weighted_sum / valid_response_count,response_weighting,,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260119,kpi_005,numerator,processed_operational_daily.csv,complaint_valid_record_count,,valid_complaint_count,OPD-HOSP-001-DEPT-ADM-20260119,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260119,kpi_005,denominator,processed_operational_daily.csv,encounter_record_count,0.0,exposure_denominator,OPD-HOSP-001-DEPT-ADM-20260119,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260119,kpi_005,multiplier,config/kpi_definition_config.csv,formula,1000.0,per_1000_multiplier,,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260119,kpi_006,numerator,processed_operational_daily.csv,survey_score_weighted_sum,,weighted_score_numerator,OPD-HOSP-001-DEPT-ADM-20260119,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260119,kpi_006,denominator,processed_operational_daily.csv,survey_valid_score_record_count,0.0,valid_response_denominator,OPD-HOSP-001-DEPT-ADM-20260119,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260119,kpi_006,scale,config/kpi_definition_config.csv,unit,1-5,score_scale,,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260119,kpi_006,weighting_method,config/kpi_definition_config.csv,formula,weighted_sum / valid_response_count,response_weighting,,PEX-KPI-DCF120177644
