scenario_run_id,primary_kpi_id,baseline_value,scenario_value,absolute_change,percentage_change,direction_of_change,affected_supporting_kpis,supporting_kpi_result_status
SR-BL-5323A22D6A8CE9EA-,kpi_001,80.95238095238095,,,,Uncertain,[],
SR-BL-391D7921E462CF87-COMP-BASE-001,kpi_001,80.95238095238095,80.95238095238095,0.0,0.0,No Change,[],
SR-BL-391D7921E462CF87-COMP-CONS-001,kpi_001,80.95238095238095,90.47619047619048,2.0,9.523809523809533,Increase,[],
SR-BL-391D7921E462CF87-COMP-EXP-001,kpi_001,80.95238095238095,100.0,5.0,19.04761904761905,Increase,[],
SR-BL-391D7921E462CF87-COMP-HIGH-001,kpi_001,80.95238095238095,100.0,9.0,19.04761904761905,Increase,[],
SR-BL-C714901CBE320E82-,kpi_001,80.95238095238095,,,,Uncertain,[],
SR-BL-67D0FE462C526756-,kpi_001,75.0,,,,Uncertain,[],
SR-BL-B581A76BC79E1F57-COMP-BASE-001,kpi_001,75.0,75.0,0.0,0.0,No Change,[],
SR-BL-B581A76BC79E1F57-COMP-CONS-001,kpi_001,75.0,87.5,2.0,12.5,Increase,[],
SR-BL-B581A76BC79E1F57-COMP-EXP-001,kpi_001,75.0,100.0,5.0,25.0,Increase,[],
SR-BL-B581A76BC79E1F57-COMP-HIGH-001,kpi_001,75.0,100.0,9.0,25.0,Increase,[],
SR-BL-D4EC09AC5D32BE02-,kpi_001,75.0,,,,Uncertain,[],
SR-BL-D22C401935FBB0AF-,kpi_001,83.89154704944178,,,,Uncertain,[],
SR-BL-A8F1AB286327924A-COMP-BASE-001,kpi_001,83.89154704944178,84.12698412698413,0.0,0.23543707754234333,Increase,[],
SR-BL-A8F1AB286327924A-COMP-CONS-001,kpi_001,83.89154704944178,93.65079365079364,2.0,9.759246601351862,Increase,[],
SR-BL-A8F1AB286327924A-COMP-EXP-001,kpi_001,83.89154704944178,100.0,5.0,16.108452950558217,Increase,[],
SR-BL-A8F1AB286327924A-COMP-HIGH-001,kpi_001,83.89154704944178,100.0,9.0,16.108452950558217,Increase,[],
SR-BL-5A79DCD0A6D101DB-,kpi_001,83.89154704944178,,,,Uncertain,[],
SR-BL-FA8C1DDA281CD363-,kpi_001,79.94987468671678,,,,Uncertain,[],
SR-BL-57C70AF120BE0469-COMP-BASE-001,kpi_001,79.94987468671678,80.0,0.0,0.050125313283217565,Increase,[],
SR-BL-57C70AF120BE0469-COMP-CONS-001,kpi_001,79.94987468671678,90.0,2.0,10.050125313283218,Increase,[],
SR-BL-57C70AF120BE0469-COMP-EXP-001,kpi_001,79.94987468671678,100.0,5.0,20.050125313283218,Increase,[],
SR-BL-57C70AF120BE0469-COMP-HIGH-001,kpi_001,79.94987468671678,100.0,9.0,20.050125313283218,Increase,[],
SR-BL-B0FB2AEC6387C27B-,kpi_001,79.94987468671678,,,,Uncertain,[],
SR-BL-7753CB3DEACFA849-,kpi_001,79.28229665071771,,,,Uncertain,[],
SR-BL-C3F11B1E0C2533F4-COMP-BASE-001,kpi_001,79.28229665071771,79.20792079207921,0.0,-0.07437585863850416,Decrease,[],
SR-BL-C3F11B1E0C2533F4-COMP-CONS-001,kpi_001,79.28229665071771,89.10891089108911,2.0,9.826614240371399,Increase,[],
SR-BL-C3F11B1E0C2533F4-COMP-EXP-001,kpi_001,79.28229665071771,100.0,5.0,20.71770334928229,Increase,[],
SR-BL-C3F11B1E0C2533F4-COMP-HIGH-001,kpi_001,79.28229665071771,100.0,9.0,20.71770334928229,Increase,[],
SR-BL-F75F8590F3554159-,kpi_001,79.28229665071771,,,,Uncertain,[],
SR-BL-277B07B82D13E8F2-,kpi_002,23.809523809523807,,,,Uncertain,[],
SR-BL-DF709330D67ABEC5-COMP-BASE-002,kpi_002,23.809523809523807,23.809523809523807,0.0,0.0,No Change,[],
SR-BL-DF709330D67ABEC5-COMP-CONS-002,kpi_002,23.809523809523807,21.428571428571427,-2.3809523809523796,-9.999999999999995,Decrease,[],
SR-BL-DF709330D67ABEC5-COMP-EXP-002,kpi_002,23.809523809523807,19.047619047619047,-4.761904761904759,-19.99999999999999,Decrease,[],
SR-BL-DF709330D67ABEC5-COMP-HIGH-002,kpi_002,23.809523809523807,15.476190476190474,-8.333333333333332,-35.0,Decrease,[],
SR-BL-8CB0AEE02AFABAE6-,kpi_002,23.809523809523807,,,,Uncertain,[],
SR-BL-5E53C730C5D35B87-,kpi_002,27.27272727272727,,,,Uncertain,[],
SR-BL-747242470CE54799-COMP-BASE-002,kpi_002,27.27272727272727,27.27272727272727,0.0,0.0,No Change,[],
SR-BL-747242470CE54799-COMP-CONS-002,kpi_002,27.27272727272727,24.545454545454543,-2.7272727272727266,-10.0,Decrease,[],
SR-BL-747242470CE54799-COMP-EXP-002,kpi_002,27.27272727272727,21.818181818181817,-5.454545454545453,-20.0,Decrease,[],
SR-BL-747242470CE54799-COMP-HIGH-002,kpi_002,27.27272727272727,17.727272727272727,-9.545454545454543,-35.0,Decrease,[],
SR-BL-0697C97A50D51D05-,kpi_002,27.27272727272727,,,,Uncertain,[],
SR-BL-2371CB60FDB5991C-,kpi_002,23.52941176470588,,,,Uncertain,[],
SR-BL-59E3FB429973055E-COMP-BASE-002,kpi_002,23.52941176470588,23.52941176470588,0.0,0.0,No Change,[],
SR-BL-59E3FB429973055E-COMP-CONS-002,kpi_002,23.52941176470588,21.176470588235293,-2.352941176470587,-9.999999999999995,Decrease,[],
SR-BL-59E3FB429973055E-COMP-EXP-002,kpi_002,23.52941176470588,18.823529411764707,-4.705882352941174,-19.99999999999999,Decrease,[],
SR-BL-59E3FB429973055E-COMP-HIGH-002,kpi_002,23.52941176470588,15.294117647058822,-8.235294117647058,-35.0,Decrease,[],
SR-BL-BA2A5D867DD6C9D1-,kpi_002,23.52941176470588,,,,Uncertain,[],
SR-BL-692B4C265DACB2C3-,kpi_002,18.141945773524718,,,,Uncertain,[],
SR-BL-58927C6C611CB6A2-COMP-BASE-002,kpi_002,18.141945773524718,18.141945773524718,0.0,0.0,No Change,[],
SR-BL-58927C6C611CB6A2-COMP-CONS-002,kpi_002,18.141945773524718,16.327751196172247,-1.8141945773524704,-9.999999999999993,Decrease,[],
SR-BL-58927C6C611CB6A2-COMP-EXP-002,kpi_002,18.141945773524718,14.513556618819775,-3.6283891547049425,-19.999999999999993,Decrease,[],
SR-BL-58927C6C611CB6A2-COMP-HIGH-002,kpi_002,18.141945773524718,11.792264752791066,-6.349681020733652,-35.0,Decrease,[],
SR-BL-6E80ED146DD8D32D-,kpi_002,18.141945773524718,,,,Uncertain,[],
SR-BL-AD6A05DC64723B69-,kpi_002,17.857142857142854,,,,Uncertain,[],
SR-BL-175EFE24E943C187-COMP-BASE-002,kpi_002,17.857142857142854,17.857142857142854,0.0,0.0,No Change,[],
SR-BL-175EFE24E943C187-COMP-CONS-002,kpi_002,17.857142857142854,16.07142857142857,-1.7857142857142847,-9.999999999999996,Decrease,[],
SR-BL-175EFE24E943C187-COMP-EXP-002,kpi_002,17.857142857142854,14.285714285714285,-3.5714285714285694,-19.999999999999993,Decrease,[],
SR-BL-175EFE24E943C187-COMP-HIGH-002,kpi_002,17.857142857142854,11.607142857142856,-6.249999999999998,-35.0,Decrease,[],
SR-BL-F0430A1EBAF01A6C-,kpi_002,17.857142857142854,,,,Uncertain,[],
SR-BL-4BC9F23FBC67922E-,kpi_002,15.789473684210526,,,,Uncertain,[],
SR-BL-65BAA941479C62D1-COMP-BASE-002,kpi_002,15.789473684210526,15.789473684210526,0.0,0.0,No Change,[],
SR-BL-65BAA941479C62D1-COMP-CONS-002,kpi_002,15.789473684210526,14.210526315789473,-1.578947368421053,-10.000000000000004,Decrease,[],
SR-BL-65BAA941479C62D1-COMP-EXP-002,kpi_002,15.789473684210526,12.631578947368421,-3.1578947368421044,-19.999999999999996,Decrease,[],
SR-BL-65BAA941479C62D1-COMP-HIGH-002,kpi_002,15.789473684210526,10.263157894736842,-5.526315789473683,-34.99999999999999,Decrease,[],
SR-BL-3D943D8F4B7B32B0-,kpi_002,15.789473684210526,,,,Uncertain,[],
SR-BL-3020F60E886B6E74-,kpi_002,23.809523809523807,,,,Uncertain,[],
SR-BL-7BC211D1BA18F080-COMP-BASE-002,kpi_002,23.809523809523807,23.809523809523807,0.0,0.0,No Change,[],
SR-BL-7BC211D1BA18F080-COMP-CONS-002,kpi_002,23.809523809523807,21.428571428571427,-2.3809523809523796,-9.999999999999995,Decrease,[],
SR-BL-7BC211D1BA18F080-COMP-EXP-002,kpi_002,23.809523809523807,19.047619047619047,-4.761904761904759,-19.99999999999999,Decrease,[],
SR-BL-7BC211D1BA18F080-COMP-HIGH-002,kpi_002,23.809523809523807,15.476190476190474,-8.333333333333332,-35.0,Decrease,[],
SR-BL-C37A0F5CBF529C0F-,kpi_002,23.809523809523807,,,,Uncertain,[],
SR-BL-11992F3D82CFC75B-,kpi_002,21.052631578947366,,,,Uncertain,[],
SR-BL-ADAE1EF74FA083EE-COMP-BASE-002,kpi_002,21.052631578947366,21.052631578947366,0.0,0.0,No Change,[],
SR-BL-ADAE1EF74FA083EE-COMP-CONS-002,kpi_002,21.052631578947366,18.94736842105263,-2.1052631578947363,-9.999999999999998,Decrease,[],
SR-BL-ADAE1EF74FA083EE-COMP-EXP-002,kpi_002,21.052631578947366,16.842105263157894,-4.210526315789473,-19.999999999999996,Decrease,[],
SR-BL-ADAE1EF74FA083EE-COMP-HIGH-002,kpi_002,21.052631578947366,13.68421052631579,-7.368421052631577,-34.99999999999999,Decrease,[],
SR-BL-9144621D95ACFFA7-,kpi_002,21.052631578947366,,,,Uncertain,[],
SR-BL-ACBDF7EC61D7576F-,kpi_002,24.0,,,,Uncertain,[],
SR-BL-E3505E2589029466-COMP-BASE-002,kpi_002,24.0,24.0,0.0,0.0,No Change,[],
SR-BL-E3505E2589029466-COMP-CONS-002,kpi_002,24.0,21.6,-2.3999999999999986,-9.999999999999993,Decrease,[],
SR-BL-E3505E2589029466-COMP-EXP-002,kpi_002,24.0,19.200000000000003,-4.799999999999997,-19.999999999999986,Decrease,[],
SR-BL-E3505E2589029466-COMP-HIGH-002,kpi_002,24.0,15.600000000000001,-8.399999999999999,-34.99999999999999,Decrease,[],
SR-BL-3F12004ABB2FA9B6-,kpi_002,24.0,,,,Uncertain,[],
SR-BL-8E53C4090E41F632-,kpi_002,19.047619047619047,,,,Uncertain,[],
SR-BL-2F5F5104E962C6F3-COMP-BASE-002,kpi_002,19.047619047619047,19.047619047619047,0.0,0.0,No Change,[],
SR-BL-2F5F5104E962C6F3-COMP-CONS-002,kpi_002,19.047619047619047,17.142857142857142,-1.904761904761905,-10.000000000000002,Decrease,[],
SR-BL-2F5F5104E962C6F3-COMP-EXP-002,kpi_002,19.047619047619047,15.238095238095239,-3.8095238095238084,-19.999999999999996,Decrease,[],
SR-BL-2F5F5104E962C6F3-COMP-HIGH-002,kpi_002,19.047619047619047,12.380952380952381,-6.666666666666666,-35.0,Decrease,[],
SR-BL-B2ABC36B39EFD9B6-,kpi_002,19.047619047619047,,,,Uncertain,[],
SR-BL-73BB5BED2347443C-,kpi_002,23.52941176470588,,,,Uncertain,[],
SR-BL-3A72FD4CECA46A41-COMP-BASE-002,kpi_002,23.52941176470588,23.52941176470588,0.0,0.0,No Change,[],
SR-BL-3A72FD4CECA46A41-COMP-CONS-002,kpi_002,23.52941176470588,21.176470588235293,-2.352941176470587,-9.999999999999995,Decrease,[],
SR-BL-3A72FD4CECA46A41-COMP-EXP-002,kpi_002,23.52941176470588,18.823529411764707,-4.705882352941174,-19.99999999999999,Decrease,[],
SR-BL-3A72FD4CECA46A41-COMP-HIGH-002,kpi_002,23.52941176470588,15.294117647058822,-8.235294117647058,-35.0,Decrease,[],
SR-BL-DDEB953064D97921-,kpi_002,23.52941176470588,,,,Uncertain,[],
SR-BL-0414BA888FA182D6-,kpi_002,21.052631578947366,,,,Uncertain,[],
SR-BL-179518439057D4D5-COMP-BASE-002,kpi_002,21.052631578947366,21.052631578947366,0.0,0.0,No Change,[],
SR-BL-179518439057D4D5-COMP-CONS-002,kpi_002,21.052631578947366,18.94736842105263,-2.1052631578947363,-9.999999999999998,Decrease,[],
SR-BL-179518439057D4D5-COMP-EXP-002,kpi_002,21.052631578947366,16.842105263157894,-4.210526315789473,-19.999999999999996,Decrease,[],
SR-BL-179518439057D4D5-COMP-HIGH-002,kpi_002,21.052631578947366,13.68421052631579,-7.368421052631577,-34.99999999999999,Decrease,[],
SR-BL-B7D1A13E48022E15-,kpi_002,21.052631578947366,,,,Uncertain,[],
SR-BL-73A79F8EF520A799-,kpi_002,20.0,,,,Uncertain,[],
SR-BL-103F6D1B92094997-COMP-BASE-002,kpi_002,20.0,20.0,0.0,0.0,No Change,[],
SR-BL-103F6D1B92094997-COMP-CONS-002,kpi_002,20.0,18.0,-2.0,-10.0,Decrease,[],
SR-BL-103F6D1B92094997-COMP-EXP-002,kpi_002,20.0,16.0,-4.0,-20.0,Decrease,[],
SR-BL-103F6D1B92094997-COMP-HIGH-002,kpi_002,20.0,13.0,-7.0,-35.0,Decrease,[],
SR-BL-8883AE7DF51B151D-,kpi_002,20.0,,,,Uncertain,[],
SR-BL-020C840C4727285E-,kpi_002,18.181818181818183,,,,Uncertain,[],
SR-BL-84D32F194E6CE43C-COMP-BASE-002,kpi_002,18.181818181818183,18.181818181818183,0.0,0.0,No Change,[],
SR-BL-84D32F194E6CE43C-COMP-CONS-002,kpi_002,18.181818181818183,16.363636363636367,-1.8181818181818166,-9.999999999999991,Decrease,[],
SR-BL-84D32F194E6CE43C-COMP-EXP-002,kpi_002,18.181818181818183,14.545454545454547,-3.6363636363636367,-20.0,Decrease,[],
SR-BL-84D32F194E6CE43C-COMP-HIGH-002,kpi_002,18.181818181818183,11.81818181818182,-6.363636363636363,-35.0,Decrease,[],
SR-BL-488DDB6B03A60368-,kpi_002,18.181818181818183,,,,Uncertain,[],
SR-BL-B9ACE0801EC8D8AA-,kpi_002,20.0,,,,Uncertain,[],
SR-BL-D785075A60A5E4A9-COMP-BASE-002,kpi_002,20.0,20.0,0.0,0.0,No Change,[],
SR-BL-D785075A60A5E4A9-COMP-CONS-002,kpi_002,20.0,18.0,-2.0,-10.0,Decrease,[],
SR-BL-D785075A60A5E4A9-COMP-EXP-002,kpi_002,20.0,16.0,-4.0,-20.0,Decrease,[],
SR-BL-D785075A60A5E4A9-COMP-HIGH-002,kpi_002,20.0,13.0,-7.0,-35.0,Decrease,[],
SR-BL-946674628922ED58-,kpi_002,20.0,,,,Uncertain,[],
SR-BL-7EA4DAECD87B30F7-,kpi_002,19.047619047619047,,,,Uncertain,[],
SR-BL-1FD49D3201156F7A-COMP-BASE-002,kpi_002,19.047619047619047,19.047619047619047,0.0,0.0,No Change,[],
SR-BL-1FD49D3201156F7A-COMP-CONS-002,kpi_002,19.047619047619047,17.142857142857142,-1.904761904761905,-10.000000000000002,Decrease,[],
SR-BL-1FD49D3201156F7A-COMP-EXP-002,kpi_002,19.047619047619047,15.238095238095239,-3.8095238095238084,-19.999999999999996,Decrease,[],
SR-BL-1FD49D3201156F7A-COMP-HIGH-002,kpi_002,19.047619047619047,12.380952380952381,-6.666666666666666,-35.0,Decrease,[],
SR-BL-C7E009554234CEC6-,kpi_002,19.047619047619047,,,,Uncertain,[],
SR-BL-1FFF6CD1BA298AC8-,kpi_002,16.666666666666664,,,,Uncertain,[],
SR-BL-8FAD0E9D25DFF2C7-COMP-BASE-002,kpi_002,16.666666666666664,16.666666666666664,0.0,0.0,No Change,[],
SR-BL-8FAD0E9D25DFF2C7-COMP-CONS-002,kpi_002,16.666666666666664,14.999999999999998,-1.666666666666666,-9.999999999999998,Decrease,[],
SR-BL-8FAD0E9D25DFF2C7-COMP-EXP-002,kpi_002,16.666666666666664,13.333333333333332,-3.333333333333332,-19.999999999999996,Decrease,[],
SR-BL-8FAD0E9D25DFF2C7-COMP-HIGH-002,kpi_002,16.666666666666664,10.833333333333332,-5.833333333333332,-35.0,Decrease,[],
SR-BL-55C83308E6D243F7-,kpi_002,16.666666666666664,,,,Uncertain,[],
SR-BL-923BCF8913B6B6EC-,kpi_002,19.047619047619047,,,,Uncertain,[],
SR-BL-6D572CEEF23DE78B-COMP-BASE-002,kpi_002,19.047619047619047,19.047619047619047,0.0,0.0,No Change,[],
SR-BL-6D572CEEF23DE78B-COMP-CONS-002,kpi_002,19.047619047619047,17.142857142857142,-1.904761904761905,-10.000000000000002,Decrease,[],
SR-BL-6D572CEEF23DE78B-COMP-EXP-002,kpi_002,19.047619047619047,15.238095238095239,-3.8095238095238084,-19.999999999999996,Decrease,[],
SR-BL-6D572CEEF23DE78B-COMP-HIGH-002,kpi_002,19.047619047619047,12.380952380952381,-6.666666666666666,-35.0,Decrease,[],
SR-BL-44717C9892F41126-,kpi_002,19.047619047619047,,,,Uncertain,[],
SR-BL-A0F79EC7F7A07D0F-,kpi_002,17.647058823529413,,,,Uncertain,[],
SR-BL-A490C2C5584BB218-COMP-BASE-002,kpi_002,17.647058823529413,17.647058823529413,0.0,0.0,No Change,[],
SR-BL-A490C2C5584BB218-COMP-CONS-002,kpi_002,17.647058823529413,15.882352941176473,-1.7647058823529402,-9.999999999999993,Decrease,[],
SR-BL-A490C2C5584BB218-COMP-EXP-002,kpi_002,17.647058823529413,14.11764705882353,-3.5294117647058822,-20.0,Decrease,[],
SR-BL-A490C2C5584BB218-COMP-HIGH-002,kpi_002,17.647058823529413,11.47058823529412,-6.1764705882352935,-34.99999999999999,Decrease,[],
SR-BL-4E44977D8D9120A8-,kpi_002,17.647058823529413,,,,Uncertain,[],
SR-BL-2B13F67B464D7446--MON,kpi_006,,,,,Uncertain,[],
SR-BL-9F97F6CB4300A27A--MON,kpi_006,,,,,Uncertain,[],
SR-BL-E1227AFE59BBD37D--MON,kpi_006,,,,,Uncertain,[],
SR-BL-F1ED6AF2D8F1EF1A--MON,kpi_006,,,,,Uncertain,[],
SR-BL-B1584F7EACF4DA9E--MON,kpi_006,,,,,Uncertain,[],
SR-BL-C4570BB21F7E34E1--MON,kpi_006,,,,,Uncertain,[],
SR-BL-936C1E53016AE6A1--MON,kpi_006,,,,,Uncertain,[],
SR-BL-A2952EECF5393F48--MON,kpi_006,,,,,Uncertain,[],
SR-BL-0D3F9CFB6983E1E3--MON,kpi_006,,,,,Uncertain,[],
SR-BL-B25A1C8239849C27--MON,kpi_006,,,,,Uncertain,[],
SR-BL-D6B7F70B4792EF6D--MON,kpi_006,,,,,Uncertain,[],
SR-BL-0F73386D1D71F2CC--MON,kpi_006,,,,,Uncertain,[],
SR-BL-5ED63BA561B3B03A--MON,kpi_006,,,,,Uncertain,[],
SR-BL-727F04EE3FB6C752--MON,kpi_006,,,,,Uncertain,[],
SR-BL-0C180E6F11C54A7F--MON,kpi_006,,,,,Uncertain,[],
SR-BL-6D1F928DCD08CF8F--MON,kpi_006,,,,,Uncertain,[],
SR-BL-060B3ADB39872F82--MON,kpi_006,,,,,Uncertain,[],
SR-BL-330BF96E7BA8C75A--MON,kpi_006,,,,,Uncertain,[],
SR-BL-6D944B452152F0E8--MON,kpi_006,,,,,Uncertain,[],
SR-BL-53818CF58BC67A72--MON,kpi_006,,,,,Uncertain,[],
SR-BL-4CB373DDA69EB1F7--MON,kpi_006,,,,,Uncertain,[],
