diminishing_return_id,approval_package_id,scenario_template_id,diminishing_return_classification,diminishing_return_rationale,incremental_effect_ratios_json
DR-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,SCEN-STAFF-001,Diminishing,Incremental improvement decreases significantly with higher intensity,"[{""from_comparator"": ""Baseline"", ""to_comparator"": ""Conservative"", ""incremental_improvement"": 11.111111111111128, ""intensity_step"": 1, ""incremental_effect_ratio"": 11.111111111111128}, {""from_comparator"": ""Conservative"", ""to_comparator"": ""Expected"", ""incremental_improvement"": 16.666666666666657, ""intensity_step"": 1, ""incremental_effect_ratio"": 16.666666666666657}, {""from_comparator"": ""Expected"", ""to_comparator"": ""Higher Intensity"", ""incremental_improvement"": 0.0, ""intensity_step"": 1, ""incremental_effect_ratio"": 0.0}]"
DR-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,SCEN-STAFF-001,Diminishing,Incremental improvement decreases significantly with higher intensity,"[{""from_comparator"": ""Baseline"", ""to_comparator"": ""Conservative"", ""incremental_improvement"": 8.695652173913047, ""intensity_step"": 1, ""incremental_effect_ratio"": 8.695652173913047}, {""from_comparator"": ""Conservative"", ""to_comparator"": ""Expected"", ""incremental_improvement"": 13.043478260869577, ""intensity_step"": 1, ""incremental_effect_ratio"": 13.043478260869577}, {""from_comparator"": ""Expected"", ""to_comparator"": ""Higher Intensity"", ""incremental_improvement"": 4.347826086956516, ""intensity_step"": 1, ""incremental_effect_ratio"": 4.347826086956516}]"
DR-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,SCEN-STAFF-001,Diminishing,Incremental improvement decreases significantly with higher intensity,"[{""from_comparator"": ""Baseline"", ""to_comparator"": ""Conservative"", ""incremental_improvement"": 9.523809523809533, ""intensity_step"": 1, ""incremental_effect_ratio"": 9.523809523809533}, {""from_comparator"": ""Conservative"", ""to_comparator"": ""Expected"", ""incremental_improvement"": 9.523809523809518, ""intensity_step"": 1, ""incremental_effect_ratio"": 9.523809523809518}, {""from_comparator"": ""Expected"", ""to_comparator"": ""Higher Intensity"", ""incremental_improvement"": 0.0, ""intensity_step"": 1, ""incremental_effect_ratio"": 0.0}]"
DR-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,SCEN-STAFF-001,Diminishing,Incremental improvement decreases significantly with higher intensity,"[{""from_comparator"": ""Baseline"", ""to_comparator"": ""Conservative"", ""incremental_improvement"": 12.5, ""intensity_step"": 1, ""incremental_effect_ratio"": 12.5}, {""from_comparator"": ""Conservative"", ""to_comparator"": ""Expected"", ""incremental_improvement"": 12.5, ""intensity_step"": 1, ""incremental_effect_ratio"": 12.5}, {""from_comparator"": ""Expected"", ""to_comparator"": ""Higher Intensity"", ""incremental_improvement"": 0.0, ""intensity_step"": 1, ""incremental_effect_ratio"": 0.0}]"
DR-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,SCEN-STAFF-001,Diminishing,Incremental improvement decreases significantly with higher intensity,"[{""from_comparator"": ""Baseline"", ""to_comparator"": ""Conservative"", ""incremental_improvement"": 9.523809523809518, ""intensity_step"": 1, ""incremental_effect_ratio"": 9.523809523809518}, {""from_comparator"": ""Conservative"", ""to_comparator"": ""Expected"", ""incremental_improvement"": 6.349206349206355, ""intensity_step"": 1, ""incremental_effect_ratio"": 6.349206349206355}, {""from_comparator"": ""Expected"", ""to_comparator"": ""Higher Intensity"", ""incremental_improvement"": 0.0, ""intensity_step"": 1, ""incremental_effect_ratio"": 0.0}]"
DR-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,SCEN-STAFF-001,Diminishing,Incremental improvement decreases significantly with higher intensity,"[{""from_comparator"": ""Baseline"", ""to_comparator"": ""Conservative"", ""incremental_improvement"": 10.0, ""intensity_step"": 1, ""incremental_effect_ratio"": 10.0}, {""from_comparator"": ""Conservative"", ""to_comparator"": ""Expected"", ""incremental_improvement"": 10.0, ""intensity_step"": 1, ""incremental_effect_ratio"": 10.0}, {""from_comparator"": ""Expected"", ""to_comparator"": ""Higher Intensity"", ""incremental_improvement"": 0.0, ""intensity_step"": 1, ""incremental_effect_ratio"": 0.0}]"
DR-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,SCEN-STAFF-001,Diminishing,Incremental improvement decreases significantly with higher intensity,"[{""from_comparator"": ""Baseline"", ""to_comparator"": ""Conservative"", ""incremental_improvement"": 9.900990099009903, ""intensity_step"": 1, ""incremental_effect_ratio"": 9.900990099009903}, {""from_comparator"": ""Conservative"", ""to_comparator"": ""Expected"", ""incremental_improvement"": 10.89108910891089, ""intensity_step"": 1, ""incremental_effect_ratio"": 10.89108910891089}, {""from_comparator"": ""Expected"", ""to_comparator"": ""Higher Intensity"", ""incremental_improvement"": 0.0, ""intensity_step"": 1, ""incremental_effect_ratio"": 0.0}]"
DR-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202-SCEN-ABS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,SCEN-ABS-001,Not Assessable,Inconsistent improvement pattern across intensities,"[{""from_comparator"": ""Baseline"", ""to_comparator"": ""Conservative"", ""incremental_improvement"": -9.999999999999995, ""intensity_step"": 1, ""incremental_effect_ratio"": -9.999999999999995}, {""from_comparator"": ""Conservative"", ""to_comparator"": ""Expected"", ""incremental_improvement"": -9.999999999999995, ""intensity_step"": 1, ""incremental_effect_ratio"": -9.999999999999995}, {""from_comparator"": ""Expected"", ""to_comparator"": ""Higher Intensity"", ""incremental_improvement"": -15.00000000000001, ""intensity_step"": 1, ""incremental_effect_ratio"": -15.00000000000001}]"
DR-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206-SCEN-ABS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,SCEN-ABS-001,Not Assessable,Inconsistent improvement pattern across intensities,"[{""from_comparator"": ""Baseline"", ""to_comparator"": ""Conservative"", ""incremental_improvement"": -10.0, ""intensity_step"": 1, ""incremental_effect_ratio"": -10.0}, {""from_comparator"": ""Conservative"", ""to_comparator"": ""Expected"", ""incremental_improvement"": -10.0, ""intensity_step"": 1, ""incremental_effect_ratio"": -10.0}, {""from_comparator"": ""Expected"", ""to_comparator"": ""Higher Intensity"", ""incremental_improvement"": -15.0, ""intensity_step"": 1, ""incremental_effect_ratio"": -15.0}]"
DR-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330-SCEN-ABS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,SCEN-ABS-001,Not Assessable,Inconsistent improvement pattern across intensities,"[{""from_comparator"": ""Baseline"", ""to_comparator"": ""Conservative"", ""incremental_improvement"": -9.999999999999995, ""intensity_step"": 1, ""incremental_effect_ratio"": -9.999999999999995}, {""from_comparator"": ""Conservative"", ""to_comparator"": ""Expected"", ""incremental_improvement"": -9.999999999999995, ""intensity_step"": 1, ""incremental_effect_ratio"": -9.999999999999995}, {""from_comparator"": ""Expected"", ""to_comparator"": ""Higher Intensity"", ""incremental_improvement"": -15.00000000000001, ""intensity_step"": 1, ""incremental_effect_ratio"": -15.00000000000001}]"
DR-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409-SCEN-ABS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,SCEN-ABS-001,Not Assessable,Inconsistent improvement pattern across intensities,"[{""from_comparator"": ""Baseline"", ""to_comparator"": ""Conservative"", ""incremental_improvement"": -9.999999999999993, ""intensity_step"": 1, ""incremental_effect_ratio"": -9.999999999999993}, {""from_comparator"": ""Conservative"", ""to_comparator"": ""Expected"", ""incremental_improvement"": -10.0, ""intensity_step"": 1, ""incremental_effect_ratio"": -10.0}, {""from_comparator"": ""Expected"", ""to_comparator"": ""Higher Intensity"", ""incremental_improvement"": -15.000000000000007, ""intensity_step"": 1, ""incremental_effect_ratio"": -15.000000000000007}]"
DR-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524-SCEN-ABS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,SCEN-ABS-001,Not Assessable,Inconsistent improvement pattern across intensities,"[{""from_comparator"": ""Baseline"", ""to_comparator"": ""Conservative"", ""incremental_improvement"": -9.999999999999996, ""intensity_step"": 1, ""incremental_effect_ratio"": -9.999999999999996}, {""from_comparator"": ""Conservative"", ""to_comparator"": ""Expected"", ""incremental_improvement"": -9.999999999999996, ""intensity_step"": 1, ""incremental_effect_ratio"": -9.999999999999996}, {""from_comparator"": ""Expected"", ""to_comparator"": ""Higher Intensity"", ""incremental_improvement"": -15.000000000000007, ""intensity_step"": 1, ""incremental_effect_ratio"": -15.000000000000007}]"
DR-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529-SCEN-ABS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,SCEN-ABS-001,Not Assessable,Inconsistent improvement pattern across intensities,"[{""from_comparator"": ""Baseline"", ""to_comparator"": ""Conservative"", ""incremental_improvement"": -10.000000000000004, ""intensity_step"": 1, ""incremental_effect_ratio"": -10.000000000000004}, {""from_comparator"": ""Conservative"", ""to_comparator"": ""Expected"", ""incremental_improvement"": -9.999999999999993, ""intensity_step"": 1, ""incremental_effect_ratio"": -9.999999999999993}, {""from_comparator"": ""Expected"", ""to_comparator"": ""Higher Intensity"", ""incremental_improvement"": -14.999999999999996, ""intensity_step"": 1, ""incremental_effect_ratio"": -14.999999999999996}]"
DR-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611-SCEN-ABS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,SCEN-ABS-001,Not Assessable,Inconsistent improvement pattern across intensities,"[{""from_comparator"": ""Baseline"", ""to_comparator"": ""Conservative"", ""incremental_improvement"": -9.999999999999995, ""intensity_step"": 1, ""incremental_effect_ratio"": -9.999999999999995}, {""from_comparator"": ""Conservative"", ""to_comparator"": ""Expected"", ""incremental_improvement"": -9.999999999999995, ""intensity_step"": 1, ""incremental_effect_ratio"": -9.999999999999995}, {""from_comparator"": ""Expected"", ""to_comparator"": ""Higher Intensity"", ""incremental_improvement"": -15.00000000000001, ""intensity_step"": 1, ""incremental_effect_ratio"": -15.00000000000001}]"
DR-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620-SCEN-ABS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,SCEN-ABS-001,Not Assessable,Inconsistent improvement pattern across intensities,"[{""from_comparator"": ""Baseline"", ""to_comparator"": ""Conservative"", ""incremental_improvement"": -9.999999999999998, ""intensity_step"": 1, ""incremental_effect_ratio"": -9.999999999999998}, {""from_comparator"": ""Conservative"", ""to_comparator"": ""Expected"", ""incremental_improvement"": -9.999999999999998, ""intensity_step"": 1, ""incremental_effect_ratio"": -9.999999999999998}, {""from_comparator"": ""Expected"", ""to_comparator"": ""Higher Intensity"", ""incremental_improvement"": -14.999999999999996, ""intensity_step"": 1, ""incremental_effect_ratio"": -14.999999999999996}]"
DR-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624-SCEN-ABS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,SCEN-ABS-001,Not Assessable,Inconsistent improvement pattern across intensities,"[{""from_comparator"": ""Baseline"", ""to_comparator"": ""Conservative"", ""incremental_improvement"": -9.999999999999993, ""intensity_step"": 1, ""incremental_effect_ratio"": -9.999999999999993}, {""from_comparator"": ""Conservative"", ""to_comparator"": ""Expected"", ""incremental_improvement"": -9.999999999999993, ""intensity_step"": 1, ""incremental_effect_ratio"": -9.999999999999993}, {""from_comparator"": ""Expected"", ""to_comparator"": ""Higher Intensity"", ""incremental_improvement"": -15.000000000000007, ""intensity_step"": 1, ""incremental_effect_ratio"": -15.000000000000007}]"
DR-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710-SCEN-ABS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,SCEN-ABS-001,Not Assessable,Inconsistent improvement pattern across intensities,"[{""from_comparator"": ""Baseline"", ""to_comparator"": ""Conservative"", ""incremental_improvement"": -10.000000000000002, ""intensity_step"": 1, ""incremental_effect_ratio"": -10.000000000000002}, {""from_comparator"": ""Conservative"", ""to_comparator"": ""Expected"", ""incremental_improvement"": -9.999999999999995, ""intensity_step"": 1, ""incremental_effect_ratio"": -9.999999999999995}, {""from_comparator"": ""Expected"", ""to_comparator"": ""Higher Intensity"", ""incremental_improvement"": -15.000000000000004, ""intensity_step"": 1, ""incremental_effect_ratio"": -15.000000000000004}]"
DR-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716-SCEN-ABS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,SCEN-ABS-001,Not Assessable,Inconsistent improvement pattern across intensities,"[{""from_comparator"": ""Baseline"", ""to_comparator"": ""Conservative"", ""incremental_improvement"": -9.999999999999995, ""intensity_step"": 1, ""incremental_effect_ratio"": -9.999999999999995}, {""from_comparator"": ""Conservative"", ""to_comparator"": ""Expected"", ""incremental_improvement"": -9.999999999999995, ""intensity_step"": 1, ""incremental_effect_ratio"": -9.999999999999995}, {""from_comparator"": ""Expected"", ""to_comparator"": ""Higher Intensity"", ""incremental_improvement"": -15.00000000000001, ""intensity_step"": 1, ""incremental_effect_ratio"": -15.00000000000001}]"
DR-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814-SCEN-ABS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,SCEN-ABS-001,Not Assessable,Inconsistent improvement pattern across intensities,"[{""from_comparator"": ""Baseline"", ""to_comparator"": ""Conservative"", ""incremental_improvement"": -9.999999999999998, ""intensity_step"": 1, ""incremental_effect_ratio"": -9.999999999999998}, {""from_comparator"": ""Conservative"", ""to_comparator"": ""Expected"", ""incremental_improvement"": -9.999999999999998, ""intensity_step"": 1, ""incremental_effect_ratio"": -9.999999999999998}, {""from_comparator"": ""Expected"", ""to_comparator"": ""Higher Intensity"", ""incremental_improvement"": -14.999999999999996, ""intensity_step"": 1, ""incremental_effect_ratio"": -14.999999999999996}]"
DR-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925-SCEN-ABS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,SCEN-ABS-001,Not Assessable,Inconsistent improvement pattern across intensities,"[{""from_comparator"": ""Baseline"", ""to_comparator"": ""Conservative"", ""incremental_improvement"": -10.0, ""intensity_step"": 1, ""incremental_effect_ratio"": -10.0}, {""from_comparator"": ""Conservative"", ""to_comparator"": ""Expected"", ""incremental_improvement"": -10.0, ""intensity_step"": 1, ""incremental_effect_ratio"": -10.0}, {""from_comparator"": ""Expected"", ""to_comparator"": ""Higher Intensity"", ""incremental_improvement"": -15.0, ""intensity_step"": 1, ""incremental_effect_ratio"": -15.0}]"
DR-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019-SCEN-ABS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,SCEN-ABS-001,Not Assessable,Inconsistent improvement pattern across intensities,"[{""from_comparator"": ""Baseline"", ""to_comparator"": ""Conservative"", ""incremental_improvement"": -9.999999999999991, ""intensity_step"": 1, ""incremental_effect_ratio"": -9.999999999999991}, {""from_comparator"": ""Conservative"", ""to_comparator"": ""Expected"", ""incremental_improvement"": -10.000000000000009, ""intensity_step"": 1, ""incremental_effect_ratio"": -10.000000000000009}, {""from_comparator"": ""Expected"", ""to_comparator"": ""Higher Intensity"", ""incremental_improvement"": -15.0, ""intensity_step"": 1, ""incremental_effect_ratio"": -15.0}]"
DR-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102-SCEN-ABS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,SCEN-ABS-001,Not Assessable,Inconsistent improvement pattern across intensities,"[{""from_comparator"": ""Baseline"", ""to_comparator"": ""Conservative"", ""incremental_improvement"": -10.0, ""intensity_step"": 1, ""incremental_effect_ratio"": -10.0}, {""from_comparator"": ""Conservative"", ""to_comparator"": ""Expected"", ""incremental_improvement"": -10.0, ""intensity_step"": 1, ""incremental_effect_ratio"": -10.0}, {""from_comparator"": ""Expected"", ""to_comparator"": ""Higher Intensity"", ""incremental_improvement"": -15.0, ""intensity_step"": 1, ""incremental_effect_ratio"": -15.0}]"
DR-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114-SCEN-ABS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,SCEN-ABS-001,Not Assessable,Inconsistent improvement pattern across intensities,"[{""from_comparator"": ""Baseline"", ""to_comparator"": ""Conservative"", ""incremental_improvement"": -10.000000000000002, ""intensity_step"": 1, ""incremental_effect_ratio"": -10.000000000000002}, {""from_comparator"": ""Conservative"", ""to_comparator"": ""Expected"", ""incremental_improvement"": -9.999999999999995, ""intensity_step"": 1, ""incremental_effect_ratio"": -9.999999999999995}, {""from_comparator"": ""Expected"", ""to_comparator"": ""Higher Intensity"", ""incremental_improvement"": -15.000000000000004, ""intensity_step"": 1, ""incremental_effect_ratio"": -15.000000000000004}]"
DR-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121-SCEN-ABS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,SCEN-ABS-001,Not Assessable,Inconsistent improvement pattern across intensities,"[{""from_comparator"": ""Baseline"", ""to_comparator"": ""Conservative"", ""incremental_improvement"": -9.999999999999998, ""intensity_step"": 1, ""incremental_effect_ratio"": -9.999999999999998}, {""from_comparator"": ""Conservative"", ""to_comparator"": ""Expected"", ""incremental_improvement"": -9.999999999999998, ""intensity_step"": 1, ""incremental_effect_ratio"": -9.999999999999998}, {""from_comparator"": ""Expected"", ""to_comparator"": ""Higher Intensity"", ""incremental_improvement"": -15.000000000000004, ""intensity_step"": 1, ""incremental_effect_ratio"": -15.000000000000004}]"
DR-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214-SCEN-ABS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,SCEN-ABS-001,Not Assessable,Inconsistent improvement pattern across intensities,"[{""from_comparator"": ""Baseline"", ""to_comparator"": ""Conservative"", ""incremental_improvement"": -10.000000000000002, ""intensity_step"": 1, ""incremental_effect_ratio"": -10.000000000000002}, {""from_comparator"": ""Conservative"", ""to_comparator"": ""Expected"", ""incremental_improvement"": -9.999999999999995, ""intensity_step"": 1, ""incremental_effect_ratio"": -9.999999999999995}, {""from_comparator"": ""Expected"", ""to_comparator"": ""Higher Intensity"", ""incremental_improvement"": -15.000000000000004, ""intensity_step"": 1, ""incremental_effect_ratio"": -15.000000000000004}]"
DR-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225-SCEN-ABS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,SCEN-ABS-001,Not Assessable,Inconsistent improvement pattern across intensities,"[{""from_comparator"": ""Baseline"", ""to_comparator"": ""Conservative"", ""incremental_improvement"": -9.999999999999993, ""intensity_step"": 1, ""incremental_effect_ratio"": -9.999999999999993}, {""from_comparator"": ""Conservative"", ""to_comparator"": ""Expected"", ""incremental_improvement"": -10.000000000000007, ""intensity_step"": 1, ""incremental_effect_ratio"": -10.000000000000007}, {""from_comparator"": ""Expected"", ""to_comparator"": ""Higher Intensity"", ""incremental_improvement"": -14.999999999999993, ""intensity_step"": 1, ""incremental_effect_ratio"": -14.999999999999993}]"
