relationship_record_id,relationship_id,hospital_id,department_id,source_kpi_id,target_kpi_id,trend_agreement_rate,opposing_trend_count,engine_run_id,processed_at
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_003-kpi_005,kpi_003_kpi_005,HOSP-001,DEPT-ADM,kpi_003,kpi_005,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_003-kpi_006,kpi_003_kpi_006,HOSP-001,DEPT-ADM,kpi_003,kpi_006,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_004-kpi_005,kpi_004_kpi_005,HOSP-001,DEPT-ADM,kpi_004,kpi_005,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_004-kpi_006,kpi_004_kpi_006,HOSP-001,DEPT-ADM,kpi_004,kpi_006,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_005-kpi_006,kpi_005_kpi_006,HOSP-001,DEPT-ADM,kpi_005,kpi_006,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_001-kpi_002,kpi_001_kpi_002,HOSP-001,DEPT-DIAG,kpi_001,kpi_002,0.4269,368,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_001-kpi_003,kpi_001_kpi_003,HOSP-001,DEPT-DIAG,kpi_001,kpi_003,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_001-kpi_004,kpi_001_kpi_004,HOSP-001,DEPT-DIAG,kpi_001,kpi_004,0.3781,666,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_001-kpi_005,kpi_001_kpi_005,HOSP-001,DEPT-DIAG,kpi_001,kpi_005,0.3419,463,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_001-kpi_006,kpi_001_kpi_006,HOSP-001,DEPT-DIAG,kpi_001,kpi_006,0.3546,517,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_002-kpi_003,kpi_002_kpi_003,HOSP-001,DEPT-DIAG,kpi_002,kpi_003,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_002-kpi_004,kpi_002_kpi_004,HOSP-001,DEPT-DIAG,kpi_002,kpi_004,0.3682,720,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_002-kpi_005,kpi_002_kpi_005,HOSP-001,DEPT-DIAG,kpi_002,kpi_005,0.3427,462,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_002-kpi_006,kpi_002_kpi_006,HOSP-001,DEPT-DIAG,kpi_002,kpi_006,0.3613,486,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_003-kpi_004,kpi_003_kpi_004,HOSP-001,DEPT-DIAG,kpi_003,kpi_004,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_003-kpi_005,kpi_003_kpi_005,HOSP-001,DEPT-DIAG,kpi_003,kpi_005,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_003-kpi_006,kpi_003_kpi_006,HOSP-001,DEPT-DIAG,kpi_003,kpi_006,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_004-kpi_005,kpi_004_kpi_005,HOSP-001,DEPT-DIAG,kpi_004,kpi_005,0.3454,453,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_004-kpi_006,kpi_004_kpi_006,HOSP-001,DEPT-DIAG,kpi_004,kpi_006,0.3587,512,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_005-kpi_006,kpi_005_kpi_006,HOSP-001,DEPT-DIAG,kpi_005,kpi_006,0.3326,412,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_001-kpi_002,kpi_001_kpi_002,HOSP-001,DEPT-ED,kpi_001,kpi_002,0.4217,315,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_001-kpi_003,kpi_001_kpi_003,HOSP-001,DEPT-ED,kpi_001,kpi_003,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_001-kpi_004,kpi_001_kpi_004,HOSP-001,DEPT-ED,kpi_001,kpi_004,0.3662,730,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_001-kpi_005,kpi_001_kpi_005,HOSP-001,DEPT-ED,kpi_001,kpi_005,0.3256,410,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_001-kpi_006,kpi_001_kpi_006,HOSP-001,DEPT-ED,kpi_001,kpi_006,0.3504,524,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_002-kpi_003,kpi_002_kpi_003,HOSP-001,DEPT-ED,kpi_002,kpi_003,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_002-kpi_004,kpi_002_kpi_004,HOSP-001,DEPT-ED,kpi_002,kpi_004,0.3603,686,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_002-kpi_005,kpi_002_kpi_005,HOSP-001,DEPT-ED,kpi_002,kpi_005,0.3246,401,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_002-kpi_006,kpi_002_kpi_006,HOSP-001,DEPT-ED,kpi_002,kpi_006,0.3508,475,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_003-kpi_004,kpi_003_kpi_004,HOSP-001,DEPT-ED,kpi_003,kpi_004,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_003-kpi_005,kpi_003_kpi_005,HOSP-001,DEPT-ED,kpi_003,kpi_005,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_003-kpi_006,kpi_003_kpi_006,HOSP-001,DEPT-ED,kpi_003,kpi_006,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_004-kpi_005,kpi_004_kpi_005,HOSP-001,DEPT-ED,kpi_004,kpi_005,0.3358,360,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_004-kpi_006,kpi_004_kpi_006,HOSP-001,DEPT-ED,kpi_004,kpi_006,0.3558,510,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_005-kpi_006,kpi_005_kpi_006,HOSP-001,DEPT-ED,kpi_005,kpi_006,0.3274,344,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_002,kpi_001_kpi_002,HOSP-001,DEPT-ICU,kpi_001,kpi_002,0.422,390,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_003,kpi_001_kpi_003,HOSP-001,DEPT-ICU,kpi_001,kpi_003,0.3746,656,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_004,kpi_001_kpi_004,HOSP-001,DEPT-ICU,kpi_001,kpi_004,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_005,kpi_001_kpi_005,HOSP-001,DEPT-ICU,kpi_001,kpi_005,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_006,kpi_001_kpi_006,HOSP-001,DEPT-ICU,kpi_001,kpi_006,0.3566,501,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_002-kpi_003,kpi_002_kpi_003,HOSP-001,DEPT-ICU,kpi_002,kpi_003,0.3795,631,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_002-kpi_004,kpi_002_kpi_004,HOSP-001,DEPT-ICU,kpi_002,kpi_004,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_002-kpi_005,kpi_002_kpi_005,HOSP-001,DEPT-ICU,kpi_002,kpi_005,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_002-kpi_006,kpi_002_kpi_006,HOSP-001,DEPT-ICU,kpi_002,kpi_006,0.36,482,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_003-kpi_004,kpi_003_kpi_004,HOSP-001,DEPT-ICU,kpi_003,kpi_004,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_003-kpi_005,kpi_003_kpi_005,HOSP-001,DEPT-ICU,kpi_003,kpi_005,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_003-kpi_006,kpi_003_kpi_006,HOSP-001,DEPT-ICU,kpi_003,kpi_006,0.3685,448,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_004-kpi_005,kpi_004_kpi_005,HOSP-001,DEPT-ICU,kpi_004,kpi_005,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_004-kpi_006,kpi_004_kpi_006,HOSP-001,DEPT-ICU,kpi_004,kpi_006,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_005-kpi_006,kpi_005_kpi_006,HOSP-001,DEPT-ICU,kpi_005,kpi_006,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_001-kpi_002,kpi_001_kpi_002,HOSP-001,DEPT-MED,kpi_001,kpi_002,0.4266,393,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_001-kpi_003,kpi_001_kpi_003,HOSP-001,DEPT-MED,kpi_001,kpi_003,0.3767,682,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_001-kpi_004,kpi_001_kpi_004,HOSP-001,DEPT-MED,kpi_001,kpi_004,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_001-kpi_005,kpi_001_kpi_005,HOSP-001,DEPT-MED,kpi_001,kpi_005,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_001-kpi_006,kpi_001_kpi_006,HOSP-001,DEPT-MED,kpi_001,kpi_006,0.3377,539,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_002-kpi_003,kpi_002_kpi_003,HOSP-001,DEPT-MED,kpi_002,kpi_003,0.3736,702,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_002-kpi_004,kpi_002_kpi_004,HOSP-001,DEPT-MED,kpi_002,kpi_004,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_002-kpi_005,kpi_002_kpi_005,HOSP-001,DEPT-MED,kpi_002,kpi_005,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_002-kpi_006,kpi_002_kpi_006,HOSP-001,DEPT-MED,kpi_002,kpi_006,0.3465,500,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_003-kpi_004,kpi_003_kpi_004,HOSP-001,DEPT-MED,kpi_003,kpi_004,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_003-kpi_005,kpi_003_kpi_005,HOSP-001,DEPT-MED,kpi_003,kpi_005,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_003-kpi_006,kpi_003_kpi_006,HOSP-001,DEPT-MED,kpi_003,kpi_006,0.3472,501,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_004-kpi_005,kpi_004_kpi_005,HOSP-001,DEPT-MED,kpi_004,kpi_005,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_004-kpi_006,kpi_004_kpi_006,HOSP-001,DEPT-MED,kpi_004,kpi_006,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_005-kpi_006,kpi_005_kpi_006,HOSP-001,DEPT-MED,kpi_005,kpi_006,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_001-kpi_002,kpi_001_kpi_002,HOSP-001,DEPT-OPC,kpi_001,kpi_002,0.417,262,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_001-kpi_003,kpi_001_kpi_003,HOSP-001,DEPT-OPC,kpi_001,kpi_003,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_001-kpi_004,kpi_001_kpi_004,HOSP-001,DEPT-OPC,kpi_001,kpi_004,0.3671,681,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_001-kpi_005,kpi_001_kpi_005,HOSP-001,DEPT-OPC,kpi_001,kpi_005,0.3319,431,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_001-kpi_006,kpi_001_kpi_006,HOSP-001,DEPT-OPC,kpi_001,kpi_006,0.3563,516,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_002-kpi_003,kpi_002_kpi_003,HOSP-001,DEPT-OPC,kpi_002,kpi_003,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_002-kpi_004,kpi_002_kpi_004,HOSP-001,DEPT-OPC,kpi_002,kpi_004,0.3619,601,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_002-kpi_005,kpi_002_kpi_005,HOSP-001,DEPT-OPC,kpi_002,kpi_005,0.3396,393,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_002-kpi_006,kpi_002_kpi_006,HOSP-001,DEPT-OPC,kpi_002,kpi_006,0.3553,449,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_003-kpi_004,kpi_003_kpi_004,HOSP-001,DEPT-OPC,kpi_003,kpi_004,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_003-kpi_005,kpi_003_kpi_005,HOSP-001,DEPT-OPC,kpi_003,kpi_005,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_003-kpi_006,kpi_003_kpi_006,HOSP-001,DEPT-OPC,kpi_003,kpi_006,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_004-kpi_005,kpi_004_kpi_005,HOSP-001,DEPT-OPC,kpi_004,kpi_005,0.335,425,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_004-kpi_006,kpi_004_kpi_006,HOSP-001,DEPT-OPC,kpi_004,kpi_006,0.3692,507,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_005-kpi_006,kpi_005_kpi_006,HOSP-001,DEPT-OPC,kpi_005,kpi_006,0.3309,366,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_001-kpi_002,kpi_001_kpi_002,HOSP-001,DEPT-PEX,kpi_001,kpi_002,0.4129,307,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_001-kpi_003,kpi_001_kpi_003,HOSP-001,DEPT-PEX,kpi_001,kpi_003,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_001-kpi_004,kpi_001_kpi_004,HOSP-001,DEPT-PEX,kpi_001,kpi_004,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_001-kpi_005,kpi_001_kpi_005,HOSP-001,DEPT-PEX,kpi_001,kpi_005,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_001-kpi_006,kpi_001_kpi_006,HOSP-001,DEPT-PEX,kpi_001,kpi_006,0.3617,503,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_002-kpi_003,kpi_002_kpi_003,HOSP-001,DEPT-PEX,kpi_002,kpi_003,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_002-kpi_004,kpi_002_kpi_004,HOSP-001,DEPT-PEX,kpi_002,kpi_004,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_002-kpi_005,kpi_002_kpi_005,HOSP-001,DEPT-PEX,kpi_002,kpi_005,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_002-kpi_006,kpi_002_kpi_006,HOSP-001,DEPT-PEX,kpi_002,kpi_006,0.3574,433,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_003-kpi_004,kpi_003_kpi_004,HOSP-001,DEPT-PEX,kpi_003,kpi_004,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_003-kpi_005,kpi_003_kpi_005,HOSP-001,DEPT-PEX,kpi_003,kpi_005,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_003-kpi_006,kpi_003_kpi_006,HOSP-001,DEPT-PEX,kpi_003,kpi_006,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_004-kpi_005,kpi_004_kpi_005,HOSP-001,DEPT-PEX,kpi_004,kpi_005,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_004-kpi_006,kpi_004_kpi_006,HOSP-001,DEPT-PEX,kpi_004,kpi_006,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_005-kpi_006,kpi_005_kpi_006,HOSP-001,DEPT-PEX,kpi_005,kpi_006,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_001-kpi_002,kpi_001_kpi_002,HOSP-001,DEPT-SURG,kpi_001,kpi_002,0.4236,301,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_001-kpi_003,kpi_001_kpi_003,HOSP-001,DEPT-SURG,kpi_001,kpi_003,0.3741,608,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_001-kpi_004,kpi_001_kpi_004,HOSP-001,DEPT-SURG,kpi_001,kpi_004,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_001-kpi_005,kpi_001_kpi_005,HOSP-001,DEPT-SURG,kpi_001,kpi_005,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_001-kpi_006,kpi_001_kpi_006,HOSP-001,DEPT-SURG,kpi_001,kpi_006,0.3483,484,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_002-kpi_003,kpi_002_kpi_003,HOSP-001,DEPT-SURG,kpi_002,kpi_003,0.3741,651,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_002-kpi_004,kpi_002_kpi_004,HOSP-001,DEPT-SURG,kpi_002,kpi_004,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_002-kpi_005,kpi_002_kpi_005,HOSP-001,DEPT-SURG,kpi_002,kpi_005,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_002-kpi_006,kpi_002_kpi_006,HOSP-001,DEPT-SURG,kpi_002,kpi_006,0.3513,498,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_003-kpi_004,kpi_003_kpi_004,HOSP-001,DEPT-SURG,kpi_003,kpi_004,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_003-kpi_005,kpi_003_kpi_005,HOSP-001,DEPT-SURG,kpi_003,kpi_005,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_003-kpi_006,kpi_003_kpi_006,HOSP-001,DEPT-SURG,kpi_003,kpi_006,0.3595,508,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_004-kpi_005,kpi_004_kpi_005,HOSP-001,DEPT-SURG,kpi_004,kpi_005,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_004-kpi_006,kpi_004_kpi_006,HOSP-001,DEPT-SURG,kpi_004,kpi_006,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_005-kpi_006,kpi_005_kpi_006,HOSP-001,DEPT-SURG,kpi_005,kpi_006,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-ALL-kpi_001-kpi_002,kpi_001_kpi_002,HOSP-001,ALL,kpi_001,kpi_002,0.3745,38941,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-ALL-kpi_001-kpi_003,kpi_001_kpi_003,HOSP-001,ALL,kpi_001,kpi_003,0.3716,16270,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-ALL-kpi_001-kpi_004,kpi_001_kpi_004,HOSP-001,ALL,kpi_001,kpi_004,0.3707,16579,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-ALL-kpi_001-kpi_005,kpi_001_kpi_005,HOSP-001,ALL,kpi_001,kpi_005,0.3323,10522,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-ALL-kpi_001-kpi_006,kpi_001_kpi_006,HOSP-001,ALL,kpi_001,kpi_006,0.3544,32728,RELCF-20260728043649,2026-07-28T04:36:50.467368
