relationship_record_id,relationship_id,hospital_id,department_id,source_kpi_id,target_kpi_id,possible_observation_count,paired_observation_count,paired_availability_rate,direction_agreement_rate,both_assessable_count,both_green_count,either_amber_count,both_amber_or_worse_count,either_red_or_worse_count,both_red_or_worse_count,adverse_cooccurrence_rate,conditional_adverse_rate,reverse_conditional_adverse_rate,trend_agreement_rate,both_deteriorating_count,opposing_trend_count,engine_run_id,processed_at
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_003-kpi_005,kpi_003_kpi_005,HOSP-001,DEPT-ADM,kpi_003,kpi_005,365,0,0.0,,365,0,0,0,0,0,0.0,,,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_003-kpi_006,kpi_003_kpi_006,HOSP-001,DEPT-ADM,kpi_003,kpi_006,365,0,0.0,,365,0,19,0,30,0,0.0,,0.0,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_004-kpi_005,kpi_004_kpi_005,HOSP-001,DEPT-ADM,kpi_004,kpi_005,365,0,0.0,,365,0,0,0,0,0,0.0,,,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_004-kpi_006,kpi_004_kpi_006,HOSP-001,DEPT-ADM,kpi_004,kpi_006,365,0,0.0,,365,0,19,0,30,0,0.0,,0.0,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_005-kpi_006,kpi_005_kpi_006,HOSP-001,DEPT-ADM,kpi_005,kpi_006,365,0,0.0,,365,0,19,0,30,0,0.0,,0.0,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_001-kpi_002,kpi_001_kpi_002,HOSP-001,DEPT-DIAG,kpi_001,kpi_002,365,365,1.0,0.2115,365,251,67,44,61,17,0.1205,0.6471,0.4889,0.4269,466,368,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_001-kpi_003,kpi_001_kpi_003,HOSP-001,DEPT-DIAG,kpi_001,kpi_003,365,0,0.0,,365,0,33,0,35,0,0.0,0.0,,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_001-kpi_004,kpi_001_kpi_004,HOSP-001,DEPT-DIAG,kpi_001,kpi_004,365,365,1.0,0.478,365,239,70,18,66,6,0.0493,0.2647,0.2368,0.3781,370,666,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_001-kpi_005,kpi_001_kpi_005,HOSP-001,DEPT-DIAG,kpi_001,kpi_005,365,327,0.8959,0.365,365,150,105,33,95,7,0.0904,0.4853,0.2245,0.3419,210,463,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_001-kpi_006,kpi_001_kpi_006,HOSP-001,DEPT-DIAG,kpi_001,kpi_006,365,297,0.8137,0.3581,365,207,46,14,61,3,0.0384,0.2059,0.2979,0.3546,241,517,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_002-kpi_003,kpi_002_kpi_003,HOSP-001,DEPT-DIAG,kpi_002,kpi_003,365,0,0.0,,365,0,47,0,43,0,0.0,0.0,,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_002-kpi_004,kpi_002_kpi_004,HOSP-001,DEPT-DIAG,kpi_002,kpi_004,365,365,1.0,0.4176,365,222,80,23,75,5,0.063,0.2556,0.3026,0.3682,333,720,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_002-kpi_005,kpi_002_kpi_005,HOSP-001,DEPT-DIAG,kpi_002,kpi_005,365,327,0.8959,0.3037,365,128,121,30,102,8,0.0822,0.3333,0.2041,0.3427,203,462,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_002-kpi_006,kpi_002_kpi_006,HOSP-001,DEPT-DIAG,kpi_002,kpi_006,365,297,0.8137,0.3446,365,191,60,14,71,1,0.0384,0.1556,0.2979,0.3613,249,486,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_003-kpi_004,kpi_003_kpi_004,HOSP-001,DEPT-DIAG,kpi_003,kpi_004,365,0,0.0,,365,0,39,0,37,0,0.0,,0.0,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_003-kpi_005,kpi_003_kpi_005,HOSP-001,DEPT-DIAG,kpi_003,kpi_005,365,0,0.0,,365,0,80,0,67,0,0.0,,0.0,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_003-kpi_006,kpi_003_kpi_006,HOSP-001,DEPT-DIAG,kpi_003,kpi_006,365,0,0.0,,365,0,18,0,29,0,0.0,,0.0,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_004-kpi_005,kpi_004_kpi_005,HOSP-001,DEPT-DIAG,kpi_004,kpi_005,365,327,0.8959,0.3497,365,150,109,36,93,11,0.0986,0.4737,0.2449,0.3454,243,453,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_004-kpi_006,kpi_004_kpi_006,HOSP-001,DEPT-DIAG,kpi_004,kpi_006,365,297,0.8137,0.4257,365,211,53,17,63,3,0.0466,0.2237,0.3617,0.3587,274,512,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_005-kpi_006,kpi_005_kpi_006,HOSP-001,DEPT-DIAG,kpi_005,kpi_006,365,297,0.8137,0.2635,365,145,91,20,92,4,0.0548,0.1361,0.4255,0.3326,156,412,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_001-kpi_002,kpi_001_kpi_002,HOSP-001,DEPT-ED,kpi_001,kpi_002,365,365,1.0,0.1593,365,271,56,38,48,20,0.1041,0.5758,0.5758,0.4217,472,315,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_001-kpi_003,kpi_001_kpi_003,HOSP-001,DEPT-ED,kpi_001,kpi_003,365,0,0.0,,365,0,34,0,32,0,0.0,0.0,,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_001-kpi_004,kpi_001_kpi_004,HOSP-001,DEPT-ED,kpi_001,kpi_004,365,365,1.0,0.4203,365,249,67,21,60,6,0.0575,0.3182,0.2958,0.3662,377,730,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_001-kpi_005,kpi_001_kpi_005,HOSP-001,DEPT-ED,kpi_001,kpi_005,365,324,0.8877,0.2786,365,241,52,8,39,3,0.0219,0.1212,0.2581,0.3256,160,410,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_001-kpi_006,kpi_001_kpi_006,HOSP-001,DEPT-ED,kpi_001,kpi_006,365,305,0.8356,0.3849,365,209,52,11,59,4,0.0301,0.1667,0.2157,0.3504,239,524,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_002-kpi_003,kpi_002_kpi_003,HOSP-001,DEPT-ED,kpi_002,kpi_003,365,0,0.0,,365,0,30,0,36,0,0.0,0.0,,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_002-kpi_004,kpi_002_kpi_004,HOSP-001,DEPT-ED,kpi_002,kpi_004,365,365,1.0,0.4093,365,257,61,29,62,8,0.0795,0.4394,0.4085,0.3603,346,686,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_002-kpi_005,kpi_002_kpi_005,HOSP-001,DEPT-ED,kpi_002,kpi_005,365,324,0.8877,0.2848,365,241,49,8,44,2,0.0219,0.1212,0.2581,0.3246,145,401,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_002-kpi_006,kpi_002_kpi_006,HOSP-001,DEPT-ED,kpi_002,kpi_006,365,305,0.8356,0.3191,365,212,48,14,62,5,0.0384,0.2121,0.2745,0.3508,242,475,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_003-kpi_004,kpi_003_kpi_004,HOSP-001,DEPT-ED,kpi_003,kpi_004,365,0,0.0,,365,0,37,0,34,0,0.0,,0.0,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_003-kpi_005,kpi_003_kpi_005,HOSP-001,DEPT-ED,kpi_003,kpi_005,365,0,0.0,,365,0,21,0,10,0,0.0,,0.0,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_003-kpi_006,kpi_003_kpi_006,HOSP-001,DEPT-ED,kpi_003,kpi_006,365,0,0.0,,365,0,20,0,31,0,0.0,,0.0,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_004-kpi_005,kpi_004_kpi_005,HOSP-001,DEPT-ED,kpi_004,kpi_005,365,324,0.8877,0.387,365,239,52,13,43,1,0.0356,0.1831,0.4194,0.3358,221,360,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_004-kpi_006,kpi_004_kpi_006,HOSP-001,DEPT-ED,kpi_004,kpi_006,365,305,0.8356,0.4309,365,213,51,20,58,7,0.0548,0.2817,0.3922,0.3558,295,510,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_005-kpi_006,kpi_005_kpi_006,HOSP-001,DEPT-ED,kpi_005,kpi_006,365,305,0.8356,0.3059,365,231,40,5,40,1,0.0137,0.1613,0.098,0.3274,126,344,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_002,kpi_001_kpi_002,HOSP-001,DEPT-ICU,kpi_001,kpi_002,365,365,1.0,0.1593,365,273,63,34,41,14,0.0932,0.5312,0.5484,0.422,463,390,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_003,kpi_001_kpi_003,HOSP-001,DEPT-ICU,kpi_001,kpi_003,365,365,1.0,0.3819,365,0,36,16,65,6,0.0438,0.25,0.1702,0.3746,359,656,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_004,kpi_001_kpi_004,HOSP-001,DEPT-ICU,kpi_001,kpi_004,365,0,0.0,,365,0,36,0,28,0,0.0,0.0,,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_005,kpi_001_kpi_005,HOSP-001,DEPT-ICU,kpi_001,kpi_005,365,0,0.0,,365,0,36,0,28,0,0.0,0.0,,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_006,kpi_001_kpi_006,HOSP-001,DEPT-ICU,kpi_001,kpi_006,365,280,0.7671,0.3907,365,202,50,10,55,1,0.0274,0.1562,0.2222,0.3566,221,501,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_002-kpi_003,kpi_002_kpi_003,HOSP-001,DEPT-ICU,kpi_002,kpi_003,365,365,1.0,0.4368,365,0,35,18,61,9,0.0493,0.2903,0.1915,0.3795,383,631,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_002-kpi_004,kpi_002_kpi_004,HOSP-001,DEPT-ICU,kpi_002,kpi_004,365,0,0.0,,365,0,35,0,27,0,0.0,0.0,,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_002-kpi_005,kpi_002_kpi_005,HOSP-001,DEPT-ICU,kpi_002,kpi_005,365,0,0.0,,365,0,35,0,27,0,0.0,0.0,,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_002-kpi_006,kpi_002_kpi_006,HOSP-001,DEPT-ICU,kpi_002,kpi_006,365,280,0.7671,0.3441,365,196,51,8,54,1,0.0219,0.129,0.1778,0.36,240,482,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_003-kpi_004,kpi_003_kpi_004,HOSP-001,DEPT-ICU,kpi_003,kpi_004,365,0,0.0,,365,0,0,0,43,0,0.0,0.0,,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_003-kpi_005,kpi_003_kpi_005,HOSP-001,DEPT-ICU,kpi_003,kpi_005,365,0,0.0,,365,0,0,0,43,0,0.0,0.0,,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_003-kpi_006,kpi_003_kpi_006,HOSP-001,DEPT-ICU,kpi_003,kpi_006,365,280,0.7671,0.4265,365,0,17,14,64,7,0.0384,0.1489,0.3111,0.3685,296,448,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_004-kpi_005,kpi_004_kpi_005,HOSP-001,DEPT-ICU,kpi_004,kpi_005,365,0,0.0,,365,0,0,0,0,0,0.0,,,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_004-kpi_006,kpi_004_kpi_006,HOSP-001,DEPT-ICU,kpi_004,kpi_006,365,0,0.0,,365,0,17,0,28,0,0.0,,0.0,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_005-kpi_006,kpi_005_kpi_006,HOSP-001,DEPT-ICU,kpi_005,kpi_006,365,0,0.0,,365,0,17,0,28,0,0.0,,0.0,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_001-kpi_002,kpi_001_kpi_002,HOSP-001,DEPT-MED,kpi_001,kpi_002,365,365,1.0,0.2253,365,299,43,25,33,6,0.0685,0.5814,0.5208,0.4266,458,393,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_001-kpi_003,kpi_001_kpi_003,HOSP-001,DEPT-MED,kpi_001,kpi_003,365,365,1.0,0.4313,365,0,25,15,55,5,0.0411,0.3488,0.2174,0.3767,346,682,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_001-kpi_004,kpi_001_kpi_004,HOSP-001,DEPT-MED,kpi_001,kpi_004,365,0,0.0,,365,0,25,0,18,0,0.0,0.0,,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_001-kpi_005,kpi_001_kpi_005,HOSP-001,DEPT-MED,kpi_001,kpi_005,365,0,0.0,,365,0,25,0,18,0,0.0,0.0,,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_001-kpi_006,kpi_001_kpi_006,HOSP-001,DEPT-MED,kpi_001,kpi_006,365,296,0.811,0.3492,365,219,47,5,42,0,0.0137,0.1163,0.1064,0.3377,205,539,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_002-kpi_003,kpi_002_kpi_003,HOSP-001,DEPT-MED,kpi_002,kpi_003,365,365,1.0,0.4478,365,0,27,17,56,7,0.0466,0.3542,0.2464,0.3736,331,702,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_002-kpi_004,kpi_002_kpi_004,HOSP-001,DEPT-MED,kpi_002,kpi_004,365,0,0.0,,365,0,27,0,21,0,0.0,0.0,,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_002-kpi_005,kpi_002_kpi_005,HOSP-001,DEPT-MED,kpi_002,kpi_005,365,0,0.0,,365,0,27,0,21,0,0.0,0.0,,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_002-kpi_006,kpi_002_kpi_006,HOSP-001,DEPT-MED,kpi_002,kpi_006,365,296,0.811,0.4169,365,216,49,7,44,1,0.0192,0.1458,0.1489,0.3465,236,500,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_003-kpi_004,kpi_003_kpi_004,HOSP-001,DEPT-MED,kpi_003,kpi_004,365,0,0.0,,365,0,0,0,42,0,0.0,0.0,,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_003-kpi_005,kpi_003_kpi_005,HOSP-001,DEPT-MED,kpi_003,kpi_005,365,0,0.0,,365,0,0,0,42,0,0.0,0.0,,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_003-kpi_006,kpi_003_kpi_006,HOSP-001,DEPT-MED,kpi_003,kpi_006,365,296,0.811,0.3763,365,0,23,10,61,5,0.0274,0.1449,0.2128,0.3472,258,501,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_004-kpi_005,kpi_004_kpi_005,HOSP-001,DEPT-MED,kpi_004,kpi_005,365,0,0.0,,365,0,0,0,0,0,0.0,,,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_004-kpi_006,kpi_004_kpi_006,HOSP-001,DEPT-MED,kpi_004,kpi_006,365,0,0.0,,365,0,23,0,24,0,0.0,,0.0,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_005-kpi_006,kpi_005_kpi_006,HOSP-001,DEPT-MED,kpi_005,kpi_006,365,0,0.0,,365,0,23,0,24,0,0.0,,0.0,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_001-kpi_002,kpi_001_kpi_002,HOSP-001,DEPT-OPC,kpi_001,kpi_002,365,365,1.0,0.1319,365,253,63,54,59,30,0.1479,0.6136,0.6923,0.417,438,262,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_001-kpi_003,kpi_001_kpi_003,HOSP-001,DEPT-OPC,kpi_001,kpi_003,365,0,0.0,,365,0,38,0,50,0,0.0,0.0,,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_001-kpi_004,kpi_001_kpi_004,HOSP-001,DEPT-OPC,kpi_001,kpi_004,365,365,1.0,0.456,365,232,66,26,83,6,0.0712,0.2955,0.3662,0.3671,350,681,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_001-kpi_005,kpi_001_kpi_005,HOSP-001,DEPT-OPC,kpi_001,kpi_005,365,333,0.9123,0.3343,365,233,45,8,70,2,0.0219,0.0909,0.2667,0.3319,182,431,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_001-kpi_006,kpi_001_kpi_006,HOSP-001,DEPT-OPC,kpi_001,kpi_006,365,303,0.8301,0.3311,365,199,53,15,75,5,0.0411,0.1705,0.3125,0.3563,260,516,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_002-kpi_003,kpi_002_kpi_003,HOSP-001,DEPT-OPC,kpi_002,kpi_003,365,0,0.0,,365,0,39,0,39,0,0.0,0.0,,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_002-kpi_004,kpi_002_kpi_004,HOSP-001,DEPT-OPC,kpi_002,kpi_004,365,365,1.0,0.3901,365,240,67,24,71,7,0.0658,0.3077,0.338,0.3619,325,601,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_002-kpi_005,kpi_002_kpi_005,HOSP-001,DEPT-OPC,kpi_002,kpi_005,365,333,0.9123,0.2801,365,241,47,8,58,3,0.0219,0.1026,0.2667,0.3396,176,393,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_002-kpi_006,kpi_002_kpi_006,HOSP-001,DEPT-OPC,kpi_002,kpi_006,365,303,0.8301,0.3179,365,204,56,12,64,5,0.0329,0.1538,0.25,0.3553,259,449,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_003-kpi_004,kpi_003_kpi_004,HOSP-001,DEPT-OPC,kpi_003,kpi_004,365,0,0.0,,365,0,32,0,39,0,0.0,,0.0,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_003-kpi_005,kpi_003_kpi_005,HOSP-001,DEPT-OPC,kpi_003,kpi_005,365,0,0.0,,365,0,8,0,22,0,0.0,,0.0,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_003-kpi_006,kpi_003_kpi_006,HOSP-001,DEPT-OPC,kpi_003,kpi_006,365,0,0.0,,365,0,18,0,30,0,0.0,,0.0,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_004-kpi_005,kpi_004_kpi_005,HOSP-001,DEPT-OPC,kpi_004,kpi_005,365,333,0.9123,0.3253,365,254,38,17,54,7,0.0466,0.2394,0.5667,0.335,225,425,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_004-kpi_006,kpi_004_kpi_006,HOSP-001,DEPT-OPC,kpi_004,kpi_006,365,303,0.8301,0.3907,365,214,47,19,60,9,0.0521,0.2676,0.3958,0.3692,311,507,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_005-kpi_006,kpi_005_kpi_006,HOSP-001,DEPT-OPC,kpi_005,kpi_006,365,303,0.8301,0.2815,365,235,26,6,48,4,0.0164,0.2,0.125,0.3309,165,366,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_001-kpi_002,kpi_001_kpi_002,HOSP-001,DEPT-PEX,kpi_001,kpi_002,365,365,1.0,0.1758,365,242,78,55,57,26,0.1507,0.6548,0.5851,0.4129,432,307,RELCF-20260728043649,2026-07-28T04:36:50.467368
