reporting_date,hospital_id,department_id,department_risk_score_normalized,department_priority_tier,urgency_level,rank_within_hospital,dominant_kpi_id,dominant_kpi_name,dominant_driver_reason,secondary_driver_1,secondary_driver_2,assessable_kpi_count,provisional_risk_flag,confidence_level,evidence_pack_id,engine_run_id,processed_at
2026-01-02,HOSP-001,DEPT-ICU,12.3459,Stable,Prompt Review,3,kpi_002,Staff Absenteeism Rate,watch=Moderate,kpi_003,kpi_001,4,False,Low,DEP-EP-1C239F186C08,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-02,HOSP-001,DEPT-ED,5.6686,Stable,Routine Monitoring,4,kpi_005,Patient Complaint Rate,watch=Low,kpi_002,kpi_004,5,True,Low,DEP-EP-C20A3AA45221,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-02,HOSP-001,DEPT-PEX,3.3965,Stable,Routine Monitoring,5,kpi_006,Patient Satisfaction Score,watch=Low,kpi_001,kpi_002,3,False,Moderate,DEP-EP-199C46086F0F,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-02,HOSP-001,DEPT-OPC,3.2267,Stable,Routine Monitoring,6,kpi_004,Average Patient Waiting Time,No current adverse indicators,kpi_006,kpi_001,5,False,Low,DEP-EP-BD19456AECAF,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-02,HOSP-001,DEPT-ADM,3.1135,Stable,Routine Monitoring,7,kpi_006,Patient Satisfaction Score,watch=Low,kpi_001,kpi_002,3,False,Moderate,DEP-EP-9C0D2F6C9B2E,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-02,HOSP-001,DEPT-DIAG,0.0,Stable,Routine Monitoring,8,kpi_001,Staffing Level,No current adverse indicators,kpi_002,kpi_004,3,False,Moderate,DEP-EP-90347F9E21BE,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-03,HOSP-001,DEPT-PEX,53.674,Elevated,Immediate Review,1,kpi_002,Staff Absenteeism Rate,threshold=Red; breach=Provisional Breach; watch=High,kpi_001,kpi_006,3,False,Moderate,DEP-EP-B17BD3B5B23B,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-03,HOSP-001,DEPT-MED,46.5368,Elevated,Immediate Review,2,kpi_006,Patient Satisfaction Score,threshold=Red; breach=Provisional Breach; watch=High,kpi_001,kpi_003,4,False,Low,DEP-EP-35D498EB23F9,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-03,HOSP-001,DEPT-DIAG,43.9849,Elevated,Immediate Review,3,kpi_002,Staff Absenteeism Rate,threshold=Red; breach=Provisional Breach; watch=High,kpi_006,kpi_001,5,False,Low,DEP-EP-D631F50ACF34,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-03,HOSP-001,DEPT-ICU,25.4817,Monitor,Prompt Review,4,kpi_003,Bed Occupancy Rate,threshold=Low Utilisation; breach=Provisional Breach; watch=Moderate,kpi_002,kpi_001,4,True,Low,DEP-EP-1FE0839774D4,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-03,HOSP-001,DEPT-SURG,21.4036,Monitor,Routine Monitoring,5,kpi_003,Bed Occupancy Rate,threshold=Low Utilisation; breach=Provisional Breach; watch=Moderate,kpi_006,kpi_002,4,True,Low,DEP-EP-86BEFE455035,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-03,HOSP-001,DEPT-ED,5.6686,Stable,Routine Monitoring,6,kpi_005,Patient Complaint Rate,watch=Low,kpi_002,kpi_004,5,True,Low,DEP-EP-2DC83F4DB6A0,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-03,HOSP-001,DEPT-ADM,3.6795,Stable,Routine Monitoring,7,kpi_001,Staffing Level,No current adverse indicators,kpi_006,kpi_002,3,False,Moderate,DEP-EP-32861815E582,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-03,HOSP-001,DEPT-OPC,3.2267,Stable,Routine Monitoring,8,kpi_004,Average Patient Waiting Time,No current adverse indicators,kpi_006,kpi_001,5,False,Low,DEP-EP-4EC3C2ACB876,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-04,HOSP-001,DEPT-ICU,53.9701,Elevated,Immediate Review,1,kpi_002,Staff Absenteeism Rate,threshold=Red; breach=Provisional Breach; watch=High,kpi_003,kpi_001,4,True,Low,DEP-EP-D72A4BDFCFAA,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-04,HOSP-001,DEPT-DIAG,33.9402,Monitor,Review Soon,2,kpi_006,Patient Satisfaction Score,threshold=Amber; breach=Provisional Breach; watch=Moderate,kpi_005,kpi_001,5,True,Low,DEP-EP-2EC83626EFA5,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-04,HOSP-001,DEPT-SURG,31.7597,Monitor,Review Soon,3,kpi_006,Patient Satisfaction Score,threshold=Amber; breach=Provisional Breach; watch=Moderate,kpi_003,kpi_002,4,False,Low,DEP-EP-864D511DE8C2,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-04,HOSP-001,DEPT-MED,23.8181,Monitor,Routine Monitoring,4,kpi_003,Bed Occupancy Rate,threshold=Low Utilisation; breach=Provisional Breach; watch=Moderate,kpi_001,kpi_002,3,True,Low,DEP-EP-5438190EE3BD,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-04,HOSP-001,DEPT-ED,3.8398,Stable,Routine Monitoring,5,kpi_002,Staff Absenteeism Rate,No current adverse indicators,kpi_004,kpi_006,5,False,Low,DEP-EP-251ED462ADC9,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-04,HOSP-001,DEPT-ADM,3.6795,Stable,Routine Monitoring,6,kpi_001,Staffing Level,No current adverse indicators,kpi_006,kpi_002,3,False,Moderate,DEP-EP-3C3E8C80E947,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-04,HOSP-001,DEPT-OPC,3.3138,Stable,Routine Monitoring,7,kpi_004,Average Patient Waiting Time,No current adverse indicators,kpi_005,kpi_001,4,False,Low,DEP-EP-5AF69DE00F4D,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-04,HOSP-001,DEPT-PEX,1.6982,Stable,Routine Monitoring,8,kpi_001,Staffing Level,watch=Informational,kpi_002,,2,False,Moderate,DEP-EP-F163B687FC58,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-05,HOSP-001,DEPT-ICU,22.6639,Monitor,Prompt Review,1,kpi_003,Bed Occupancy Rate,threshold=Low Utilisation; breach=Provisional Breach; watch=Moderate,kpi_002,kpi_006,4,True,Low,DEP-EP-5DC0F20FAB46,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-05,HOSP-001,DEPT-MED,23.16,Monitor,Routine Monitoring,2,kpi_003,Bed Occupancy Rate,threshold=Low Utilisation; breach=Provisional Breach; watch=Moderate,kpi_006,kpi_001,4,True,Low,DEP-EP-0C433EBC84DE,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-05,HOSP-001,DEPT-SURG,20.9791,Monitor,Routine Monitoring,3,kpi_003,Bed Occupancy Rate,threshold=Low Utilisation; breach=Provisional Breach; watch=Moderate,kpi_006,kpi_002,4,True,Low,DEP-EP-C631C749BBC8,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-05,HOSP-001,DEPT-DIAG,6.4534,Stable,Routine Monitoring,4,kpi_006,Patient Satisfaction Score,watch=Low,kpi_002,kpi_004,5,False,Low,DEP-EP-88DF36FB0002,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-05,HOSP-001,DEPT-PEX,4.2456,Stable,Routine Monitoring,5,kpi_001,Staffing Level,watch=Low,kpi_002,,2,False,Moderate,DEP-EP-EF086B9F64CE,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-05,HOSP-001,DEPT-ADM,3.6795,Stable,Routine Monitoring,6,kpi_001,Staffing Level,No current adverse indicators,kpi_006,kpi_002,3,False,Moderate,DEP-EP-E0ACC370089E,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-05,HOSP-001,DEPT-ED,3.5663,Stable,Routine Monitoring,7,kpi_001,Staffing Level,No current adverse indicators,kpi_002,kpi_006,5,False,Low,DEP-EP-B1B9F3CD2F87,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-05,HOSP-001,DEPT-OPC,3.2267,Stable,Routine Monitoring,8,kpi_001,Staffing Level,No current adverse indicators,kpi_006,kpi_002,5,False,Low,DEP-EP-E83913480B21,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-06,HOSP-001,DEPT-ICU,68.5204,High,Immediate Review,1,kpi_001,Staffing Level,threshold=Red; breach=Provisional Breach; watch=High; trend=deteriorating,kpi_003,kpi_002,3,True,Moderate,DEP-EP-7CEB70E3CBAA,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-06,HOSP-001,DEPT-ED,49.3309,Elevated,Prompt Review,2,kpi_002,Staff Absenteeism Rate,threshold=Amber; breach=Provisional Breach; watch=High; trend=deteriorating,kpi_001,kpi_004,5,False,Moderate,DEP-EP-9F36FCA5A73E,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-06,HOSP-001,DEPT-MED,34.8173,Monitor,Review Soon,3,kpi_003,Bed Occupancy Rate,threshold=Lower Amber; breach=Provisional Breach; watch=Moderate,kpi_002,kpi_001,3,True,Moderate,DEP-EP-DE23BCEDF1E7,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-06,HOSP-001,DEPT-SURG,18.9147,Monitor,Routine Monitoring,4,kpi_006,Patient Satisfaction Score,watch=Moderate; trend=deteriorating,kpi_003,kpi_002,4,False,Moderate,DEP-EP-958DE997E795,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-06,HOSP-001,DEPT-DIAG,18.7404,Monitor,Routine Monitoring,5,kpi_002,Staff Absenteeism Rate,watch=Moderate; trend=deteriorating,kpi_006,kpi_001,5,False,Low,DEP-EP-982AE568FF6D,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-06,HOSP-001,DEPT-OPC,18.5536,Monitor,Routine Monitoring,6,kpi_004,Average Patient Waiting Time,watch=Moderate; trend=deteriorating,kpi_001,kpi_006,5,False,Moderate,DEP-EP-7A5EC035074D,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-06,HOSP-001,DEPT-PEX,15.6985,Monitor,Routine Monitoring,7,kpi_001,Staffing Level,watch=Low; trend=deteriorating,kpi_002,kpi_006,3,False,Moderate,DEP-EP-6220296731EC,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-06,HOSP-001,DEPT-ADM,13.5325,Stable,Routine Monitoring,8,kpi_006,Patient Satisfaction Score,watch=Low; trend=deteriorating,kpi_001,kpi_002,3,False,High,DEP-EP-54E585172551,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-07,HOSP-001,DEPT-ED,80.6793,Critical,Immediate Review,1,kpi_001,Staffing Level,threshold=Red; breach=Provisional Breach; watch=Critical; trend=deteriorating,kpi_002,kpi_004,3,False,High,DEP-EP-9C34E063804B,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-07,HOSP-001,DEPT-OPC,77.1288,Critical,Immediate Review,2,kpi_001,Staffing Level,threshold=Red; breach=Provisional Breach; watch=Critical; trend=deteriorating,kpi_002,kpi_004,5,False,Moderate,DEP-EP-338DE0DB5116,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-07,HOSP-001,DEPT-DIAG,43.5396,Elevated,Immediate Review,3,kpi_005,Patient Complaint Rate,threshold=Red; breach=Provisional Breach; watch=High,kpi_002,kpi_001,5,True,Moderate,DEP-EP-1ADB319450E5,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-07,HOSP-001,DEPT-ADM,45.5462,Elevated,Prompt Review,4,kpi_001,Staffing Level,threshold=Amber; breach=Provisional Breach; watch=Moderate,kpi_002,,2,False,High,DEP-EP-96B0B5739FA2,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-07,HOSP-001,DEPT-ICU,38.8581,Elevated,Prompt Review,5,kpi_003,Bed Occupancy Rate,threshold=Low Utilisation; breach=Provisional Breach; watch=Moderate,kpi_002,kpi_001,3,True,Moderate,DEP-EP-86379834F16B,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-07,HOSP-001,DEPT-MED,38.12,Elevated,Review Soon,6,kpi_003,Bed Occupancy Rate,threshold=Lower Amber; breach=Provisional Breach; watch=Moderate,kpi_002,kpi_001,4,True,Moderate,DEP-EP-6C46E3C5A404,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-07,HOSP-001,DEPT-SURG,35.5536,Elevated,Review Soon,7,kpi_003,Bed Occupancy Rate,threshold=Low Utilisation; breach=Provisional Breach; watch=Moderate,kpi_006,kpi_002,4,True,Moderate,DEP-EP-6533A86AAA8B,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-07,HOSP-001,DEPT-PEX,13.5027,Stable,Routine Monitoring,8,kpi_002,Staff Absenteeism Rate,watch=Low; trend=deteriorating,kpi_001,kpi_006,3,False,Moderate,DEP-EP-DD94FD9B286A,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-08,HOSP-001,DEPT-DIAG,82.2447,Critical,Immediate Review,1,kpi_001,Staffing Level,threshold=Red; breach=Provisional Breach; watch=Critical; trend=deteriorating,kpi_002,kpi_005,5,True,Moderate,DEP-EP-4EA4D1948CDF,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-08,HOSP-001,DEPT-ED,75.5199,Critical,Immediate Review,2,kpi_001,Staffing Level,threshold=Red; breach=Provisional Breach; watch=Critical; trend=deteriorating,kpi_002,kpi_004,5,False,Moderate,DEP-EP-9F881711E541,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-08,HOSP-001,DEPT-ADM,56.3733,High,Prompt Review,3,kpi_001,Staffing Level,threshold=Amber; breach=Provisional Breach; watch=High; trend=deteriorating,kpi_002,kpi_006,3,False,High,DEP-EP-411B538755D1,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-08,HOSP-001,DEPT-ICU,39.0038,Elevated,Prompt Review,4,kpi_003,Bed Occupancy Rate,threshold=Low Utilisation; breach=Provisional Breach; watch=Moderate,kpi_001,kpi_002,4,True,Moderate,DEP-EP-DA6CCC180FDD,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-08,HOSP-001,DEPT-SURG,36.891,Elevated,Review Soon,5,kpi_003,Bed Occupancy Rate,threshold=Lower Amber; breach=Provisional Breach; watch=Moderate,kpi_006,kpi_002,4,True,Moderate,DEP-EP-E943B8E15E62,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-08,HOSP-001,DEPT-OPC,24.7943,Monitor,Routine Monitoring,6,kpi_004,Average Patient Waiting Time,watch=Moderate; trend=deteriorating,kpi_006,kpi_001,5,False,Moderate,DEP-EP-1FF21C767327,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-08,HOSP-001,DEPT-MED,22.5451,Monitor,Routine Monitoring,7,kpi_002,Staff Absenteeism Rate,watch=Moderate; trend=deteriorating,kpi_001,kpi_003,4,False,Moderate,DEP-EP-2F9379F8EA21,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-08,HOSP-001,DEPT-PEX,11.1728,Stable,Routine Monitoring,8,kpi_001,Staffing Level,watch=Low,kpi_002,,2,False,High,DEP-EP-81FAA8BF9D04,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-09,HOSP-001,DEPT-ICU,66.7145,High,Immediate Review,1,kpi_002,Staff Absenteeism Rate,threshold=Red; breach=Provisional Breach; watch=High,kpi_003,kpi_001,4,True,Moderate,DEP-EP-7497E046B97B,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-09,HOSP-001,DEPT-DIAG,44.5344,Elevated,Review Soon,2,kpi_005,Patient Complaint Rate,threshold=Amber; breach=Provisional Breach; watch=High; trend=deteriorating,kpi_002,kpi_001,5,True,Moderate,DEP-EP-2D4784DC1B8D,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-09,HOSP-001,DEPT-PEX,41.524,Elevated,Review Soon,3,kpi_001,Staffing Level,threshold=Amber; breach=Provisional Breach; watch=Moderate,kpi_002,kpi_006,3,False,High,DEP-EP-A285A0745E44,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-09,HOSP-001,DEPT-MED,34.3536,Monitor,Review Soon,4,kpi_003,Bed Occupancy Rate,threshold=Low Utilisation; breach=Provisional Breach; watch=Moderate,kpi_002,kpi_001,4,True,Moderate,DEP-EP-89537A87B8C5,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-09,HOSP-001,DEPT-ADM,25.2385,Monitor,Review Soon,5,kpi_001,Staffing Level,watch=Moderate; trend=deteriorating,kpi_002,kpi_006,3,False,High,DEP-EP-2726914FE3A7,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-09,HOSP-001,DEPT-OPC,24.4886,Monitor,Routine Monitoring,6,kpi_004,Average Patient Waiting Time,watch=Moderate; trend=deteriorating,kpi_006,kpi_001,5,False,Moderate,DEP-EP-6E608695F69F,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-09,HOSP-001,DEPT-ED,23.857,Monitor,Routine Monitoring,7,kpi_001,Staffing Level,watch=Moderate; trend=deteriorating,kpi_004,kpi_002,5,False,Moderate,DEP-EP-B33CB676787D,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-09,HOSP-001,DEPT-SURG,14.0926,Stable,Routine Monitoring,8,kpi_002,Staff Absenteeism Rate,watch=Low; trend=deteriorating,kpi_003,kpi_006,4,False,Moderate,DEP-EP-59253C72BC7A,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-10,HOSP-001,DEPT-ICU,37.663,Elevated,Prompt Review,1,kpi_003,Bed Occupancy Rate,threshold=Low Utilisation; breach=Provisional Breach; watch=Moderate,kpi_002,kpi_001,4,True,Moderate,DEP-EP-A8D2002FD923,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-10,HOSP-001,DEPT-SURG,29.4257,Monitor,Review Soon,2,kpi_003,Bed Occupancy Rate,threshold=Low Utilisation; breach=Provisional Breach; watch=Moderate,kpi_006,kpi_002,4,True,Moderate,DEP-EP-04015B40D83F,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-10,HOSP-001,DEPT-PEX,24.0467,Monitor,Routine Monitoring,3,kpi_002,Staff Absenteeism Rate,watch=Moderate; trend=deteriorating,kpi_001,kpi_006,3,False,High,DEP-EP-88164EB8FFF1,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-10,HOSP-001,DEPT-ED,23.857,Monitor,Routine Monitoring,4,kpi_001,Staffing Level,watch=Moderate; trend=deteriorating,kpi_004,kpi_002,5,False,Moderate,DEP-EP-804BB396ABF7,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-10,HOSP-001,DEPT-OPC,23.7857,Monitor,Routine Monitoring,5,kpi_004,Average Patient Waiting Time,watch=Moderate; trend=deteriorating,kpi_001,kpi_002,4,False,Moderate,DEP-EP-0F608B187DC5,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-10,HOSP-001,DEPT-DIAG,22.316,Monitor,Routine Monitoring,6,kpi_002,Staff Absenteeism Rate,watch=Moderate; trend=deteriorating,kpi_001,kpi_005,5,False,Moderate,DEP-EP-36B23A7A97CD,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-10,HOSP-001,DEPT-ADM,21.553,Monitor,Routine Monitoring,7,kpi_002,Staff Absenteeism Rate,watch=Moderate; trend=deteriorating,kpi_006,kpi_001,3,False,High,DEP-EP-537BEBF30ABE,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-10,HOSP-001,DEPT-MED,15.9063,Monitor,Routine Monitoring,8,kpi_001,Staffing Level,watch=Low; trend=deteriorating,kpi_002,kpi_003,4,False,Moderate,DEP-EP-F256D5222499,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-11,HOSP-001,DEPT-PEX,70.2514,High,Immediate Review,1,kpi_001,Staffing Level,threshold=Red; breach=Provisional Breach; watch=High; trend=deteriorating,kpi_002,kpi_006,3,False,High,DEP-EP-E969F10C4540,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-11,HOSP-001,DEPT-ADM,45.5462,Elevated,Prompt Review,2,kpi_001,Staffing Level,threshold=Amber; breach=Provisional Breach; watch=Moderate,kpi_002,,2,False,High,DEP-EP-06E2F5585B3D,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-11,HOSP-001,DEPT-ICU,37.663,Elevated,Prompt Review,3,kpi_003,Bed Occupancy Rate,threshold=Low Utilisation; breach=Provisional Breach; watch=Moderate,kpi_002,kpi_001,4,True,Moderate,DEP-EP-3858CDD256BF,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-11,HOSP-001,DEPT-DIAG,26.3948,Monitor,Review Soon,4,kpi_002,Staff Absenteeism Rate,watch=Moderate; trend=deteriorating,kpi_004,kpi_006,5,False,Moderate,DEP-EP-DC099FE4C848,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-11,HOSP-001,DEPT-ED,26.2664,Monitor,Review Soon,5,kpi_001,Staffing Level,watch=Moderate; trend=deteriorating,kpi_004,kpi_002,3,False,High,DEP-EP-4FFD382F11D7,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-11,HOSP-001,DEPT-OPC,22.9476,Monitor,Routine Monitoring,6,kpi_006,Patient Satisfaction Score,watch=Moderate; trend=deteriorating,kpi_001,kpi_002,5,False,Moderate,DEP-EP-C16D2712337A,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-11,HOSP-001,DEPT-MED,22.5451,Monitor,Routine Monitoring,7,kpi_002,Staff Absenteeism Rate,watch=Moderate; trend=deteriorating,kpi_001,kpi_003,4,False,Moderate,DEP-EP-D591DD0AEB9A,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-11,HOSP-001,DEPT-SURG,6.4981,Stable,Routine Monitoring,8,kpi_003,Bed Occupancy Rate,No current adverse indicators,kpi_002,kpi_001,3,True,Moderate,DEP-EP-BBE8D11A2BA3,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-12,HOSP-001,DEPT-ICU,39.8078,Elevated,Prompt Review,1,kpi_003,Bed Occupancy Rate,threshold=Lower Amber; breach=Provisional Breach; watch=Moderate,kpi_002,kpi_001,3,True,Moderate,DEP-EP-CEE0E7ABF8E3,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-12,HOSP-001,DEPT-DIAG,43.9894,Elevated,Review Soon,2,kpi_005,Patient Complaint Rate,threshold=Amber; breach=Provisional Breach; watch=High; trend=deteriorating,kpi_001,kpi_002,4,True,Moderate,DEP-EP-92FA5A0F4845,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-12,HOSP-001,DEPT-MED,34.8326,Monitor,Review Soon,3,kpi_003,Bed Occupancy Rate,threshold=Low Utilisation; breach=Provisional Breach; watch=Moderate,kpi_001,kpi_002,4,True,Moderate,DEP-EP-BE3BF33DCC18,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-12,HOSP-001,DEPT-SURG,30.3195,Monitor,Review Soon,4,kpi_003,Bed Occupancy Rate,threshold=Low Utilisation; breach=Provisional Breach; watch=Moderate,kpi_002,kpi_001,4,True,Moderate,DEP-EP-BE0A1244E985,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-12,HOSP-001,DEPT-ADM,24.0467,Monitor,Routine Monitoring,5,kpi_001,Staffing Level,watch=Moderate; trend=deteriorating,kpi_002,kpi_006,3,False,High,DEP-EP-B5F4D41CDBCB,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
