watch_record_id,integration_record_id,hospital_id,department_id,reporting_date,kpi_id,evidence_record_id,source_kpi_record_id,source_threshold_record_id,engine_run_id,processed_at
WCH-47A35661A8EF4F9E,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260116,HOSP-001,DEPT-ADM,2026-01-16,kpi_001,EVD-6B8CABC5F0A4435A,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260116,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-B3832736534542B0,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260117,HOSP-001,DEPT-ADM,2026-01-17,kpi_001,EVD-B6D897F9CCCC4642,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260117,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-AAB3CCA3502448B9,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260118,HOSP-001,DEPT-ADM,2026-01-18,kpi_001,EVD-0318F905004C4871,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260118,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-0AF98276E6BE4AB0,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260119,HOSP-001,DEPT-ADM,2026-01-19,kpi_001,EVD-675F87B4187146EA,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260119,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-884AD04D24C04F44,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260120,HOSP-001,DEPT-ADM,2026-01-20,kpi_001,EVD-D642B38F74254559,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260120,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-E7D1C9F669C54845,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260121,HOSP-001,DEPT-ADM,2026-01-21,kpi_001,EVD-D35851E1A1A34698,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260121,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-A8ECFA12EBB6489B,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260122,HOSP-001,DEPT-ADM,2026-01-22,kpi_001,EVD-674360FB941C4131,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260122,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-FF2341BB027B489C,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260123,HOSP-001,DEPT-ADM,2026-01-23,kpi_001,EVD-8C9F65C691E5486F,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260123,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-FC059604A38F43B6,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260124,HOSP-001,DEPT-ADM,2026-01-24,kpi_001,EVD-C25E29B8A77B444F,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260124,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-BA368A20A0AB48D0,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260125,HOSP-001,DEPT-ADM,2026-01-25,kpi_001,EVD-0C7B894CC46B49BB,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260125,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-8C7EE8B231624D64,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260126,HOSP-001,DEPT-ADM,2026-01-26,kpi_001,EVD-C8A54E66BD66412F,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260126,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-8C83A282D3C54BBF,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260127,HOSP-001,DEPT-ADM,2026-01-27,kpi_001,EVD-D0FC479203BA4BD7,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260127,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-1D8429A90E0648D7,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260128,HOSP-001,DEPT-ADM,2026-01-28,kpi_001,EVD-16B64E2E70AD4837,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260128,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-0349C98A42AA4DCA,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260129,HOSP-001,DEPT-ADM,2026-01-29,kpi_001,EVD-18655BD21D0D4C71,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260129,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-E6E4D25734344BF5,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260130,HOSP-001,DEPT-ADM,2026-01-30,kpi_001,EVD-0E928BAACE554769,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260130,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-DAA44F3EDD214CED,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260131,HOSP-001,DEPT-ADM,2026-01-31,kpi_001,EVD-069AEFF8330649A2,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260131,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-30CF3A76DE934451,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260201,HOSP-001,DEPT-ADM,2026-02-01,kpi_001,EVD-58E220E3F4AA41A3,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260201,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-E5ED59452E884145,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260202,HOSP-001,DEPT-ADM,2026-02-02,kpi_001,EVD-177656BC3DC4445C,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260202,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-FBF4E96A6A15480A,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260203,HOSP-001,DEPT-ADM,2026-02-03,kpi_001,EVD-2D1FF132110A48BE,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260203,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-0ACDD17660D04432,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260204,HOSP-001,DEPT-ADM,2026-02-04,kpi_001,EVD-2E953FBBC2054B26,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260204,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-B6F91FAE5C434D17,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260205,HOSP-001,DEPT-ADM,2026-02-05,kpi_001,EVD-A4E2FEBC41F3410D,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260205,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-53231136FF80466D,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260206,HOSP-001,DEPT-ADM,2026-02-06,kpi_001,EVD-3C17BCFE19494603,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260206,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-19131AC139F84A3C,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260207,HOSP-001,DEPT-ADM,2026-02-07,kpi_001,EVD-4FA89F8F04514E8B,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260207,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-C91AE62A5883437C,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260208,HOSP-001,DEPT-ADM,2026-02-08,kpi_001,EVD-A57F469E32E84F04,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260208,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-8C47C805B61B4ECF,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260209,HOSP-001,DEPT-ADM,2026-02-09,kpi_001,EVD-8039FF479E114943,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260209,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-221D7964BF014FEC,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260210,HOSP-001,DEPT-ADM,2026-02-10,kpi_001,EVD-0A8863A6357C41E8,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260210,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-49F4F049AC7542A0,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260211,HOSP-001,DEPT-ADM,2026-02-11,kpi_001,EVD-6E6218A7D079462D,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260211,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-A6B14B0562E94390,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260212,HOSP-001,DEPT-ADM,2026-02-12,kpi_001,EVD-E83ED86DAEF2465D,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260212,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-06AFBE28B7784532,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260213,HOSP-001,DEPT-ADM,2026-02-13,kpi_001,EVD-1C9BBC901B384895,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260213,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-C205D84ECAFC42CD,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260214,HOSP-001,DEPT-ADM,2026-02-14,kpi_001,EVD-F1B5DDEA48194EF3,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260214,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-937818D5CC6342DB,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260215,HOSP-001,DEPT-ADM,2026-02-15,kpi_001,EVD-2238D79C7CEE4B8D,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260215,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-0CECDEC1CCA4439B,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260216,HOSP-001,DEPT-ADM,2026-02-16,kpi_001,EVD-53537609A3604D64,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260216,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-89F6D8E097234DB9,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260217,HOSP-001,DEPT-ADM,2026-02-17,kpi_001,EVD-680E805023DE4702,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260217,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-9CA2280FCAF54BEF,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260218,HOSP-001,DEPT-ADM,2026-02-18,kpi_001,EVD-5729ACF258DA4D1D,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260218,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-825993BF5D0C4D88,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260219,HOSP-001,DEPT-ADM,2026-02-19,kpi_001,EVD-253F2978347B4990,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260219,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-D8009D742B75444D,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260220,HOSP-001,DEPT-ADM,2026-02-20,kpi_001,EVD-9758E46C818141EA,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260220,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-5B1BB4FE477E4243,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260221,HOSP-001,DEPT-ADM,2026-02-21,kpi_001,EVD-E796974E95ED4F03,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260221,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-F7775F39B07F4759,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260222,HOSP-001,DEPT-ADM,2026-02-22,kpi_001,EVD-4A54233658E441C1,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260222,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-A95E81959A24425C,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260223,HOSP-001,DEPT-ADM,2026-02-23,kpi_001,EVD-24CC453285774DB2,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260223,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-00A7651D7EB449A8,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260224,HOSP-001,DEPT-ADM,2026-02-24,kpi_001,EVD-9F16E77A3623452A,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260224,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-519AB61B8DE846EC,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260225,HOSP-001,DEPT-ADM,2026-02-25,kpi_001,EVD-35E90BCC39B34402,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260225,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-779A08757F484241,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260226,HOSP-001,DEPT-ADM,2026-02-26,kpi_001,EVD-3800F8D9DFD544D9,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260226,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-639A6213954E4BB2,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260227,HOSP-001,DEPT-ADM,2026-02-27,kpi_001,EVD-3B8D6FF7E3424C83,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260227,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-7B9C2728D43F4AF0,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260228,HOSP-001,DEPT-ADM,2026-02-28,kpi_001,EVD-3508DD1F664644A6,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260228,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-1CEC740A42A84AF9,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260301,HOSP-001,DEPT-ADM,2026-03-01,kpi_001,EVD-3EB4FD9B605D444A,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260301,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-03FAFAD1AC484269,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260302,HOSP-001,DEPT-ADM,2026-03-02,kpi_001,EVD-328F429E38154739,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260302,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-9519B73DC98D4F8C,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260303,HOSP-001,DEPT-ADM,2026-03-03,kpi_001,EVD-905FE16550E741F2,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260303,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-3D9170C71AB0429E,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260304,HOSP-001,DEPT-ADM,2026-03-04,kpi_001,EVD-DE3A0C6EDEDF4D83,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260304,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-72F04A30A28747C0,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260305,HOSP-001,DEPT-ADM,2026-03-05,kpi_001,EVD-4B1057997E3D48A4,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260305,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-2057623B03E744FB,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260306,HOSP-001,DEPT-ADM,2026-03-06,kpi_001,EVD-7964630282944771,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260306,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-0908FC9250B6438B,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260307,HOSP-001,DEPT-ADM,2026-03-07,kpi_001,EVD-5B5950607E25444F,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260307,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-C508599CC80E451C,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260308,HOSP-001,DEPT-ADM,2026-03-08,kpi_001,EVD-8388BC70518F4CC0,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260308,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-861505B5FA844C2F,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260309,HOSP-001,DEPT-ADM,2026-03-09,kpi_001,EVD-B084571D2EA74C0D,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260309,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-871E58CEA21744AA,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260310,HOSP-001,DEPT-ADM,2026-03-10,kpi_001,EVD-9102A44AE9D14847,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260310,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-6CD8EDA024384855,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260311,HOSP-001,DEPT-ADM,2026-03-11,kpi_001,EVD-532DE10CE63F4CBA,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260311,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-7868108A42754C3F,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260312,HOSP-001,DEPT-ADM,2026-03-12,kpi_001,EVD-C8E0CDA32D044E22,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260312,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-F9B7B5598CF04B36,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260313,HOSP-001,DEPT-ADM,2026-03-13,kpi_001,EVD-4A7E2A42886146F4,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260313,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-84B44D7D7C154211,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260314,HOSP-001,DEPT-ADM,2026-03-14,kpi_001,EVD-7CF6F40936FC4375,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260314,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-F9B921939D0C4322,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260315,HOSP-001,DEPT-ADM,2026-03-15,kpi_001,EVD-96CB44F33F8F43CC,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260315,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-EFE5ADF48EE0465B,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260316,HOSP-001,DEPT-ADM,2026-03-16,kpi_001,EVD-5418D31B5AF74143,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260316,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-0EDC320A8AF44FBC,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260317,HOSP-001,DEPT-ADM,2026-03-17,kpi_001,EVD-5C8E656EB8B94573,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260317,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-BB516A4A849A4086,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260318,HOSP-001,DEPT-ADM,2026-03-18,kpi_001,EVD-0FDA411B240B4DFF,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260318,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-4AD7BF976EDD4716,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260319,HOSP-001,DEPT-ADM,2026-03-19,kpi_001,EVD-24B798A43AFF447B,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260319,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-1D0D87E652CB452F,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260320,HOSP-001,DEPT-ADM,2026-03-20,kpi_001,EVD-8F829B0650CA43F1,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260320,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-0497BD1BB2D8433B,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260321,HOSP-001,DEPT-ADM,2026-03-21,kpi_001,EVD-F1602C06518340CA,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260321,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-678C1F025CF648C0,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260322,HOSP-001,DEPT-ADM,2026-03-22,kpi_001,EVD-97D79EC2AB9D43C7,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260322,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-17ECD38C37E54B89,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260323,HOSP-001,DEPT-ADM,2026-03-23,kpi_001,EVD-950F6F786F5747D4,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260323,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-CDD95CFBAA7C45B3,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260324,HOSP-001,DEPT-ADM,2026-03-24,kpi_001,EVD-E9AEB38190E5403C,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260324,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-F98EA85193294842,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260325,HOSP-001,DEPT-ADM,2026-03-25,kpi_001,EVD-17D46DBC8B904BDF,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260325,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
