baseline_id,approval_package_id,episode_id,scenario_template_id,hospital_id,department_id,episode_start_date,episode_end_date,dominant_kpi_id,dominant_kpi_name,baseline_kpi_value,baseline_kpi_unit,supporting_kpi_values_json,baseline_required_staff,baseline_available_staff,baseline_staffing_coverage_pct,baseline_absenteeism_rate,baseline_avg_wait_min,baseline_arrivals,baseline_service_capacity,source_file_list,source_record_id_list,baseline_observation_count,baseline_data_completeness,baseline_confidence,baseline_provisional_flag,baseline_contradiction_severity,baseline_status,baseline_created_at,baseline_version,baseline_aggregation_method,baseline_reference_date,baseline_window_start,baseline_window_end
BL-3048F5335B1741BC,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,EP-HOSP-001-DEPT-ADM-kpi_001-20260328,SCEN-STAFF-001,HOSP-001,DEPT-ADM,2026-03-28,2026-04-01,kpi_001,Staffing Level,84.55182072829132,Percent,{},16.6,14.0,84.55182072829132,,,,,analytical_workforce_kpi_daily.csv,"AKPI-kpi_001-HOSP-001-DEPT-ADM-20260328,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260329,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260330,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260331,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260401",10,50.0,High,True,No Contradiction,Available with Conditions,2026-07-28T14:58:29.766039,2C-2C-1.0,episode-period mean,2026-04-01,2026-03-28,2026-04-01
BL-5321F55DF7C730EE,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,EP-HOSP-001-DEPT-ADM-kpi_001-20260328,SCEN-MON-001,HOSP-001,DEPT-ADM,2026-03-28,2026-04-01,kpi_001,Staffing Level,84.55182072829132,Percent,{},16.6,14.0,84.55182072829132,,,,,analytical_workforce_kpi_daily.csv,"AKPI-kpi_001-HOSP-001-DEPT-ADM-20260328,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260329,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260330,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260331,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260401",10,50.0,High,True,No Contradiction,Available with Conditions,2026-07-28T14:58:29.807831,2C-2C-1.0,episode-period mean,2026-04-01,2026-03-28,2026-04-01
BL-D2B7A0571B895508,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,EP-HOSP-001-DEPT-ADM-kpi_001-20260410,SCEN-BASE-001,HOSP-001,DEPT-ADM,2026-04-10,2026-04-10,kpi_001,Staffing Level,83.33333333333334,Percent,{},18.0,15.0,83.33333333333334,,,,,analytical_workforce_kpi_daily.csv,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260410,2,50.0,High,True,No Contradiction,Available with Conditions,2026-07-28T14:58:29.845339,2C-2C-1.0,episode-period mean,2026-04-10,2026-04-10,2026-04-10
BL-EB935D17ADFCF500,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,EP-HOSP-001-DEPT-ADM-kpi_001-20260410,SCEN-STAFF-001,HOSP-001,DEPT-ADM,2026-04-10,2026-04-10,kpi_001,Staffing Level,83.33333333333334,Percent,{},18.0,15.0,83.33333333333334,,,,,analytical_workforce_kpi_daily.csv,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260410,2,50.0,High,True,No Contradiction,Available with Conditions,2026-07-28T14:58:29.876330,2C-2C-1.0,episode-period mean,2026-04-10,2026-04-10,2026-04-10
BL-571A825C51EF3462,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,EP-HOSP-001-DEPT-ADM-kpi_001-20260410,SCEN-MON-001,HOSP-001,DEPT-ADM,2026-04-10,2026-04-10,kpi_001,Staffing Level,83.33333333333334,Percent,{},18.0,15.0,83.33333333333334,,,,,analytical_workforce_kpi_daily.csv,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260410,2,50.0,High,True,No Contradiction,Available with Conditions,2026-07-28T14:58:29.912110,2C-2C-1.0,episode-period mean,2026-04-10,2026-04-10,2026-04-10
BL-8DA7F7613F011877,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,EP-HOSP-001-DEPT-ADM-kpi_001-20260420,SCEN-BASE-001,HOSP-001,DEPT-ADM,2026-04-20,2026-04-20,kpi_001,Staffing Level,78.57142857142857,Percent,{},14.0,11.0,78.57142857142857,,,,,analytical_workforce_kpi_daily.csv,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260420,2,50.0,High,True,No Contradiction,Available with Conditions,2026-07-28T14:58:29.931542,2C-2C-1.0,episode-period mean,2026-04-20,2026-04-20,2026-04-20
BL-24E8132F23E980FC,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,EP-HOSP-001-DEPT-ADM-kpi_001-20260420,SCEN-STAFF-001,HOSP-001,DEPT-ADM,2026-04-20,2026-04-20,kpi_001,Staffing Level,78.57142857142857,Percent,{},14.0,11.0,78.57142857142857,,,,,analytical_workforce_kpi_daily.csv,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260420,2,50.0,High,True,No Contradiction,Available with Conditions,2026-07-28T14:58:29.945889,2C-2C-1.0,episode-period mean,2026-04-20,2026-04-20,2026-04-20
BL-72CF4289682BAE79,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,EP-HOSP-001-DEPT-ADM-kpi_001-20260420,SCEN-MON-001,HOSP-001,DEPT-ADM,2026-04-20,2026-04-20,kpi_001,Staffing Level,78.57142857142857,Percent,{},14.0,11.0,78.57142857142857,,,,,analytical_workforce_kpi_daily.csv,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260420,2,50.0,High,True,No Contradiction,Available with Conditions,2026-07-28T14:58:29.962088,2C-2C-1.0,episode-period mean,2026-04-20,2026-04-20,2026-04-20
BL-D514917F5CC0C9BF,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,EP-HOSP-001-DEPT-ADM-kpi_001-20260506,SCEN-BASE-001,HOSP-001,DEPT-ADM,2026-05-06,2026-05-06,kpi_001,Staffing Level,75.0,Percent,{},16.0,12.0,75.0,,,,,analytical_workforce_kpi_daily.csv,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260506,2,50.0,High,True,No Contradiction,Available with Conditions,2026-07-28T14:58:29.978158,2C-2C-1.0,episode-period mean,2026-05-06,2026-05-06,2026-05-06
BL-1A12AF7C3E39DADF,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,EP-HOSP-001-DEPT-ADM-kpi_001-20260506,SCEN-STAFF-001,HOSP-001,DEPT-ADM,2026-05-06,2026-05-06,kpi_001,Staffing Level,75.0,Percent,{},16.0,12.0,75.0,,,,,analytical_workforce_kpi_daily.csv,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260506,2,50.0,High,True,No Contradiction,Available with Conditions,2026-07-28T14:58:29.992907,2C-2C-1.0,episode-period mean,2026-05-06,2026-05-06,2026-05-06
BL-3DC5A27AEF1C9A5C,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,EP-HOSP-001-DEPT-ADM-kpi_001-20260506,SCEN-MON-001,HOSP-001,DEPT-ADM,2026-05-06,2026-05-06,kpi_001,Staffing Level,75.0,Percent,{},16.0,12.0,75.0,,,,,analytical_workforce_kpi_daily.csv,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260506,2,50.0,High,True,No Contradiction,Available with Conditions,2026-07-28T14:58:30.004003,2C-2C-1.0,episode-period mean,2026-05-06,2026-05-06,2026-05-06
BL-148CC4864432449E,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,EP-HOSP-001-DEPT-ADM-kpi_001-20260602,SCEN-BASE-001,HOSP-001,DEPT-ADM,2026-06-02,2026-06-02,kpi_001,Staffing Level,83.33333333333334,Percent,{},18.0,15.0,83.33333333333334,,,,,analytical_workforce_kpi_daily.csv,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260602,2,50.0,High,True,No Contradiction,Available with Conditions,2026-07-28T14:58:30.018016,2C-2C-1.0,episode-period mean,2026-06-02,2026-06-02,2026-06-02
BL-AF5E6D0F3A7F29BE,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,EP-HOSP-001-DEPT-ADM-kpi_001-20260602,SCEN-STAFF-001,HOSP-001,DEPT-ADM,2026-06-02,2026-06-02,kpi_001,Staffing Level,83.33333333333334,Percent,{},18.0,15.0,83.33333333333334,,,,,analytical_workforce_kpi_daily.csv,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260602,2,50.0,High,True,No Contradiction,Available with Conditions,2026-07-28T14:58:30.032823,2C-2C-1.0,episode-period mean,2026-06-02,2026-06-02,2026-06-02
BL-0FA5EA53500FF719,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,EP-HOSP-001-DEPT-ADM-kpi_001-20260602,SCEN-MON-001,HOSP-001,DEPT-ADM,2026-06-02,2026-06-02,kpi_001,Staffing Level,83.33333333333334,Percent,{},18.0,15.0,83.33333333333334,,,,,analytical_workforce_kpi_daily.csv,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260602,2,50.0,High,True,No Contradiction,Available with Conditions,2026-07-28T14:58:30.047269,2C-2C-1.0,episode-period mean,2026-06-02,2026-06-02,2026-06-02
BL-0307B1E90B215F96,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,EP-HOSP-001-DEPT-ADM-kpi_001-20260608,SCEN-BASE-001,HOSP-001,DEPT-ADM,2026-06-08,2026-06-08,kpi_001,Staffing Level,75.0,Percent,{},16.0,12.0,75.0,,,,,analytical_workforce_kpi_daily.csv,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260608,2,50.0,High,True,No Contradiction,Available with Conditions,2026-07-28T14:58:30.061472,2C-2C-1.0,episode-period mean,2026-06-08,2026-06-08,2026-06-08
BL-CAC926848EDEB1B6,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,EP-HOSP-001-DEPT-ADM-kpi_001-20260608,SCEN-STAFF-001,HOSP-001,DEPT-ADM,2026-06-08,2026-06-08,kpi_001,Staffing Level,75.0,Percent,{},16.0,12.0,75.0,,,,,analytical_workforce_kpi_daily.csv,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260608,2,50.0,High,True,No Contradiction,Available with Conditions,2026-07-28T14:58:30.077635,2C-2C-1.0,episode-period mean,2026-06-08,2026-06-08,2026-06-08
BL-D88E7695B211B03E,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,EP-HOSP-001-DEPT-ADM-kpi_001-20260608,SCEN-MON-001,HOSP-001,DEPT-ADM,2026-06-08,2026-06-08,kpi_001,Staffing Level,75.0,Percent,{},16.0,12.0,75.0,,,,,analytical_workforce_kpi_daily.csv,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260608,2,50.0,High,True,No Contradiction,Available with Conditions,2026-07-28T14:58:30.091934,2C-2C-1.0,episode-period mean,2026-06-08,2026-06-08,2026-06-08
BL-97F70B36E98DB1F1,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,EP-HOSP-001-DEPT-ADM-kpi_001-20260721,SCEN-BASE-001,HOSP-001,DEPT-ADM,2026-07-21,2026-07-21,kpi_001,Staffing Level,64.70588235294117,Percent,{},17.0,11.0,64.70588235294117,,,,,analytical_workforce_kpi_daily.csv,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260721,2,50.0,High,True,No Contradiction,Available with Conditions,2026-07-28T14:58:30.103359,2C-2C-1.0,episode-period mean,2026-07-21,2026-07-21,2026-07-21
BL-1E49DB13E2EAA2B1,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,EP-HOSP-001-DEPT-ADM-kpi_001-20260721,SCEN-STAFF-001,HOSP-001,DEPT-ADM,2026-07-21,2026-07-21,kpi_001,Staffing Level,64.70588235294117,Percent,{},17.0,11.0,64.70588235294117,,,,,analytical_workforce_kpi_daily.csv,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260721,2,50.0,High,True,No Contradiction,Available with Conditions,2026-07-28T14:58:30.129298,2C-2C-1.0,episode-period mean,2026-07-21,2026-07-21,2026-07-21
BL-BB49437192EFED17,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,EP-HOSP-001-DEPT-ADM-kpi_001-20260721,SCEN-MON-001,HOSP-001,DEPT-ADM,2026-07-21,2026-07-21,kpi_001,Staffing Level,64.70588235294117,Percent,{},17.0,11.0,64.70588235294117,,,,,analytical_workforce_kpi_daily.csv,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260721,2,50.0,High,True,No Contradiction,Available with Conditions,2026-07-28T14:58:30.144781,2C-2C-1.0,episode-period mean,2026-07-21,2026-07-21,2026-07-21
BL-981EE067F7E229E8,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,EP-HOSP-001-DEPT-ADM-kpi_001-20260726,SCEN-BASE-001,HOSP-001,DEPT-ADM,2026-07-26,2026-07-26,kpi_001,Staffing Level,72.22222222222221,Percent,{},18.0,13.0,72.22222222222221,,,,,analytical_workforce_kpi_daily.csv,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260726,2,50.0,High,True,No Contradiction,Available with Conditions,2026-07-28T14:58:30.158802,2C-2C-1.0,episode-period mean,2026-07-26,2026-07-26,2026-07-26
BL-A75EBEA50E13F73B,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,EP-HOSP-001-DEPT-ADM-kpi_001-20260726,SCEN-STAFF-001,HOSP-001,DEPT-ADM,2026-07-26,2026-07-26,kpi_001,Staffing Level,72.22222222222221,Percent,{},18.0,13.0,72.22222222222221,,,,,analytical_workforce_kpi_daily.csv,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260726,2,50.0,High,True,No Contradiction,Available with Conditions,2026-07-28T14:58:30.179035,2C-2C-1.0,episode-period mean,2026-07-26,2026-07-26,2026-07-26
BL-96356AE1C16295F7,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,EP-HOSP-001-DEPT-ADM-kpi_001-20260726,SCEN-MON-001,HOSP-001,DEPT-ADM,2026-07-26,2026-07-26,kpi_001,Staffing Level,72.22222222222221,Percent,{},18.0,13.0,72.22222222222221,,,,,analytical_workforce_kpi_daily.csv,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260726,2,50.0,High,True,No Contradiction,Available with Conditions,2026-07-28T14:58:30.193489,2C-2C-1.0,episode-period mean,2026-07-26,2026-07-26,2026-07-26
BL-B5E032C0B67A9356,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,EP-HOSP-001-DEPT-ADM-kpi_001-20260822,SCEN-BASE-001,HOSP-001,DEPT-ADM,2026-08-22,2026-08-22,kpi_001,Staffing Level,73.91304347826086,Percent,{},23.0,17.0,73.91304347826086,,,,,analytical_workforce_kpi_daily.csv,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260822,2,50.0,High,True,No Contradiction,Available with Conditions,2026-07-28T14:58:30.212661,2C-2C-1.0,episode-period mean,2026-08-22,2026-08-22,2026-08-22
BL-E2B02306C6DE9E93,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,EP-HOSP-001-DEPT-ADM-kpi_001-20260822,SCEN-STAFF-001,HOSP-001,DEPT-ADM,2026-08-22,2026-08-22,kpi_001,Staffing Level,73.91304347826086,Percent,{},23.0,17.0,73.91304347826086,,,,,analytical_workforce_kpi_daily.csv,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260822,2,50.0,High,True,No Contradiction,Available with Conditions,2026-07-28T14:58:30.232294,2C-2C-1.0,episode-period mean,2026-08-22,2026-08-22,2026-08-22
BL-BC6F6EF3E4D3607E,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,EP-HOSP-001-DEPT-ADM-kpi_001-20260822,SCEN-MON-001,HOSP-001,DEPT-ADM,2026-08-22,2026-08-22,kpi_001,Staffing Level,73.91304347826086,Percent,{},23.0,17.0,73.91304347826086,,,,,analytical_workforce_kpi_daily.csv,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260822,2,50.0,High,True,No Contradiction,Available with Conditions,2026-07-28T14:58:30.248903,2C-2C-1.0,episode-period mean,2026-08-22,2026-08-22,2026-08-22
BL-5323A22D6A8CE9EA,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,EP-HOSP-001-DEPT-ADM-kpi_001-20261012,SCEN-BASE-001,HOSP-001,DEPT-ADM,2026-10-12,2026-10-12,kpi_001,Staffing Level,80.95238095238095,Percent,{},21.0,17.0,80.95238095238095,,,,,analytical_workforce_kpi_daily.csv,AKPI-kpi_001-HOSP-001-DEPT-ADM-20261012,2,50.0,High,True,No Contradiction,Available with Conditions,2026-07-28T14:58:30.267449,2C-2C-1.0,episode-period mean,2026-10-12,2026-10-12,2026-10-12
BL-391D7921E462CF87,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,EP-HOSP-001-DEPT-ADM-kpi_001-20261012,SCEN-STAFF-001,HOSP-001,DEPT-ADM,2026-10-12,2026-10-12,kpi_001,Staffing Level,80.95238095238095,Percent,{},21.0,17.0,80.95238095238095,,,,,analytical_workforce_kpi_daily.csv,AKPI-kpi_001-HOSP-001-DEPT-ADM-20261012,2,50.0,High,True,No Contradiction,Available with Conditions,2026-07-28T14:58:30.280954,2C-2C-1.0,episode-period mean,2026-10-12,2026-10-12,2026-10-12
BL-C714901CBE320E82,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,EP-HOSP-001-DEPT-ADM-kpi_001-20261012,SCEN-MON-001,HOSP-001,DEPT-ADM,2026-10-12,2026-10-12,kpi_001,Staffing Level,80.95238095238095,Percent,{},21.0,17.0,80.95238095238095,,,,,analytical_workforce_kpi_daily.csv,AKPI-kpi_001-HOSP-001-DEPT-ADM-20261012,2,50.0,High,True,No Contradiction,Available with Conditions,2026-07-28T14:58:30.298671,2C-2C-1.0,episode-period mean,2026-10-12,2026-10-12,2026-10-12
BL-67D0FE462C526756,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,EP-HOSP-001-DEPT-ADM-kpi_001-20261021,SCEN-BASE-001,HOSP-001,DEPT-ADM,2026-10-21,2026-10-21,kpi_001,Staffing Level,75.0,Percent,{},16.0,12.0,75.0,,,,,analytical_workforce_kpi_daily.csv,AKPI-kpi_001-HOSP-001-DEPT-ADM-20261021,2,50.0,High,True,No Contradiction,Available with Conditions,2026-07-28T14:58:30.315142,2C-2C-1.0,episode-period mean,2026-10-21,2026-10-21,2026-10-21
BL-B581A76BC79E1F57,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,EP-HOSP-001-DEPT-ADM-kpi_001-20261021,SCEN-STAFF-001,HOSP-001,DEPT-ADM,2026-10-21,2026-10-21,kpi_001,Staffing Level,75.0,Percent,{},16.0,12.0,75.0,,,,,analytical_workforce_kpi_daily.csv,AKPI-kpi_001-HOSP-001-DEPT-ADM-20261021,2,50.0,High,True,No Contradiction,Available with Conditions,2026-07-28T14:58:30.332042,2C-2C-1.0,episode-period mean,2026-10-21,2026-10-21,2026-10-21
BL-D4EC09AC5D32BE02,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,EP-HOSP-001-DEPT-ADM-kpi_001-20261021,SCEN-MON-001,HOSP-001,DEPT-ADM,2026-10-21,2026-10-21,kpi_001,Staffing Level,75.0,Percent,{},16.0,12.0,75.0,,,,,analytical_workforce_kpi_daily.csv,AKPI-kpi_001-HOSP-001-DEPT-ADM-20261021,2,50.0,High,True,No Contradiction,Available with Conditions,2026-07-28T14:58:30.346927,2C-2C-1.0,episode-period mean,2026-10-21,2026-10-21,2026-10-21
BL-D22C401935FBB0AF,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,EP-HOSP-001-DEPT-ADM-kpi_001-20261127,SCEN-BASE-001,HOSP-001,DEPT-ADM,2026-11-27,2026-11-29,kpi_001,Staffing Level,83.89154704944178,Percent,{},21.0,17.666666666666668,83.89154704944178,,,,,analytical_workforce_kpi_daily.csv,"AKPI-kpi_001-HOSP-001-DEPT-ADM-20261127,AKPI-kpi_001-HOSP-001-DEPT-ADM-20261128,AKPI-kpi_001-HOSP-001-DEPT-ADM-20261129",6,50.0,High,True,No Contradiction,Available with Conditions,2026-07-28T14:58:30.360246,2C-2C-1.0,episode-period mean,2026-11-29,2026-11-27,2026-11-29
BL-A8F1AB286327924A,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,EP-HOSP-001-DEPT-ADM-kpi_001-20261127,SCEN-STAFF-001,HOSP-001,DEPT-ADM,2026-11-27,2026-11-29,kpi_001,Staffing Level,83.89154704944178,Percent,{},21.0,17.666666666666668,83.89154704944178,,,,,analytical_workforce_kpi_daily.csv,"AKPI-kpi_001-HOSP-001-DEPT-ADM-20261127,AKPI-kpi_001-HOSP-001-DEPT-ADM-20261128,AKPI-kpi_001-HOSP-001-DEPT-ADM-20261129",6,50.0,High,True,No Contradiction,Available with Conditions,2026-07-28T14:58:30.374321,2C-2C-1.0,episode-period mean,2026-11-29,2026-11-27,2026-11-29
