exclusion_id,kpi_id,hospital_id,department_id,reporting_date,reason_code,reason_description,source_record_id,calculation_run_id
EXC-7EEBE9A9,kpi_003,HOSP-001,DEPT-ADM,2026-02-23,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260223,PF-KPI-4E7933DFEF21
EXC-21391DB5,kpi_003,HOSP-001,DEPT-ADM,2026-02-24,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260224,PF-KPI-4E7933DFEF21
EXC-61446CAC,kpi_003,HOSP-001,DEPT-ADM,2026-02-25,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260225,PF-KPI-4E7933DFEF21
EXC-A71C9C9F,kpi_003,HOSP-001,DEPT-ADM,2026-02-26,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260226,PF-KPI-4E7933DFEF21
EXC-4EC34AA1,kpi_003,HOSP-001,DEPT-ADM,2026-02-27,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260227,PF-KPI-4E7933DFEF21
EXC-36467794,kpi_003,HOSP-001,DEPT-ADM,2026-02-28,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260228,PF-KPI-4E7933DFEF21
EXC-EEDF3DBD,kpi_003,HOSP-001,DEPT-ADM,2026-03-01,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260301,PF-KPI-4E7933DFEF21
EXC-488B4484,kpi_003,HOSP-001,DEPT-ADM,2026-03-02,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260302,PF-KPI-4E7933DFEF21
EXC-72BECA99,kpi_003,HOSP-001,DEPT-ADM,2026-03-03,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260303,PF-KPI-4E7933DFEF21
EXC-085B6F11,kpi_003,HOSP-001,DEPT-ADM,2026-03-04,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260304,PF-KPI-4E7933DFEF21
EXC-B725A7F7,kpi_003,HOSP-001,DEPT-ADM,2026-03-05,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260305,PF-KPI-4E7933DFEF21
EXC-C4F7BA40,kpi_003,HOSP-001,DEPT-ADM,2026-03-06,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260306,PF-KPI-4E7933DFEF21
EXC-BEA2596D,kpi_003,HOSP-001,DEPT-ADM,2026-03-07,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260307,PF-KPI-4E7933DFEF21
EXC-47529066,kpi_003,HOSP-001,DEPT-ADM,2026-03-08,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260308,PF-KPI-4E7933DFEF21
EXC-6D45922F,kpi_003,HOSP-001,DEPT-ADM,2026-03-09,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260309,PF-KPI-4E7933DFEF21
EXC-BD87A94A,kpi_003,HOSP-001,DEPT-ADM,2026-03-10,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260310,PF-KPI-4E7933DFEF21
EXC-47617D41,kpi_003,HOSP-001,DEPT-ADM,2026-03-11,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260311,PF-KPI-4E7933DFEF21
EXC-337786BF,kpi_003,HOSP-001,DEPT-ADM,2026-03-12,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260312,PF-KPI-4E7933DFEF21
EXC-F8E23B6F,kpi_003,HOSP-001,DEPT-ADM,2026-03-13,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260313,PF-KPI-4E7933DFEF21
EXC-8B9EA389,kpi_003,HOSP-001,DEPT-ADM,2026-03-14,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260314,PF-KPI-4E7933DFEF21
EXC-F9798ECD,kpi_003,HOSP-001,DEPT-ADM,2026-03-15,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260315,PF-KPI-4E7933DFEF21
EXC-5DFCF361,kpi_003,HOSP-001,DEPT-ADM,2026-03-16,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260316,PF-KPI-4E7933DFEF21
EXC-45D7C808,kpi_003,HOSP-001,DEPT-ADM,2026-03-17,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260317,PF-KPI-4E7933DFEF21
EXC-8EF37D7A,kpi_003,HOSP-001,DEPT-ADM,2026-03-18,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260318,PF-KPI-4E7933DFEF21
EXC-3D4924D7,kpi_003,HOSP-001,DEPT-ADM,2026-03-19,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260319,PF-KPI-4E7933DFEF21
EXC-0FC101DF,kpi_003,HOSP-001,DEPT-ADM,2026-03-20,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260320,PF-KPI-4E7933DFEF21
EXC-CFD05354,kpi_003,HOSP-001,DEPT-ADM,2026-03-21,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260321,PF-KPI-4E7933DFEF21
EXC-B69FA00B,kpi_003,HOSP-001,DEPT-ADM,2026-03-22,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260322,PF-KPI-4E7933DFEF21
EXC-E7062178,kpi_003,HOSP-001,DEPT-ADM,2026-03-23,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260323,PF-KPI-4E7933DFEF21
EXC-8887B3E6,kpi_003,HOSP-001,DEPT-ADM,2026-03-24,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260324,PF-KPI-4E7933DFEF21
EXC-88285AA7,kpi_003,HOSP-001,DEPT-ADM,2026-03-25,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260325,PF-KPI-4E7933DFEF21
EXC-E89967B7,kpi_003,HOSP-001,DEPT-ADM,2026-03-26,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260326,PF-KPI-4E7933DFEF21
EXC-BD35D017,kpi_003,HOSP-001,DEPT-ADM,2026-03-27,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260327,PF-KPI-4E7933DFEF21
EXC-4E234A3E,kpi_003,HOSP-001,DEPT-ADM,2026-03-28,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260328,PF-KPI-4E7933DFEF21
EXC-2BD6680B,kpi_003,HOSP-001,DEPT-ADM,2026-03-29,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260329,PF-KPI-4E7933DFEF21
EXC-44BA841A,kpi_003,HOSP-001,DEPT-ADM,2026-03-30,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260330,PF-KPI-4E7933DFEF21
EXC-98962880,kpi_003,HOSP-001,DEPT-ADM,2026-03-31,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260331,PF-KPI-4E7933DFEF21
EXC-2E4D08F8,kpi_003,HOSP-001,DEPT-ADM,2026-04-01,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260401,PF-KPI-4E7933DFEF21
EXC-25E3CE65,kpi_003,HOSP-001,DEPT-ADM,2026-04-02,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260402,PF-KPI-4E7933DFEF21
EXC-107CE98C,kpi_003,HOSP-001,DEPT-ADM,2026-04-03,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260403,PF-KPI-4E7933DFEF21
EXC-C61A2013,kpi_003,HOSP-001,DEPT-ADM,2026-04-04,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260404,PF-KPI-4E7933DFEF21
EXC-D26794FA,kpi_003,HOSP-001,DEPT-ADM,2026-04-05,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260405,PF-KPI-4E7933DFEF21
EXC-6EFD9C02,kpi_003,HOSP-001,DEPT-ADM,2026-04-06,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260406,PF-KPI-4E7933DFEF21
EXC-56F312E6,kpi_003,HOSP-001,DEPT-ADM,2026-04-07,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260407,PF-KPI-4E7933DFEF21
EXC-19D8F213,kpi_003,HOSP-001,DEPT-ADM,2026-04-08,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260408,PF-KPI-4E7933DFEF21
EXC-1982BA9F,kpi_003,HOSP-001,DEPT-ADM,2026-04-09,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260409,PF-KPI-4E7933DFEF21
EXC-B533FFF6,kpi_003,HOSP-001,DEPT-ADM,2026-04-10,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260410,PF-KPI-4E7933DFEF21
EXC-DF35621D,kpi_003,HOSP-001,DEPT-ADM,2026-04-11,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260411,PF-KPI-4E7933DFEF21
EXC-ED80E828,kpi_003,HOSP-001,DEPT-ADM,2026-04-12,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260412,PF-KPI-4E7933DFEF21
EXC-3745DA75,kpi_003,HOSP-001,DEPT-ADM,2026-04-13,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260413,PF-KPI-4E7933DFEF21
EXC-D01DA086,kpi_003,HOSP-001,DEPT-ADM,2026-04-14,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260414,PF-KPI-4E7933DFEF21
EXC-93A240D8,kpi_003,HOSP-001,DEPT-ADM,2026-04-15,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260415,PF-KPI-4E7933DFEF21
EXC-CE012F50,kpi_003,HOSP-001,DEPT-ADM,2026-04-16,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260416,PF-KPI-4E7933DFEF21
EXC-56773C0B,kpi_003,HOSP-001,DEPT-ADM,2026-04-17,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260417,PF-KPI-4E7933DFEF21
EXC-5F529FE6,kpi_003,HOSP-001,DEPT-ADM,2026-04-18,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260418,PF-KPI-4E7933DFEF21
EXC-998ED6B5,kpi_003,HOSP-001,DEPT-ADM,2026-04-19,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260419,PF-KPI-4E7933DFEF21
EXC-B2FFAB5D,kpi_003,HOSP-001,DEPT-ADM,2026-04-20,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260420,PF-KPI-4E7933DFEF21
EXC-3ED4D6D7,kpi_003,HOSP-001,DEPT-ADM,2026-04-21,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260421,PF-KPI-4E7933DFEF21
EXC-EFAEE111,kpi_003,HOSP-001,DEPT-ADM,2026-04-22,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260422,PF-KPI-4E7933DFEF21
EXC-954A188C,kpi_003,HOSP-001,DEPT-ADM,2026-04-23,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260423,PF-KPI-4E7933DFEF21
EXC-156877AB,kpi_003,HOSP-001,DEPT-ADM,2026-04-24,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260424,PF-KPI-4E7933DFEF21
EXC-CAC583A5,kpi_003,HOSP-001,DEPT-ADM,2026-04-25,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260425,PF-KPI-4E7933DFEF21
EXC-5F77FDFD,kpi_003,HOSP-001,DEPT-ADM,2026-04-26,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260426,PF-KPI-4E7933DFEF21
EXC-5BE1F179,kpi_003,HOSP-001,DEPT-ADM,2026-04-27,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260427,PF-KPI-4E7933DFEF21
EXC-E958A355,kpi_003,HOSP-001,DEPT-ADM,2026-04-28,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260428,PF-KPI-4E7933DFEF21
EXC-BAFD3708,kpi_003,HOSP-001,DEPT-ADM,2026-04-29,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260429,PF-KPI-4E7933DFEF21
EXC-4E594FB7,kpi_003,HOSP-001,DEPT-ADM,2026-04-30,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260430,PF-KPI-4E7933DFEF21
EXC-ED79C63D,kpi_003,HOSP-001,DEPT-ADM,2026-05-01,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260501,PF-KPI-4E7933DFEF21
EXC-643C0E60,kpi_003,HOSP-001,DEPT-ADM,2026-05-02,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260502,PF-KPI-4E7933DFEF21
EXC-5C972821,kpi_003,HOSP-001,DEPT-ADM,2026-05-03,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260503,PF-KPI-4E7933DFEF21
EXC-D743A7AC,kpi_003,HOSP-001,DEPT-ADM,2026-05-04,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260504,PF-KPI-4E7933DFEF21
EXC-FAE00D22,kpi_003,HOSP-001,DEPT-ADM,2026-05-05,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260505,PF-KPI-4E7933DFEF21
EXC-356EDA8F,kpi_003,HOSP-001,DEPT-ADM,2026-05-06,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260506,PF-KPI-4E7933DFEF21
EXC-14106369,kpi_003,HOSP-001,DEPT-ADM,2026-05-07,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260507,PF-KPI-4E7933DFEF21
EXC-FA8B4BDE,kpi_003,HOSP-001,DEPT-ADM,2026-05-08,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260508,PF-KPI-4E7933DFEF21
EXC-C3DC3944,kpi_003,HOSP-001,DEPT-ADM,2026-05-09,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260509,PF-KPI-4E7933DFEF21
EXC-B332C922,kpi_003,HOSP-001,DEPT-ADM,2026-05-10,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260510,PF-KPI-4E7933DFEF21
EXC-2A81E2E7,kpi_003,HOSP-001,DEPT-ADM,2026-05-11,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260511,PF-KPI-4E7933DFEF21
EXC-16061C4C,kpi_003,HOSP-001,DEPT-ADM,2026-05-12,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260512,PF-KPI-4E7933DFEF21
EXC-50701441,kpi_003,HOSP-001,DEPT-ADM,2026-05-13,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260513,PF-KPI-4E7933DFEF21
EXC-42D39915,kpi_003,HOSP-001,DEPT-ADM,2026-05-14,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260514,PF-KPI-4E7933DFEF21
EXC-DB01A48D,kpi_003,HOSP-001,DEPT-ADM,2026-05-15,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260515,PF-KPI-4E7933DFEF21
EXC-DC1D03C1,kpi_003,HOSP-001,DEPT-ADM,2026-05-16,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260516,PF-KPI-4E7933DFEF21
EXC-9F623506,kpi_003,HOSP-001,DEPT-ADM,2026-05-17,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260517,PF-KPI-4E7933DFEF21
EXC-BA9E58C8,kpi_003,HOSP-001,DEPT-ADM,2026-05-18,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260518,PF-KPI-4E7933DFEF21
EXC-AE319494,kpi_003,HOSP-001,DEPT-ADM,2026-05-19,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260519,PF-KPI-4E7933DFEF21
EXC-93EFBA2B,kpi_003,HOSP-001,DEPT-ADM,2026-05-20,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260520,PF-KPI-4E7933DFEF21
