evidence_id,scenario_run_id,evidence_type,source_type,source_id,source_file,link_type,recorded_at,metadata_json
EV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-COMP-3,SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001,Comparator Configuration,Comparator Config,COMP-HIGH-001,config/scenario_comparator_config.csv,Defined By,2026-07-28T14:58:57.699448,{}
EV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-PKG-4,SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001,Approval Package,Package,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,data/scenario_inputs/step_2c1d_episode_approval_package_register.csv,Authorised By,2026-07-28T14:58:57.699452,{}
EV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-EP-5,SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001,Episode,Episode,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,data/scenario_inputs/step_2c1c_corrected_episode_register.csv,Based On,2026-07-28T14:58:57.699455,{}
EV-SR-BL-8967EE194089397D-COMP-BASE-001-BASE-0,SR-BL-8967EE194089397D-COMP-BASE-001,Baseline,Analytical Dataset,analytical_workforce_kpi_daily.csv,analytical_workforce_kpi_daily.csv,Derived From,2026-07-28T14:58:57.706970,{}
EV-SR-BL-8967EE194089397D-COMP-BASE-001-REC-1,SR-BL-8967EE194089397D-COMP-BASE-001,Source Record,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260116,,Contributed To,2026-07-28T14:58:57.706977,{}
EV-SR-BL-8967EE194089397D-COMP-BASE-001-RECID-2,SR-BL-8967EE194089397D-COMP-BASE-001,Recommendation,Recommendation,REC-CASE-DEPT-ADM-20260116-OPT1,,Approved By,2026-07-28T14:58:57.706981,{}
EV-SR-BL-8967EE194089397D-COMP-BASE-001-COMP-3,SR-BL-8967EE194089397D-COMP-BASE-001,Comparator Configuration,Comparator Config,COMP-BASE-001,config/scenario_comparator_config.csv,Defined By,2026-07-28T14:58:57.706986,{}
EV-SR-BL-8967EE194089397D-COMP-BASE-001-PKG-4,SR-BL-8967EE194089397D-COMP-BASE-001,Approval Package,Package,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,data/scenario_inputs/step_2c1d_episode_approval_package_register.csv,Authorised By,2026-07-28T14:58:57.706990,{}
EV-SR-BL-8967EE194089397D-COMP-BASE-001-EP-5,SR-BL-8967EE194089397D-COMP-BASE-001,Episode,Episode,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,data/scenario_inputs/step_2c1c_corrected_episode_register.csv,Based On,2026-07-28T14:58:57.706994,{}
EV-SR-BL-8967EE194089397D-COMP-CONS-001-BASE-0,SR-BL-8967EE194089397D-COMP-CONS-001,Baseline,Analytical Dataset,analytical_workforce_kpi_daily.csv,analytical_workforce_kpi_daily.csv,Derived From,2026-07-28T14:58:57.713661,{}
EV-SR-BL-8967EE194089397D-COMP-CONS-001-REC-1,SR-BL-8967EE194089397D-COMP-CONS-001,Source Record,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260116,,Contributed To,2026-07-28T14:58:57.713672,{}
EV-SR-BL-8967EE194089397D-COMP-CONS-001-RECID-2,SR-BL-8967EE194089397D-COMP-CONS-001,Recommendation,Recommendation,REC-CASE-DEPT-ADM-20260116-OPT1,,Approved By,2026-07-28T14:58:57.713680,{}
EV-SR-BL-8967EE194089397D-COMP-CONS-001-COMP-3,SR-BL-8967EE194089397D-COMP-CONS-001,Comparator Configuration,Comparator Config,COMP-CONS-001,config/scenario_comparator_config.csv,Defined By,2026-07-28T14:58:57.713689,{}
EV-SR-BL-8967EE194089397D-COMP-CONS-001-PKG-4,SR-BL-8967EE194089397D-COMP-CONS-001,Approval Package,Package,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,data/scenario_inputs/step_2c1d_episode_approval_package_register.csv,Authorised By,2026-07-28T14:58:57.713696,{}
EV-SR-BL-8967EE194089397D-COMP-CONS-001-EP-5,SR-BL-8967EE194089397D-COMP-CONS-001,Episode,Episode,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,data/scenario_inputs/step_2c1c_corrected_episode_register.csv,Based On,2026-07-28T14:58:57.713702,{}
EV-SR-BL-8967EE194089397D-COMP-EXP-001-BASE-0,SR-BL-8967EE194089397D-COMP-EXP-001,Baseline,Analytical Dataset,analytical_workforce_kpi_daily.csv,analytical_workforce_kpi_daily.csv,Derived From,2026-07-28T14:58:57.718109,{}
EV-SR-BL-8967EE194089397D-COMP-EXP-001-REC-1,SR-BL-8967EE194089397D-COMP-EXP-001,Source Record,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260116,,Contributed To,2026-07-28T14:58:57.718115,{}
EV-SR-BL-8967EE194089397D-COMP-EXP-001-RECID-2,SR-BL-8967EE194089397D-COMP-EXP-001,Recommendation,Recommendation,REC-CASE-DEPT-ADM-20260116-OPT1,,Approved By,2026-07-28T14:58:57.718119,{}
EV-SR-BL-8967EE194089397D-COMP-EXP-001-COMP-3,SR-BL-8967EE194089397D-COMP-EXP-001,Comparator Configuration,Comparator Config,COMP-EXP-001,config/scenario_comparator_config.csv,Defined By,2026-07-28T14:58:57.718123,{}
EV-SR-BL-8967EE194089397D-COMP-EXP-001-PKG-4,SR-BL-8967EE194089397D-COMP-EXP-001,Approval Package,Package,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,data/scenario_inputs/step_2c1d_episode_approval_package_register.csv,Authorised By,2026-07-28T14:58:57.718127,{}
EV-SR-BL-8967EE194089397D-COMP-EXP-001-EP-5,SR-BL-8967EE194089397D-COMP-EXP-001,Episode,Episode,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,data/scenario_inputs/step_2c1c_corrected_episode_register.csv,Based On,2026-07-28T14:58:57.718131,{}
EV-SR-BL-8967EE194089397D-COMP-HIGH-001-BASE-0,SR-BL-8967EE194089397D-COMP-HIGH-001,Baseline,Analytical Dataset,analytical_workforce_kpi_daily.csv,analytical_workforce_kpi_daily.csv,Derived From,2026-07-28T14:58:57.722498,{}
EV-SR-BL-8967EE194089397D-COMP-HIGH-001-REC-1,SR-BL-8967EE194089397D-COMP-HIGH-001,Source Record,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260116,,Contributed To,2026-07-28T14:58:57.722504,{}
EV-SR-BL-8967EE194089397D-COMP-HIGH-001-RECID-2,SR-BL-8967EE194089397D-COMP-HIGH-001,Recommendation,Recommendation,REC-CASE-DEPT-ADM-20260116-OPT1,,Approved By,2026-07-28T14:58:57.722508,{}
EV-SR-BL-8967EE194089397D-COMP-HIGH-001-COMP-3,SR-BL-8967EE194089397D-COMP-HIGH-001,Comparator Configuration,Comparator Config,COMP-HIGH-001,config/scenario_comparator_config.csv,Defined By,2026-07-28T14:58:57.722513,{}
EV-SR-BL-8967EE194089397D-COMP-HIGH-001-PKG-4,SR-BL-8967EE194089397D-COMP-HIGH-001,Approval Package,Package,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,data/scenario_inputs/step_2c1d_episode_approval_package_register.csv,Authorised By,2026-07-28T14:58:57.722517,{}
EV-SR-BL-8967EE194089397D-COMP-HIGH-001-EP-5,SR-BL-8967EE194089397D-COMP-HIGH-001,Episode,Episode,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,data/scenario_inputs/step_2c1c_corrected_episode_register.csv,Based On,2026-07-28T14:58:57.722521,{}
EV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-BASE-0,SR-BL-DC41AA9F364EC81B-COMP-BASE-001,Baseline,Analytical Dataset,analytical_workforce_kpi_daily.csv,analytical_workforce_kpi_daily.csv,Derived From,2026-07-28T14:58:57.731855,{}
EV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-REC-1,SR-BL-DC41AA9F364EC81B-COMP-BASE-001,Source Record,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260209,,Contributed To,2026-07-28T14:58:57.731862,{}
EV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-RECID-2,SR-BL-DC41AA9F364EC81B-COMP-BASE-001,Recommendation,Recommendation,REC-CASE-DEPT-ADM-20260209-OPT1,,Approved By,2026-07-28T14:58:57.731867,{}
EV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-COMP-3,SR-BL-DC41AA9F364EC81B-COMP-BASE-001,Comparator Configuration,Comparator Config,COMP-BASE-001,config/scenario_comparator_config.csv,Defined By,2026-07-28T14:58:57.731872,{}
EV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-PKG-4,SR-BL-DC41AA9F364EC81B-COMP-BASE-001,Approval Package,Package,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,data/scenario_inputs/step_2c1d_episode_approval_package_register.csv,Authorised By,2026-07-28T14:58:57.731876,{}
EV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-EP-5,SR-BL-DC41AA9F364EC81B-COMP-BASE-001,Episode,Episode,EP-HOSP-001-DEPT-ADM-kpi_001-20260209,data/scenario_inputs/step_2c1c_corrected_episode_register.csv,Based On,2026-07-28T14:58:57.731880,{}
EV-SR-BL-DC41AA9F364EC81B-COMP-CONS-001-BASE-0,SR-BL-DC41AA9F364EC81B-COMP-CONS-001,Baseline,Analytical Dataset,analytical_workforce_kpi_daily.csv,analytical_workforce_kpi_daily.csv,Derived From,2026-07-28T14:58:57.735887,{}
EV-SR-BL-DC41AA9F364EC81B-COMP-CONS-001-REC-1,SR-BL-DC41AA9F364EC81B-COMP-CONS-001,Source Record,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260209,,Contributed To,2026-07-28T14:58:57.735892,{}
EV-SR-BL-DC41AA9F364EC81B-COMP-CONS-001-RECID-2,SR-BL-DC41AA9F364EC81B-COMP-CONS-001,Recommendation,Recommendation,REC-CASE-DEPT-ADM-20260209-OPT1,,Approved By,2026-07-28T14:58:57.735897,{}
EV-SR-BL-DC41AA9F364EC81B-COMP-CONS-001-COMP-3,SR-BL-DC41AA9F364EC81B-COMP-CONS-001,Comparator Configuration,Comparator Config,COMP-CONS-001,config/scenario_comparator_config.csv,Defined By,2026-07-28T14:58:57.735901,{}
EV-SR-BL-DC41AA9F364EC81B-COMP-CONS-001-PKG-4,SR-BL-DC41AA9F364EC81B-COMP-CONS-001,Approval Package,Package,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,data/scenario_inputs/step_2c1d_episode_approval_package_register.csv,Authorised By,2026-07-28T14:58:57.735905,{}
EV-SR-BL-DC41AA9F364EC81B-COMP-CONS-001-EP-5,SR-BL-DC41AA9F364EC81B-COMP-CONS-001,Episode,Episode,EP-HOSP-001-DEPT-ADM-kpi_001-20260209,data/scenario_inputs/step_2c1c_corrected_episode_register.csv,Based On,2026-07-28T14:58:57.735909,{}
EV-SR-BL-DC41AA9F364EC81B-COMP-EXP-001-BASE-0,SR-BL-DC41AA9F364EC81B-COMP-EXP-001,Baseline,Analytical Dataset,analytical_workforce_kpi_daily.csv,analytical_workforce_kpi_daily.csv,Derived From,2026-07-28T14:58:57.739710,{}
EV-SR-BL-DC41AA9F364EC81B-COMP-EXP-001-REC-1,SR-BL-DC41AA9F364EC81B-COMP-EXP-001,Source Record,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260209,,Contributed To,2026-07-28T14:58:57.739716,{}
EV-SR-BL-DC41AA9F364EC81B-COMP-EXP-001-RECID-2,SR-BL-DC41AA9F364EC81B-COMP-EXP-001,Recommendation,Recommendation,REC-CASE-DEPT-ADM-20260209-OPT1,,Approved By,2026-07-28T14:58:57.739720,{}
EV-SR-BL-DC41AA9F364EC81B-COMP-EXP-001-COMP-3,SR-BL-DC41AA9F364EC81B-COMP-EXP-001,Comparator Configuration,Comparator Config,COMP-EXP-001,config/scenario_comparator_config.csv,Defined By,2026-07-28T14:58:57.739724,{}
EV-SR-BL-DC41AA9F364EC81B-COMP-EXP-001-PKG-4,SR-BL-DC41AA9F364EC81B-COMP-EXP-001,Approval Package,Package,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,data/scenario_inputs/step_2c1d_episode_approval_package_register.csv,Authorised By,2026-07-28T14:58:57.739728,{}
EV-SR-BL-DC41AA9F364EC81B-COMP-EXP-001-EP-5,SR-BL-DC41AA9F364EC81B-COMP-EXP-001,Episode,Episode,EP-HOSP-001-DEPT-ADM-kpi_001-20260209,data/scenario_inputs/step_2c1c_corrected_episode_register.csv,Based On,2026-07-28T14:58:57.739732,{}
EV-SR-BL-DC41AA9F364EC81B-COMP-HIGH-001-BASE-0,SR-BL-DC41AA9F364EC81B-COMP-HIGH-001,Baseline,Analytical Dataset,analytical_workforce_kpi_daily.csv,analytical_workforce_kpi_daily.csv,Derived From,2026-07-28T14:58:57.744680,{}
EV-SR-BL-DC41AA9F364EC81B-COMP-HIGH-001-REC-1,SR-BL-DC41AA9F364EC81B-COMP-HIGH-001,Source Record,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260209,,Contributed To,2026-07-28T14:58:57.744701,{}
EV-SR-BL-DC41AA9F364EC81B-COMP-HIGH-001-RECID-2,SR-BL-DC41AA9F364EC81B-COMP-HIGH-001,Recommendation,Recommendation,REC-CASE-DEPT-ADM-20260209-OPT1,,Approved By,2026-07-28T14:58:57.744710,{}
EV-SR-BL-DC41AA9F364EC81B-COMP-HIGH-001-COMP-3,SR-BL-DC41AA9F364EC81B-COMP-HIGH-001,Comparator Configuration,Comparator Config,COMP-HIGH-001,config/scenario_comparator_config.csv,Defined By,2026-07-28T14:58:57.744719,{}
EV-SR-BL-DC41AA9F364EC81B-COMP-HIGH-001-PKG-4,SR-BL-DC41AA9F364EC81B-COMP-HIGH-001,Approval Package,Package,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,data/scenario_inputs/step_2c1d_episode_approval_package_register.csv,Authorised By,2026-07-28T14:58:57.744726,{}
EV-SR-BL-DC41AA9F364EC81B-COMP-HIGH-001-EP-5,SR-BL-DC41AA9F364EC81B-COMP-HIGH-001,Episode,Episode,EP-HOSP-001-DEPT-ADM-kpi_001-20260209,data/scenario_inputs/step_2c1c_corrected_episode_register.csv,Based On,2026-07-28T14:58:57.744733,{}
EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-BASE-0,SR-BL-3048F5335B1741BC-COMP-BASE-001,Baseline,Analytical Dataset,analytical_workforce_kpi_daily.csv,analytical_workforce_kpi_daily.csv,Derived From,2026-07-28T14:58:57.756327,{}
EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-REC-1,SR-BL-3048F5335B1741BC-COMP-BASE-001,Source Record,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260328,,Contributed To,2026-07-28T14:58:57.756333,{}
EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-REC-2,SR-BL-3048F5335B1741BC-COMP-BASE-001,Source Record,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260329,,Contributed To,2026-07-28T14:58:57.756337,{}
EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-REC-3,SR-BL-3048F5335B1741BC-COMP-BASE-001,Source Record,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260330,,Contributed To,2026-07-28T14:58:57.756341,{}
EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-REC-4,SR-BL-3048F5335B1741BC-COMP-BASE-001,Source Record,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260331,,Contributed To,2026-07-28T14:58:57.756344,{}
EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-REC-5,SR-BL-3048F5335B1741BC-COMP-BASE-001,Source Record,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260401,,Contributed To,2026-07-28T14:58:57.756347,{}
EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-RECID-6,SR-BL-3048F5335B1741BC-COMP-BASE-001,Recommendation,Recommendation,REC-CASE-DEPT-ADM-20260328-OPT1,,Approved By,2026-07-28T14:58:57.756351,{}
EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-RECID-7,SR-BL-3048F5335B1741BC-COMP-BASE-001,Recommendation,Recommendation,REC-CASE-DEPT-ADM-20260329-OPT1,,Approved By,2026-07-28T14:58:57.756355,{}
EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-RECID-8,SR-BL-3048F5335B1741BC-COMP-BASE-001,Recommendation,Recommendation,REC-CASE-DEPT-ADM-20260401-OPT1,,Approved By,2026-07-28T14:58:57.756358,{}
EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-COMP-9,SR-BL-3048F5335B1741BC-COMP-BASE-001,Comparator Configuration,Comparator Config,COMP-BASE-001,config/scenario_comparator_config.csv,Defined By,2026-07-28T14:58:57.756362,{}
EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-PKG-10,SR-BL-3048F5335B1741BC-COMP-BASE-001,Approval Package,Package,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,data/scenario_inputs/step_2c1d_episode_approval_package_register.csv,Authorised By,2026-07-28T14:58:57.756366,{}
EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-EP-11,SR-BL-3048F5335B1741BC-COMP-BASE-001,Episode,Episode,EP-HOSP-001-DEPT-ADM-kpi_001-20260328,data/scenario_inputs/step_2c1c_corrected_episode_register.csv,Based On,2026-07-28T14:58:57.756370,{}
EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-BASE-0,SR-BL-3048F5335B1741BC-COMP-CONS-001,Baseline,Analytical Dataset,analytical_workforce_kpi_daily.csv,analytical_workforce_kpi_daily.csv,Derived From,2026-07-28T14:58:57.761385,{}
EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-REC-1,SR-BL-3048F5335B1741BC-COMP-CONS-001,Source Record,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260328,,Contributed To,2026-07-28T14:58:57.761392,{}
EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-REC-2,SR-BL-3048F5335B1741BC-COMP-CONS-001,Source Record,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260329,,Contributed To,2026-07-28T14:58:57.761396,{}
EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-REC-3,SR-BL-3048F5335B1741BC-COMP-CONS-001,Source Record,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260330,,Contributed To,2026-07-28T14:58:57.761400,{}
EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-REC-4,SR-BL-3048F5335B1741BC-COMP-CONS-001,Source Record,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260331,,Contributed To,2026-07-28T14:58:57.761403,{}
EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-REC-5,SR-BL-3048F5335B1741BC-COMP-CONS-001,Source Record,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260401,,Contributed To,2026-07-28T14:58:57.761407,{}
EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-RECID-6,SR-BL-3048F5335B1741BC-COMP-CONS-001,Recommendation,Recommendation,REC-CASE-DEPT-ADM-20260328-OPT1,,Approved By,2026-07-28T14:58:57.761411,{}
EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-RECID-7,SR-BL-3048F5335B1741BC-COMP-CONS-001,Recommendation,Recommendation,REC-CASE-DEPT-ADM-20260329-OPT1,,Approved By,2026-07-28T14:58:57.761414,{}
EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-RECID-8,SR-BL-3048F5335B1741BC-COMP-CONS-001,Recommendation,Recommendation,REC-CASE-DEPT-ADM-20260401-OPT1,,Approved By,2026-07-28T14:58:57.761417,{}
EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-COMP-9,SR-BL-3048F5335B1741BC-COMP-CONS-001,Comparator Configuration,Comparator Config,COMP-CONS-001,config/scenario_comparator_config.csv,Defined By,2026-07-28T14:58:57.761421,{}
EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-PKG-10,SR-BL-3048F5335B1741BC-COMP-CONS-001,Approval Package,Package,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,data/scenario_inputs/step_2c1d_episode_approval_package_register.csv,Authorised By,2026-07-28T14:58:57.761425,{}
EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-EP-11,SR-BL-3048F5335B1741BC-COMP-CONS-001,Episode,Episode,EP-HOSP-001-DEPT-ADM-kpi_001-20260328,data/scenario_inputs/step_2c1c_corrected_episode_register.csv,Based On,2026-07-28T14:58:57.761428,{}
EV-SR-BL-3048F5335B1741BC-COMP-EXP-001-BASE-0,SR-BL-3048F5335B1741BC-COMP-EXP-001,Baseline,Analytical Dataset,analytical_workforce_kpi_daily.csv,analytical_workforce_kpi_daily.csv,Derived From,2026-07-28T14:58:57.765805,{}
EV-SR-BL-3048F5335B1741BC-COMP-EXP-001-REC-1,SR-BL-3048F5335B1741BC-COMP-EXP-001,Source Record,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260328,,Contributed To,2026-07-28T14:58:57.765811,{}
EV-SR-BL-3048F5335B1741BC-COMP-EXP-001-REC-2,SR-BL-3048F5335B1741BC-COMP-EXP-001,Source Record,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260329,,Contributed To,2026-07-28T14:58:57.765815,{}
