issue_id,severity,issue_type,kpi_id,hospital_id,department_id,reporting_date,message,source_dataset,source_record_id,calculation_run_id,_source_domain,integration_issue_id,source_issue_id,issue_origin,integration_run_id
ISS-kpi_005-EA7B787E,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-01-10,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260110,PEX-KPI-DCF120177644,patient_experience,IISS-11ABBCE2,ISS-kpi_005-EA7B787E,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-3E33EC9C,Warning,INSUFFICIENT_DATA,kpi_005,HOSP-001,DEPT-ADM,2026-01-11,Insufficient data for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260111,PEX-KPI-DCF120177644,patient_experience,IISS-56CAE076,ISS-kpi_005-3E33EC9C,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_006-6752705C,Warning,INSUFFICIENT_DATA,kpi_006,HOSP-001,DEPT-ADM,2026-01-11,Insufficient data for kpi_006,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260111,PEX-KPI-DCF120177644,patient_experience,IISS-3D4353ED,ISS-kpi_006-6752705C,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-FF77DC6D,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-01-12,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260112,PEX-KPI-DCF120177644,patient_experience,IISS-20BFEF9F,ISS-kpi_005-FF77DC6D,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-177BF65E,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-01-13,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260113,PEX-KPI-DCF120177644,patient_experience,IISS-59BAA499,ISS-kpi_005-177BF65E,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-4F0C5FBC,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-01-14,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260114,PEX-KPI-DCF120177644,patient_experience,IISS-BD15F5B5,ISS-kpi_005-4F0C5FBC,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-2AF96370,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-01-15,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260115,PEX-KPI-DCF120177644,patient_experience,IISS-BAE07FED,ISS-kpi_005-2AF96370,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-DB7FAE46,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-01-16,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260116,PEX-KPI-DCF120177644,patient_experience,IISS-6FE97525,ISS-kpi_005-DB7FAE46,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-4857CD3D,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-01-17,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260117,PEX-KPI-DCF120177644,patient_experience,IISS-27186120,ISS-kpi_005-4857CD3D,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-993D44B0,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-01-18,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260118,PEX-KPI-DCF120177644,patient_experience,IISS-47122448,ISS-kpi_005-993D44B0,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_006-6ECCA76E,Warning,ZERO_DENOMINATOR,kpi_006,HOSP-001,DEPT-ADM,2026-01-18,Zero denominator for kpi_006,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260118,PEX-KPI-DCF120177644,patient_experience,IISS-67120852,ISS-kpi_006-6ECCA76E,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-7F35D324,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-01-19,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260119,PEX-KPI-DCF120177644,patient_experience,IISS-3AEA3E9D,ISS-kpi_005-7F35D324,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_006-2012CE56,Warning,ZERO_DENOMINATOR,kpi_006,HOSP-001,DEPT-ADM,2026-01-19,Zero denominator for kpi_006,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260119,PEX-KPI-DCF120177644,patient_experience,IISS-0DF4F5D3,ISS-kpi_006-2012CE56,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-ED79774C,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-01-20,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260120,PEX-KPI-DCF120177644,patient_experience,IISS-8C324AEE,ISS-kpi_005-ED79774C,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-0DB61E5A,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-01-21,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260121,PEX-KPI-DCF120177644,patient_experience,IISS-87C9C88C,ISS-kpi_005-0DB61E5A,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-FD98A9F8,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-01-22,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260122,PEX-KPI-DCF120177644,patient_experience,IISS-1E2E2B0B,ISS-kpi_005-FD98A9F8,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-AB733E04,Warning,INSUFFICIENT_DATA,kpi_005,HOSP-001,DEPT-ADM,2026-01-23,Insufficient data for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260123,PEX-KPI-DCF120177644,patient_experience,IISS-BB3F6399,ISS-kpi_005-AB733E04,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_006-294A44BA,Warning,INSUFFICIENT_DATA,kpi_006,HOSP-001,DEPT-ADM,2026-01-23,Insufficient data for kpi_006,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260123,PEX-KPI-DCF120177644,patient_experience,IISS-07AB7E9D,ISS-kpi_006-294A44BA,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-2CF82F4B,Warning,INSUFFICIENT_DATA,kpi_005,HOSP-001,DEPT-ADM,2026-01-24,Insufficient data for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260124,PEX-KPI-DCF120177644,patient_experience,IISS-3493DE85,ISS-kpi_005-2CF82F4B,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_006-FBE44C0A,Warning,INSUFFICIENT_DATA,kpi_006,HOSP-001,DEPT-ADM,2026-01-24,Insufficient data for kpi_006,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260124,PEX-KPI-DCF120177644,patient_experience,IISS-98C0DBB5,ISS-kpi_006-FBE44C0A,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-1CAD88D4,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-01-25,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260125,PEX-KPI-DCF120177644,patient_experience,IISS-035C82A1,ISS-kpi_005-1CAD88D4,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-3F12E3B7,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-01-26,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260126,PEX-KPI-DCF120177644,patient_experience,IISS-E1232502,ISS-kpi_005-3F12E3B7,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-4B609979,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-01-27,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260127,PEX-KPI-DCF120177644,patient_experience,IISS-7E99808C,ISS-kpi_005-4B609979,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-7723EDB9,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-01-28,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260128,PEX-KPI-DCF120177644,patient_experience,IISS-1AB19067,ISS-kpi_005-7723EDB9,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_006-A57F5E4A,Warning,ZERO_DENOMINATOR,kpi_006,HOSP-001,DEPT-ADM,2026-01-28,Zero denominator for kpi_006,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260128,PEX-KPI-DCF120177644,patient_experience,IISS-320297B3,ISS-kpi_006-A57F5E4A,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-12DF5908,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-01-29,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260129,PEX-KPI-DCF120177644,patient_experience,IISS-6D362D8D,ISS-kpi_005-12DF5908,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-A13E3D85,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-01-30,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260130,PEX-KPI-DCF120177644,patient_experience,IISS-A8A1BE48,ISS-kpi_005-A13E3D85,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-7BF0C5A4,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-01-31,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260131,PEX-KPI-DCF120177644,patient_experience,IISS-FC2CFDC5,ISS-kpi_005-7BF0C5A4,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-0B36C43E,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-01,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260201,PEX-KPI-DCF120177644,patient_experience,IISS-32A25604,ISS-kpi_005-0B36C43E,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-D4B1CD95,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-02,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260202,PEX-KPI-DCF120177644,patient_experience,IISS-CA4F60F6,ISS-kpi_005-D4B1CD95,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-CAF213B9,Warning,INSUFFICIENT_DATA,kpi_005,HOSP-001,DEPT-ADM,2026-02-03,Insufficient data for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260203,PEX-KPI-DCF120177644,patient_experience,IISS-117FF59B,ISS-kpi_005-CAF213B9,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_006-34AB985A,Warning,INSUFFICIENT_DATA,kpi_006,HOSP-001,DEPT-ADM,2026-02-03,Insufficient data for kpi_006,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260203,PEX-KPI-DCF120177644,patient_experience,IISS-B0594A06,ISS-kpi_006-34AB985A,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-EE811D09,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-04,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260204,PEX-KPI-DCF120177644,patient_experience,IISS-F98A9ECA,ISS-kpi_005-EE811D09,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-14E762AE,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-05,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260205,PEX-KPI-DCF120177644,patient_experience,IISS-758B456E,ISS-kpi_005-14E762AE,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-C609E13E,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-06,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260206,PEX-KPI-DCF120177644,patient_experience,IISS-A835A8B2,ISS-kpi_005-C609E13E,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-B6201B33,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-07,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260207,PEX-KPI-DCF120177644,patient_experience,IISS-9DE35C3A,ISS-kpi_005-B6201B33,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-D15782BB,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-08,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260208,PEX-KPI-DCF120177644,patient_experience,IISS-C62AAEDA,ISS-kpi_005-D15782BB,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-9B4DEDCB,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-09,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260209,PEX-KPI-DCF120177644,patient_experience,IISS-8C994468,ISS-kpi_005-9B4DEDCB,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-27A00722,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-10,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260210,PEX-KPI-DCF120177644,patient_experience,IISS-96B2AC67,ISS-kpi_005-27A00722,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-5464EE00,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-11,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260211,PEX-KPI-DCF120177644,patient_experience,IISS-2F698D6A,ISS-kpi_005-5464EE00,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-09E6A70D,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-12,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260212,PEX-KPI-DCF120177644,patient_experience,IISS-25D1B5D9,ISS-kpi_005-09E6A70D,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-38661CE1,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-13,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260213,PEX-KPI-DCF120177644,patient_experience,IISS-D46B8667,ISS-kpi_005-38661CE1,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-B8817948,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-14,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260214,PEX-KPI-DCF120177644,patient_experience,IISS-E6B3D52E,ISS-kpi_005-B8817948,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-C329591F,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-15,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260215,PEX-KPI-DCF120177644,patient_experience,IISS-F33B8D82,ISS-kpi_005-C329591F,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-7C3AE084,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-16,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260216,PEX-KPI-DCF120177644,patient_experience,IISS-DCD98C8D,ISS-kpi_005-7C3AE084,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-61CE1D21,Warning,INSUFFICIENT_DATA,kpi_005,HOSP-001,DEPT-ADM,2026-02-17,Insufficient data for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260217,PEX-KPI-DCF120177644,patient_experience,IISS-62A4B829,ISS-kpi_005-61CE1D21,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_006-324DC62E,Warning,INSUFFICIENT_DATA,kpi_006,HOSP-001,DEPT-ADM,2026-02-17,Insufficient data for kpi_006,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260217,PEX-KPI-DCF120177644,patient_experience,IISS-F3B0C70C,ISS-kpi_006-324DC62E,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-CC781B54,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-18,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260218,PEX-KPI-DCF120177644,patient_experience,IISS-91A60D48,ISS-kpi_005-CC781B54,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-42BBD1A9,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-19,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260219,PEX-KPI-DCF120177644,patient_experience,IISS-F5A7CF6D,ISS-kpi_005-42BBD1A9,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-AD8B3DAF,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-20,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260220,PEX-KPI-DCF120177644,patient_experience,IISS-77E15B3E,ISS-kpi_005-AD8B3DAF,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-3D26C383,Warning,INSUFFICIENT_DATA,kpi_005,HOSP-001,DEPT-ADM,2026-02-21,Insufficient data for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260221,PEX-KPI-DCF120177644,patient_experience,IISS-941FFDC8,ISS-kpi_005-3D26C383,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_006-3B4093C9,Warning,INSUFFICIENT_DATA,kpi_006,HOSP-001,DEPT-ADM,2026-02-21,Insufficient data for kpi_006,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260221,PEX-KPI-DCF120177644,patient_experience,IISS-FDFD0979,ISS-kpi_006-3B4093C9,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-5C58BBD1,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-22,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260222,PEX-KPI-DCF120177644,patient_experience,IISS-893585D2,ISS-kpi_005-5C58BBD1,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-4579A60F,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-23,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260223,PEX-KPI-DCF120177644,patient_experience,IISS-E534ECDE,ISS-kpi_005-4579A60F,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-E748F661,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-24,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260224,PEX-KPI-DCF120177644,patient_experience,IISS-275D3213,ISS-kpi_005-E748F661,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-6D9AC290,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-25,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260225,PEX-KPI-DCF120177644,patient_experience,IISS-763F9AE6,ISS-kpi_005-6D9AC290,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-71C2E795,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-26,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260226,PEX-KPI-DCF120177644,patient_experience,IISS-7670DCB7,ISS-kpi_005-71C2E795,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_006-C9924331,Warning,ZERO_DENOMINATOR,kpi_006,HOSP-001,DEPT-ADM,2026-02-26,Zero denominator for kpi_006,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260226,PEX-KPI-DCF120177644,patient_experience,IISS-A6481C9A,ISS-kpi_006-C9924331,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-91BC10D0,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-27,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260227,PEX-KPI-DCF120177644,patient_experience,IISS-0A850D55,ISS-kpi_005-91BC10D0,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-8AFDBB9B,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-28,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260228,PEX-KPI-DCF120177644,patient_experience,IISS-45E6E5AA,ISS-kpi_005-8AFDBB9B,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-161A174C,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-03-01,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260301,PEX-KPI-DCF120177644,patient_experience,IISS-1C266052,ISS-kpi_005-161A174C,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-76B8021D,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-03-02,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260302,PEX-KPI-DCF120177644,patient_experience,IISS-93366D63,ISS-kpi_005-76B8021D,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-BF28F352,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-03-03,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260303,PEX-KPI-DCF120177644,patient_experience,IISS-03804C7E,ISS-kpi_005-BF28F352,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-66194AC3,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-03-04,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260304,PEX-KPI-DCF120177644,patient_experience,IISS-E208FE4B,ISS-kpi_005-66194AC3,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-506321E9,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-03-05,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260305,PEX-KPI-DCF120177644,patient_experience,IISS-302F2ED4,ISS-kpi_005-506321E9,source_engine,SIX-KPI-8EC2F4190438
