episode_id,hospital_id,department_id,department_name,episode_start_date,episode_end_date,linked_case_count,maximum_risk_score,maximum_urgency,priority_tiers,dominant_kpi_id,dominant_kpi_name,representative_recommendation,representative_recommendation_id,persistence_summary,episode_grouping_basis,episode_grouping_kpi_id
EP-HOSP-001-DEPT-ADM-kpi_001-20260726,HOSP-001,DEPT-ADM,Admissions,2026-07-26,2026-07-26,1,69.38,Immediate Review,High,kpi_001,Staffing Level,Activate Approved Relief Staffing Arrangement,REC-CASE-DEPT-ADM-20260726-OPT1,Dominant KPI Staffing Level persisted across 1 reporting date(s) from 2026-07-26 to 2026-07-26. Max risk: 69.4. Max urgency: Immediate Review.,dominant_kpi,kpi_001
EP-HOSP-001-DEPT-ADM-kpi_001-20260822,HOSP-001,DEPT-ADM,Admissions,2026-08-22,2026-08-22,1,79.21,Immediate Review,Critical,kpi_001,Staffing Level,Activate Approved Relief Staffing Arrangement,REC-CASE-DEPT-ADM-20260822-OPT1,Dominant KPI Staffing Level persisted across 1 reporting date(s) from 2026-08-22 to 2026-08-22. Max risk: 79.2. Max urgency: Immediate Review.,dominant_kpi,kpi_001
EP-HOSP-001-DEPT-ADM-kpi_001-20261012,HOSP-001,DEPT-ADM,Admissions,2026-10-12,2026-10-12,1,51.9,Prompt Review,Elevated,kpi_001,Staffing Level,Activate Approved Relief Staffing Arrangement,REC-CASE-DEPT-ADM-20261012-OPT1,Dominant KPI Staffing Level persisted across 1 reporting date(s) from 2026-10-12 to 2026-10-12. Max risk: 51.9. Max urgency: Prompt Review.,dominant_kpi,kpi_001
EP-HOSP-001-DEPT-ADM-kpi_001-20261021,HOSP-001,DEPT-ADM,Admissions,2026-10-21,2026-10-21,1,61.93,Immediate Review,High,kpi_001,Staffing Level,Activate Approved Relief Staffing Arrangement,REC-CASE-DEPT-ADM-20261021-OPT1,Dominant KPI Staffing Level persisted across 1 reporting date(s) from 2026-10-21 to 2026-10-21. Max risk: 61.9. Max urgency: Immediate Review.,dominant_kpi,kpi_001
EP-HOSP-001-DEPT-ADM-kpi_001-20261127,HOSP-001,DEPT-ADM,Admissions,2026-11-27,2026-11-29,2,65.83,Immediate Review,High,kpi_001,Staffing Level,Activate Approved Relief Staffing Arrangement,REC-CASE-DEPT-ADM-20261129-OPT1,Dominant KPI Staffing Level persisted across 2 reporting date(s) from 2026-11-27 to 2026-11-29. Max risk: 65.8. Max urgency: Immediate Review.,dominant_kpi,kpi_001
EP-HOSP-001-DEPT-ADM-kpi_001-20261205,HOSP-001,DEPT-ADM,Admissions,2026-12-05,2026-12-06,2,81.87,Immediate Review,"Critical, Elevated",kpi_001,Staffing Level,Activate Approved Relief Staffing Arrangement,REC-CASE-DEPT-ADM-20261206-OPT1,Dominant KPI Staffing Level persisted across 2 reporting date(s) from 2026-12-05 to 2026-12-06. Max risk: 81.9. Max urgency: Immediate Review.,dominant_kpi,kpi_001
EP-HOSP-001-DEPT-ADM-kpi_001-20261220,HOSP-001,DEPT-ADM,Admissions,2026-12-20,2026-12-24,4,87.21,Immediate Review,"Critical, High",kpi_001,Staffing Level,Activate Approved Relief Staffing Arrangement,REC-CASE-DEPT-ADM-20261224-OPT1,Dominant KPI Staffing Level persisted across 4 reporting date(s) from 2026-12-20 to 2026-12-24. Max risk: 87.2. Max urgency: Immediate Review.,dominant_kpi,kpi_001
EP-HOSP-001-DEPT-ADM-kpi_002-20260202,HOSP-001,DEPT-ADM,Admissions,2026-02-02,2026-02-02,1,68.17,Immediate Review,High,kpi_002,Staff Absenteeism Rate,Review Unplanned Leave and Activate Relief Coverage,REC-CASE-DEPT-ADM-20260202-OPT1,Dominant KPI Staff Absenteeism Rate persisted across 1 reporting date(s) from 2026-02-02 to 2026-02-02. Max risk: 68.2. Max urgency: Immediate Review.,dominant_kpi,kpi_002
EP-HOSP-001-DEPT-ADM-kpi_002-20260206,HOSP-001,DEPT-ADM,Admissions,2026-02-06,2026-02-06,1,75.18,Immediate Review,Critical,kpi_002,Staff Absenteeism Rate,Review Unplanned Leave and Activate Relief Coverage,REC-CASE-DEPT-ADM-20260206-OPT1,Dominant KPI Staff Absenteeism Rate persisted across 1 reporting date(s) from 2026-02-06 to 2026-02-06. Max risk: 75.2. Max urgency: Immediate Review.,dominant_kpi,kpi_002
EP-HOSP-001-DEPT-ADM-kpi_002-20260330,HOSP-001,DEPT-ADM,Admissions,2026-03-30,2026-03-30,1,64.57,Immediate Review,High,kpi_002,Staff Absenteeism Rate,Review Unplanned Leave and Activate Relief Coverage,REC-CASE-DEPT-ADM-20260330-OPT1,Dominant KPI Staff Absenteeism Rate persisted across 1 reporting date(s) from 2026-03-30 to 2026-03-30. Max risk: 64.6. Max urgency: Immediate Review.,dominant_kpi,kpi_002
EP-HOSP-001-DEPT-ADM-kpi_002-20260409,HOSP-001,DEPT-ADM,Admissions,2026-04-09,2026-04-12,3,65.76,Immediate Review,High,kpi_002,Staff Absenteeism Rate,Review Unplanned Leave and Activate Relief Coverage,REC-CASE-DEPT-ADM-20260409-OPT1,Dominant KPI Staff Absenteeism Rate persisted across 3 reporting date(s) from 2026-04-09 to 2026-04-12. Max risk: 65.8. Max urgency: Immediate Review.,dominant_kpi,kpi_002
EP-HOSP-001-DEPT-ADM-kpi_002-20260524,HOSP-001,DEPT-ADM,Admissions,2026-05-24,2026-05-25,2,78.87,Immediate Review,"Critical, High",kpi_002,Staff Absenteeism Rate,Review Unplanned Leave and Activate Relief Coverage,REC-CASE-DEPT-ADM-20260525-OPT1,Dominant KPI Staff Absenteeism Rate persisted across 2 reporting date(s) from 2026-05-24 to 2026-05-25. Max risk: 78.9. Max urgency: Immediate Review.,dominant_kpi,kpi_002
EP-HOSP-001-DEPT-ADM-kpi_002-20260529,HOSP-001,DEPT-ADM,Admissions,2026-05-29,2026-05-29,1,53.88,Prompt Review,Elevated,kpi_002,Staff Absenteeism Rate,Review Unplanned Leave and Activate Relief Coverage,REC-CASE-DEPT-ADM-20260529-OPT1,Dominant KPI Staff Absenteeism Rate persisted across 1 reporting date(s) from 2026-05-29 to 2026-05-29. Max risk: 53.9. Max urgency: Prompt Review.,dominant_kpi,kpi_002
EP-HOSP-001-DEPT-ADM-kpi_002-20260611,HOSP-001,DEPT-ADM,Admissions,2026-06-11,2026-06-11,1,76.21,Immediate Review,Critical,kpi_002,Staff Absenteeism Rate,Review Unplanned Leave and Activate Relief Coverage,REC-CASE-DEPT-ADM-20260611-OPT1,Dominant KPI Staff Absenteeism Rate persisted across 1 reporting date(s) from 2026-06-11 to 2026-06-11. Max risk: 76.2. Max urgency: Immediate Review.,dominant_kpi,kpi_002
EP-HOSP-001-DEPT-ADM-kpi_002-20260620,HOSP-001,DEPT-ADM,Admissions,2026-06-20,2026-06-20,1,71.42,Immediate Review,High,kpi_002,Staff Absenteeism Rate,Review Unplanned Leave and Activate Relief Coverage,REC-CASE-DEPT-ADM-20260620-OPT1,Dominant KPI Staff Absenteeism Rate persisted across 1 reporting date(s) from 2026-06-20 to 2026-06-20. Max risk: 71.4. Max urgency: Immediate Review.,dominant_kpi,kpi_002
EP-HOSP-001-DEPT-ADM-kpi_002-20260624,HOSP-001,DEPT-ADM,Admissions,2026-06-24,2026-06-24,1,83.34,Immediate Review,Critical,kpi_002,Staff Absenteeism Rate,Review Unplanned Leave and Activate Relief Coverage,REC-CASE-DEPT-ADM-20260624-OPT1,Dominant KPI Staff Absenteeism Rate persisted across 1 reporting date(s) from 2026-06-24 to 2026-06-24. Max risk: 83.3. Max urgency: Immediate Review.,dominant_kpi,kpi_002
EP-HOSP-001-DEPT-ADM-kpi_002-20260710,HOSP-001,DEPT-ADM,Admissions,2026-07-10,2026-07-10,1,56.55,Immediate Review,High,kpi_002,Staff Absenteeism Rate,Review Unplanned Leave and Activate Relief Coverage,REC-CASE-DEPT-ADM-20260710-OPT1,Dominant KPI Staff Absenteeism Rate persisted across 1 reporting date(s) from 2026-07-10 to 2026-07-10. Max risk: 56.5. Max urgency: Immediate Review.,dominant_kpi,kpi_002
EP-HOSP-001-DEPT-ADM-kpi_002-20260716,HOSP-001,DEPT-ADM,Admissions,2026-07-16,2026-07-16,1,79.81,Immediate Review,Critical,kpi_002,Staff Absenteeism Rate,Review Unplanned Leave and Activate Relief Coverage,REC-CASE-DEPT-ADM-20260716-OPT1,Dominant KPI Staff Absenteeism Rate persisted across 1 reporting date(s) from 2026-07-16 to 2026-07-16. Max risk: 79.8. Max urgency: Immediate Review.,dominant_kpi,kpi_002
EP-HOSP-001-DEPT-ADM-kpi_002-20260814,HOSP-001,DEPT-ADM,Admissions,2026-08-14,2026-08-14,1,57.06,Immediate Review,High,kpi_002,Staff Absenteeism Rate,Review Unplanned Leave and Activate Relief Coverage,REC-CASE-DEPT-ADM-20260814-OPT1,Dominant KPI Staff Absenteeism Rate persisted across 1 reporting date(s) from 2026-08-14 to 2026-08-14. Max risk: 57.1. Max urgency: Immediate Review.,dominant_kpi,kpi_002
EP-HOSP-001-DEPT-ADM-kpi_002-20260925,HOSP-001,DEPT-ADM,Admissions,2026-09-25,2026-09-25,1,84.53,Immediate Review,Critical,kpi_002,Staff Absenteeism Rate,Review Unplanned Leave and Activate Relief Coverage,REC-CASE-DEPT-ADM-20260925-OPT1,Dominant KPI Staff Absenteeism Rate persisted across 1 reporting date(s) from 2026-09-25 to 2026-09-25. Max risk: 84.5. Max urgency: Immediate Review.,dominant_kpi,kpi_002
EP-HOSP-001-DEPT-ADM-kpi_002-20261019,HOSP-001,DEPT-ADM,Admissions,2026-10-19,2026-10-19,1,50.01,Prompt Review,Elevated,kpi_002,Staff Absenteeism Rate,Review Unplanned Leave and Activate Relief Coverage,REC-CASE-DEPT-ADM-20261019-OPT1,Dominant KPI Staff Absenteeism Rate persisted across 1 reporting date(s) from 2026-10-19 to 2026-10-19. Max risk: 50.0. Max urgency: Prompt Review.,dominant_kpi,kpi_002
EP-HOSP-001-DEPT-ADM-kpi_002-20261102,HOSP-001,DEPT-ADM,Admissions,2026-11-02,2026-11-02,1,62.55,Immediate Review,High,kpi_002,Staff Absenteeism Rate,Review Unplanned Leave and Activate Relief Coverage,REC-CASE-DEPT-ADM-20261102-OPT1,Dominant KPI Staff Absenteeism Rate persisted across 1 reporting date(s) from 2026-11-02 to 2026-11-02. Max risk: 62.6. Max urgency: Immediate Review.,dominant_kpi,kpi_002
EP-HOSP-001-DEPT-ADM-kpi_002-20261114,HOSP-001,DEPT-ADM,Admissions,2026-11-14,2026-11-14,1,59.55,Immediate Review,High,kpi_002,Staff Absenteeism Rate,Review Unplanned Leave and Activate Relief Coverage,REC-CASE-DEPT-ADM-20261114-OPT1,Dominant KPI Staff Absenteeism Rate persisted across 1 reporting date(s) from 2026-11-14 to 2026-11-14. Max risk: 59.5. Max urgency: Immediate Review.,dominant_kpi,kpi_002
EP-HOSP-001-DEPT-ADM-kpi_002-20261121,HOSP-001,DEPT-ADM,Admissions,2026-11-21,2026-11-21,1,57.91,Prompt Review,High,kpi_002,Staff Absenteeism Rate,Review Unplanned Leave and Activate Relief Coverage,REC-CASE-DEPT-ADM-20261121-OPT1,Dominant KPI Staff Absenteeism Rate persisted across 1 reporting date(s) from 2026-11-21 to 2026-11-21. Max risk: 57.9. Max urgency: Prompt Review.,dominant_kpi,kpi_002
EP-HOSP-001-DEPT-ADM-kpi_002-20261214,HOSP-001,DEPT-ADM,Admissions,2026-12-14,2026-12-14,1,53.18,Immediate Review,Elevated,kpi_002,Staff Absenteeism Rate,Review Unplanned Leave and Activate Relief Coverage,REC-CASE-DEPT-ADM-20261214-OPT1,Dominant KPI Staff Absenteeism Rate persisted across 1 reporting date(s) from 2026-12-14 to 2026-12-14. Max risk: 53.2. Max urgency: Immediate Review.,dominant_kpi,kpi_002
EP-HOSP-001-DEPT-ADM-kpi_002-20261225,HOSP-001,DEPT-ADM,Admissions,2026-12-25,2026-12-25,1,56.37,Prompt Review,High,kpi_002,Staff Absenteeism Rate,Review Unplanned Leave and Activate Relief Coverage,REC-CASE-DEPT-ADM-20261225-OPT1,Dominant KPI Staff Absenteeism Rate persisted across 1 reporting date(s) from 2026-12-25 to 2026-12-25. Max risk: 56.4. Max urgency: Prompt Review.,dominant_kpi,kpi_002
EP-HOSP-001-DEPT-ADM-kpi_006-20260130,HOSP-001,DEPT-ADM,Admissions,2026-01-30,2026-01-30,1,73.72,Immediate Review,High,kpi_006,Patient Satisfaction Score,Verify Survey Response Volume and Methodology,REC-CASE-DEPT-ADM-20260130-OPT1,Dominant KPI Patient Satisfaction Score persisted across 1 reporting date(s) from 2026-01-30 to 2026-01-30. Max risk: 73.7. Max urgency: Immediate Review.,dominant_kpi,kpi_006
EP-HOSP-001-DEPT-ADM-kpi_006-20260214,HOSP-001,DEPT-ADM,Admissions,2026-02-14,2026-02-14,1,59.12,Immediate Review,High,kpi_006,Patient Satisfaction Score,Verify Survey Response Volume and Methodology,REC-CASE-DEPT-ADM-20260214-OPT1,Dominant KPI Patient Satisfaction Score persisted across 1 reporting date(s) from 2026-02-14 to 2026-02-14. Max risk: 59.1. Max urgency: Immediate Review.,dominant_kpi,kpi_006
EP-HOSP-001-DEPT-ADM-kpi_006-20260325,HOSP-001,DEPT-ADM,Admissions,2026-03-25,2026-03-25,1,62.07,Immediate Review,High,kpi_006,Patient Satisfaction Score,Verify Survey Response Volume and Methodology,REC-CASE-DEPT-ADM-20260325-OPT1,Dominant KPI Patient Satisfaction Score persisted across 1 reporting date(s) from 2026-03-25 to 2026-03-25. Max risk: 62.1. Max urgency: Immediate Review.,dominant_kpi,kpi_006
EP-HOSP-001-DEPT-ADM-kpi_006-20260404,HOSP-001,DEPT-ADM,Admissions,2026-04-04,2026-04-04,1,53.1,Prompt Review,Elevated,kpi_006,Patient Satisfaction Score,Verify Survey Response Volume and Methodology,REC-CASE-DEPT-ADM-20260404-OPT1,Dominant KPI Patient Satisfaction Score persisted across 1 reporting date(s) from 2026-04-04 to 2026-04-04. Max risk: 53.1. Max urgency: Prompt Review.,dominant_kpi,kpi_006
EP-HOSP-001-DEPT-ADM-kpi_006-20260408,HOSP-001,DEPT-ADM,Admissions,2026-04-08,2026-04-08,1,77.68,Immediate Review,Critical,kpi_006,Patient Satisfaction Score,Verify Survey Response Volume and Methodology,REC-CASE-DEPT-ADM-20260408-OPT1,Dominant KPI Patient Satisfaction Score persisted across 1 reporting date(s) from 2026-04-08 to 2026-04-08. Max risk: 77.7. Max urgency: Immediate Review.,dominant_kpi,kpi_006
EP-HOSP-001-DEPT-ADM-kpi_006-20260413,HOSP-001,DEPT-ADM,Admissions,2026-04-13,2026-04-13,1,78.87,Immediate Review,Critical,kpi_006,Patient Satisfaction Score,Verify Survey Response Volume and Methodology,REC-CASE-DEPT-ADM-20260413-OPT1,Dominant KPI Patient Satisfaction Score persisted across 1 reporting date(s) from 2026-04-13 to 2026-04-13. Max risk: 78.9. Max urgency: Immediate Review.,dominant_kpi,kpi_006
EP-HOSP-001-DEPT-ADM-kpi_006-20260424,HOSP-001,DEPT-ADM,Admissions,2026-04-24,2026-04-24,1,50.63,Prompt Review,Elevated,kpi_006,Patient Satisfaction Score,Verify Survey Response Volume and Methodology,REC-CASE-DEPT-ADM-20260424-OPT1,Dominant KPI Patient Satisfaction Score persisted across 1 reporting date(s) from 2026-04-24 to 2026-04-24. Max risk: 50.6. Max urgency: Prompt Review.,dominant_kpi,kpi_006
EP-HOSP-001-DEPT-ADM-kpi_006-20260509,HOSP-001,DEPT-ADM,Admissions,2026-05-09,2026-05-10,2,55.27,Immediate Review,High,kpi_006,Patient Satisfaction Score,Verify Survey Response Volume and Methodology,REC-CASE-DEPT-ADM-20260509-OPT1,Dominant KPI Patient Satisfaction Score persisted across 2 reporting date(s) from 2026-05-09 to 2026-05-10. Max risk: 55.3. Max urgency: Immediate Review.,dominant_kpi,kpi_006
EP-HOSP-001-DEPT-ADM-kpi_006-20260618,HOSP-001,DEPT-ADM,Admissions,2026-06-18,2026-06-19,2,76.48,Immediate Review,"Critical, High",kpi_006,Patient Satisfaction Score,Verify Survey Response Volume and Methodology,REC-CASE-DEPT-ADM-20260619-OPT1,Dominant KPI Patient Satisfaction Score persisted across 2 reporting date(s) from 2026-06-18 to 2026-06-19. Max risk: 76.5. Max urgency: Immediate Review.,dominant_kpi,kpi_006
EP-HOSP-001-DEPT-ADM-kpi_006-20260623,HOSP-001,DEPT-ADM,Admissions,2026-06-23,2026-06-23,1,62.67,Immediate Review,High,kpi_006,Patient Satisfaction Score,Verify Survey Response Volume and Methodology,REC-CASE-DEPT-ADM-20260623-OPT1,Dominant KPI Patient Satisfaction Score persisted across 1 reporting date(s) from 2026-06-23 to 2026-06-23. Max risk: 62.7. Max urgency: Immediate Review.,dominant_kpi,kpi_006
EP-HOSP-001-DEPT-ADM-kpi_006-20260629,HOSP-001,DEPT-ADM,Admissions,2026-06-29,2026-06-29,1,51.22,Prompt Review,Elevated,kpi_006,Patient Satisfaction Score,Verify Survey Response Volume and Methodology,REC-CASE-DEPT-ADM-20260629-OPT1,Dominant KPI Patient Satisfaction Score persisted across 1 reporting date(s) from 2026-06-29 to 2026-06-29. Max risk: 51.2. Max urgency: Prompt Review.,dominant_kpi,kpi_006
EP-HOSP-001-DEPT-ADM-kpi_006-20260703,HOSP-001,DEPT-ADM,Admissions,2026-07-03,2026-07-05,2,91.43,Immediate Review,"Critical, Elevated",kpi_006,Patient Satisfaction Score,Verify Survey Response Volume and Methodology,REC-CASE-DEPT-ADM-20260703-OPT1,Dominant KPI Patient Satisfaction Score persisted across 2 reporting date(s) from 2026-07-03 to 2026-07-05. Max risk: 91.4. Max urgency: Immediate Review.,dominant_kpi,kpi_006
EP-HOSP-001-DEPT-ADM-kpi_006-20260709,HOSP-001,DEPT-ADM,Admissions,2026-07-09,2026-07-09,1,56.55,Immediate Review,High,kpi_006,Patient Satisfaction Score,Verify Survey Response Volume and Methodology,REC-CASE-DEPT-ADM-20260709-OPT1,Dominant KPI Patient Satisfaction Score persisted across 1 reporting date(s) from 2026-07-09 to 2026-07-09. Max risk: 56.5. Max urgency: Immediate Review.,dominant_kpi,kpi_006
EP-HOSP-001-DEPT-ADM-kpi_006-20260719,HOSP-001,DEPT-ADM,Admissions,2026-07-19,2026-07-19,1,72.93,Immediate Review,High,kpi_006,Patient Satisfaction Score,Verify Survey Response Volume and Methodology,REC-CASE-DEPT-ADM-20260719-OPT1,Dominant KPI Patient Satisfaction Score persisted across 1 reporting date(s) from 2026-07-19 to 2026-07-19. Max risk: 72.9. Max urgency: Immediate Review.,dominant_kpi,kpi_006
EP-HOSP-001-DEPT-ADM-kpi_006-20260809,HOSP-001,DEPT-ADM,Admissions,2026-08-09,2026-08-12,2,55.86,Immediate Review,High,kpi_006,Patient Satisfaction Score,Verify Survey Response Volume and Methodology,REC-CASE-DEPT-ADM-20260809-OPT1,Dominant KPI Patient Satisfaction Score persisted across 2 reporting date(s) from 2026-08-09 to 2026-08-12. Max risk: 55.9. Max urgency: Immediate Review.,dominant_kpi,kpi_006
EP-HOSP-001-DEPT-ADM-kpi_006-20260824,HOSP-001,DEPT-ADM,Admissions,2026-08-24,2026-08-24,1,57.93,Immediate Review,High,kpi_006,Patient Satisfaction Score,Verify Survey Response Volume and Methodology,REC-CASE-DEPT-ADM-20260824-OPT1,Dominant KPI Patient Satisfaction Score persisted across 1 reporting date(s) from 2026-08-24 to 2026-08-24. Max risk: 57.9. Max urgency: Immediate Review.,dominant_kpi,kpi_006
EP-HOSP-001-DEPT-ADM-kpi_006-20260904,HOSP-001,DEPT-ADM,Admissions,2026-09-04,2026-09-05,2,58.82,Immediate Review,High,kpi_006,Patient Satisfaction Score,Verify Survey Response Volume and Methodology,REC-CASE-DEPT-ADM-20260905-OPT1,Dominant KPI Patient Satisfaction Score persisted across 2 reporting date(s) from 2026-09-04 to 2026-09-05. Max risk: 58.8. Max urgency: Immediate Review.,dominant_kpi,kpi_006
EP-HOSP-001-DEPT-ADM-kpi_006-20260923,HOSP-001,DEPT-ADM,Admissions,2026-09-23,2026-09-23,1,65.76,Immediate Review,High,kpi_006,Patient Satisfaction Score,Verify Survey Response Volume and Methodology,REC-CASE-DEPT-ADM-20260923-OPT1,Dominant KPI Patient Satisfaction Score persisted across 1 reporting date(s) from 2026-09-23 to 2026-09-23. Max risk: 65.8. Max urgency: Immediate Review.,dominant_kpi,kpi_006
EP-HOSP-001-DEPT-ADM-kpi_006-20260928,HOSP-001,DEPT-ADM,Admissions,2026-09-28,2026-10-03,4,77.68,Immediate Review,"Critical, Elevated, High",kpi_006,Patient Satisfaction Score,Verify Survey Response Volume and Methodology,REC-CASE-DEPT-ADM-20260928-OPT1,Dominant KPI Patient Satisfaction Score persisted across 4 reporting date(s) from 2026-09-28 to 2026-10-03. Max risk: 77.7. Max urgency: Immediate Review.,dominant_kpi,kpi_006
EP-HOSP-001-DEPT-ADM-kpi_006-20261007,HOSP-001,DEPT-ADM,Admissions,2026-10-07,2026-10-07,1,72.04,Immediate Review,High,kpi_006,Patient Satisfaction Score,Verify Survey Response Volume and Methodology,REC-CASE-DEPT-ADM-20261007-OPT1,Dominant KPI Patient Satisfaction Score persisted across 1 reporting date(s) from 2026-10-07 to 2026-10-07. Max risk: 72.0. Max urgency: Immediate Review.,dominant_kpi,kpi_006
EP-HOSP-001-DEPT-ADM-kpi_006-20261023,HOSP-001,DEPT-ADM,Admissions,2026-10-23,2026-10-23,1,58.52,Immediate Review,High,kpi_006,Patient Satisfaction Score,Verify Survey Response Volume and Methodology,REC-CASE-DEPT-ADM-20261023-OPT1,Dominant KPI Patient Satisfaction Score persisted across 1 reporting date(s) from 2026-10-23 to 2026-10-23. Max risk: 58.5. Max urgency: Immediate Review.,dominant_kpi,kpi_006
EP-HOSP-001-DEPT-ADM-kpi_006-20261027,HOSP-001,DEPT-ADM,Admissions,2026-10-27,2026-10-27,1,54.05,Immediate Review,Elevated,kpi_006,Patient Satisfaction Score,Verify Survey Response Volume and Methodology,REC-CASE-DEPT-ADM-20261027-OPT1,Dominant KPI Patient Satisfaction Score persisted across 1 reporting date(s) from 2026-10-27 to 2026-10-27. Max risk: 54.1. Max urgency: Immediate Review.,dominant_kpi,kpi_006
EP-HOSP-001-DEPT-ADM-kpi_006-20261202,HOSP-001,DEPT-ADM,Admissions,2026-12-02,2026-12-02,1,74.59,Immediate Review,High,kpi_006,Patient Satisfaction Score,Verify Survey Response Volume and Methodology,REC-CASE-DEPT-ADM-20261202-OPT1,Dominant KPI Patient Satisfaction Score persisted across 1 reporting date(s) from 2026-12-02 to 2026-12-02. Max risk: 74.6. Max urgency: Immediate Review.,dominant_kpi,kpi_006
EP-HOSP-001-DEPT-ADM-kpi_006-20261218,HOSP-001,DEPT-ADM,Admissions,2026-12-18,2026-12-18,1,55.86,Immediate Review,High,kpi_006,Patient Satisfaction Score,Verify Survey Response Volume and Methodology,REC-CASE-DEPT-ADM-20261218-OPT1,Dominant KPI Patient Satisfaction Score persisted across 1 reporting date(s) from 2026-12-18 to 2026-12-18. Max risk: 55.9. Max urgency: Immediate Review.,dominant_kpi,kpi_006
