dataset_type,canonical_name,alias,alias_confidence,schema_profile
Patient Survey,n_responses,n_responses,High,GENERIC_UPLOAD
Patient Survey,satisfaction_score,satisfaction_score,High,GENERIC_UPLOAD
Staff Roster,roster_id,roster_id,High,SENTINEL360_SYNTHETIC_DEMO
Staff Roster,staff_id,staff_id,High,SENTINEL360_SYNTHETIC_DEMO
Staff Roster,hospital_id,hospital_id,High,SENTINEL360_SYNTHETIC_DEMO
Staff Roster,department_id,department_id,High,SENTINEL360_SYNTHETIC_DEMO
Staff Roster,role_id,role_id,High,SENTINEL360_SYNTHETIC_DEMO
Staff Roster,roster_date,roster_date,High,SENTINEL360_SYNTHETIC_DEMO
Staff Roster,shift_code,shift_code,High,SENTINEL360_SYNTHETIC_DEMO
Staff Roster,planned_start_datetime,planned_start_datetime,High,SENTINEL360_SYNTHETIC_DEMO
Staff Roster,planned_end_datetime,planned_end_datetime,High,SENTINEL360_SYNTHETIC_DEMO
Staff Roster,planned_hours,planned_hours,High,SENTINEL360_SYNTHETIC_DEMO
Staff Roster,status,status,High,SENTINEL360_SYNTHETIC_DEMO
Staff Roster,version,version,High,SENTINEL360_SYNTHETIC_DEMO
Staff Roster,source_system,source_system,High,SENTINEL360_SYNTHETIC_DEMO
Staff Roster,record_created_datetime,record_created_datetime,High,SENTINEL360_SYNTHETIC_DEMO
Staff Roster,record_updated_datetime,record_updated_datetime,High,SENTINEL360_SYNTHETIC_DEMO
Staff Attendance,attendance_id,attendance_id,High,SENTINEL360_SYNTHETIC_DEMO
Staff Attendance,staff_id,staff_id,High,SENTINEL360_SYNTHETIC_DEMO
Staff Attendance,hospital_id,hospital_id,High,SENTINEL360_SYNTHETIC_DEMO
Staff Attendance,department_id,department_id,High,SENTINEL360_SYNTHETIC_DEMO
Staff Attendance,role_id,role_id,High,SENTINEL360_SYNTHETIC_DEMO
Staff Attendance,roster_id,roster_id,High,SENTINEL360_SYNTHETIC_DEMO
Staff Attendance,attendance_date,attendance_date,High,SENTINEL360_SYNTHETIC_DEMO
Staff Attendance,shift_code,shift_code,High,SENTINEL360_SYNTHETIC_DEMO
Staff Attendance,status,status,High,SENTINEL360_SYNTHETIC_DEMO
Staff Attendance,actual_start_datetime,actual_start_datetime,High,SENTINEL360_SYNTHETIC_DEMO
Staff Attendance,actual_end_datetime,actual_end_datetime,High,SENTINEL360_SYNTHETIC_DEMO
Staff Attendance,actual_hours,actual_hours,High,SENTINEL360_SYNTHETIC_DEMO
Staff Attendance,replacement_staff_id,replacement_staff_id,High,SENTINEL360_SYNTHETIC_DEMO
Staff Attendance,notes,notes,High,SENTINEL360_SYNTHETIC_DEMO
Staff Attendance,source_system,source_system,High,SENTINEL360_SYNTHETIC_DEMO
Staff Attendance,created_at,created_at,High,SENTINEL360_SYNTHETIC_DEMO
Patient Encounters,encounter_id,encounter_id,High,SENTINEL360_SYNTHETIC_DEMO
Patient Encounters,hospital_id,hospital_id,High,SENTINEL360_SYNTHETIC_DEMO
Patient Encounters,department_id,department_id,High,SENTINEL360_SYNTHETIC_DEMO
Patient Encounters,patient_id,patient_id,High,SENTINEL360_SYNTHETIC_DEMO
Patient Encounters,encounter_date,encounter_date,High,SENTINEL360_SYNTHETIC_DEMO
Patient Encounters,encounter_type,encounter_type,High,SENTINEL360_SYNTHETIC_DEMO
Patient Encounters,arrival_datetime,arrival_datetime,High,SENTINEL360_SYNTHETIC_DEMO
Patient Encounters,service_start_datetime,service_start_datetime,High,SENTINEL360_SYNTHETIC_DEMO
Patient Encounters,service_end_datetime,service_end_datetime,High,SENTINEL360_SYNTHETIC_DEMO
Patient Encounters,status,status,High,SENTINEL360_SYNTHETIC_DEMO
Patient Encounters,cancellation_reason,cancellation_reason,High,SENTINEL360_SYNTHETIC_DEMO
Patient Encounters,triage_category,triage_category,High,SENTINEL360_SYNTHETIC_DEMO
Patient Encounters,source_system,source_system,High,SENTINEL360_SYNTHETIC_DEMO
Patient Encounters,record_created_datetime,record_created_datetime,High,SENTINEL360_SYNTHETIC_DEMO
Bed Occupancy,record_id,record_id,High,SENTINEL360_SYNTHETIC_DEMO
Bed Occupancy,hospital_id,hospital_id,High,SENTINEL360_SYNTHETIC_DEMO
Bed Occupancy,department_id,department_id,High,SENTINEL360_SYNTHETIC_DEMO
Bed Occupancy,record_date,record_date,High,SENTINEL360_SYNTHETIC_DEMO
Bed Occupancy,bed_licensed,bed_licensed,High,SENTINEL360_SYNTHETIC_DEMO
Bed Occupancy,bed_staffed,bed_staffed,High,SENTINEL360_SYNTHETIC_DEMO
Bed Occupancy,bed_operational,bed_operational,High,SENTINEL360_SYNTHETIC_DEMO
Bed Occupancy,bed_occupied,bed_occupied,High,SENTINEL360_SYNTHETIC_DEMO
Bed Occupancy,bed_unavailable,bed_unavailable,High,SENTINEL360_SYNTHETIC_DEMO
Bed Occupancy,bed_reserved,bed_reserved,High,SENTINEL360_SYNTHETIC_DEMO
Bed Occupancy,occupancy_rate,occupancy_rate,High,SENTINEL360_SYNTHETIC_DEMO
Bed Occupancy,exception_flag,exception_flag,High,SENTINEL360_SYNTHETIC_DEMO
Bed Occupancy,exception_reason,exception_reason,High,SENTINEL360_SYNTHETIC_DEMO
Bed Occupancy,source_system,source_system,High,SENTINEL360_SYNTHETIC_DEMO
Bed Occupancy,created_at,created_at,High,SENTINEL360_SYNTHETIC_DEMO
Patient Queue,queue_id,queue_id,High,SENTINEL360_SYNTHETIC_DEMO
Patient Queue,hospital_id,hospital_id,High,SENTINEL360_SYNTHETIC_DEMO
Patient Queue,department_id,department_id,High,SENTINEL360_SYNTHETIC_DEMO
Patient Queue,queue_date,queue_date,High,SENTINEL360_SYNTHETIC_DEMO
Patient Queue,queue_type,queue_type,High,SENTINEL360_SYNTHETIC_DEMO
Patient Queue,period_start,period_start,High,SENTINEL360_SYNTHETIC_DEMO
Patient Queue,period_end,period_end,High,SENTINEL360_SYNTHETIC_DEMO
Patient Queue,arrivals_count,arrivals_count,High,SENTINEL360_SYNTHETIC_DEMO
Patient Queue,served_count,served_count,High,SENTINEL360_SYNTHETIC_DEMO
Patient Queue,waiting_count,waiting_count,High,SENTINEL360_SYNTHETIC_DEMO
Patient Queue,avg_wait_minutes,avg_wait_minutes,High,SENTINEL360_SYNTHETIC_DEMO
Patient Queue,median_wait_minutes,median_wait_minutes,High,SENTINEL360_SYNTHETIC_DEMO
Patient Queue,max_wait_minutes,max_wait_minutes,High,SENTINEL360_SYNTHETIC_DEMO
Patient Queue,source_system,source_system,High,SENTINEL360_SYNTHETIC_DEMO
Patient Queue,created_at,created_at,High,SENTINEL360_SYNTHETIC_DEMO
Patient Complaints,complaint_id,complaint_id,High,SENTINEL360_SYNTHETIC_DEMO
Patient Complaints,hospital_id,hospital_id,High,SENTINEL360_SYNTHETIC_DEMO
Patient Complaints,department_id,department_id,High,SENTINEL360_SYNTHETIC_DEMO
Patient Complaints,encounter_id,encounter_id,High,SENTINEL360_SYNTHETIC_DEMO
Patient Complaints,complaint_received_date,complaint_received_date,High,SENTINEL360_SYNTHETIC_DEMO
Patient Complaints,complaint_channel,complaint_channel,High,SENTINEL360_SYNTHETIC_DEMO
Patient Complaints,complaint_category,complaint_category,High,SENTINEL360_SYNTHETIC_DEMO
Patient Complaints,severity,severity,High,SENTINEL360_SYNTHETIC_DEMO
Patient Complaints,description,description,High,SENTINEL360_SYNTHETIC_DEMO
Patient Complaints,status,status,High,SENTINEL360_SYNTHETIC_DEMO
Patient Complaints,resolution_date,resolution_date,High,SENTINEL360_SYNTHETIC_DEMO
Patient Complaints,outcome_category,outcome_category,High,SENTINEL360_SYNTHETIC_DEMO
Patient Complaints,duplicate_flag,duplicate_flag,High,SENTINEL360_SYNTHETIC_DEMO
Patient Complaints,duplicate_of_complaint_id,duplicate_of_complaint_id,High,SENTINEL360_SYNTHETIC_DEMO
Patient Complaints,source_system,source_system,High,SENTINEL360_SYNTHETIC_DEMO
Patient Complaints,created_at,created_at,High,SENTINEL360_SYNTHETIC_DEMO
Patient Survey,survey_id,survey_id,High,SENTINEL360_SYNTHETIC_DEMO
Patient Survey,hospital_id,hospital_id,High,SENTINEL360_SYNTHETIC_DEMO
Patient Survey,department_id,department_id,High,SENTINEL360_SYNTHETIC_DEMO
Patient Survey,encounter_id,encounter_id,High,SENTINEL360_SYNTHETIC_DEMO
Patient Survey,survey_date,survey_date,High,SENTINEL360_SYNTHETIC_DEMO
Patient Survey,survey_type,survey_type,High,SENTINEL360_SYNTHETIC_DEMO
Patient Survey,scale_id,scale_id,High,SENTINEL360_SYNTHETIC_DEMO
Patient Survey,score_value,score_value,High,SENTINEL360_SYNTHETIC_DEMO
Patient Survey,response_weight,response_weight,High,SENTINEL360_SYNTHETIC_DEMO
Patient Survey,is_complete,is_complete,High,SENTINEL360_SYNTHETIC_DEMO
Patient Survey,source_system,source_system,High,SENTINEL360_SYNTHETIC_DEMO
Patient Survey,created_at,created_at,High,SENTINEL360_SYNTHETIC_DEMO
