configuration_id,action_id,action_name,readiness_status,eligibility_status,blocking_gate_affected,prerequisite_required,display_order,active_flag,version,approval_status,provisional_flag,governance_note
ACTELG-086,A013,Defer Decision,Not Suitable for Decision Use,Allowed,None,False,2,True,1.0,Draft Analytical Configuration,True,Permitted
ACTELG-087,A015,Request Evidence Completion,Not Suitable for Decision Use,Allowed,None,False,3,True,1.0,Draft Analytical Configuration,True,Permitted
ACTELG-088,A016,Request Lineage Completion,Not Suitable for Decision Use,Allowed,None,False,4,True,1.0,Draft Analytical Configuration,True,Permitted
ACTELG-089,A010,Proceed to Limited-Trial Consideration,Not Suitable for Decision Use,Not Permitted,None,True,5,True,1.0,Draft Analytical Configuration,True,Not permitted
ACTELG-090,A001,Review Integrated Decision Package,Not Suitable for Decision Use,Not Permitted,None,True,6,True,1.0,Draft Analytical Configuration,True,Not permitted
ACTELG-091,A014,Reject Decision Use,Rejected,Allowed,None,False,1,True,1.0,Draft Analytical Configuration,True,Only permitted action for Rejected
ACTELG-092,A001,Review Integrated Decision Package,Rejected,Not Permitted,None,True,2,True,1.0,Draft Analytical Configuration,True,Not permitted for Rejected
ACTELG-093,A002,Compare Scenario Options,Rejected,Not Permitted,None,True,3,True,1.0,Draft Analytical Configuration,True,Not permitted for Rejected
ACTELG-094,A003,Validate Assumptions,Rejected,Not Permitted,None,True,4,True,1.0,Draft Analytical Configuration,True,Not permitted for Rejected
ACTELG-095,A010,Proceed to Limited-Trial Consideration,Rejected,Not Permitted,None,True,5,True,1.0,Draft Analytical Configuration,True,Not permitted for Rejected
