scenario_run_id,approval_package_id,comparator_type,assumption_plausibility,hard_limit_violated,soft_limit_violated
SR-BL-AF5E6D0F3A7F29BE-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Higher Intensity,Internally Inconsistent,False,False
SR-BL-CAC926848EDEB1B6-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,Baseline,Internally Inconsistent,False,False
SR-BL-CAC926848EDEB1B6-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,Conservative,Internally Inconsistent,False,False
SR-BL-CAC926848EDEB1B6-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,Expected,Internally Inconsistent,False,False
SR-BL-CAC926848EDEB1B6-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,Higher Intensity,Internally Inconsistent,False,False
SR-BL-1E49DB13E2EAA2B1-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,Baseline,Internally Inconsistent,False,False
SR-BL-1E49DB13E2EAA2B1-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,Conservative,Internally Inconsistent,False,False
SR-BL-1E49DB13E2EAA2B1-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,Expected,Internally Inconsistent,False,False
SR-BL-1E49DB13E2EAA2B1-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,Higher Intensity,Internally Inconsistent,False,False
SR-BL-A75EBEA50E13F73B-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,Baseline,Internally Inconsistent,False,False
SR-BL-A75EBEA50E13F73B-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,Conservative,Internally Inconsistent,False,False
SR-BL-A75EBEA50E13F73B-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,Expected,Internally Inconsistent,False,False
SR-BL-A75EBEA50E13F73B-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,Higher Intensity,Internally Inconsistent,False,False
SR-BL-E2B02306C6DE9E93-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,Baseline,Internally Inconsistent,False,False
SR-BL-E2B02306C6DE9E93-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,Conservative,Internally Inconsistent,False,False
SR-BL-E2B02306C6DE9E93-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,Expected,Internally Inconsistent,False,False
SR-BL-E2B02306C6DE9E93-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,Higher Intensity,Internally Inconsistent,False,False
SR-BL-391D7921E462CF87-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,Baseline,Internally Inconsistent,False,False
SR-BL-391D7921E462CF87-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,Conservative,Internally Inconsistent,False,False
SR-BL-391D7921E462CF87-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,Expected,Internally Inconsistent,False,False
SR-BL-391D7921E462CF87-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,Higher Intensity,Internally Inconsistent,False,False
SR-BL-B581A76BC79E1F57-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,Baseline,Internally Inconsistent,False,False
SR-BL-B581A76BC79E1F57-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,Conservative,Internally Inconsistent,False,False
SR-BL-B581A76BC79E1F57-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,Expected,Internally Inconsistent,False,False
SR-BL-B581A76BC79E1F57-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,Higher Intensity,Internally Inconsistent,False,False
SR-BL-A8F1AB286327924A-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,Baseline,Internally Inconsistent,False,False
SR-BL-A8F1AB286327924A-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,Conservative,Internally Inconsistent,False,False
SR-BL-A8F1AB286327924A-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,Expected,Internally Inconsistent,False,False
SR-BL-A8F1AB286327924A-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,Higher Intensity,Internally Inconsistent,False,False
SR-BL-57C70AF120BE0469-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,Baseline,Internally Inconsistent,False,False
SR-BL-57C70AF120BE0469-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,Conservative,Internally Inconsistent,False,False
SR-BL-57C70AF120BE0469-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,Expected,Internally Inconsistent,False,False
SR-BL-57C70AF120BE0469-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,Higher Intensity,Internally Inconsistent,False,False
SR-BL-C3F11B1E0C2533F4-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,Baseline,Internally Inconsistent,False,False
SR-BL-C3F11B1E0C2533F4-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,Conservative,Internally Inconsistent,False,False
SR-BL-C3F11B1E0C2533F4-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,Expected,Internally Inconsistent,False,False
SR-BL-C3F11B1E0C2533F4-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,Higher Intensity,Internally Inconsistent,False,False
SR-BL-DF709330D67ABEC5-COMP-BASE-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,Baseline,Internally Inconsistent,False,False
SR-BL-DF709330D67ABEC5-COMP-CONS-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,Conservative,Internally Inconsistent,False,False
SR-BL-DF709330D67ABEC5-COMP-EXP-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,Expected,Internally Inconsistent,False,False
SR-BL-DF709330D67ABEC5-COMP-HIGH-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,Higher Intensity,Internally Inconsistent,False,False
SR-BL-747242470CE54799-COMP-BASE-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,Baseline,Internally Inconsistent,False,False
SR-BL-747242470CE54799-COMP-CONS-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,Conservative,Internally Inconsistent,False,False
SR-BL-747242470CE54799-COMP-EXP-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,Expected,Internally Inconsistent,False,False
SR-BL-747242470CE54799-COMP-HIGH-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,Higher Intensity,Internally Inconsistent,False,False
SR-BL-59E3FB429973055E-COMP-BASE-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,Baseline,Internally Inconsistent,False,False
SR-BL-59E3FB429973055E-COMP-CONS-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,Conservative,Internally Inconsistent,False,False
SR-BL-59E3FB429973055E-COMP-EXP-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,Expected,Internally Inconsistent,False,False
SR-BL-59E3FB429973055E-COMP-HIGH-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,Higher Intensity,Internally Inconsistent,False,False
SR-BL-58927C6C611CB6A2-COMP-BASE-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,Baseline,Internally Inconsistent,False,False
SR-BL-58927C6C611CB6A2-COMP-CONS-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,Conservative,Internally Inconsistent,False,False
SR-BL-58927C6C611CB6A2-COMP-EXP-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,Expected,Internally Inconsistent,False,False
SR-BL-58927C6C611CB6A2-COMP-HIGH-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,Higher Intensity,Internally Inconsistent,False,False
SR-BL-175EFE24E943C187-COMP-BASE-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,Baseline,Internally Inconsistent,False,False
SR-BL-175EFE24E943C187-COMP-CONS-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,Conservative,Internally Inconsistent,False,False
SR-BL-175EFE24E943C187-COMP-EXP-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,Expected,Internally Inconsistent,False,False
SR-BL-175EFE24E943C187-COMP-HIGH-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,Higher Intensity,Internally Inconsistent,False,False
SR-BL-65BAA941479C62D1-COMP-BASE-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,Baseline,Internally Inconsistent,False,False
SR-BL-65BAA941479C62D1-COMP-CONS-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,Conservative,Internally Inconsistent,False,False
SR-BL-65BAA941479C62D1-COMP-EXP-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,Expected,Internally Inconsistent,False,False
SR-BL-65BAA941479C62D1-COMP-HIGH-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,Higher Intensity,Internally Inconsistent,False,False
SR-BL-7BC211D1BA18F080-COMP-BASE-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,Baseline,Internally Inconsistent,False,False
SR-BL-7BC211D1BA18F080-COMP-CONS-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,Conservative,Internally Inconsistent,False,False
SR-BL-7BC211D1BA18F080-COMP-EXP-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,Expected,Internally Inconsistent,False,False
SR-BL-7BC211D1BA18F080-COMP-HIGH-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,Higher Intensity,Internally Inconsistent,False,False
SR-BL-ADAE1EF74FA083EE-COMP-BASE-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,Baseline,Internally Inconsistent,False,False
SR-BL-ADAE1EF74FA083EE-COMP-CONS-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,Conservative,Internally Inconsistent,False,False
SR-BL-ADAE1EF74FA083EE-COMP-EXP-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,Expected,Internally Inconsistent,False,False
SR-BL-ADAE1EF74FA083EE-COMP-HIGH-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,Higher Intensity,Internally Inconsistent,False,False
SR-BL-E3505E2589029466-COMP-BASE-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,Baseline,Internally Inconsistent,False,False
SR-BL-E3505E2589029466-COMP-CONS-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,Conservative,Internally Inconsistent,False,False
SR-BL-E3505E2589029466-COMP-EXP-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,Expected,Internally Inconsistent,False,False
SR-BL-E3505E2589029466-COMP-HIGH-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,Higher Intensity,Internally Inconsistent,False,False
SR-BL-2F5F5104E962C6F3-COMP-BASE-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,Baseline,Internally Inconsistent,False,False
SR-BL-2F5F5104E962C6F3-COMP-CONS-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,Conservative,Internally Inconsistent,False,False
SR-BL-2F5F5104E962C6F3-COMP-EXP-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,Expected,Internally Inconsistent,False,False
SR-BL-2F5F5104E962C6F3-COMP-HIGH-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,Higher Intensity,Internally Inconsistent,False,False
SR-BL-3A72FD4CECA46A41-COMP-BASE-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,Baseline,Internally Inconsistent,False,False
SR-BL-3A72FD4CECA46A41-COMP-CONS-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,Conservative,Internally Inconsistent,False,False
SR-BL-3A72FD4CECA46A41-COMP-EXP-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,Expected,Internally Inconsistent,False,False
SR-BL-3A72FD4CECA46A41-COMP-HIGH-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,Higher Intensity,Internally Inconsistent,False,False
SR-BL-179518439057D4D5-COMP-BASE-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,Baseline,Internally Inconsistent,False,False
SR-BL-179518439057D4D5-COMP-CONS-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,Conservative,Internally Inconsistent,False,False
SR-BL-179518439057D4D5-COMP-EXP-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,Expected,Internally Inconsistent,False,False
SR-BL-179518439057D4D5-COMP-HIGH-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,Higher Intensity,Internally Inconsistent,False,False
SR-BL-103F6D1B92094997-COMP-BASE-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,Baseline,Internally Inconsistent,False,False
SR-BL-103F6D1B92094997-COMP-CONS-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,Conservative,Internally Inconsistent,False,False
SR-BL-103F6D1B92094997-COMP-EXP-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,Expected,Internally Inconsistent,False,False
SR-BL-103F6D1B92094997-COMP-HIGH-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,Higher Intensity,Internally Inconsistent,False,False
SR-BL-84D32F194E6CE43C-COMP-BASE-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,Baseline,Internally Inconsistent,False,False
SR-BL-84D32F194E6CE43C-COMP-CONS-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,Conservative,Internally Inconsistent,False,False
SR-BL-84D32F194E6CE43C-COMP-EXP-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,Expected,Internally Inconsistent,False,False
SR-BL-84D32F194E6CE43C-COMP-HIGH-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,Higher Intensity,Internally Inconsistent,False,False
SR-BL-D785075A60A5E4A9-COMP-BASE-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,Baseline,Internally Inconsistent,False,False
SR-BL-D785075A60A5E4A9-COMP-CONS-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,Conservative,Internally Inconsistent,False,False
SR-BL-D785075A60A5E4A9-COMP-EXP-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,Expected,Internally Inconsistent,False,False
SR-BL-D785075A60A5E4A9-COMP-HIGH-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,Higher Intensity,Internally Inconsistent,False,False
SR-BL-1FD49D3201156F7A-COMP-BASE-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,Baseline,Internally Inconsistent,False,False
SR-BL-1FD49D3201156F7A-COMP-CONS-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,Conservative,Internally Inconsistent,False,False
SR-BL-1FD49D3201156F7A-COMP-EXP-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,Expected,Internally Inconsistent,False,False
SR-BL-1FD49D3201156F7A-COMP-HIGH-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,Higher Intensity,Internally Inconsistent,False,False
SR-BL-8FAD0E9D25DFF2C7-COMP-BASE-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,Baseline,Internally Inconsistent,False,False
SR-BL-8FAD0E9D25DFF2C7-COMP-CONS-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,Conservative,Internally Inconsistent,False,False
SR-BL-8FAD0E9D25DFF2C7-COMP-EXP-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,Expected,Internally Inconsistent,False,False
SR-BL-8FAD0E9D25DFF2C7-COMP-HIGH-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,Higher Intensity,Internally Inconsistent,False,False
SR-BL-6D572CEEF23DE78B-COMP-BASE-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,Baseline,Internally Inconsistent,False,False
SR-BL-6D572CEEF23DE78B-COMP-CONS-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,Conservative,Internally Inconsistent,False,False
SR-BL-6D572CEEF23DE78B-COMP-EXP-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,Expected,Internally Inconsistent,False,False
SR-BL-6D572CEEF23DE78B-COMP-HIGH-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,Higher Intensity,Internally Inconsistent,False,False
SR-BL-A490C2C5584BB218-COMP-BASE-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,Baseline,Internally Inconsistent,False,False
SR-BL-A490C2C5584BB218-COMP-CONS-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,Conservative,Internally Inconsistent,False,False
SR-BL-A490C2C5584BB218-COMP-EXP-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,Expected,Internally Inconsistent,False,False
SR-BL-A490C2C5584BB218-COMP-HIGH-002,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,Higher Intensity,Internally Inconsistent,False,False
SR-BL-FEFBC8B61DA9B843-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,Baseline,Internally Inconsistent,False,False
SR-BL-FEFBC8B61DA9B843-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,Conservative,Internally Inconsistent,False,False
SR-BL-FEFBC8B61DA9B843-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,Expected,Internally Inconsistent,False,False
SR-BL-FEFBC8B61DA9B843-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,Higher Intensity,Internally Inconsistent,False,False
SR-BL-1D96A40F71E676FB-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,Baseline,Internally Inconsistent,False,False
SR-BL-1D96A40F71E676FB-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,Conservative,Internally Inconsistent,False,False
SR-BL-1D96A40F71E676FB-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,Expected,Internally Inconsistent,False,False
SR-BL-1D96A40F71E676FB-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,Higher Intensity,Internally Inconsistent,False,False
SR-BL-BE82963C39B9912F-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,Baseline,Internally Inconsistent,False,False
SR-BL-BE82963C39B9912F-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,Conservative,Internally Inconsistent,False,False
SR-BL-BE82963C39B9912F-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,Expected,Internally Inconsistent,False,False
SR-BL-BE82963C39B9912F-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,Higher Intensity,Internally Inconsistent,False,False
SR-BL-22C42CC7D8441311-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,Baseline,Internally Inconsistent,False,False
SR-BL-22C42CC7D8441311-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,Conservative,Internally Inconsistent,False,False
SR-BL-22C42CC7D8441311-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,Expected,Internally Inconsistent,False,False
SR-BL-22C42CC7D8441311-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,Higher Intensity,Internally Inconsistent,False,False
SR-BL-2CCB064E1D409CEE-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,Baseline,Internally Inconsistent,False,False
SR-BL-2CCB064E1D409CEE-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,Conservative,Internally Inconsistent,False,False
SR-BL-2CCB064E1D409CEE-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,Expected,Internally Inconsistent,False,False
SR-BL-2CCB064E1D409CEE-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,Higher Intensity,Internally Inconsistent,False,False
SR-BL-E9948BC6064C806C-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,Baseline,Internally Inconsistent,False,False
SR-BL-E9948BC6064C806C-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,Conservative,Internally Inconsistent,False,False
SR-BL-E9948BC6064C806C-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,Expected,Internally Inconsistent,False,False
SR-BL-E9948BC6064C806C-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,Higher Intensity,Internally Inconsistent,False,False
SR-BL-3C57805EB83FB27D-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260520,Baseline,Internally Inconsistent,False,False
SR-BL-3C57805EB83FB27D-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260520,Conservative,Internally Inconsistent,False,False
SR-BL-3C57805EB83FB27D-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260520,Expected,Internally Inconsistent,False,False
