scenario_run_id,approval_package_id,comparator_type,scenario_family,baseline_validity,assumption_plausibility,numerical_validity,comparator_set_status,governance_compliant,final_validation_status
SR-BL-365F3CDA682E06AB-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260830,Baseline,Staffing Coverage Adjustment,Partial,Internally Inconsistent,Fail,Inconsistent,True,Reject — Unsupported Effect
SR-BL-7FB623F904162769-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260914,Baseline,Staffing Coverage Adjustment,Valid with Conditions,Internally Inconsistent,Fail,Inconsistent,True,Reject — Unsupported Effect
SR-BL-A25C9716E2AC7EBD-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20261111,Baseline,Staffing Coverage Adjustment,Valid with Conditions,Internally Inconsistent,Fail,Inconsistent,True,Reject — Unsupported Effect
SR-BL-C4EB16F780D437C5-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20261227,Baseline,Staffing Coverage Adjustment,Valid with Conditions,Internally Inconsistent,Fail,Inconsistent,True,Reject — Unsupported Effect
SR-BL-2868AD907B99788E-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260330,Baseline,Staffing Coverage Adjustment,Partial,Internally Inconsistent,Fail,Inconsistent,True,Reject — Unsupported Effect
SR-BL-629E7ED2FD407BE5-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260616,Baseline,Staffing Coverage Adjustment,Valid with Conditions,Internally Inconsistent,Fail,Inconsistent,True,Reject — Unsupported Effect
SR-BL-0EF21274DE2FCB48-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260723,Baseline,Staffing Coverage Adjustment,Partial,Internally Inconsistent,Fail,Inconsistent,True,Reject — Unsupported Effect
SR-BL-E595F877B4C96388-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260916,Baseline,Staffing Coverage Adjustment,Valid,Internally Inconsistent,Fail,Inconsistent,True,Reject — Unsupported Effect
SR-BL-01366CC1CEC217CC-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-MED-kpi_001-20261219,Baseline,Staffing Coverage Adjustment,Valid with Conditions,Internally Inconsistent,Fail,Inconsistent,True,Reject — Unsupported Effect
SR-BL-0620D073F955070B-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260305,Baseline,Staffing Coverage Adjustment,Valid with Conditions,Internally Inconsistent,Fail,Inconsistent,True,Reject — Unsupported Effect
SR-BL-4252681C47EC5144-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260314,Baseline,Staffing Coverage Adjustment,Partial,Internally Inconsistent,Fail,Inconsistent,True,Reject — Unsupported Effect
SR-BL-AA7C54C98DD1D177-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260405,Baseline,Staffing Coverage Adjustment,Valid,Internally Inconsistent,Fail,Inconsistent,True,Reject — Unsupported Effect
SR-BL-3928AD8BBDE8B58E-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260428,Baseline,Staffing Coverage Adjustment,Valid,Internally Inconsistent,Fail,Inconsistent,True,Reject — Unsupported Effect
SR-BL-8E26EF7B244882DF-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260616,Baseline,Staffing Coverage Adjustment,Valid with Conditions,Internally Inconsistent,Fail,Inconsistent,True,Reject — Unsupported Effect
SR-BL-1E068F000624D203-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260622,Baseline,Staffing Coverage Adjustment,Valid,Internally Inconsistent,Fail,Inconsistent,True,Reject — Unsupported Effect
SR-BL-760E1A37C6F9A678-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260706,Baseline,Staffing Coverage Adjustment,Valid,Internally Inconsistent,Fail,Inconsistent,True,Reject — Unsupported Effect
SR-BL-E29A4281D1F87169-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260830,Baseline,Staffing Coverage Adjustment,Valid,Internally Inconsistent,Fail,Inconsistent,True,Reject — Unsupported Effect
SR-BL-519EF2A0ED52DA15-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20261008,Baseline,Staffing Coverage Adjustment,Valid with Conditions,Internally Inconsistent,Fail,Inconsistent,True,Reject — Unsupported Effect
SR-BL-0980E332844918BC-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20261029,Baseline,Staffing Coverage Adjustment,Valid with Conditions,Internally Inconsistent,Fail,Inconsistent,True,Reject — Unsupported Effect
SR-BL-6397970B7B2B3E14-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20261110,Baseline,Staffing Coverage Adjustment,Partial,Internally Inconsistent,Fail,Inconsistent,True,Reject — Unsupported Effect
SR-BL-8DD89008D7A5A62C-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20261116,Baseline,Staffing Coverage Adjustment,Valid with Conditions,Internally Inconsistent,Fail,Inconsistent,True,Reject — Unsupported Effect
SR-BL-AE7A0FD7340DC83C-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20261223,Baseline,Staffing Coverage Adjustment,Partial,Internally Inconsistent,Fail,Inconsistent,True,Reject — Unsupported Effect
SR-BL-FF9AC0333269B79A-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260212,Baseline,Staffing Coverage Adjustment,Valid with Conditions,Internally Inconsistent,Fail,Inconsistent,True,Reject — Unsupported Effect
SR-BL-43D5C387B09CE936-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260326,Baseline,Staffing Coverage Adjustment,Partial,Internally Inconsistent,Fail,Inconsistent,True,Reject — Unsupported Effect
SR-BL-189E500248EDE815-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260623,Baseline,Staffing Coverage Adjustment,Valid,Internally Inconsistent,Fail,Inconsistent,True,Reject — Unsupported Effect
SR-BL-E46ACAA2117B4B13-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260710,Baseline,Staffing Coverage Adjustment,Valid,Internally Inconsistent,Fail,Inconsistent,True,Reject — Unsupported Effect
SR-BL-BDDEF6B0E1FF18BC-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260813,Baseline,Staffing Coverage Adjustment,Valid,Internally Inconsistent,Fail,Inconsistent,True,Reject — Unsupported Effect
SR-BL-06EB9F3F16F87F6B-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20261110,Baseline,Staffing Coverage Adjustment,Valid with Conditions,Internally Inconsistent,Fail,Inconsistent,True,Reject — Unsupported Effect
SR-BL-DFA8AC3275555F17-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260401,Baseline,Staffing Coverage Adjustment,Partial,Internally Inconsistent,Fail,Inconsistent,True,Reject — Unsupported Effect
SR-BL-84FCB2A3ED9717C2-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260521,Baseline,Staffing Coverage Adjustment,Valid with Conditions,Internally Inconsistent,Fail,Inconsistent,True,Reject — Unsupported Effect
SR-BL-74EAB950704FC274-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260529,Baseline,Staffing Coverage Adjustment,Valid with Conditions,Internally Inconsistent,Fail,Inconsistent,True,Reject — Unsupported Effect
SR-BL-0E9B491E04023FAC-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260606,Baseline,Staffing Coverage Adjustment,Partial,Internally Inconsistent,Fail,Inconsistent,True,Reject — Unsupported Effect
SR-BL-C6AB63DB395A5659-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260613,Baseline,Staffing Coverage Adjustment,Partial,Internally Inconsistent,Fail,Inconsistent,True,Reject — Unsupported Effect
SR-BL-6662624678F0790B-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260709,Baseline,Staffing Coverage Adjustment,Valid with Conditions,Internally Inconsistent,Fail,Inconsistent,True,Reject — Unsupported Effect
SR-BL-EA6F2DA241BAFEF5-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260916,Baseline,Staffing Coverage Adjustment,Valid,Internally Inconsistent,Fail,Inconsistent,True,Reject — Unsupported Effect
SR-BL-E6487F4236B4C28E-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20261127,Baseline,Staffing Coverage Adjustment,Valid with Conditions,Internally Inconsistent,Fail,Inconsistent,True,Reject — Unsupported Effect
SR-BL-2D3A9464747D080B-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20261203,Baseline,Staffing Coverage Adjustment,Valid with Conditions,Internally Inconsistent,Fail,Inconsistent,True,Reject — Unsupported Effect
