financial_input_requirement_id,approval_package_id,management_scenario_package_id,scenario_run_id,scenario_family,intervention_type,required_cost_input,financial_driver,cost_unit,required_period,one_time_or_recurring,direct_or_indirect,expected_input_owner,potential_source,actual_input_available,financial_input_status,missing_input_flag,missing_input_flag,stakeholder_validation_required,governance_warning,matched_input_id
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,SR-BL-24E8132F23E980FC-COMP-BASE-001,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,SR-BL-24E8132F23E980FC-COMP-BASE-001,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,SR-BL-1A12AF7C3E39DADF-COMP-BASE-001,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,SR-BL-1A12AF7C3E39DADF-COMP-BASE-001,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,SR-BL-AF5E6D0F3A7F29BE-COMP-BASE-001,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,SR-BL-AF5E6D0F3A7F29BE-COMP-BASE-001,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,SR-BL-CAC926848EDEB1B6-COMP-BASE-001,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,SR-BL-CAC926848EDEB1B6-COMP-BASE-001,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,SR-BL-1E49DB13E2EAA2B1-COMP-BASE-001,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,SR-BL-1E49DB13E2EAA2B1-COMP-BASE-001,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,SR-BL-A75EBEA50E13F73B-COMP-BASE-001,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,SR-BL-A75EBEA50E13F73B-COMP-BASE-001,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,SR-BL-E2B02306C6DE9E93-COMP-BASE-001,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,SR-BL-E2B02306C6DE9E93-COMP-BASE-001,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,SR-BL-391D7921E462CF87-COMP-BASE-001,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,SR-BL-391D7921E462CF87-COMP-BASE-001,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,SR-BL-B581A76BC79E1F57-COMP-BASE-001,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,SR-BL-B581A76BC79E1F57-COMP-BASE-001,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,SR-BL-A8F1AB286327924A-COMP-BASE-001,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,SR-BL-A8F1AB286327924A-COMP-BASE-001,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,SR-BL-57C70AF120BE0469-COMP-BASE-001,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,SR-BL-57C70AF120BE0469-COMP-BASE-001,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,SR-BL-C3F11B1E0C2533F4-COMP-BASE-001,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,SR-BL-C3F11B1E0C2533F4-COMP-BASE-001,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,SR-BL-DF709330D67ABEC5-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,SR-BL-DF709330D67ABEC5-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,SR-BL-747242470CE54799-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,SR-BL-747242470CE54799-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,SR-BL-59E3FB429973055E-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,SR-BL-59E3FB429973055E-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,SR-BL-58927C6C611CB6A2-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,SR-BL-58927C6C611CB6A2-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,SR-BL-175EFE24E943C187-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,SR-BL-175EFE24E943C187-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,SR-BL-65BAA941479C62D1-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,SR-BL-65BAA941479C62D1-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,SR-BL-7BC211D1BA18F080-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,SR-BL-7BC211D1BA18F080-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,SR-BL-ADAE1EF74FA083EE-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,SR-BL-ADAE1EF74FA083EE-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,SR-BL-E3505E2589029466-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,SR-BL-E3505E2589029466-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,SR-BL-2F5F5104E962C6F3-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,SR-BL-2F5F5104E962C6F3-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,SR-BL-3A72FD4CECA46A41-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,SR-BL-3A72FD4CECA46A41-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
