financial_input_requirement_id,approval_package_id,scenario_family,required_cost_input,actual_input_available,financial_input_status,missing_input_flag,missing_input_flag
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260520,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260520,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260606,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260606,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260610,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260610,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260704,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260704,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260723,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260723,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260804,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260804,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260810,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260810,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260901,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260901,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261108,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261108,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260122,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260122,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260328,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260328,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260409,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260409,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260422,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260422,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260426,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260426,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260515,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260515,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260521,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260521,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260615,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260615,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260621,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260621,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260626,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260626,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
