management_scenario_package_id,approval_package_id,scenario_family,financial_review_required,cost_completeness_status,total_scenario_cost,benefit_completeness_status,total_estimated_benefit,financial_readiness,financial_readiness_reason,governance_warning
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,78810.0,Complete,6030.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,78810.0,Complete,6030.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261108,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261108,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,78810.0,Complete,6030.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260122,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260122,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,252750.0,Complete,31500.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260328,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260328,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,252750.0,Complete,31500.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260409,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260409,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,252750.0,Complete,31500.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260422,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260422,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,252750.0,Complete,31500.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260426,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260426,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,252750.0,Complete,31500.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260515,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260515,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,252750.0,Complete,31500.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260521,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260521,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,252750.0,Complete,31500.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260615,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260615,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,252750.0,Complete,31500.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260621,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260621,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,252750.0,Complete,31500.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260626,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260626,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,252750.0,Complete,31500.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260720,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260720,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,252750.0,Complete,31500.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260727,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260727,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,252750.0,Complete,31500.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260910,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260910,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,252750.0,Complete,31500.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260915,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260915,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,252750.0,Complete,31500.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260921,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260921,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,252750.0,Complete,31500.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260930,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260930,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,252750.0,Complete,31500.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261015,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261015,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,252750.0,Complete,31500.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261019,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261019,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,252750.0,Complete,31500.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261027,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261027,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,252750.0,Complete,31500.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261111,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261111,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,252750.0,Complete,31500.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261115,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261115,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,252750.0,Complete,31500.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261126,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261126,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,252750.0,Complete,31500.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261202,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261202,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,252750.0,Complete,31500.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261207,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261207,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,252750.0,Complete,31500.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261227,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261227,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,252750.0,Complete,31500.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260402,PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260402,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,178660.0,Complete,44310.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,178660.0,Complete,44310.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,178660.0,Complete,44310.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,178660.0,Complete,44310.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,178660.0,Complete,44310.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,178660.0,Complete,44310.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260107,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260107,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,78810.0,Complete,6030.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
