warning_id,hospital,department,department_code,kpi_id,kpi_name,forecast_year,forecast_month,point_forecast,lower_bound,upper_bound,forecast_status,latest_actual_status,expected_status_change,warning_level,warning_reason,horizon_months_ahead,forecast_quality,suggested_action_id,suggested_action_text,action_source,action_readiness,outstanding_condition,recommendation_limit,approval_status
WARN_HOSP-001_DEPT-DIAG_kpi_001_2025_08,HOSP-001,Diagnostic Services,DEPT-DIAG,kpi_001,Staffing Level,2025,8,90.090815,87.657197,92.524433,Green,Green,Green to Green,Monitoring,Status stable at Green,1,MODERATE INDICATIVE CONFIDENCE,int_001,SUGGESTED ACTION: Temporary Staffing,Intervention Catalogue,Proposed,Review conditions before implementation,Demonstration only; not approved for operational deployment,Indicative Prototype
WARN_HOSP-001_DEPT-DIAG_kpi_001_2025_09,HOSP-001,Diagnostic Services,DEPT-DIAG,kpi_001,Staffing Level,2025,9,90.090815,87.657197,92.524433,Green,Green,Green to Green,Monitoring,Status stable at Green,2,MODERATE INDICATIVE CONFIDENCE,int_001,SUGGESTED ACTION: Temporary Staffing,Intervention Catalogue,Proposed,Review conditions before implementation,Demonstration only; not approved for operational deployment,Indicative Prototype
WARN_HOSP-001_DEPT-DIAG_kpi_001_2025_10,HOSP-001,Diagnostic Services,DEPT-DIAG,kpi_001,Staffing Level,2025,10,90.090815,87.657197,92.524433,Green,Green,Green to Green,Monitoring,Status stable at Green,3,MODERATE INDICATIVE CONFIDENCE,int_001,SUGGESTED ACTION: Temporary Staffing,Intervention Catalogue,Proposed,Review conditions before implementation,Demonstration only; not approved for operational deployment,Indicative Prototype
WARN_HOSP-001_DEPT-DIAG_kpi_001_2025_11,HOSP-001,Diagnostic Services,DEPT-DIAG,kpi_001,Staffing Level,2025,11,90.090815,87.657197,92.524433,Green,Green,Green to Green,Monitoring,Status stable at Green,4,VERY LOW INDICATIVE CONFIDENCE,int_001,SUGGESTED ACTION: Temporary Staffing,Intervention Catalogue,Proposed,Review conditions before implementation,Demonstration only; not approved for operational deployment,Indicative Prototype
WARN_HOSP-001_DEPT-DIAG_kpi_001_2025_12,HOSP-001,Diagnostic Services,DEPT-DIAG,kpi_001,Staffing Level,2025,12,90.090815,87.657197,92.524433,Green,Green,Green to Green,Monitoring,Status stable at Green,5,VERY LOW INDICATIVE CONFIDENCE,int_001,SUGGESTED ACTION: Temporary Staffing,Intervention Catalogue,Proposed,Review conditions before implementation,Demonstration only; not approved for operational deployment,Indicative Prototype
WARN_HOSP-001_DEPT-DIAG_kpi_002_2025_08,HOSP-001,Diagnostic Services,DEPT-DIAG,kpi_002,Staff Absenteeism Rate,2025,8,8.564676,6.843781,10.285571,Green,Green,Green to Green,Monitoring,Status stable at Green,1,MODERATE INDICATIVE CONFIDENCE,,No matching intervention found,,Not Ready,Requires intervention catalogue review,Link to permitted interventions only,Indicative Prototype
WARN_HOSP-001_DEPT-DIAG_kpi_002_2025_09,HOSP-001,Diagnostic Services,DEPT-DIAG,kpi_002,Staff Absenteeism Rate,2025,9,8.564676,6.843781,10.285571,Green,Green,Green to Green,Monitoring,Status stable at Green,2,MODERATE INDICATIVE CONFIDENCE,,No matching intervention found,,Not Ready,Requires intervention catalogue review,Link to permitted interventions only,Indicative Prototype
WARN_HOSP-001_DEPT-DIAG_kpi_002_2025_10,HOSP-001,Diagnostic Services,DEPT-DIAG,kpi_002,Staff Absenteeism Rate,2025,10,8.564676,6.843781,10.285571,Green,Green,Green to Green,Monitoring,Status stable at Green,3,MODERATE INDICATIVE CONFIDENCE,,No matching intervention found,,Not Ready,Requires intervention catalogue review,Link to permitted interventions only,Indicative Prototype
WARN_HOSP-001_DEPT-DIAG_kpi_002_2025_11,HOSP-001,Diagnostic Services,DEPT-DIAG,kpi_002,Staff Absenteeism Rate,2025,11,8.564676,6.843781,10.285571,Green,Green,Green to Green,Monitoring,Status stable at Green,4,VERY LOW INDICATIVE CONFIDENCE,,No matching intervention found,,Not Ready,Requires intervention catalogue review,Link to permitted interventions only,Indicative Prototype
WARN_HOSP-001_DEPT-DIAG_kpi_002_2025_12,HOSP-001,Diagnostic Services,DEPT-DIAG,kpi_002,Staff Absenteeism Rate,2025,12,8.564676,6.843781,10.285571,Green,Green,Green to Green,Monitoring,Status stable at Green,5,VERY LOW INDICATIVE CONFIDENCE,,No matching intervention found,,Not Ready,Requires intervention catalogue review,Link to permitted interventions only,Indicative Prototype
WARN_HOSP-001_DEPT-ED_kpi_001_2025_08,HOSP-001,Emergency Department,DEPT-ED,kpi_001,Staffing Level,2025,8,86.304837,86.159001,86.450674,Green,Green,Green to Green,Monitoring,Status stable at Green,1,MODERATE INDICATIVE CONFIDENCE,int_001,SUGGESTED ACTION: Temporary Staffing,Intervention Catalogue,Proposed,Review conditions before implementation,Demonstration only; not approved for operational deployment,Indicative Prototype
WARN_HOSP-001_DEPT-ED_kpi_001_2025_09,HOSP-001,Emergency Department,DEPT-ED,kpi_001,Staffing Level,2025,9,85.375627,85.22979,85.521463,Green,Green,Green to Green,Monitoring,Status stable at Green,2,MODERATE INDICATIVE CONFIDENCE,int_001,SUGGESTED ACTION: Temporary Staffing,Intervention Catalogue,Proposed,Review conditions before implementation,Demonstration only; not approved for operational deployment,Indicative Prototype
WARN_HOSP-001_DEPT-ED_kpi_001_2025_10,HOSP-001,Emergency Department,DEPT-ED,kpi_001,Staffing Level,2025,10,84.446416,84.300579,84.592252,Green,Green,Green to Green,Monitoring,Status stable at Green,3,MODERATE INDICATIVE CONFIDENCE,int_001,SUGGESTED ACTION: Temporary Staffing,Intervention Catalogue,Proposed,Review conditions before implementation,Demonstration only; not approved for operational deployment,Indicative Prototype
WARN_HOSP-001_DEPT-ED_kpi_001_2025_11,HOSP-001,Emergency Department,DEPT-ED,kpi_001,Staffing Level,2025,11,83.517205,83.371368,83.663041,Amber,Green,Green to Amber,Emerging Warning,Green actual moving to Amber forecast,4,VERY LOW INDICATIVE CONFIDENCE,int_001,SUGGESTED ACTION: Temporary Staffing,Intervention Catalogue,Proposed,Review conditions before implementation,Demonstration only; not approved for operational deployment,Indicative Prototype
WARN_HOSP-001_DEPT-ED_kpi_001_2025_12,HOSP-001,Emergency Department,DEPT-ED,kpi_001,Staffing Level,2025,12,82.587994,82.442157,82.73383,Amber,Green,Green to Amber,Emerging Warning,Green actual moving to Amber forecast,5,VERY LOW INDICATIVE CONFIDENCE,int_001,SUGGESTED ACTION: Temporary Staffing,Intervention Catalogue,Proposed,Review conditions before implementation,Demonstration only; not approved for operational deployment,Indicative Prototype
WARN_HOSP-001_DEPT-ED_kpi_002_2025_08,HOSP-001,Emergency Department,DEPT-ED,kpi_002,Staff Absenteeism Rate,2025,8,12.524247,10.624728,14.423765,Green,Green,Green to Green,Monitoring,Status stable at Green,1,LOW INDICATIVE CONFIDENCE,,No matching intervention found,,Not Ready,Requires intervention catalogue review,Link to permitted interventions only,Indicative Prototype
WARN_HOSP-001_DEPT-ED_kpi_002_2025_09,HOSP-001,Emergency Department,DEPT-ED,kpi_002,Staff Absenteeism Rate,2025,9,12.524247,10.624728,14.423765,Green,Green,Green to Green,Monitoring,Status stable at Green,2,LOW INDICATIVE CONFIDENCE,,No matching intervention found,,Not Ready,Requires intervention catalogue review,Link to permitted interventions only,Indicative Prototype
WARN_HOSP-001_DEPT-ED_kpi_002_2025_10,HOSP-001,Emergency Department,DEPT-ED,kpi_002,Staff Absenteeism Rate,2025,10,12.524247,10.624728,14.423765,Green,Green,Green to Green,Monitoring,Status stable at Green,3,LOW INDICATIVE CONFIDENCE,,No matching intervention found,,Not Ready,Requires intervention catalogue review,Link to permitted interventions only,Indicative Prototype
WARN_HOSP-001_DEPT-ED_kpi_002_2025_11,HOSP-001,Emergency Department,DEPT-ED,kpi_002,Staff Absenteeism Rate,2025,11,12.524247,10.624728,14.423765,Green,Green,Green to Green,Monitoring,Status stable at Green,4,VERY LOW INDICATIVE CONFIDENCE,,No matching intervention found,,Not Ready,Requires intervention catalogue review,Link to permitted interventions only,Indicative Prototype
WARN_HOSP-001_DEPT-ED_kpi_002_2025_12,HOSP-001,Emergency Department,DEPT-ED,kpi_002,Staff Absenteeism Rate,2025,12,12.524247,10.624728,14.423765,Green,Green,Green to Green,Monitoring,Status stable at Green,5,VERY LOW INDICATIVE CONFIDENCE,,No matching intervention found,,Not Ready,Requires intervention catalogue review,Link to permitted interventions only,Indicative Prototype
WARN_HOSP-001_DEPT-ICU_kpi_001_2025_08,HOSP-001,Intensive Care Unit,DEPT-ICU,kpi_001,Staffing Level,2025,8,87.605601,86.048446,89.162756,Green,Green,Green to Green,Monitoring,Status stable at Green,1,MODERATE INDICATIVE CONFIDENCE,int_001,SUGGESTED ACTION: Temporary Staffing,Intervention Catalogue,Proposed,Review conditions before implementation,Demonstration only; not approved for operational deployment,Indicative Prototype
WARN_HOSP-001_DEPT-ICU_kpi_001_2025_09,HOSP-001,Intensive Care Unit,DEPT-ICU,kpi_001,Staffing Level,2025,9,86.825478,85.268323,88.382633,Green,Green,Green to Green,Monitoring,Status stable at Green,2,MODERATE INDICATIVE CONFIDENCE,int_001,SUGGESTED ACTION: Temporary Staffing,Intervention Catalogue,Proposed,Review conditions before implementation,Demonstration only; not approved for operational deployment,Indicative Prototype
WARN_HOSP-001_DEPT-ICU_kpi_001_2025_10,HOSP-001,Intensive Care Unit,DEPT-ICU,kpi_001,Staffing Level,2025,10,86.045355,84.4882,87.60251,Green,Green,Green to Green,Monitoring,Status stable at Green,3,MODERATE INDICATIVE CONFIDENCE,int_001,SUGGESTED ACTION: Temporary Staffing,Intervention Catalogue,Proposed,Review conditions before implementation,Demonstration only; not approved for operational deployment,Indicative Prototype
WARN_HOSP-001_DEPT-ICU_kpi_001_2025_11,HOSP-001,Intensive Care Unit,DEPT-ICU,kpi_001,Staffing Level,2025,11,85.265232,83.708077,86.822387,Green,Green,Green to Green,Monitoring,Status stable at Green,4,VERY LOW INDICATIVE CONFIDENCE,int_001,SUGGESTED ACTION: Temporary Staffing,Intervention Catalogue,Proposed,Review conditions before implementation,Demonstration only; not approved for operational deployment,Indicative Prototype
WARN_HOSP-001_DEPT-ICU_kpi_001_2025_12,HOSP-001,Intensive Care Unit,DEPT-ICU,kpi_001,Staffing Level,2025,12,84.485109,82.927954,86.042264,Green,Green,Green to Green,Monitoring,Status stable at Green,5,VERY LOW INDICATIVE CONFIDENCE,int_001,SUGGESTED ACTION: Temporary Staffing,Intervention Catalogue,Proposed,Review conditions before implementation,Demonstration only; not approved for operational deployment,Indicative Prototype
WARN_HOSP-001_DEPT-ICU_kpi_002_2025_08,HOSP-001,Intensive Care Unit,DEPT-ICU,kpi_002,Staff Absenteeism Rate,2025,8,11.781436,10.391851,13.171021,Green,Green,Green to Green,Monitoring,Status stable at Green,1,MODERATE INDICATIVE CONFIDENCE,,No matching intervention found,,Not Ready,Requires intervention catalogue review,Link to permitted interventions only,Indicative Prototype
WARN_HOSP-001_DEPT-ICU_kpi_002_2025_09,HOSP-001,Intensive Care Unit,DEPT-ICU,kpi_002,Staff Absenteeism Rate,2025,9,12.613352,11.223767,14.002937,Green,Green,Green to Green,Monitoring,Status stable at Green,2,MODERATE INDICATIVE CONFIDENCE,,No matching intervention found,,Not Ready,Requires intervention catalogue review,Link to permitted interventions only,Indicative Prototype
WARN_HOSP-001_DEPT-ICU_kpi_002_2025_10,HOSP-001,Intensive Care Unit,DEPT-ICU,kpi_002,Staff Absenteeism Rate,2025,10,13.445268,12.055683,14.834853,Green,Green,Green to Green,Monitoring,Status stable at Green,3,MODERATE INDICATIVE CONFIDENCE,,No matching intervention found,,Not Ready,Requires intervention catalogue review,Link to permitted interventions only,Indicative Prototype
WARN_HOSP-001_DEPT-ICU_kpi_002_2025_11,HOSP-001,Intensive Care Unit,DEPT-ICU,kpi_002,Staff Absenteeism Rate,2025,11,14.277185,12.8876,15.66677,Green,Green,Green to Green,Monitoring,Status stable at Green,4,VERY LOW INDICATIVE CONFIDENCE,,No matching intervention found,,Not Ready,Requires intervention catalogue review,Link to permitted interventions only,Indicative Prototype
WARN_HOSP-001_DEPT-ICU_kpi_002_2025_12,HOSP-001,Intensive Care Unit,DEPT-ICU,kpi_002,Staff Absenteeism Rate,2025,12,15.109101,13.719516,16.498686,Amber,Green,Green to Amber,Emerging Warning,Green actual moving to Amber forecast,5,VERY LOW INDICATIVE CONFIDENCE,,No matching intervention found,,Not Ready,Requires intervention catalogue review,Link to permitted interventions only,Indicative Prototype
WARN_HOSP-001_DEPT-MED_kpi_001_2025_08,HOSP-001,Medical Ward,DEPT-MED,kpi_001,Staffing Level,2025,8,87.274785,87.13625,87.41332,Green,Green,Green to Green,Monitoring,Status stable at Green,1,MODERATE INDICATIVE CONFIDENCE,int_001,SUGGESTED ACTION: Temporary Staffing,Intervention Catalogue,Proposed,Review conditions before implementation,Demonstration only; not approved for operational deployment,Indicative Prototype
WARN_HOSP-001_DEPT-MED_kpi_001_2025_09,HOSP-001,Medical Ward,DEPT-MED,kpi_001,Staffing Level,2025,9,86.290581,86.152046,86.429117,Green,Green,Green to Green,Monitoring,Status stable at Green,2,MODERATE INDICATIVE CONFIDENCE,int_001,SUGGESTED ACTION: Temporary Staffing,Intervention Catalogue,Proposed,Review conditions before implementation,Demonstration only; not approved for operational deployment,Indicative Prototype
WARN_HOSP-001_DEPT-MED_kpi_001_2025_10,HOSP-001,Medical Ward,DEPT-MED,kpi_001,Staffing Level,2025,10,85.306378,85.167843,85.444913,Green,Green,Green to Green,Monitoring,Status stable at Green,3,MODERATE INDICATIVE CONFIDENCE,int_001,SUGGESTED ACTION: Temporary Staffing,Intervention Catalogue,Proposed,Review conditions before implementation,Demonstration only; not approved for operational deployment,Indicative Prototype
WARN_HOSP-001_DEPT-MED_kpi_001_2025_11,HOSP-001,Medical Ward,DEPT-MED,kpi_001,Staffing Level,2025,11,84.322175,84.18364,84.46071,Green,Green,Green to Green,Monitoring,Status stable at Green,4,VERY LOW INDICATIVE CONFIDENCE,int_001,SUGGESTED ACTION: Temporary Staffing,Intervention Catalogue,Proposed,Review conditions before implementation,Demonstration only; not approved for operational deployment,Indicative Prototype
WARN_HOSP-001_DEPT-MED_kpi_001_2025_12,HOSP-001,Medical Ward,DEPT-MED,kpi_001,Staffing Level,2025,12,83.337971,83.199436,83.476506,Amber,Green,Green to Amber,Emerging Warning,Green actual moving to Amber forecast,5,VERY LOW INDICATIVE CONFIDENCE,int_001,SUGGESTED ACTION: Temporary Staffing,Intervention Catalogue,Proposed,Review conditions before implementation,Demonstration only; not approved for operational deployment,Indicative Prototype
WARN_HOSP-001_DEPT-MED_kpi_002_2025_08,HOSP-001,Medical Ward,DEPT-MED,kpi_002,Staff Absenteeism Rate,2025,8,13.253464,12.801888,13.705041,Green,Green,Green to Green,Monitoring,Status stable at Green,1,MODERATE INDICATIVE CONFIDENCE,,No matching intervention found,,Not Ready,Requires intervention catalogue review,Link to permitted interventions only,Indicative Prototype
WARN_HOSP-001_DEPT-MED_kpi_002_2025_09,HOSP-001,Medical Ward,DEPT-MED,kpi_002,Staff Absenteeism Rate,2025,9,14.421578,13.970002,14.873154,Green,Green,Green to Green,Monitoring,Status stable at Green,2,MODERATE INDICATIVE CONFIDENCE,,No matching intervention found,,Not Ready,Requires intervention catalogue review,Link to permitted interventions only,Indicative Prototype
WARN_HOSP-001_DEPT-MED_kpi_002_2025_10,HOSP-001,Medical Ward,DEPT-MED,kpi_002,Staff Absenteeism Rate,2025,10,15.589692,15.138116,16.041268,Amber,Green,Green to Amber,Emerging Warning,Green actual moving to Amber forecast,3,MODERATE INDICATIVE CONFIDENCE,,No matching intervention found,,Not Ready,Requires intervention catalogue review,Link to permitted interventions only,Indicative Prototype
WARN_HOSP-001_DEPT-MED_kpi_002_2025_11,HOSP-001,Medical Ward,DEPT-MED,kpi_002,Staff Absenteeism Rate,2025,11,16.757806,16.306229,17.209382,Amber,Green,Green to Amber,Emerging Warning,Green actual moving to Amber forecast,4,VERY LOW INDICATIVE CONFIDENCE,,No matching intervention found,,Not Ready,Requires intervention catalogue review,Link to permitted interventions only,Indicative Prototype
WARN_HOSP-001_DEPT-MED_kpi_002_2025_12,HOSP-001,Medical Ward,DEPT-MED,kpi_002,Staff Absenteeism Rate,2025,12,17.92592,17.474343,18.377496,Amber,Green,Green to Amber,Emerging Warning,Green actual moving to Amber forecast,5,VERY LOW INDICATIVE CONFIDENCE,,No matching intervention found,,Not Ready,Requires intervention catalogue review,Link to permitted interventions only,Indicative Prototype
WARN_HOSP-001_DEPT-OPC_kpi_001_2025_08,HOSP-001,Outpatient Clinic,DEPT-OPC,kpi_001,Staffing Level,2025,8,88.391456,85.319432,91.463479,Green,Green,Green to Green,Monitoring,Status stable at Green,1,MODERATE INDICATIVE CONFIDENCE,int_001,SUGGESTED ACTION: Temporary Staffing,Intervention Catalogue,Proposed,Review conditions before implementation,Demonstration only; not approved for operational deployment,Indicative Prototype
WARN_HOSP-001_DEPT-OPC_kpi_001_2025_09,HOSP-001,Outpatient Clinic,DEPT-OPC,kpi_001,Staffing Level,2025,9,88.391456,85.319432,91.463479,Green,Green,Green to Green,Monitoring,Status stable at Green,2,MODERATE INDICATIVE CONFIDENCE,int_001,SUGGESTED ACTION: Temporary Staffing,Intervention Catalogue,Proposed,Review conditions before implementation,Demonstration only; not approved for operational deployment,Indicative Prototype
WARN_HOSP-001_DEPT-OPC_kpi_001_2025_10,HOSP-001,Outpatient Clinic,DEPT-OPC,kpi_001,Staffing Level,2025,10,88.391456,85.319432,91.463479,Green,Green,Green to Green,Monitoring,Status stable at Green,3,MODERATE INDICATIVE CONFIDENCE,int_001,SUGGESTED ACTION: Temporary Staffing,Intervention Catalogue,Proposed,Review conditions before implementation,Demonstration only; not approved for operational deployment,Indicative Prototype
WARN_HOSP-001_DEPT-OPC_kpi_001_2025_11,HOSP-001,Outpatient Clinic,DEPT-OPC,kpi_001,Staffing Level,2025,11,88.391456,85.319432,91.463479,Green,Green,Green to Green,Monitoring,Status stable at Green,4,VERY LOW INDICATIVE CONFIDENCE,int_001,SUGGESTED ACTION: Temporary Staffing,Intervention Catalogue,Proposed,Review conditions before implementation,Demonstration only; not approved for operational deployment,Indicative Prototype
WARN_HOSP-001_DEPT-OPC_kpi_001_2025_12,HOSP-001,Outpatient Clinic,DEPT-OPC,kpi_001,Staffing Level,2025,12,88.391456,85.319432,91.463479,Green,Green,Green to Green,Monitoring,Status stable at Green,5,VERY LOW INDICATIVE CONFIDENCE,int_001,SUGGESTED ACTION: Temporary Staffing,Intervention Catalogue,Proposed,Review conditions before implementation,Demonstration only; not approved for operational deployment,Indicative Prototype
WARN_HOSP-001_DEPT-OPC_kpi_002_2025_08,HOSP-001,Outpatient Clinic,DEPT-OPC,kpi_002,Staff Absenteeism Rate,2025,8,9.832175,6.876478,12.787872,Green,Green,Green to Green,Monitoring,Status stable at Green,1,MODERATE INDICATIVE CONFIDENCE,,No matching intervention found,,Not Ready,Requires intervention catalogue review,Link to permitted interventions only,Indicative Prototype
WARN_HOSP-001_DEPT-OPC_kpi_002_2025_09,HOSP-001,Outpatient Clinic,DEPT-OPC,kpi_002,Staff Absenteeism Rate,2025,9,9.832175,6.876478,12.787872,Green,Green,Green to Green,Monitoring,Status stable at Green,2,MODERATE INDICATIVE CONFIDENCE,,No matching intervention found,,Not Ready,Requires intervention catalogue review,Link to permitted interventions only,Indicative Prototype
WARN_HOSP-001_DEPT-OPC_kpi_002_2025_10,HOSP-001,Outpatient Clinic,DEPT-OPC,kpi_002,Staff Absenteeism Rate,2025,10,9.832175,6.876478,12.787872,Green,Green,Green to Green,Monitoring,Status stable at Green,3,MODERATE INDICATIVE CONFIDENCE,,No matching intervention found,,Not Ready,Requires intervention catalogue review,Link to permitted interventions only,Indicative Prototype
WARN_HOSP-001_DEPT-OPC_kpi_002_2025_11,HOSP-001,Outpatient Clinic,DEPT-OPC,kpi_002,Staff Absenteeism Rate,2025,11,9.832175,6.876478,12.787872,Green,Green,Green to Green,Monitoring,Status stable at Green,4,VERY LOW INDICATIVE CONFIDENCE,,No matching intervention found,,Not Ready,Requires intervention catalogue review,Link to permitted interventions only,Indicative Prototype
WARN_HOSP-001_DEPT-OPC_kpi_002_2025_12,HOSP-001,Outpatient Clinic,DEPT-OPC,kpi_002,Staff Absenteeism Rate,2025,12,9.832175,6.876478,12.787872,Green,Green,Green to Green,Monitoring,Status stable at Green,5,VERY LOW INDICATIVE CONFIDENCE,,No matching intervention found,,Not Ready,Requires intervention catalogue review,Link to permitted interventions only,Indicative Prototype
WARN_HOSP-001_DEPT-PEX_kpi_001_2025_08,HOSP-001,Patient Experience,DEPT-PEX,kpi_001,Staffing Level,2025,8,86.774862,86.62886,86.920863,Green,Green,Green to Green,Monitoring,Status stable at Green,1,MODERATE INDICATIVE CONFIDENCE,int_001,SUGGESTED ACTION: Temporary Staffing,Intervention Catalogue,Proposed,Review conditions before implementation,Demonstration only; not approved for operational deployment,Indicative Prototype
WARN_HOSP-001_DEPT-PEX_kpi_001_2025_09,HOSP-001,Patient Experience,DEPT-PEX,kpi_001,Staffing Level,2025,9,85.756455,85.610453,85.902457,Green,Green,Green to Green,Monitoring,Status stable at Green,2,MODERATE INDICATIVE CONFIDENCE,int_001,SUGGESTED ACTION: Temporary Staffing,Intervention Catalogue,Proposed,Review conditions before implementation,Demonstration only; not approved for operational deployment,Indicative Prototype
WARN_HOSP-001_DEPT-PEX_kpi_001_2025_10,HOSP-001,Patient Experience,DEPT-PEX,kpi_001,Staffing Level,2025,10,84.738048,84.592046,84.88405,Green,Green,Green to Green,Monitoring,Status stable at Green,3,MODERATE INDICATIVE CONFIDENCE,int_001,SUGGESTED ACTION: Temporary Staffing,Intervention Catalogue,Proposed,Review conditions before implementation,Demonstration only; not approved for operational deployment,Indicative Prototype
WARN_HOSP-001_DEPT-PEX_kpi_001_2025_11,HOSP-001,Patient Experience,DEPT-PEX,kpi_001,Staffing Level,2025,11,83.719641,83.57364,83.865643,Amber,Green,Green to Amber,Emerging Warning,Green actual moving to Amber forecast,4,VERY LOW INDICATIVE CONFIDENCE,int_001,SUGGESTED ACTION: Temporary Staffing,Intervention Catalogue,Proposed,Review conditions before implementation,Demonstration only; not approved for operational deployment,Indicative Prototype
WARN_HOSP-001_DEPT-PEX_kpi_001_2025_12,HOSP-001,Patient Experience,DEPT-PEX,kpi_001,Staffing Level,2025,12,82.701235,82.555233,82.847236,Amber,Green,Green to Amber,Emerging Warning,Green actual moving to Amber forecast,5,VERY LOW INDICATIVE CONFIDENCE,int_001,SUGGESTED ACTION: Temporary Staffing,Intervention Catalogue,Proposed,Review conditions before implementation,Demonstration only; not approved for operational deployment,Indicative Prototype
WARN_HOSP-001_DEPT-PEX_kpi_002_2025_08,HOSP-001,Patient Experience,DEPT-PEX,kpi_002,Staff Absenteeism Rate,2025,8,16.803623,15.95463,17.652616,Amber,Amber,Amber to Amber,Monitoring,Status stable at Amber,1,MODERATE INDICATIVE CONFIDENCE,,No matching intervention found,,Not Ready,Requires intervention catalogue review,Link to permitted interventions only,Indicative Prototype
WARN_HOSP-001_DEPT-PEX_kpi_002_2025_09,HOSP-001,Patient Experience,DEPT-PEX,kpi_002,Staff Absenteeism Rate,2025,9,18.590318,17.741325,19.439311,Amber,Amber,Amber to Amber,Monitoring,Status stable at Amber,2,MODERATE INDICATIVE CONFIDENCE,,No matching intervention found,,Not Ready,Requires intervention catalogue review,Link to permitted interventions only,Indicative Prototype
