forecast_id,hospital,department,department_code,kpi_id,kpi_name,forecast_year,forecast_month,forecast_period_start,forecast_period_end,point_forecast,lower_bound,upper_bound,unit,selected_method,validation_mae,validation_rmse,forecast_quality,eligibility_status,limitation,raw_forecast,constraint_applied,constraint_reason,horizon_months_ahead,horizon_risk,uncertainty_note,forecast_generated_at,training_start_date,training_end_date,training_observation_count,training_month_count,source_actual_file,model_version,approval_status,disclaimer,forecast_status,threshold_rule,threshold_direction,threshold_version
HOSP-001_DEPT-DIAG_kpi_001_2026_08,HOSP-001,Diagnostic Services,DEPT-DIAG,kpi_001,Staffing Level,2026,8,2026-08-01,2026-08-31,90.090815,87.657197,92.524433,Percent,Simple Exponential Smoothing,2.433618,3.05175,MODERATE INDICATIVE CONFIDENCE,ELIGIBLE,,90.090815,None,,1,nearest indicative horizon,Indicative uncertainty range ±2.43,2026-07-31T21:58:58.812731,2026-01-01,2026-07-31,212,7,data/analytical/analytical_six_kpi_daily.csv,1.0.0-indicative,Indicative Prototype,These forecasts are indicative operational estimates generated from available synthetic historical data. They support early-warning demonstration and require further validation before operational deployment.,Green,Green Band,green,v1.0-approved
HOSP-001_DEPT-DIAG_kpi_001_2026_09,HOSP-001,Diagnostic Services,DEPT-DIAG,kpi_001,Staffing Level,2026,9,2026-09-01,2026-09-30,90.090815,87.657197,92.524433,Percent,Simple Exponential Smoothing,2.433618,3.05175,MODERATE INDICATIVE CONFIDENCE,ELIGIBLE,,90.090815,None,,2,short indicative horizon,Indicative uncertainty range ±2.43,2026-07-31T21:58:58.812731,2026-01-01,2026-07-31,212,7,data/analytical/analytical_six_kpi_daily.csv,1.0.0-indicative,Indicative Prototype,These forecasts are indicative operational estimates generated from available synthetic historical data. They support early-warning demonstration and require further validation before operational deployment.,Green,Green Band,green,v1.0-approved
HOSP-001_DEPT-DIAG_kpi_001_2026_10,HOSP-001,Diagnostic Services,DEPT-DIAG,kpi_001,Staffing Level,2026,10,2026-10-01,2026-10-31,90.090815,87.657197,92.524433,Percent,Simple Exponential Smoothing,2.433618,3.05175,MODERATE INDICATIVE CONFIDENCE,ELIGIBLE,,90.090815,None,,3,medium indicative horizon,Indicative uncertainty range ±2.43,2026-07-31T21:58:58.812731,2026-01-01,2026-07-31,212,7,data/analytical/analytical_six_kpi_daily.csv,1.0.0-indicative,Indicative Prototype,These forecasts are indicative operational estimates generated from available synthetic historical data. They support early-warning demonstration and require further validation before operational deployment.,Green,Green Band,green,v1.0-approved
HOSP-001_DEPT-DIAG_kpi_001_2026_11,HOSP-001,Diagnostic Services,DEPT-DIAG,kpi_001,Staffing Level,2026,11,2026-11-01,2026-11-30,90.090815,87.657197,92.524433,Percent,Simple Exponential Smoothing,2.433618,3.05175,VERY LOW INDICATIVE CONFIDENCE,ELIGIBLE,,90.090815,None,,4,extended indicative horizon,Indicative uncertainty range ±2.43,2026-07-31T21:58:58.812731,2026-01-01,2026-07-31,212,7,data/analytical/analytical_six_kpi_daily.csv,1.0.0-indicative,Indicative Prototype,These forecasts are indicative operational estimates generated from available synthetic historical data. They support early-warning demonstration and require further validation before operational deployment.,Green,Green Band,green,v1.0-approved
HOSP-001_DEPT-DIAG_kpi_001_2026_12,HOSP-001,Diagnostic Services,DEPT-DIAG,kpi_001,Staffing Level,2026,12,2026-12-01,2026-12-31,90.090815,87.657197,92.524433,Percent,Simple Exponential Smoothing,2.433618,3.05175,VERY LOW INDICATIVE CONFIDENCE,ELIGIBLE,,90.090815,None,,5,extended indicative horizon with highest uncertainty,Indicative uncertainty range ±2.43,2026-07-31T21:58:58.812731,2026-01-01,2026-07-31,212,7,data/analytical/analytical_six_kpi_daily.csv,1.0.0-indicative,Indicative Prototype,These forecasts are indicative operational estimates generated from available synthetic historical data. They support early-warning demonstration and require further validation before operational deployment.,Green,Green Band,green,v1.0-approved
HOSP-001_DEPT-DIAG_kpi_002_2026_08,HOSP-001,Diagnostic Services,DEPT-DIAG,kpi_002,Staff Absenteeism Rate,2026,8,2026-08-01,2026-08-31,8.564676,6.843781,10.285571,Percent,Simple Exponential Smoothing,1.720895,2.46339,MODERATE INDICATIVE CONFIDENCE,ELIGIBLE,,8.564676,None,,1,nearest indicative horizon,Indicative uncertainty range ±1.72,2026-07-31T21:58:58.812731,2026-01-01,2026-07-31,212,7,data/analytical/analytical_six_kpi_daily.csv,1.0.0-indicative,Indicative Prototype,These forecasts are indicative operational estimates generated from available synthetic historical data. They support early-warning demonstration and require further validation before operational deployment.,Green,Green Band,green,v1.0-approved
HOSP-001_DEPT-DIAG_kpi_002_2026_09,HOSP-001,Diagnostic Services,DEPT-DIAG,kpi_002,Staff Absenteeism Rate,2026,9,2026-09-01,2026-09-30,8.564676,6.843781,10.285571,Percent,Simple Exponential Smoothing,1.720895,2.46339,MODERATE INDICATIVE CONFIDENCE,ELIGIBLE,,8.564676,None,,2,short indicative horizon,Indicative uncertainty range ±1.72,2026-07-31T21:58:58.812731,2026-01-01,2026-07-31,212,7,data/analytical/analytical_six_kpi_daily.csv,1.0.0-indicative,Indicative Prototype,These forecasts are indicative operational estimates generated from available synthetic historical data. They support early-warning demonstration and require further validation before operational deployment.,Green,Green Band,green,v1.0-approved
HOSP-001_DEPT-DIAG_kpi_002_2026_10,HOSP-001,Diagnostic Services,DEPT-DIAG,kpi_002,Staff Absenteeism Rate,2026,10,2026-10-01,2026-10-31,8.564676,6.843781,10.285571,Percent,Simple Exponential Smoothing,1.720895,2.46339,MODERATE INDICATIVE CONFIDENCE,ELIGIBLE,,8.564676,None,,3,medium indicative horizon,Indicative uncertainty range ±1.72,2026-07-31T21:58:58.812731,2026-01-01,2026-07-31,212,7,data/analytical/analytical_six_kpi_daily.csv,1.0.0-indicative,Indicative Prototype,These forecasts are indicative operational estimates generated from available synthetic historical data. They support early-warning demonstration and require further validation before operational deployment.,Green,Green Band,green,v1.0-approved
HOSP-001_DEPT-DIAG_kpi_002_2026_11,HOSP-001,Diagnostic Services,DEPT-DIAG,kpi_002,Staff Absenteeism Rate,2026,11,2026-11-01,2026-11-30,8.564676,6.843781,10.285571,Percent,Simple Exponential Smoothing,1.720895,2.46339,VERY LOW INDICATIVE CONFIDENCE,ELIGIBLE,,8.564676,None,,4,extended indicative horizon,Indicative uncertainty range ±1.72,2026-07-31T21:58:58.812731,2026-01-01,2026-07-31,212,7,data/analytical/analytical_six_kpi_daily.csv,1.0.0-indicative,Indicative Prototype,These forecasts are indicative operational estimates generated from available synthetic historical data. They support early-warning demonstration and require further validation before operational deployment.,Green,Green Band,green,v1.0-approved
HOSP-001_DEPT-DIAG_kpi_002_2026_12,HOSP-001,Diagnostic Services,DEPT-DIAG,kpi_002,Staff Absenteeism Rate,2026,12,2026-12-01,2026-12-31,8.564676,6.843781,10.285571,Percent,Simple Exponential Smoothing,1.720895,2.46339,VERY LOW INDICATIVE CONFIDENCE,ELIGIBLE,,8.564676,None,,5,extended indicative horizon with highest uncertainty,Indicative uncertainty range ±1.72,2026-07-31T21:58:58.812731,2026-01-01,2026-07-31,212,7,data/analytical/analytical_six_kpi_daily.csv,1.0.0-indicative,Indicative Prototype,These forecasts are indicative operational estimates generated from available synthetic historical data. They support early-warning demonstration and require further validation before operational deployment.,Green,Green Band,green,v1.0-approved
HOSP-001_DEPT-ED_kpi_001_2026_08,HOSP-001,Emergency Department,DEPT-ED,kpi_001,Staffing Level,2026,8,2026-08-01,2026-08-31,86.304837,86.159001,86.450674,Percent,Holt Linear Trend,0.145836,0.145836,MODERATE INDICATIVE CONFIDENCE,ELIGIBLE,,86.304837,None,,1,nearest indicative horizon,Indicative uncertainty range ±0.15,2026-07-31T21:58:58.812731,2026-01-01,2026-07-31,212,7,data/analytical/analytical_six_kpi_daily.csv,1.0.0-indicative,Indicative Prototype,These forecasts are indicative operational estimates generated from available synthetic historical data. They support early-warning demonstration and require further validation before operational deployment.,Green,Green Band,green,v1.0-approved
HOSP-001_DEPT-ED_kpi_001_2026_09,HOSP-001,Emergency Department,DEPT-ED,kpi_001,Staffing Level,2026,9,2026-09-01,2026-09-30,85.375627,85.22979,85.521463,Percent,Holt Linear Trend,0.145836,0.145836,MODERATE INDICATIVE CONFIDENCE,ELIGIBLE,,85.375627,None,,2,short indicative horizon,Indicative uncertainty range ±0.15,2026-07-31T21:58:58.812731,2026-01-01,2026-07-31,212,7,data/analytical/analytical_six_kpi_daily.csv,1.0.0-indicative,Indicative Prototype,These forecasts are indicative operational estimates generated from available synthetic historical data. They support early-warning demonstration and require further validation before operational deployment.,Green,Green Band,green,v1.0-approved
HOSP-001_DEPT-ED_kpi_001_2026_10,HOSP-001,Emergency Department,DEPT-ED,kpi_001,Staffing Level,2026,10,2026-10-01,2026-10-31,84.446416,84.300579,84.592252,Percent,Holt Linear Trend,0.145836,0.145836,MODERATE INDICATIVE CONFIDENCE,ELIGIBLE,,84.446416,None,,3,medium indicative horizon,Indicative uncertainty range ±0.15,2026-07-31T21:58:58.812731,2026-01-01,2026-07-31,212,7,data/analytical/analytical_six_kpi_daily.csv,1.0.0-indicative,Indicative Prototype,These forecasts are indicative operational estimates generated from available synthetic historical data. They support early-warning demonstration and require further validation before operational deployment.,Green,Green Band,green,v1.0-approved
HOSP-001_DEPT-ED_kpi_001_2026_11,HOSP-001,Emergency Department,DEPT-ED,kpi_001,Staffing Level,2026,11,2026-11-01,2026-11-30,83.517205,83.371368,83.663041,Percent,Holt Linear Trend,0.145836,0.145836,VERY LOW INDICATIVE CONFIDENCE,ELIGIBLE,,83.517205,None,,4,extended indicative horizon,Indicative uncertainty range ±0.15,2026-07-31T21:58:58.812731,2026-01-01,2026-07-31,212,7,data/analytical/analytical_six_kpi_daily.csv,1.0.0-indicative,Indicative Prototype,These forecasts are indicative operational estimates generated from available synthetic historical data. They support early-warning demonstration and require further validation before operational deployment.,Amber,Lower Amber,lower_amber,v1.0-approved
HOSP-001_DEPT-ED_kpi_001_2026_12,HOSP-001,Emergency Department,DEPT-ED,kpi_001,Staffing Level,2026,12,2026-12-01,2026-12-31,82.587994,82.442157,82.73383,Percent,Holt Linear Trend,0.145836,0.145836,VERY LOW INDICATIVE CONFIDENCE,ELIGIBLE,,82.587994,None,,5,extended indicative horizon with highest uncertainty,Indicative uncertainty range ±0.15,2026-07-31T21:58:58.812731,2026-01-01,2026-07-31,212,7,data/analytical/analytical_six_kpi_daily.csv,1.0.0-indicative,Indicative Prototype,These forecasts are indicative operational estimates generated from available synthetic historical data. They support early-warning demonstration and require further validation before operational deployment.,Amber,Lower Amber,lower_amber,v1.0-approved
HOSP-001_DEPT-ED_kpi_002_2026_08,HOSP-001,Emergency Department,DEPT-ED,kpi_002,Staff Absenteeism Rate,2026,8,2026-08-01,2026-08-31,12.524247,10.624728,14.423765,Percent,Naive Last Value,1.899519,2.107713,LOW INDICATIVE CONFIDENCE,ELIGIBLE,,12.524247,None,,1,nearest indicative horizon,Indicative uncertainty range ±1.90,2026-07-31T21:58:58.812731,2026-01-01,2026-07-31,212,7,data/analytical/analytical_six_kpi_daily.csv,1.0.0-indicative,Indicative Prototype,These forecasts are indicative operational estimates generated from available synthetic historical data. They support early-warning demonstration and require further validation before operational deployment.,Green,Green Band,green,v1.0-approved
HOSP-001_DEPT-ED_kpi_002_2026_09,HOSP-001,Emergency Department,DEPT-ED,kpi_002,Staff Absenteeism Rate,2026,9,2026-09-01,2026-09-30,12.524247,10.624728,14.423765,Percent,Naive Last Value,1.899519,2.107713,LOW INDICATIVE CONFIDENCE,ELIGIBLE,,12.524247,None,,2,short indicative horizon,Indicative uncertainty range ±1.90,2026-07-31T21:58:58.812731,2026-01-01,2026-07-31,212,7,data/analytical/analytical_six_kpi_daily.csv,1.0.0-indicative,Indicative Prototype,These forecasts are indicative operational estimates generated from available synthetic historical data. They support early-warning demonstration and require further validation before operational deployment.,Green,Green Band,green,v1.0-approved
HOSP-001_DEPT-ED_kpi_002_2026_10,HOSP-001,Emergency Department,DEPT-ED,kpi_002,Staff Absenteeism Rate,2026,10,2026-10-01,2026-10-31,12.524247,10.624728,14.423765,Percent,Naive Last Value,1.899519,2.107713,LOW INDICATIVE CONFIDENCE,ELIGIBLE,,12.524247,None,,3,medium indicative horizon,Indicative uncertainty range ±1.90,2026-07-31T21:58:58.812731,2026-01-01,2026-07-31,212,7,data/analytical/analytical_six_kpi_daily.csv,1.0.0-indicative,Indicative Prototype,These forecasts are indicative operational estimates generated from available synthetic historical data. They support early-warning demonstration and require further validation before operational deployment.,Green,Green Band,green,v1.0-approved
HOSP-001_DEPT-ED_kpi_002_2026_11,HOSP-001,Emergency Department,DEPT-ED,kpi_002,Staff Absenteeism Rate,2026,11,2026-11-01,2026-11-30,12.524247,10.624728,14.423765,Percent,Naive Last Value,1.899519,2.107713,VERY LOW INDICATIVE CONFIDENCE,ELIGIBLE,,12.524247,None,,4,extended indicative horizon,Indicative uncertainty range ±1.90,2026-07-31T21:58:58.812731,2026-01-01,2026-07-31,212,7,data/analytical/analytical_six_kpi_daily.csv,1.0.0-indicative,Indicative Prototype,These forecasts are indicative operational estimates generated from available synthetic historical data. They support early-warning demonstration and require further validation before operational deployment.,Green,Green Band,green,v1.0-approved
HOSP-001_DEPT-ED_kpi_002_2026_12,HOSP-001,Emergency Department,DEPT-ED,kpi_002,Staff Absenteeism Rate,2026,12,2026-12-01,2026-12-31,12.524247,10.624728,14.423765,Percent,Naive Last Value,1.899519,2.107713,VERY LOW INDICATIVE CONFIDENCE,ELIGIBLE,,12.524247,None,,5,extended indicative horizon with highest uncertainty,Indicative uncertainty range ±1.90,2026-07-31T21:58:58.812731,2026-01-01,2026-07-31,212,7,data/analytical/analytical_six_kpi_daily.csv,1.0.0-indicative,Indicative Prototype,These forecasts are indicative operational estimates generated from available synthetic historical data. They support early-warning demonstration and require further validation before operational deployment.,Green,Green Band,green,v1.0-approved
HOSP-001_DEPT-ICU_kpi_001_2026_08,HOSP-001,Intensive Care Unit,DEPT-ICU,kpi_001,Staffing Level,2026,8,2026-08-01,2026-08-31,87.605601,86.048446,89.162756,Percent,Linear Trend,1.557155,1.677594,MODERATE INDICATIVE CONFIDENCE,ELIGIBLE,,87.605601,None,,1,nearest indicative horizon,Indicative uncertainty range ±1.56,2026-07-31T21:58:58.812731,2026-01-01,2026-07-31,212,7,data/analytical/analytical_six_kpi_daily.csv,1.0.0-indicative,Indicative Prototype,These forecasts are indicative operational estimates generated from available synthetic historical data. They support early-warning demonstration and require further validation before operational deployment.,Green,Green Band,green,v1.0-approved
HOSP-001_DEPT-ICU_kpi_001_2026_09,HOSP-001,Intensive Care Unit,DEPT-ICU,kpi_001,Staffing Level,2026,9,2026-09-01,2026-09-30,86.825478,85.268323,88.382633,Percent,Linear Trend,1.557155,1.677594,MODERATE INDICATIVE CONFIDENCE,ELIGIBLE,,86.825478,None,,2,short indicative horizon,Indicative uncertainty range ±1.56,2026-07-31T21:58:58.812731,2026-01-01,2026-07-31,212,7,data/analytical/analytical_six_kpi_daily.csv,1.0.0-indicative,Indicative Prototype,These forecasts are indicative operational estimates generated from available synthetic historical data. They support early-warning demonstration and require further validation before operational deployment.,Green,Green Band,green,v1.0-approved
HOSP-001_DEPT-ICU_kpi_001_2026_10,HOSP-001,Intensive Care Unit,DEPT-ICU,kpi_001,Staffing Level,2026,10,2026-10-01,2026-10-31,86.045355,84.4882,87.60251,Percent,Linear Trend,1.557155,1.677594,MODERATE INDICATIVE CONFIDENCE,ELIGIBLE,,86.045355,None,,3,medium indicative horizon,Indicative uncertainty range ±1.56,2026-07-31T21:58:58.812731,2026-01-01,2026-07-31,212,7,data/analytical/analytical_six_kpi_daily.csv,1.0.0-indicative,Indicative Prototype,These forecasts are indicative operational estimates generated from available synthetic historical data. They support early-warning demonstration and require further validation before operational deployment.,Green,Green Band,green,v1.0-approved
HOSP-001_DEPT-ICU_kpi_001_2026_11,HOSP-001,Intensive Care Unit,DEPT-ICU,kpi_001,Staffing Level,2026,11,2026-11-01,2026-11-30,85.265232,83.708077,86.822387,Percent,Linear Trend,1.557155,1.677594,VERY LOW INDICATIVE CONFIDENCE,ELIGIBLE,,85.265232,None,,4,extended indicative horizon,Indicative uncertainty range ±1.56,2026-07-31T21:58:58.812731,2026-01-01,2026-07-31,212,7,data/analytical/analytical_six_kpi_daily.csv,1.0.0-indicative,Indicative Prototype,These forecasts are indicative operational estimates generated from available synthetic historical data. They support early-warning demonstration and require further validation before operational deployment.,Green,Green Band,green,v1.0-approved
HOSP-001_DEPT-ICU_kpi_001_2026_12,HOSP-001,Intensive Care Unit,DEPT-ICU,kpi_001,Staffing Level,2026,12,2026-12-01,2026-12-31,84.485109,82.927954,86.042264,Percent,Linear Trend,1.557155,1.677594,VERY LOW INDICATIVE CONFIDENCE,ELIGIBLE,,84.485109,None,,5,extended indicative horizon with highest uncertainty,Indicative uncertainty range ±1.56,2026-07-31T21:58:58.812731,2026-01-01,2026-07-31,212,7,data/analytical/analytical_six_kpi_daily.csv,1.0.0-indicative,Indicative Prototype,These forecasts are indicative operational estimates generated from available synthetic historical data. They support early-warning demonstration and require further validation before operational deployment.,Green,Green Band,green,v1.0-approved
HOSP-001_DEPT-ICU_kpi_002_2026_08,HOSP-001,Intensive Care Unit,DEPT-ICU,kpi_002,Staff Absenteeism Rate,2026,8,2026-08-01,2026-08-31,11.781436,10.391851,13.171021,Percent,Linear Trend,1.389585,1.619467,MODERATE INDICATIVE CONFIDENCE,ELIGIBLE,,11.781436,None,,1,nearest indicative horizon,Indicative uncertainty range ±1.39,2026-07-31T21:58:58.812731,2026-01-01,2026-07-31,212,7,data/analytical/analytical_six_kpi_daily.csv,1.0.0-indicative,Indicative Prototype,These forecasts are indicative operational estimates generated from available synthetic historical data. They support early-warning demonstration and require further validation before operational deployment.,Green,Green Band,green,v1.0-approved
HOSP-001_DEPT-ICU_kpi_002_2026_09,HOSP-001,Intensive Care Unit,DEPT-ICU,kpi_002,Staff Absenteeism Rate,2026,9,2026-09-01,2026-09-30,12.613352,11.223767,14.002937,Percent,Linear Trend,1.389585,1.619467,MODERATE INDICATIVE CONFIDENCE,ELIGIBLE,,12.613352,None,,2,short indicative horizon,Indicative uncertainty range ±1.39,2026-07-31T21:58:58.812731,2026-01-01,2026-07-31,212,7,data/analytical/analytical_six_kpi_daily.csv,1.0.0-indicative,Indicative Prototype,These forecasts are indicative operational estimates generated from available synthetic historical data. They support early-warning demonstration and require further validation before operational deployment.,Green,Green Band,green,v1.0-approved
HOSP-001_DEPT-ICU_kpi_002_2026_10,HOSP-001,Intensive Care Unit,DEPT-ICU,kpi_002,Staff Absenteeism Rate,2026,10,2026-10-01,2026-10-31,13.445268,12.055683,14.834853,Percent,Linear Trend,1.389585,1.619467,MODERATE INDICATIVE CONFIDENCE,ELIGIBLE,,13.445268,None,,3,medium indicative horizon,Indicative uncertainty range ±1.39,2026-07-31T21:58:58.812731,2026-01-01,2026-07-31,212,7,data/analytical/analytical_six_kpi_daily.csv,1.0.0-indicative,Indicative Prototype,These forecasts are indicative operational estimates generated from available synthetic historical data. They support early-warning demonstration and require further validation before operational deployment.,Green,Green Band,green,v1.0-approved
HOSP-001_DEPT-ICU_kpi_002_2026_11,HOSP-001,Intensive Care Unit,DEPT-ICU,kpi_002,Staff Absenteeism Rate,2026,11,2026-11-01,2026-11-30,14.277185,12.8876,15.66677,Percent,Linear Trend,1.389585,1.619467,VERY LOW INDICATIVE CONFIDENCE,ELIGIBLE,,14.277185,None,,4,extended indicative horizon,Indicative uncertainty range ±1.39,2026-07-31T21:58:58.812731,2026-01-01,2026-07-31,212,7,data/analytical/analytical_six_kpi_daily.csv,1.0.0-indicative,Indicative Prototype,These forecasts are indicative operational estimates generated from available synthetic historical data. They support early-warning demonstration and require further validation before operational deployment.,Green,Green Band,green,v1.0-approved
HOSP-001_DEPT-ICU_kpi_002_2026_12,HOSP-001,Intensive Care Unit,DEPT-ICU,kpi_002,Staff Absenteeism Rate,2026,12,2026-12-01,2026-12-31,15.109101,13.719516,16.498686,Percent,Linear Trend,1.389585,1.619467,VERY LOW INDICATIVE CONFIDENCE,ELIGIBLE,,15.109101,None,,5,extended indicative horizon with highest uncertainty,Indicative uncertainty range ±1.39,2026-07-31T21:58:58.812731,2026-01-01,2026-07-31,212,7,data/analytical/analytical_six_kpi_daily.csv,1.0.0-indicative,Indicative Prototype,These forecasts are indicative operational estimates generated from available synthetic historical data. They support early-warning demonstration and require further validation before operational deployment.,Amber,Between boundaries,intermediate,v1.0-approved
