issue_id,approval_package_id,issue_category,issue_description,severity,closure_impact,recommended_action,governance_warning
ISSUE-COMP-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260830,PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260830,Comparator Consistency,All 3 comparators have identical scenario primary KPI values,High,Package requires assumption review before management comparison,Validate assumption profiles and re-run scenario modelling,Do not use for decision until corrected.
ISSUE-COMP-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20261008,PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20261008,Comparator Consistency,All 3 comparators have identical scenario primary KPI values,High,Package requires assumption review before management comparison,Validate assumption profiles and re-run scenario modelling,Do not use for decision until corrected.
ISSUE-COMP-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20261029,PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20261029,Comparator Consistency,All 3 comparators have identical scenario primary KPI values,High,Package requires assumption review before management comparison,Validate assumption profiles and re-run scenario modelling,Do not use for decision until corrected.
ISSUE-COMP-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20261116,PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20261116,Comparator Consistency,All 3 comparators have identical scenario primary KPI values,High,Package requires assumption review before management comparison,Validate assumption profiles and re-run scenario modelling,Do not use for decision until corrected.
ISSUE-COMP-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20261214,PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20261214,Comparator Consistency,All 3 comparators have identical scenario primary KPI values,High,Package requires assumption review before management comparison,Validate assumption profiles and re-run scenario modelling,Do not use for decision until corrected.
ISSUE-COMP-PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260111,PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260111,Comparator Consistency,All 3 comparators have identical scenario primary KPI values,High,Package requires assumption review before management comparison,Validate assumption profiles and re-run scenario modelling,Do not use for decision until corrected.
ISSUE-COMP-PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260115,PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260115,Comparator Consistency,All 3 comparators have identical scenario primary KPI values,High,Package requires assumption review before management comparison,Validate assumption profiles and re-run scenario modelling,Do not use for decision until corrected.
ISSUE-COMP-PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260203,PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260203,Comparator Consistency,All 3 comparators have identical scenario primary KPI values,High,Package requires assumption review before management comparison,Validate assumption profiles and re-run scenario modelling,Do not use for decision until corrected.
ISSUE-COMP-PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260212,PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260212,Comparator Consistency,All 3 comparators have identical scenario primary KPI values,High,Package requires assumption review before management comparison,Validate assumption profiles and re-run scenario modelling,Do not use for decision until corrected.
ISSUE-COMP-PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260502,PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260502,Comparator Consistency,All 3 comparators have identical scenario primary KPI values,High,Package requires assumption review before management comparison,Validate assumption profiles and re-run scenario modelling,Do not use for decision until corrected.
ISSUE-COMP-PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260515,PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260515,Comparator Consistency,All 3 comparators have identical scenario primary KPI values,High,Package requires assumption review before management comparison,Validate assumption profiles and re-run scenario modelling,Do not use for decision until corrected.
ISSUE-COMP-PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260623,PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260623,Comparator Consistency,All 3 comparators have identical scenario primary KPI values,High,Package requires assumption review before management comparison,Validate assumption profiles and re-run scenario modelling,Do not use for decision until corrected.
ISSUE-COMP-PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260813,PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260813,Comparator Consistency,All 3 comparators have identical scenario primary KPI values,High,Package requires assumption review before management comparison,Validate assumption profiles and re-run scenario modelling,Do not use for decision until corrected.
ISSUE-COMP-PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20261024,PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20261024,Comparator Consistency,All 3 comparators have identical scenario primary KPI values,High,Package requires assumption review before management comparison,Validate assumption profiles and re-run scenario modelling,Do not use for decision until corrected.
ISSUE-COMP-PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20261110,PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20261110,Comparator Consistency,All 3 comparators have identical scenario primary KPI values,High,Package requires assumption review before management comparison,Validate assumption profiles and re-run scenario modelling,Do not use for decision until corrected.
ISSUE-COMP-PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20261229,PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20261229,Comparator Consistency,All 3 comparators have identical scenario primary KPI values,High,Package requires assumption review before management comparison,Validate assumption profiles and re-run scenario modelling,Do not use for decision until corrected.
ISSUE-COMP-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260127,PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260127,Comparator Consistency,All 3 comparators have identical scenario primary KPI values,High,Package requires assumption review before management comparison,Validate assumption profiles and re-run scenario modelling,Do not use for decision until corrected.
ISSUE-COMP-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260131,PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260131,Comparator Consistency,All 3 comparators have identical scenario primary KPI values,High,Package requires assumption review before management comparison,Validate assumption profiles and re-run scenario modelling,Do not use for decision until corrected.
ISSUE-COMP-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260209,PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260209,Comparator Consistency,All 3 comparators have identical scenario primary KPI values,High,Package requires assumption review before management comparison,Validate assumption profiles and re-run scenario modelling,Do not use for decision until corrected.
ISSUE-COMP-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260415,PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260415,Comparator Consistency,All 3 comparators have identical scenario primary KPI values,High,Package requires assumption review before management comparison,Validate assumption profiles and re-run scenario modelling,Do not use for decision until corrected.
ISSUE-COMP-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260429,PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260429,Comparator Consistency,All 3 comparators have identical scenario primary KPI values,High,Package requires assumption review before management comparison,Validate assumption profiles and re-run scenario modelling,Do not use for decision until corrected.
ISSUE-COMP-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260504,PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260504,Comparator Consistency,All 3 comparators have identical scenario primary KPI values,High,Package requires assumption review before management comparison,Validate assumption profiles and re-run scenario modelling,Do not use for decision until corrected.
ISSUE-COMP-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260517,PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260517,Comparator Consistency,All 3 comparators have identical scenario primary KPI values,High,Package requires assumption review before management comparison,Validate assumption profiles and re-run scenario modelling,Do not use for decision until corrected.
ISSUE-COMP-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260521,PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260521,Comparator Consistency,All 3 comparators have identical scenario primary KPI values,High,Package requires assumption review before management comparison,Validate assumption profiles and re-run scenario modelling,Do not use for decision until corrected.
ISSUE-COMP-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260529,PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260529,Comparator Consistency,All 3 comparators have identical scenario primary KPI values,High,Package requires assumption review before management comparison,Validate assumption profiles and re-run scenario modelling,Do not use for decision until corrected.
ISSUE-COMP-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260618,PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260618,Comparator Consistency,All 3 comparators have identical scenario primary KPI values,High,Package requires assumption review before management comparison,Validate assumption profiles and re-run scenario modelling,Do not use for decision until corrected.
ISSUE-COMP-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260726,PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260726,Comparator Consistency,All 3 comparators have identical scenario primary KPI values,High,Package requires assumption review before management comparison,Validate assumption profiles and re-run scenario modelling,Do not use for decision until corrected.
ISSUE-COMP-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260916,PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260916,Comparator Consistency,All 3 comparators have identical scenario primary KPI values,High,Package requires assumption review before management comparison,Validate assumption profiles and re-run scenario modelling,Do not use for decision until corrected.
ISSUE-COMP-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20261026,PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20261026,Comparator Consistency,All 3 comparators have identical scenario primary KPI values,High,Package requires assumption review before management comparison,Validate assumption profiles and re-run scenario modelling,Do not use for decision until corrected.
ISSUE-DATA-01,GLOBAL,Data Completeness,package_readiness file has only 3 rows; expected ~311.,Medium,Package readiness derived from comparator validation instead of explicit readiness engine output.,Investigate why 2C-2E package_readiness engine produced limited output.,Closure used fallback derivation for non-ready packages.
ISSUE-DATA-02,GLOBAL,Data Completeness,validation_register has only 18 rows; expected ~2711.,Medium,Run-level validation statuses default to Not Validated for many runs.,Investigate why 2C-2E validation register engine produced limited output.,Closure used fallback derivation for run closure statuses.
