scenario_run_id,approval_package_id,episode_id,comparator_id,comparator_type,scenario_template_id,baseline_id,primary_kpi_id,assumption_version,assumption_set_id,baseline_source,evidence_id,lineage_id,overall_validation_status,governance_warning,closure_status
SR-BL-8967EE194089397D-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,COMP-HIGH-001,Higher Intensity,SCEN-STAFF-001,BL-8967EE194089397D,kpi_001,,staffing-default,BL-8967EE194089397D,EV-SR-BL-8967EE194089397D-COMP-HIGH-001-BASE-0;EV-SR-BL-8967EE194089397D-COMP-HIGH-001-REC-1;EV-SR-BL-8967EE194089397D-COMP-HIGH-001-RECID-2;EV-SR-BL-8967EE194089397D-COMP-HIGH-001-COMP-3;EV-SR-BL-8967EE194089397D-COMP-HIGH-001-PKG-4;EV-SR-BL-8967EE194089397D-COMP-HIGH-001-EP-5,LIN-EV-SR-BL-8967EE194089397D-COMP-HIGH-001-BASE-0;LIN-EV-SR-BL-8967EE194089397D-COMP-HIGH-001-REC-1;LIN-EV-SR-BL-8967EE194089397D-COMP-HIGH-001-RECID-2;LIN-EV-SR-BL-8967EE194089397D-COMP-HIGH-001-COMP-3;LIN-EV-SR-BL-8967EE194089397D-COMP-HIGH-001-PKG-4;LIN-EV-SR-BL-8967EE194089397D-COMP-HIGH-001-EP-5,Valid with Conditions,Staffing coverage capped at 100.0%.,Closed — Valid with Conditions
SR-BL-39B86971C6CEAA6C-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,-BLOCKED,Baseline,,BL-39B86971C6CEAA6C,kpi_001,,,BL-39B86971C6CEAA6C,,,Valid with Conditions,Scenario family 'Monitoring-Only or Validation Scenario' is not supported for quantitative modelling.,Closed — Unsupported
SR-BL-D6ADC7A9999608EF-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,EP-HOSP-001-DEPT-ADM-kpi_001-20260209,-BLOCKED,Baseline,,BL-D6ADC7A9999608EF,kpi_001,,,BL-D6ADC7A9999608EF,,,Valid with Conditions,Scenario family 'No-Action or Baseline Comparator' is not supported for quantitative modelling.,Closed — Unsupported
SR-BL-DC41AA9F364EC81B-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,EP-HOSP-001-DEPT-ADM-kpi_001-20260209,COMP-BASE-001,Baseline,SCEN-STAFF-001,BL-DC41AA9F364EC81B,kpi_001,,staffing-default,BL-DC41AA9F364EC81B,EV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-BASE-0;EV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-REC-1;EV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-RECID-2;EV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-COMP-3;EV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-PKG-4;EV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-EP-5,LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-BASE-0;LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-REC-1;LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-RECID-2;LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-COMP-3;LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-PKG-4;LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-EP-5,Valid with Conditions,,Closed — Valid with Conditions
SR-BL-DC41AA9F364EC81B-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,EP-HOSP-001-DEPT-ADM-kpi_001-20260209,COMP-CONS-001,Conservative,SCEN-STAFF-001,BL-DC41AA9F364EC81B,kpi_001,,staffing-default,BL-DC41AA9F364EC81B,EV-SR-BL-DC41AA9F364EC81B-COMP-CONS-001-BASE-0;EV-SR-BL-DC41AA9F364EC81B-COMP-CONS-001-REC-1;EV-SR-BL-DC41AA9F364EC81B-COMP-CONS-001-RECID-2;EV-SR-BL-DC41AA9F364EC81B-COMP-CONS-001-COMP-3;EV-SR-BL-DC41AA9F364EC81B-COMP-CONS-001-PKG-4;EV-SR-BL-DC41AA9F364EC81B-COMP-CONS-001-EP-5,LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-CONS-001-BASE-0;LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-CONS-001-REC-1;LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-CONS-001-RECID-2;LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-CONS-001-COMP-3;LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-CONS-001-PKG-4;LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-CONS-001-EP-5,Valid with Conditions,,Closed — Valid with Conditions
SR-BL-DC41AA9F364EC81B-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,EP-HOSP-001-DEPT-ADM-kpi_001-20260209,COMP-EXP-001,Expected,SCEN-STAFF-001,BL-DC41AA9F364EC81B,kpi_001,,staffing-default,BL-DC41AA9F364EC81B,EV-SR-BL-DC41AA9F364EC81B-COMP-EXP-001-BASE-0;EV-SR-BL-DC41AA9F364EC81B-COMP-EXP-001-REC-1;EV-SR-BL-DC41AA9F364EC81B-COMP-EXP-001-RECID-2;EV-SR-BL-DC41AA9F364EC81B-COMP-EXP-001-COMP-3;EV-SR-BL-DC41AA9F364EC81B-COMP-EXP-001-PKG-4;EV-SR-BL-DC41AA9F364EC81B-COMP-EXP-001-EP-5,LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-EXP-001-BASE-0;LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-EXP-001-REC-1;LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-EXP-001-RECID-2;LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-EXP-001-COMP-3;LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-EXP-001-PKG-4;LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-EXP-001-EP-5,Valid with Conditions,Staffing coverage capped at 100.0%.,Closed — Valid with Conditions
SR-BL-DC41AA9F364EC81B-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,EP-HOSP-001-DEPT-ADM-kpi_001-20260209,COMP-HIGH-001,Higher Intensity,SCEN-STAFF-001,BL-DC41AA9F364EC81B,kpi_001,,staffing-default,BL-DC41AA9F364EC81B,EV-SR-BL-DC41AA9F364EC81B-COMP-HIGH-001-BASE-0;EV-SR-BL-DC41AA9F364EC81B-COMP-HIGH-001-REC-1;EV-SR-BL-DC41AA9F364EC81B-COMP-HIGH-001-RECID-2;EV-SR-BL-DC41AA9F364EC81B-COMP-HIGH-001-COMP-3;EV-SR-BL-DC41AA9F364EC81B-COMP-HIGH-001-PKG-4;EV-SR-BL-DC41AA9F364EC81B-COMP-HIGH-001-EP-5,LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-HIGH-001-BASE-0;LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-HIGH-001-REC-1;LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-HIGH-001-RECID-2;LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-HIGH-001-COMP-3;LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-HIGH-001-PKG-4;LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-HIGH-001-EP-5,Valid with Conditions,Staffing coverage capped at 100.0%.,Closed — Valid with Conditions
SR-BL-70133AFA8D93E01B-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,EP-HOSP-001-DEPT-ADM-kpi_001-20260209,-BLOCKED,Baseline,,BL-70133AFA8D93E01B,kpi_001,,,BL-70133AFA8D93E01B,,,Valid with Conditions,Scenario family 'Monitoring-Only or Validation Scenario' is not supported for quantitative modelling.,Closed — Unsupported
SR-BL-BC5DDA2FCB098382-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,EP-HOSP-001-DEPT-ADM-kpi_001-20260328,-BLOCKED,Baseline,,BL-BC5DDA2FCB098382,kpi_001,,,BL-BC5DDA2FCB098382,,,,Scenario family 'No-Action or Baseline Comparator' is not supported for quantitative modelling.,Closed — Unsupported
SR-BL-3048F5335B1741BC-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,EP-HOSP-001-DEPT-ADM-kpi_001-20260328,COMP-BASE-001,Baseline,SCEN-STAFF-001,BL-3048F5335B1741BC,kpi_001,,staffing-default,BL-3048F5335B1741BC,EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-BASE-0;EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-REC-1;EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-REC-2;EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-REC-3;EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-REC-4;EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-REC-5;EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-RECID-6;EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-RECID-7;EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-RECID-8;EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-COMP-9;EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-PKG-10;EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-EP-11,LIN-EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-BASE-0;LIN-EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-REC-1;LIN-EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-REC-2;LIN-EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-REC-3;LIN-EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-REC-4;LIN-EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-REC-5;LIN-EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-RECID-6;LIN-EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-RECID-7;LIN-EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-RECID-8;LIN-EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-COMP-9;LIN-EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-PKG-10;LIN-EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-EP-11,,,Closed — Requires Revision
SR-BL-3048F5335B1741BC-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,EP-HOSP-001-DEPT-ADM-kpi_001-20260328,COMP-CONS-001,Conservative,SCEN-STAFF-001,BL-3048F5335B1741BC,kpi_001,,staffing-default,BL-3048F5335B1741BC,EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-BASE-0;EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-REC-1;EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-REC-2;EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-REC-3;EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-REC-4;EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-REC-5;EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-RECID-6;EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-RECID-7;EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-RECID-8;EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-COMP-9;EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-PKG-10;EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-EP-11,LIN-EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-BASE-0;LIN-EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-REC-1;LIN-EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-REC-2;LIN-EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-REC-3;LIN-EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-REC-4;LIN-EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-REC-5;LIN-EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-RECID-6;LIN-EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-RECID-7;LIN-EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-RECID-8;LIN-EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-COMP-9;LIN-EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-PKG-10;LIN-EV-SR-BL-3048F5335B1741BC-COMP-CONS-001-EP-11,,,Closed — Requires Revision
SR-BL-3048F5335B1741BC-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,EP-HOSP-001-DEPT-ADM-kpi_001-20260328,COMP-EXP-001,Expected,SCEN-STAFF-001,BL-3048F5335B1741BC,kpi_001,,staffing-default,BL-3048F5335B1741BC,EV-SR-BL-3048F5335B1741BC-COMP-EXP-001-BASE-0;EV-SR-BL-3048F5335B1741BC-COMP-EXP-001-REC-1;EV-SR-BL-3048F5335B1741BC-COMP-EXP-001-REC-2;EV-SR-BL-3048F5335B1741BC-COMP-EXP-001-REC-3;EV-SR-BL-3048F5335B1741BC-COMP-EXP-001-REC-4;EV-SR-BL-3048F5335B1741BC-COMP-EXP-001-REC-5;EV-SR-BL-3048F5335B1741BC-COMP-EXP-001-RECID-6;EV-SR-BL-3048F5335B1741BC-COMP-EXP-001-RECID-7;EV-SR-BL-3048F5335B1741BC-COMP-EXP-001-RECID-8;EV-SR-BL-3048F5335B1741BC-COMP-EXP-001-COMP-9;EV-SR-BL-3048F5335B1741BC-COMP-EXP-001-PKG-10;EV-SR-BL-3048F5335B1741BC-COMP-EXP-001-EP-11,LIN-EV-SR-BL-3048F5335B1741BC-COMP-EXP-001-BASE-0;LIN-EV-SR-BL-3048F5335B1741BC-COMP-EXP-001-REC-1;LIN-EV-SR-BL-3048F5335B1741BC-COMP-EXP-001-REC-2;LIN-EV-SR-BL-3048F5335B1741BC-COMP-EXP-001-REC-3;LIN-EV-SR-BL-3048F5335B1741BC-COMP-EXP-001-REC-4;LIN-EV-SR-BL-3048F5335B1741BC-COMP-EXP-001-REC-5;LIN-EV-SR-BL-3048F5335B1741BC-COMP-EXP-001-RECID-6;LIN-EV-SR-BL-3048F5335B1741BC-COMP-EXP-001-RECID-7;LIN-EV-SR-BL-3048F5335B1741BC-COMP-EXP-001-RECID-8;LIN-EV-SR-BL-3048F5335B1741BC-COMP-EXP-001-COMP-9;LIN-EV-SR-BL-3048F5335B1741BC-COMP-EXP-001-PKG-10;LIN-EV-SR-BL-3048F5335B1741BC-COMP-EXP-001-EP-11,,Staffing coverage capped at 100.0%.,Closed — Requires Revision
SR-BL-3048F5335B1741BC-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,EP-HOSP-001-DEPT-ADM-kpi_001-20260328,COMP-HIGH-001,Higher Intensity,SCEN-STAFF-001,BL-3048F5335B1741BC,kpi_001,,staffing-default,BL-3048F5335B1741BC,EV-SR-BL-3048F5335B1741BC-COMP-HIGH-001-BASE-0;EV-SR-BL-3048F5335B1741BC-COMP-HIGH-001-REC-1;EV-SR-BL-3048F5335B1741BC-COMP-HIGH-001-REC-2;EV-SR-BL-3048F5335B1741BC-COMP-HIGH-001-REC-3;EV-SR-BL-3048F5335B1741BC-COMP-HIGH-001-REC-4;EV-SR-BL-3048F5335B1741BC-COMP-HIGH-001-REC-5;EV-SR-BL-3048F5335B1741BC-COMP-HIGH-001-RECID-6;EV-SR-BL-3048F5335B1741BC-COMP-HIGH-001-RECID-7;EV-SR-BL-3048F5335B1741BC-COMP-HIGH-001-RECID-8;EV-SR-BL-3048F5335B1741BC-COMP-HIGH-001-COMP-9;EV-SR-BL-3048F5335B1741BC-COMP-HIGH-001-PKG-10;EV-SR-BL-3048F5335B1741BC-COMP-HIGH-001-EP-11,LIN-EV-SR-BL-3048F5335B1741BC-COMP-HIGH-001-BASE-0;LIN-EV-SR-BL-3048F5335B1741BC-COMP-HIGH-001-REC-1;LIN-EV-SR-BL-3048F5335B1741BC-COMP-HIGH-001-REC-2;LIN-EV-SR-BL-3048F5335B1741BC-COMP-HIGH-001-REC-3;LIN-EV-SR-BL-3048F5335B1741BC-COMP-HIGH-001-REC-4;LIN-EV-SR-BL-3048F5335B1741BC-COMP-HIGH-001-REC-5;LIN-EV-SR-BL-3048F5335B1741BC-COMP-HIGH-001-RECID-6;LIN-EV-SR-BL-3048F5335B1741BC-COMP-HIGH-001-RECID-7;LIN-EV-SR-BL-3048F5335B1741BC-COMP-HIGH-001-RECID-8;LIN-EV-SR-BL-3048F5335B1741BC-COMP-HIGH-001-COMP-9;LIN-EV-SR-BL-3048F5335B1741BC-COMP-HIGH-001-PKG-10;LIN-EV-SR-BL-3048F5335B1741BC-COMP-HIGH-001-EP-11,,Staffing coverage capped at 100.0%.,Closed — Requires Revision
SR-BL-5321F55DF7C730EE-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,EP-HOSP-001-DEPT-ADM-kpi_001-20260328,-BLOCKED,Baseline,,BL-5321F55DF7C730EE,kpi_001,,,BL-5321F55DF7C730EE,,,,Scenario family 'Monitoring-Only or Validation Scenario' is not supported for quantitative modelling.,Closed — Unsupported
