approval_package_id,episode_id,scenario_family,current_readiness,closure_status,reason,missing_requirement,required_next_action,responsible_role,future_reassessment_condition,governance_warning
PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,EP-HOSP-001-DEPT-ADM-kpi_006-20260928,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007,EP-HOSP-001-DEPT-ADM-kpi_006-20261007,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023,EP-HOSP-001-DEPT-ADM-kpi_006-20261023,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027,EP-HOSP-001-DEPT-ADM-kpi_006-20261027,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202,EP-HOSP-001-DEPT-ADM-kpi_006-20261202,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218,EP-HOSP-001-DEPT-ADM-kpi_006-20261218,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260619,EP-HOSP-001-DEPT-DIAG-kpi_001-20260619,No-Action or Baseline Comparator,Requires Assumption Review,Requires Assumption Review,Package classified as Requires Assumption Review during closure.,Requires Assumption Review,Review and correct assumption profiles,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261031,EP-HOSP-001-DEPT-DIAG-kpi_001-20261031,No-Action or Baseline Comparator,Requires Assumption Review,Requires Assumption Review,Package classified as Requires Assumption Review during closure.,Requires Assumption Review,Review and correct assumption profiles,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,Monitoring-Only or Validation Scenario,Non-Quantitative,Non-Quantitative,Package classified as Non-Quantitative during closure.,Non-Quantitative,Review KPI family support status,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260107,EP-HOSP-001-DEPT-DIAG-kpi_005-20260107,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260116,EP-HOSP-001-DEPT-DIAG-kpi_005-20260116,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260123,EP-HOSP-001-DEPT-DIAG-kpi_005-20260123,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260130,EP-HOSP-001-DEPT-DIAG-kpi_005-20260130,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260207,EP-HOSP-001-DEPT-DIAG-kpi_005-20260207,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260213,EP-HOSP-001-DEPT-DIAG-kpi_005-20260213,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260220,EP-HOSP-001-DEPT-DIAG-kpi_005-20260220,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260302,EP-HOSP-001-DEPT-DIAG-kpi_005-20260302,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260317,EP-HOSP-001-DEPT-DIAG-kpi_005-20260317,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260324,EP-HOSP-001-DEPT-DIAG-kpi_005-20260324,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260410,EP-HOSP-001-DEPT-DIAG-kpi_005-20260410,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260420,EP-HOSP-001-DEPT-DIAG-kpi_005-20260420,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260506,EP-HOSP-001-DEPT-DIAG-kpi_005-20260506,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260528,EP-HOSP-001-DEPT-DIAG-kpi_005-20260528,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260629,EP-HOSP-001-DEPT-DIAG-kpi_005-20260629,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260817,EP-HOSP-001-DEPT-DIAG-kpi_005-20260817,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260830,EP-HOSP-001-DEPT-DIAG-kpi_005-20260830,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260904,EP-HOSP-001-DEPT-DIAG-kpi_005-20260904,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260911,EP-HOSP-001-DEPT-DIAG-kpi_005-20260911,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260923,EP-HOSP-001-DEPT-DIAG-kpi_005-20260923,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261003,EP-HOSP-001-DEPT-DIAG-kpi_005-20261003,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261009,EP-HOSP-001-DEPT-DIAG-kpi_005-20261009,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261014,EP-HOSP-001-DEPT-DIAG-kpi_005-20261014,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261026,EP-HOSP-001-DEPT-DIAG-kpi_005-20261026,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261102,EP-HOSP-001-DEPT-DIAG-kpi_005-20261102,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261119,EP-HOSP-001-DEPT-DIAG-kpi_005-20261119,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261125,EP-HOSP-001-DEPT-DIAG-kpi_005-20261125,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261205,EP-HOSP-001-DEPT-DIAG-kpi_005-20261205,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261209,EP-HOSP-001-DEPT-DIAG-kpi_005-20261209,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261219,EP-HOSP-001-DEPT-DIAG-kpi_005-20261219,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260126,EP-HOSP-001-DEPT-DIAG-kpi_006-20260126,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260218,EP-HOSP-001-DEPT-DIAG-kpi_006-20260218,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260224,EP-HOSP-001-DEPT-DIAG-kpi_006-20260224,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260319,EP-HOSP-001-DEPT-DIAG-kpi_006-20260319,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260331,EP-HOSP-001-DEPT-DIAG-kpi_006-20260331,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260416,EP-HOSP-001-DEPT-DIAG-kpi_006-20260416,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260425,EP-HOSP-001-DEPT-DIAG-kpi_006-20260425,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260504,EP-HOSP-001-DEPT-DIAG-kpi_006-20260504,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260523,EP-HOSP-001-DEPT-DIAG-kpi_006-20260523,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260611,EP-HOSP-001-DEPT-DIAG-kpi_006-20260611,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260702,EP-HOSP-001-DEPT-DIAG-kpi_006-20260702,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260728,EP-HOSP-001-DEPT-DIAG-kpi_006-20260728,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260813,EP-HOSP-001-DEPT-DIAG-kpi_006-20260813,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260828,EP-HOSP-001-DEPT-DIAG-kpi_006-20260828,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260902,EP-HOSP-001-DEPT-DIAG-kpi_006-20260902,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260920,EP-HOSP-001-DEPT-DIAG-kpi_006-20260920,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260925,EP-HOSP-001-DEPT-DIAG-kpi_006-20260925,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261007,EP-HOSP-001-DEPT-DIAG-kpi_006-20261007,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261025,EP-HOSP-001-DEPT-DIAG-kpi_006-20261025,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261114,EP-HOSP-001-DEPT-DIAG-kpi_006-20261114,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261206,EP-HOSP-001-DEPT-DIAG-kpi_006-20261206,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
