management_scenario_package_id,approval_package_id,episode_id,hospital_id,department_id,department_name,scenario_family,dominant_kpi_id,dominant_kpi_name,observed_problem,risk_score,priority_tier,urgency,representative_recommendation,contradiction_severity,provisional_warning,baseline_summary,conservative_summary,expected_summary,higher_intensity_summary,comparator_completeness,comparator_consistency,primary_kpi_effects,supporting_kpi_effects,tradeoff_summary,displacement_summary,sensitivity_summary,dominance_summary,baseline_validity,assumption_plausibility,numerical_validity,final_scenario_confidence,scenario_validation_status,validation_scorecard_band,package_readiness,management_questions,required_confirmation,monitoring_requirements,scenario_limitations,management_action_required,financial_review_required,financial_input_requirements,approval_status
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,EP-HOSP-001-DEPT-ADM-kpi_001-20260726,HOSP-001,DEPT-ADM,Admissions,No-Action or Baseline Comparator,kpi_001,Kpi 001,,,,,,No Contradiction,False,Baseline value: 72.22222222222221,Estimated impact: 11.111111111111128%,Estimated impact: 27.777777777777786%,Estimated impact: 27.777777777777786%,4/4 present,Consistent,No Change; Increase,,No trade-offs,Displacement risk flagged,,,Valid,Assumed valid,Valid,Insufficient Evidence,Valid with Conditions,Acceptable with Conditions,Ready with Conditions,Are assumptions realistic? Is baseline data complete?,Management review required before any decision.,Monitor KPI trends during any trial.,Analytical scenario only. Not confirmed. No financial impact calculated.,Compare Scenarios;Send to Financial Review,Yes,Cost inputs required for financial-impact analysis.,Pending Management Review
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,EP-HOSP-001-DEPT-ADM-kpi_001-20260822,HOSP-001,DEPT-ADM,Admissions,No-Action or Baseline Comparator,kpi_001,Kpi 001,,,,,,No Contradiction,False,Baseline value: 73.91304347826086,Estimated impact: 8.695652173913047%,Estimated impact: 21.739130434782624%,Estimated impact: 26.08695652173914%,4/4 present,Consistent,No Change; Increase,,No trade-offs,Displacement risk flagged,,,Valid,Assumed valid,Valid,Insufficient Evidence,Valid with Conditions,Acceptable with Conditions,Ready with Conditions,Are assumptions realistic? Is baseline data complete?,Management review required before any decision.,Monitor KPI trends during any trial.,Analytical scenario only. Not confirmed. No financial impact calculated.,Compare Scenarios;Send to Financial Review,Yes,Cost inputs required for financial-impact analysis.,Pending Management Review
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,EP-HOSP-001-DEPT-ADM-kpi_001-20261012,HOSP-001,DEPT-ADM,Admissions,No-Action or Baseline Comparator,kpi_001,Kpi 001,,,,,,No Contradiction,False,Baseline value: 80.95238095238095,Estimated impact: 9.523809523809533%,Estimated impact: 19.04761904761905%,Estimated impact: 19.04761904761905%,4/4 present,Consistent,No Change; Increase,,No trade-offs,Displacement risk flagged,,,Valid,Assumed valid,Valid,Insufficient Evidence,Valid with Conditions,Acceptable with Conditions,Ready with Conditions,Are assumptions realistic? Is baseline data complete?,Management review required before any decision.,Monitor KPI trends during any trial.,Analytical scenario only. Not confirmed. No financial impact calculated.,Compare Scenarios;Send to Financial Review,Yes,Cost inputs required for financial-impact analysis.,Pending Management Review
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,EP-HOSP-001-DEPT-ADM-kpi_001-20261021,HOSP-001,DEPT-ADM,Admissions,No-Action or Baseline Comparator,kpi_001,Kpi 001,,,,,,No Contradiction,False,Baseline value: 75.0,Estimated impact: 12.5%,Estimated impact: 25.0%,Estimated impact: 25.0%,4/4 present,Consistent,No Change; Increase,,No trade-offs,Displacement risk flagged,,,Valid,Assumed valid,Valid,Insufficient Evidence,Valid with Conditions,Acceptable with Conditions,Ready with Conditions,Are assumptions realistic? Is baseline data complete?,Management review required before any decision.,Monitor KPI trends during any trial.,Analytical scenario only. Not confirmed. No financial impact calculated.,Compare Scenarios;Send to Financial Review,Yes,Cost inputs required for financial-impact analysis.,Pending Management Review
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,EP-HOSP-001-DEPT-ADM-kpi_001-20261127,HOSP-001,DEPT-ADM,Admissions,No-Action or Baseline Comparator,kpi_001,Kpi 001,,,,,,No Contradiction,False,Baseline value: 83.89154704944178,Estimated impact: 9.759246601351862%,Estimated impact: 16.108452950558217%,Estimated impact: 16.108452950558217%,4/4 present,Consistent,Increase,,No trade-offs,Displacement risk flagged,,,Valid,Assumed valid,Valid,Insufficient Evidence,Valid with Conditions,Acceptable with Conditions,Ready with Conditions,Are assumptions realistic? Is baseline data complete?,Management review required before any decision.,Monitor KPI trends during any trial.,Analytical scenario only. Not confirmed. No financial impact calculated.,Compare Scenarios;Send to Financial Review,Yes,Cost inputs required for financial-impact analysis.,Pending Management Review
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,EP-HOSP-001-DEPT-ADM-kpi_001-20261205,HOSP-001,DEPT-ADM,Admissions,No-Action or Baseline Comparator,kpi_001,Kpi 001,,,,,,No Contradiction,False,Baseline value: 79.94987468671678,Estimated impact: 10.050125313283218%,Estimated impact: 20.050125313283218%,Estimated impact: 20.050125313283218%,4/4 present,Consistent,Increase,,No trade-offs,Displacement risk flagged,,,Valid,Assumed valid,Valid,Insufficient Evidence,Valid with Conditions,Acceptable with Conditions,Ready with Conditions,Are assumptions realistic? Is baseline data complete?,Management review required before any decision.,Monitor KPI trends during any trial.,Analytical scenario only. Not confirmed. No financial impact calculated.,Compare Scenarios;Send to Financial Review,Yes,Cost inputs required for financial-impact analysis.,Pending Management Review
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,EP-HOSP-001-DEPT-ADM-kpi_001-20261220,HOSP-001,DEPT-ADM,Admissions,No-Action or Baseline Comparator,kpi_001,Kpi 001,,,,,,No Contradiction,False,Baseline value: 79.28229665071771,Estimated impact: 9.8266142403714%,Estimated impact: 20.71770334928229%,Estimated impact: 20.71770334928229%,4/4 present,Consistent,Decrease; Increase,,No trade-offs,Displacement risk flagged,,,Valid,Assumed valid,Valid,Insufficient Evidence,Valid with Conditions,Acceptable with Conditions,Ready with Conditions,Are assumptions realistic? Is baseline data complete?,Management review required before any decision.,Monitor KPI trends during any trial.,Analytical scenario only. Not confirmed. No financial impact calculated.,Compare Scenarios;Send to Financial Review,Yes,Cost inputs required for financial-impact analysis.,Pending Management Review
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,EP-HOSP-001-DEPT-ADM-kpi_002-20260202,HOSP-001,DEPT-ADM,Admissions,No-Action or Baseline Comparator,kpi_002,Kpi 002,,,,,,No Contradiction,False,Baseline value: 23.809523809523807,Estimated impact: -9.999999999999996%,Estimated impact: -19.99999999999999%,Estimated impact: -35.0%,4/4 present,Consistent,No Change; Decrease,,No trade-offs,Displacement risk flagged,,,Valid,Assumed valid,Valid,Insufficient Evidence,Valid with Conditions,Acceptable with Conditions,Ready with Conditions,Are assumptions realistic? Is baseline data complete?,Management review required before any decision.,Monitor KPI trends during any trial.,Analytical scenario only. Not confirmed. No financial impact calculated.,Compare Scenarios;Send to Financial Review,Yes,Cost inputs required for financial-impact analysis.,Pending Management Review
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,EP-HOSP-001-DEPT-ADM-kpi_002-20260206,HOSP-001,DEPT-ADM,Admissions,No-Action or Baseline Comparator,kpi_002,Kpi 002,,,,,,No Contradiction,False,Baseline value: 27.27272727272727,Estimated impact: -10.0%,Estimated impact: -20.0%,Estimated impact: -35.0%,4/4 present,Consistent,No Change; Decrease,,No trade-offs,Displacement risk flagged,,,Valid,Assumed valid,Valid,Insufficient Evidence,Valid with Conditions,Acceptable with Conditions,Ready with Conditions,Are assumptions realistic? Is baseline data complete?,Management review required before any decision.,Monitor KPI trends during any trial.,Analytical scenario only. Not confirmed. No financial impact calculated.,Compare Scenarios;Send to Financial Review,Yes,Cost inputs required for financial-impact analysis.,Pending Management Review
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,EP-HOSP-001-DEPT-ADM-kpi_002-20260330,HOSP-001,DEPT-ADM,Admissions,No-Action or Baseline Comparator,kpi_002,Kpi 002,,,,,,No Contradiction,False,Baseline value: 23.52941176470588,Estimated impact: -9.999999999999996%,Estimated impact: -19.99999999999999%,Estimated impact: -35.0%,4/4 present,Consistent,No Change; Decrease,,No trade-offs,Displacement risk flagged,,,Valid,Assumed valid,Valid,Insufficient Evidence,Valid with Conditions,Acceptable with Conditions,Ready with Conditions,Are assumptions realistic? Is baseline data complete?,Management review required before any decision.,Monitor KPI trends during any trial.,Analytical scenario only. Not confirmed. No financial impact calculated.,Compare Scenarios;Send to Financial Review,Yes,Cost inputs required for financial-impact analysis.,Pending Management Review
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,EP-HOSP-001-DEPT-ADM-kpi_002-20260409,HOSP-001,DEPT-ADM,Admissions,No-Action or Baseline Comparator,kpi_002,Kpi 002,,,,,,No Contradiction,False,Baseline value: 18.14194577352472,Estimated impact: -9.999999999999991%,Estimated impact: -19.999999999999996%,Estimated impact: -35.0%,4/4 present,Consistent,No Change; Decrease,,No trade-offs,Displacement risk flagged,,,Valid,Assumed valid,Valid,Insufficient Evidence,Valid with Conditions,Acceptable with Conditions,Ready with Conditions,Are assumptions realistic? Is baseline data complete?,Management review required before any decision.,Monitor KPI trends during any trial.,Analytical scenario only. Not confirmed. No financial impact calculated.,Compare Scenarios;Send to Financial Review,Yes,Cost inputs required for financial-impact analysis.,Pending Management Review
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,EP-HOSP-001-DEPT-ADM-kpi_002-20260524,HOSP-001,DEPT-ADM,Admissions,No-Action or Baseline Comparator,kpi_002,Kpi 002,,,,,,No Contradiction,False,Baseline value: 17.857142857142854,Estimated impact: -9.999999999999996%,Estimated impact: -19.999999999999996%,Estimated impact: -35.0%,4/4 present,Consistent,No Change; Decrease,,No trade-offs,Displacement risk flagged,,,Valid,Assumed valid,Valid,Insufficient Evidence,Valid with Conditions,Acceptable with Conditions,Ready with Conditions,Are assumptions realistic? Is baseline data complete?,Management review required before any decision.,Monitor KPI trends during any trial.,Analytical scenario only. Not confirmed. No financial impact calculated.,Compare Scenarios;Send to Financial Review,Yes,Cost inputs required for financial-impact analysis.,Pending Management Review
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,EP-HOSP-001-DEPT-ADM-kpi_002-20260529,HOSP-001,DEPT-ADM,Admissions,No-Action or Baseline Comparator,kpi_002,Kpi 002,,,,,,No Contradiction,False,Baseline value: 15.789473684210526,Estimated impact: -10.000000000000004%,Estimated impact: -20.0%,Estimated impact: -34.99999999999999%,4/4 present,Consistent,No Change; Decrease,,No trade-offs,Displacement risk flagged,,,Valid,Assumed valid,Valid,Insufficient Evidence,Valid with Conditions,Acceptable with Conditions,Ready with Conditions,Are assumptions realistic? Is baseline data complete?,Management review required before any decision.,Monitor KPI trends during any trial.,Analytical scenario only. Not confirmed. No financial impact calculated.,Compare Scenarios;Send to Financial Review,Yes,Cost inputs required for financial-impact analysis.,Pending Management Review
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,EP-HOSP-001-DEPT-ADM-kpi_002-20260611,HOSP-001,DEPT-ADM,Admissions,No-Action or Baseline Comparator,kpi_002,Kpi 002,,,,,,No Contradiction,False,Baseline value: 23.809523809523807,Estimated impact: -9.999999999999996%,Estimated impact: -19.99999999999999%,Estimated impact: -35.0%,4/4 present,Consistent,No Change; Decrease,,No trade-offs,Displacement risk flagged,,,Valid,Assumed valid,Valid,Insufficient Evidence,Valid with Conditions,Acceptable with Conditions,Ready with Conditions,Are assumptions realistic? Is baseline data complete?,Management review required before any decision.,Monitor KPI trends during any trial.,Analytical scenario only. Not confirmed. No financial impact calculated.,Compare Scenarios;Send to Financial Review,Yes,Cost inputs required for financial-impact analysis.,Pending Management Review
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,EP-HOSP-001-DEPT-ADM-kpi_002-20260620,HOSP-001,DEPT-ADM,Admissions,No-Action or Baseline Comparator,kpi_002,Kpi 002,,,,,,No Contradiction,False,Baseline value: 21.052631578947366,Estimated impact: -9.999999999999998%,Estimated impact: -20.0%,Estimated impact: -34.99999999999999%,4/4 present,Consistent,No Change; Decrease,,No trade-offs,Displacement risk flagged,,,Valid,Assumed valid,Valid,Insufficient Evidence,Valid with Conditions,Acceptable with Conditions,Ready with Conditions,Are assumptions realistic? Is baseline data complete?,Management review required before any decision.,Monitor KPI trends during any trial.,Analytical scenario only. Not confirmed. No financial impact calculated.,Compare Scenarios;Send to Financial Review,Yes,Cost inputs required for financial-impact analysis.,Pending Management Review
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,EP-HOSP-001-DEPT-ADM-kpi_002-20260624,HOSP-001,DEPT-ADM,Admissions,No-Action or Baseline Comparator,kpi_002,Kpi 002,,,,,,No Contradiction,False,Baseline value: 24.0,Estimated impact: -9.999999999999991%,Estimated impact: -19.999999999999982%,Estimated impact: -34.99999999999999%,4/4 present,Consistent,No Change; Decrease,,No trade-offs,Displacement risk flagged,,,Valid,Assumed valid,Valid,Insufficient Evidence,Valid with Conditions,Acceptable with Conditions,Ready with Conditions,Are assumptions realistic? Is baseline data complete?,Management review required before any decision.,Monitor KPI trends during any trial.,Analytical scenario only. Not confirmed. No financial impact calculated.,Compare Scenarios;Send to Financial Review,Yes,Cost inputs required for financial-impact analysis.,Pending Management Review
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,EP-HOSP-001-DEPT-ADM-kpi_002-20260710,HOSP-001,DEPT-ADM,Admissions,No-Action or Baseline Comparator,kpi_002,Kpi 002,,,,,,No Contradiction,False,Baseline value: 19.047619047619047,Estimated impact: -10.000000000000002%,Estimated impact: -20.0%,Estimated impact: -35.0%,4/4 present,Consistent,No Change; Decrease,,No trade-offs,Displacement risk flagged,,,Valid,Assumed valid,Valid,Insufficient Evidence,Valid with Conditions,Acceptable with Conditions,Ready with Conditions,Are assumptions realistic? Is baseline data complete?,Management review required before any decision.,Monitor KPI trends during any trial.,Analytical scenario only. Not confirmed. No financial impact calculated.,Compare Scenarios;Send to Financial Review,Yes,Cost inputs required for financial-impact analysis.,Pending Management Review
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,EP-HOSP-001-DEPT-ADM-kpi_002-20260716,HOSP-001,DEPT-ADM,Admissions,No-Action or Baseline Comparator,kpi_002,Kpi 002,,,,,,No Contradiction,False,Baseline value: 23.52941176470588,Estimated impact: -9.999999999999996%,Estimated impact: -19.99999999999999%,Estimated impact: -35.0%,4/4 present,Consistent,No Change; Decrease,,No trade-offs,Displacement risk flagged,,,Valid,Assumed valid,Valid,Insufficient Evidence,Valid with Conditions,Acceptable with Conditions,Ready with Conditions,Are assumptions realistic? Is baseline data complete?,Management review required before any decision.,Monitor KPI trends during any trial.,Analytical scenario only. Not confirmed. No financial impact calculated.,Compare Scenarios;Send to Financial Review,Yes,Cost inputs required for financial-impact analysis.,Pending Management Review
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,EP-HOSP-001-DEPT-ADM-kpi_002-20260814,HOSP-001,DEPT-ADM,Admissions,No-Action or Baseline Comparator,kpi_002,Kpi 002,,,,,,No Contradiction,False,Baseline value: 21.052631578947366,Estimated impact: -9.999999999999998%,Estimated impact: -20.0%,Estimated impact: -34.99999999999999%,4/4 present,Consistent,No Change; Decrease,,No trade-offs,Displacement risk flagged,,,Valid,Assumed valid,Valid,Insufficient Evidence,Valid with Conditions,Acceptable with Conditions,Ready with Conditions,Are assumptions realistic? Is baseline data complete?,Management review required before any decision.,Monitor KPI trends during any trial.,Analytical scenario only. Not confirmed. No financial impact calculated.,Compare Scenarios;Send to Financial Review,Yes,Cost inputs required for financial-impact analysis.,Pending Management Review
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,EP-HOSP-001-DEPT-ADM-kpi_002-20260925,HOSP-001,DEPT-ADM,Admissions,No-Action or Baseline Comparator,kpi_002,Kpi 002,,,,,,No Contradiction,False,Baseline value: 20.0,Estimated impact: -10.0%,Estimated impact: -20.0%,Estimated impact: -35.0%,4/4 present,Consistent,No Change; Decrease,,No trade-offs,Displacement risk flagged,,,Valid,Assumed valid,Valid,Insufficient Evidence,Valid with Conditions,Acceptable with Conditions,Ready with Conditions,Are assumptions realistic? Is baseline data complete?,Management review required before any decision.,Monitor KPI trends during any trial.,Analytical scenario only. Not confirmed. No financial impact calculated.,Compare Scenarios;Send to Financial Review,Yes,Cost inputs required for financial-impact analysis.,Pending Management Review
