issue_id,severity,issue_type,kpi_id,hospital_id,department_id,reporting_date,message,source_dataset,source_record_id,calculation_run_id
ISS-kpi_005-EA7B787E,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-01-10,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260110,PEX-KPI-DCF120177644
ISS-kpi_005-3E33EC9C,Warning,INSUFFICIENT_DATA,kpi_005,HOSP-001,DEPT-ADM,2026-01-11,Insufficient data for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260111,PEX-KPI-DCF120177644
ISS-kpi_006-6752705C,Warning,INSUFFICIENT_DATA,kpi_006,HOSP-001,DEPT-ADM,2026-01-11,Insufficient data for kpi_006,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260111,PEX-KPI-DCF120177644
ISS-kpi_005-FF77DC6D,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-01-12,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260112,PEX-KPI-DCF120177644
ISS-kpi_005-177BF65E,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-01-13,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260113,PEX-KPI-DCF120177644
ISS-kpi_005-4F0C5FBC,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-01-14,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260114,PEX-KPI-DCF120177644
ISS-kpi_005-2AF96370,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-01-15,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260115,PEX-KPI-DCF120177644
ISS-kpi_005-DB7FAE46,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-01-16,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260116,PEX-KPI-DCF120177644
ISS-kpi_005-4857CD3D,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-01-17,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260117,PEX-KPI-DCF120177644
ISS-kpi_005-993D44B0,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-01-18,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260118,PEX-KPI-DCF120177644
ISS-kpi_006-6ECCA76E,Warning,ZERO_DENOMINATOR,kpi_006,HOSP-001,DEPT-ADM,2026-01-18,Zero denominator for kpi_006,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260118,PEX-KPI-DCF120177644
ISS-kpi_005-7F35D324,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-01-19,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260119,PEX-KPI-DCF120177644
ISS-kpi_006-2012CE56,Warning,ZERO_DENOMINATOR,kpi_006,HOSP-001,DEPT-ADM,2026-01-19,Zero denominator for kpi_006,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260119,PEX-KPI-DCF120177644
ISS-kpi_005-ED79774C,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-01-20,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260120,PEX-KPI-DCF120177644
ISS-kpi_005-0DB61E5A,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-01-21,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260121,PEX-KPI-DCF120177644
ISS-kpi_005-FD98A9F8,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-01-22,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260122,PEX-KPI-DCF120177644
ISS-kpi_005-AB733E04,Warning,INSUFFICIENT_DATA,kpi_005,HOSP-001,DEPT-ADM,2026-01-23,Insufficient data for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260123,PEX-KPI-DCF120177644
ISS-kpi_006-294A44BA,Warning,INSUFFICIENT_DATA,kpi_006,HOSP-001,DEPT-ADM,2026-01-23,Insufficient data for kpi_006,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260123,PEX-KPI-DCF120177644
ISS-kpi_005-2CF82F4B,Warning,INSUFFICIENT_DATA,kpi_005,HOSP-001,DEPT-ADM,2026-01-24,Insufficient data for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260124,PEX-KPI-DCF120177644
ISS-kpi_006-FBE44C0A,Warning,INSUFFICIENT_DATA,kpi_006,HOSP-001,DEPT-ADM,2026-01-24,Insufficient data for kpi_006,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260124,PEX-KPI-DCF120177644
ISS-kpi_005-1CAD88D4,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-01-25,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260125,PEX-KPI-DCF120177644
ISS-kpi_005-3F12E3B7,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-01-26,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260126,PEX-KPI-DCF120177644
ISS-kpi_005-4B609979,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-01-27,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260127,PEX-KPI-DCF120177644
ISS-kpi_005-7723EDB9,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-01-28,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260128,PEX-KPI-DCF120177644
ISS-kpi_006-A57F5E4A,Warning,ZERO_DENOMINATOR,kpi_006,HOSP-001,DEPT-ADM,2026-01-28,Zero denominator for kpi_006,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260128,PEX-KPI-DCF120177644
ISS-kpi_005-12DF5908,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-01-29,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260129,PEX-KPI-DCF120177644
ISS-kpi_005-A13E3D85,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-01-30,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260130,PEX-KPI-DCF120177644
ISS-kpi_005-7BF0C5A4,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-01-31,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260131,PEX-KPI-DCF120177644
ISS-kpi_005-0B36C43E,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-01,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260201,PEX-KPI-DCF120177644
ISS-kpi_005-D4B1CD95,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-02,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260202,PEX-KPI-DCF120177644
ISS-kpi_005-CAF213B9,Warning,INSUFFICIENT_DATA,kpi_005,HOSP-001,DEPT-ADM,2026-02-03,Insufficient data for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260203,PEX-KPI-DCF120177644
ISS-kpi_006-34AB985A,Warning,INSUFFICIENT_DATA,kpi_006,HOSP-001,DEPT-ADM,2026-02-03,Insufficient data for kpi_006,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260203,PEX-KPI-DCF120177644
ISS-kpi_005-EE811D09,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-04,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260204,PEX-KPI-DCF120177644
ISS-kpi_005-14E762AE,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-05,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260205,PEX-KPI-DCF120177644
ISS-kpi_005-C609E13E,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-06,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260206,PEX-KPI-DCF120177644
ISS-kpi_005-B6201B33,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-07,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260207,PEX-KPI-DCF120177644
ISS-kpi_005-D15782BB,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-08,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260208,PEX-KPI-DCF120177644
ISS-kpi_005-9B4DEDCB,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-09,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260209,PEX-KPI-DCF120177644
ISS-kpi_005-27A00722,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-10,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260210,PEX-KPI-DCF120177644
ISS-kpi_005-5464EE00,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-11,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260211,PEX-KPI-DCF120177644
ISS-kpi_005-09E6A70D,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-12,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260212,PEX-KPI-DCF120177644
ISS-kpi_005-38661CE1,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-13,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260213,PEX-KPI-DCF120177644
ISS-kpi_005-B8817948,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-14,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260214,PEX-KPI-DCF120177644
ISS-kpi_005-C329591F,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-15,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260215,PEX-KPI-DCF120177644
ISS-kpi_005-7C3AE084,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-16,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260216,PEX-KPI-DCF120177644
ISS-kpi_005-61CE1D21,Warning,INSUFFICIENT_DATA,kpi_005,HOSP-001,DEPT-ADM,2026-02-17,Insufficient data for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260217,PEX-KPI-DCF120177644
ISS-kpi_006-324DC62E,Warning,INSUFFICIENT_DATA,kpi_006,HOSP-001,DEPT-ADM,2026-02-17,Insufficient data for kpi_006,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260217,PEX-KPI-DCF120177644
ISS-kpi_005-CC781B54,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-18,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260218,PEX-KPI-DCF120177644
ISS-kpi_005-42BBD1A9,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-19,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260219,PEX-KPI-DCF120177644
ISS-kpi_005-AD8B3DAF,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-20,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260220,PEX-KPI-DCF120177644
ISS-kpi_005-3D26C383,Warning,INSUFFICIENT_DATA,kpi_005,HOSP-001,DEPT-ADM,2026-02-21,Insufficient data for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260221,PEX-KPI-DCF120177644
ISS-kpi_006-3B4093C9,Warning,INSUFFICIENT_DATA,kpi_006,HOSP-001,DEPT-ADM,2026-02-21,Insufficient data for kpi_006,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260221,PEX-KPI-DCF120177644
ISS-kpi_005-5C58BBD1,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-22,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260222,PEX-KPI-DCF120177644
ISS-kpi_005-4579A60F,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-23,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260223,PEX-KPI-DCF120177644
ISS-kpi_005-E748F661,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-24,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260224,PEX-KPI-DCF120177644
ISS-kpi_005-6D9AC290,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-25,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260225,PEX-KPI-DCF120177644
ISS-kpi_005-71C2E795,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-26,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260226,PEX-KPI-DCF120177644
ISS-kpi_006-C9924331,Warning,ZERO_DENOMINATOR,kpi_006,HOSP-001,DEPT-ADM,2026-02-26,Zero denominator for kpi_006,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260226,PEX-KPI-DCF120177644
ISS-kpi_005-91BC10D0,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-27,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260227,PEX-KPI-DCF120177644
ISS-kpi_005-8AFDBB9B,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-02-28,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260228,PEX-KPI-DCF120177644
ISS-kpi_005-161A174C,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-03-01,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260301,PEX-KPI-DCF120177644
ISS-kpi_005-76B8021D,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-03-02,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260302,PEX-KPI-DCF120177644
ISS-kpi_005-BF28F352,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-03-03,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260303,PEX-KPI-DCF120177644
ISS-kpi_005-66194AC3,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-03-04,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260304,PEX-KPI-DCF120177644
ISS-kpi_005-506321E9,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-03-05,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260305,PEX-KPI-DCF120177644
ISS-kpi_005-E62F6F93,Warning,INSUFFICIENT_DATA,kpi_005,HOSP-001,DEPT-ADM,2026-03-06,Insufficient data for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260306,PEX-KPI-DCF120177644
ISS-kpi_006-1BF22404,Warning,INSUFFICIENT_DATA,kpi_006,HOSP-001,DEPT-ADM,2026-03-06,Insufficient data for kpi_006,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260306,PEX-KPI-DCF120177644
ISS-kpi_005-DC18D219,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-03-07,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260307,PEX-KPI-DCF120177644
ISS-kpi_005-89A2039A,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-03-08,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260308,PEX-KPI-DCF120177644
ISS-kpi_006-9F925BAE,Warning,ZERO_DENOMINATOR,kpi_006,HOSP-001,DEPT-ADM,2026-03-08,Zero denominator for kpi_006,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260308,PEX-KPI-DCF120177644
ISS-kpi_005-90B4FABB,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-03-09,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260309,PEX-KPI-DCF120177644
ISS-kpi_005-74B74E22,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-03-10,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260310,PEX-KPI-DCF120177644
ISS-kpi_005-00B9BA59,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-03-11,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260311,PEX-KPI-DCF120177644
ISS-kpi_005-CA7015AA,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-03-12,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260312,PEX-KPI-DCF120177644
ISS-kpi_005-42F9BECE,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-03-13,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260313,PEX-KPI-DCF120177644
ISS-kpi_005-ABBA4BBD,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-03-14,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260314,PEX-KPI-DCF120177644
ISS-kpi_005-D267E916,Warning,INSUFFICIENT_DATA,kpi_005,HOSP-001,DEPT-ADM,2026-03-15,Insufficient data for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260315,PEX-KPI-DCF120177644
ISS-kpi_006-A035347C,Warning,INSUFFICIENT_DATA,kpi_006,HOSP-001,DEPT-ADM,2026-03-15,Insufficient data for kpi_006,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260315,PEX-KPI-DCF120177644
ISS-kpi_005-28C8EA85,Warning,INSUFFICIENT_DATA,kpi_005,HOSP-001,DEPT-ADM,2026-03-16,Insufficient data for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260316,PEX-KPI-DCF120177644
ISS-kpi_006-F3A5F777,Warning,INSUFFICIENT_DATA,kpi_006,HOSP-001,DEPT-ADM,2026-03-16,Insufficient data for kpi_006,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260316,PEX-KPI-DCF120177644
ISS-kpi_005-8EEE9BA4,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-03-17,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260317,PEX-KPI-DCF120177644
ISS-kpi_005-EB33FF2B,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-03-18,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260318,PEX-KPI-DCF120177644
ISS-kpi_005-37885DE8,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-03-19,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260319,PEX-KPI-DCF120177644
ISS-kpi_005-37F8542F,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-03-20,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260320,PEX-KPI-DCF120177644
ISS-kpi_005-50978434,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-03-21,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260321,PEX-KPI-DCF120177644
ISS-kpi_005-5214F741,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-03-22,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260322,PEX-KPI-DCF120177644
ISS-kpi_006-E0EE17CD,Warning,ZERO_DENOMINATOR,kpi_006,HOSP-001,DEPT-ADM,2026-03-22,Zero denominator for kpi_006,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260322,PEX-KPI-DCF120177644
ISS-kpi_005-4919C209,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-03-23,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260323,PEX-KPI-DCF120177644
ISS-kpi_005-AE8C0A02,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-03-24,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260324,PEX-KPI-DCF120177644
ISS-kpi_005-74D61979,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-03-25,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260325,PEX-KPI-DCF120177644
ISS-kpi_005-35A26683,Warning,INSUFFICIENT_DATA,kpi_005,HOSP-001,DEPT-ADM,2026-03-26,Insufficient data for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260326,PEX-KPI-DCF120177644
ISS-kpi_006-0AD752D4,Warning,INSUFFICIENT_DATA,kpi_006,HOSP-001,DEPT-ADM,2026-03-26,Insufficient data for kpi_006,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260326,PEX-KPI-DCF120177644
ISS-kpi_005-18D7D51A,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-03-27,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260327,PEX-KPI-DCF120177644
ISS-kpi_005-0E11CA99,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-03-28,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260328,PEX-KPI-DCF120177644
ISS-kpi_005-02B24F56,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-03-29,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260329,PEX-KPI-DCF120177644
ISS-kpi_005-AF0A0D04,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-03-30,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260330,PEX-KPI-DCF120177644
ISS-kpi_005-32430683,Warning,INSUFFICIENT_DATA,kpi_005,HOSP-001,DEPT-ADM,2026-03-31,Insufficient data for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260331,PEX-KPI-DCF120177644
ISS-kpi_006-121D134C,Warning,INSUFFICIENT_DATA,kpi_006,HOSP-001,DEPT-ADM,2026-03-31,Insufficient data for kpi_006,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260331,PEX-KPI-DCF120177644
