integration_record_id,kpi_id,kpi_value,calculation_status,threshold_status,data_confidence_level,inconsistencies
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260116,kpi_001,80.0,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260116,kpi_002,13.333333333333334,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260117,kpi_001,100.0,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260117,kpi_002,0.0,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260118,kpi_001,100.0,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260118,kpi_002,5.0,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260119,kpi_001,94.44444444444444,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260119,kpi_002,5.555555555555555,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260120,kpi_001,90.0,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260120,kpi_002,15.0,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260121,kpi_001,82.35294117647058,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260121,kpi_002,5.88235294117647,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260122,kpi_001,100.0,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260122,kpi_002,0.0,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260123,kpi_001,96.15384615384616,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260123,kpi_002,0.0,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260124,kpi_001,100.0,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260124,kpi_002,0.0,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260125,kpi_001,94.44444444444444,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260125,kpi_002,0.0,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260126,kpi_001,90.0,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260126,kpi_002,5.0,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260127,kpi_001,91.30434782608695,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260127,kpi_002,4.3478260869565215,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260128,kpi_001,82.35294117647058,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260128,kpi_002,11.76470588235294,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260129,kpi_001,92.85714285714286,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260129,kpi_002,0.0,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260130,kpi_001,88.88888888888889,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260130,kpi_002,11.11111111111111,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260131,kpi_001,84.21052631578947,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260131,kpi_002,10.526315789473683,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260201,kpi_001,94.44444444444444,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260201,kpi_002,5.555555555555555,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260202,kpi_001,80.95238095238095,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260202,kpi_002,23.809523809523807,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260203,kpi_001,100.0,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260203,kpi_002,0.0,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260204,kpi_001,93.75,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260204,kpi_002,0.0,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260205,kpi_001,94.11764705882352,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260205,kpi_002,0.0,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260206,kpi_001,90.9090909090909,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260206,kpi_002,27.27272727272727,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260207,kpi_001,95.45454545454544,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260207,kpi_002,4.545454545454546,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260208,kpi_001,100.0,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260208,kpi_002,0.0,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260209,kpi_001,77.77777777777779,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260209,kpi_002,16.666666666666664,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260210,kpi_001,90.47619047619048,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260210,kpi_002,9.523809523809524,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260211,kpi_001,93.75,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260211,kpi_002,0.0,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260212,kpi_001,88.23529411764706,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260212,kpi_002,5.88235294117647,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260213,kpi_001,100.0,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260213,kpi_002,5.88235294117647,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260214,kpi_001,87.5,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260214,kpi_002,12.5,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260215,kpi_001,89.47368421052632,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260215,kpi_002,10.526315789473683,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260216,kpi_001,95.23809523809524,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260216,kpi_002,4.761904761904762,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260217,kpi_001,95.0,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260217,kpi_002,5.0,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260218,kpi_001,95.65217391304348,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260218,kpi_002,4.3478260869565215,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260219,kpi_001,95.45454545454544,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260219,kpi_002,9.090909090909092,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260220,kpi_001,100.0,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260220,kpi_002,0.0,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260221,kpi_001,89.47368421052632,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260221,kpi_002,15.789473684210526,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260222,kpi_001,87.5,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260222,kpi_002,8.333333333333332,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260223,kpi_001,90.47619047619048,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260223,kpi_002,9.523809523809524,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260224,kpi_001,91.30434782608695,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260224,kpi_002,8.695652173913043,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260225,kpi_001,90.47619047619048,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260225,kpi_002,4.761904761904762,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260226,kpi_001,86.36363636363636,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260226,kpi_002,13.636363636363637,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260227,kpi_001,100.0,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260227,kpi_002,0.0,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260228,kpi_001,82.35294117647058,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260228,kpi_002,17.647058823529413,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260301,kpi_001,100.0,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260301,kpi_002,11.76470588235294,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260302,kpi_001,94.73684210526316,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260302,kpi_002,0.0,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260303,kpi_001,95.45454545454544,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260303,kpi_002,4.545454545454546,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260304,kpi_001,100.0,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260304,kpi_002,0.0,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260305,kpi_001,86.95652173913044,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260305,kpi_002,8.695652173913043,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260306,kpi_001,91.30434782608695,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260306,kpi_002,4.3478260869565215,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260307,kpi_001,100.0,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260307,kpi_002,6.25,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260308,kpi_001,92.85714285714286,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260308,kpi_002,14.285714285714285,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260309,kpi_001,100.0,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260309,kpi_002,0.0,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260310,kpi_001,100.0,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260310,kpi_002,0.0,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260311,kpi_001,81.81818181818183,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260311,kpi_002,4.545454545454546,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260312,kpi_001,90.9090909090909,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260312,kpi_002,13.636363636363637,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260313,kpi_001,86.36363636363636,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260313,kpi_002,9.090909090909092,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260314,kpi_001,87.5,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260314,kpi_002,16.666666666666664,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260315,kpi_001,95.23809523809524,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260315,kpi_002,9.523809523809524,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260316,kpi_001,100.0,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260316,kpi_002,0.0,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260317,kpi_001,94.73684210526316,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260317,kpi_002,10.526315789473683,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260318,kpi_001,94.73684210526316,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260318,kpi_002,0.0,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260319,kpi_001,82.35294117647058,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260319,kpi_002,0.0,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260320,kpi_001,95.23809523809524,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260320,kpi_002,4.761904761904762,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260321,kpi_001,94.73684210526316,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260321,kpi_002,5.263157894736842,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260322,kpi_001,84.21052631578947,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260322,kpi_002,15.789473684210526,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260323,kpi_001,94.73684210526316,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260323,kpi_002,0.0,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260324,kpi_001,96.0,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260324,kpi_002,0.0,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260325,kpi_001,100.0,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260325,kpi_002,5.263157894736842,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260326,kpi_001,94.44444444444444,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260326,kpi_002,5.555555555555555,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260327,kpi_001,85.71428571428571,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260327,kpi_002,14.285714285714285,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260328,kpi_001,83.33333333333334,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260328,kpi_002,16.666666666666664,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260329,kpi_001,83.33333333333334,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260329,kpi_002,11.11111111111111,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260330,kpi_001,88.23529411764706,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260330,kpi_002,23.52941176470588,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260331,kpi_001,92.85714285714286,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260331,kpi_002,0.0,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260401,kpi_001,75.0,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260401,kpi_002,18.75,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260402,kpi_001,90.9090909090909,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260402,kpi_002,13.636363636363637,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260403,kpi_001,82.35294117647058,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260403,kpi_002,23.52941176470588,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260404,kpi_001,94.73684210526316,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260404,kpi_002,10.526315789473683,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260405,kpi_001,90.9090909090909,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260405,kpi_002,9.090909090909092,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260406,kpi_001,94.73684210526316,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260406,kpi_002,5.263157894736842,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260407,kpi_001,73.33333333333333,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260407,kpi_002,13.333333333333334,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260408,kpi_001,90.0,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260408,kpi_002,5.0,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260409,kpi_001,84.21052631578947,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260409,kpi_002,21.052631578947366,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260410,kpi_001,83.33333333333334,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260410,kpi_002,16.666666666666664,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260411,kpi_001,86.36363636363636,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260411,kpi_002,18.181818181818183,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260412,kpi_001,88.88888888888889,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260412,kpi_002,16.666666666666664,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260413,kpi_001,86.66666666666667,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260413,kpi_002,13.333333333333334,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260414,kpi_001,84.21052631578947,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260414,kpi_002,15.789473684210526,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260415,kpi_001,88.88888888888889,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260415,kpi_002,11.11111111111111,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260416,kpi_001,100.0,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260416,kpi_002,5.88235294117647,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260417,kpi_001,91.66666666666666,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260417,kpi_002,8.333333333333332,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260418,kpi_001,89.47368421052632,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260418,kpi_002,5.263157894736842,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260419,kpi_001,94.44444444444444,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260419,kpi_002,11.11111111111111,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260420,kpi_001,78.57142857142857,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260420,kpi_002,14.285714285714285,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260421,kpi_001,89.47368421052632,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260421,kpi_002,5.263157894736842,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260422,kpi_001,87.5,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260422,kpi_002,6.25,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260423,kpi_001,93.75,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260423,kpi_002,12.5,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260424,kpi_001,90.0,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260424,kpi_002,5.0,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260425,kpi_001,93.75,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260425,kpi_002,6.25,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260426,kpi_001,94.73684210526316,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260426,kpi_002,5.263157894736842,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260427,kpi_001,94.73684210526316,Calculated,Not Assessed,High,none
