department,reporting_date,kpi_id,kpi_name,value,status,severity_score,breach_magnitude,trend_score,persistence_score,confidence_score,final_priority_rank,selected_as_dominant,selection_reason
DEPT-ADM,2026-03-30,kpi_002,Staff Absenteeism Rate,23.52941176470588,Red,3.0,0.23529411764705874,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-04-01,kpi_001,Staffing Level,75.0,Red,3.0,0.0625,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-04-03,kpi_002,Staff Absenteeism Rate,23.52941176470588,Red,3.0,0.23529411764705874,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-04-03,kpi_001,Staffing Level,82.35294117647058,Amber,2.0,0.021898067996890765,0,0,0,2,False,
DEPT-ADM,2026-04-04,kpi_006,Patient Satisfaction Score,2.6666666666666665,Amber,2.0,0.04879800315230077,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-04-07,kpi_001,Staffing Level,73.33333333333333,Red,3.0,0.0833333333333334,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-04-08,kpi_006,Patient Satisfaction Score,2.0,Red,3.0,0.2,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-04-09,kpi_002,Staff Absenteeism Rate,21.052631578947366,Red,3.0,0.10526315789473674,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-04-10,kpi_001,Staffing Level,83.33333333333334,Amber,2.0,0.010253997377805918,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-04-13,kpi_006,Patient Satisfaction Score,2.0,Red,3.0,0.2,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-04-20,kpi_006,Patient Satisfaction Score,1.0,Red,3.0,0.6,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-04-20,kpi_001,Staffing Level,78.57142857142857,Red,3.0,0.017857142857142884,0,0,0,2,False,
DEPT-ADM,2026-04-24,kpi_006,Patient Satisfaction Score,2.6666666666666665,Amber,2.0,0.04879800315230077,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-05-06,kpi_006,Patient Satisfaction Score,2.0,Red,3.0,0.2,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-05-06,kpi_001,Staffing Level,75.0,Red,3.0,0.0625,0,0,0,2,False,
DEPT-ADM,2026-05-09,kpi_006,Patient Satisfaction Score,2.0,Red,3.0,0.2,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-05-10,kpi_006,Patient Satisfaction Score,1.0,Red,3.0,0.6,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-05-13,kpi_006,Patient Satisfaction Score,2.5,Amber,2.0,0.10824812795528192,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-05-19,kpi_001,Staffing Level,82.35294117647058,Amber,2.0,0.021898067996890765,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-05-20,kpi_006,Patient Satisfaction Score,2.6666666666666665,Amber,2.0,0.04879800315230077,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-05-21,kpi_002,Staff Absenteeism Rate,22.22222222222222,Red,3.0,0.16666666666666663,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-05-21,kpi_001,Staffing Level,83.33333333333334,Amber,2.0,0.010253997377805918,0,0,0,2,False,
DEPT-ADM,2026-06-01,kpi_006,Patient Satisfaction Score,2.5,Amber,2.0,0.10824812795528192,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-06-02,kpi_006,Patient Satisfaction Score,2.5,Amber,2.0,0.10824812795528192,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-06-02,kpi_001,Staffing Level,83.33333333333334,Amber,2.0,0.010253997377805918,0,0,0,2,False,
DEPT-ADM,2026-06-04,kpi_006,Patient Satisfaction Score,2.6666666666666665,Amber,2.0,0.04879800315230077,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-06-06,kpi_006,Patient Satisfaction Score,2.5,Amber,2.0,0.10824812795528192,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-06-07,kpi_002,Staff Absenteeism Rate,20.0,Red,3.0,0.05000000000000001,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-06-08,kpi_002,Staff Absenteeism Rate,25.0,Red,3.0,0.3125,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-06-08,kpi_001,Staffing Level,75.0,Red,3.0,0.0625,0,0,0,2,False,
DEPT-ADM,2026-06-11,kpi_002,Staff Absenteeism Rate,23.809523809523807,Red,3.0,0.24999999999999986,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-06-18,kpi_006,Patient Satisfaction Score,2.0,Red,3.0,0.2,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-06-18,kpi_001,Staffing Level,83.33333333333334,Amber,2.0,0.010253997377805918,0,0,0,2,False,
DEPT-ADM,2026-06-19,kpi_006,Patient Satisfaction Score,2.0,Red,3.0,0.2,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-06-20,kpi_002,Staff Absenteeism Rate,21.052631578947366,Red,3.0,0.10526315789473674,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-06-20,kpi_006,Patient Satisfaction Score,2.5,Amber,2.0,0.10824812795528192,0,0,0,2,False,
DEPT-ADM,2026-06-23,kpi_006,Patient Satisfaction Score,2.0,Red,3.0,0.2,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-06-24,kpi_002,Staff Absenteeism Rate,24.0,Red,3.0,0.26,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-06-24,kpi_001,Staffing Level,84.0,Amber,2.0,0.0023360293568284785,0,0,0,2,False,
DEPT-ADM,2026-06-29,kpi_006,Patient Satisfaction Score,2.6666666666666665,Amber,2.0,0.04879800315230077,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-07-02,kpi_001,Staffing Level,77.77777777777779,Red,3.0,0.02777777777777768,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-07-03,kpi_002,Staff Absenteeism Rate,23.52941176470588,Red,3.0,0.23529411764705874,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-07-03,kpi_006,Patient Satisfaction Score,2.0,Red,3.0,0.2,0,0,0,2,False,
DEPT-ADM,2026-07-03,kpi_001,Staffing Level,76.47058823529412,Red,3.0,0.04411764705882355,0,0,0,3,False,
DEPT-ADM,2026-07-05,kpi_006,Patient Satisfaction Score,2.6666666666666665,Amber,2.0,0.04879800315230077,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-07-06,kpi_001,Staffing Level,83.33333333333334,Amber,2.0,0.010253997377805918,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-07-08,kpi_001,Staffing Level,81.81818181818183,Amber,2.0,0.028249379243663993,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-07-09,kpi_006,Patient Satisfaction Score,2.0,Red,3.0,0.2,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-07-15,kpi_002,Staff Absenteeism Rate,23.809523809523807,Red,3.0,0.24999999999999986,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-07-16,kpi_002,Staff Absenteeism Rate,23.52941176470588,Red,3.0,0.23529411764705874,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-07-16,kpi_001,Staffing Level,82.35294117647058,Amber,2.0,0.021898067996890765,0,0,0,2,False,
DEPT-ADM,2026-07-18,kpi_001,Staffing Level,82.35294117647058,Amber,2.0,0.021898067996890765,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-07-19,kpi_006,Patient Satisfaction Score,2.0,Red,3.0,0.2,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-07-19,kpi_001,Staffing Level,82.35294117647058,Amber,2.0,0.021898067996890765,0,0,0,2,False,
DEPT-ADM,2026-07-21,kpi_002,Staff Absenteeism Rate,29.411764705882355,Red,3.0,0.5441176470588237,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-07-21,kpi_001,Staffing Level,64.70588235294117,Red,3.0,0.19117647058823534,0,0,0,2,False,
DEPT-ADM,2026-07-23,kpi_006,Patient Satisfaction Score,2.5,Amber,2.0,0.10824812795528192,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-07-26,kpi_002,Staff Absenteeism Rate,27.77777777777778,Red,3.0,0.45833333333333337,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-07-26,kpi_001,Staffing Level,72.22222222222221,Red,3.0,0.09722222222222232,0,0,0,2,False,
DEPT-ADM,2026-07-27,kpi_006,Patient Satisfaction Score,2.5,Amber,2.0,0.10824812795528192,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-07-29,kpi_001,Staffing Level,83.33333333333334,Amber,2.0,0.010253997377805918,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-08-03,kpi_006,Patient Satisfaction Score,2.6666666666666665,Amber,2.0,0.04879800315230077,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-08-09,kpi_006,Patient Satisfaction Score,2.0,Red,3.0,0.2,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-08-12,kpi_006,Patient Satisfaction Score,2.0,Red,3.0,0.2,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-08-14,kpi_002,Staff Absenteeism Rate,21.052631578947366,Red,3.0,0.10526315789473674,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-08-21,kpi_001,Staffing Level,80.0,Amber,2.0,0.04984383748269379,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-08-22,kpi_001,Staffing Level,73.91304347826086,Red,3.0,0.07608695652173925,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-08-24,kpi_006,Patient Satisfaction Score,2.0,Red,3.0,0.2,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-08-30,kpi_006,Patient Satisfaction Score,2.5,Amber,2.0,0.10824812795528192,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-09-04,kpi_006,Patient Satisfaction Score,2.0,Red,3.0,0.2,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-09-05,kpi_006,Patient Satisfaction Score,2.0,Red,3.0,0.2,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-09-19,kpi_001,Staffing Level,80.0,Amber,2.0,0.04984383748269379,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-09-23,kpi_006,Patient Satisfaction Score,2.0,Red,3.0,0.2,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-09-25,kpi_002,Staff Absenteeism Rate,20.0,Red,3.0,0.05000000000000001,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-09-25,kpi_001,Staffing Level,80.0,Amber,2.0,0.04984383748269379,0,0,0,2,False,
DEPT-ADM,2026-09-28,kpi_006,Patient Satisfaction Score,2.0,Red,3.0,0.2,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-09-29,kpi_006,Patient Satisfaction Score,2.0,Red,3.0,0.2,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-09-30,kpi_006,Patient Satisfaction Score,2.0,Red,3.0,0.2,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-10-03,kpi_006,Patient Satisfaction Score,2.0,Red,3.0,0.2,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-10-07,kpi_006,Patient Satisfaction Score,2.0,Red,3.0,0.2,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-10-07,kpi_002,Staff Absenteeism Rate,20.0,Red,3.0,0.05000000000000001,0,0,0,2,False,
DEPT-ADM,2026-10-12,kpi_001,Staffing Level,80.95238095238095,Amber,2.0,0.03853245459558304,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-10-21,kpi_001,Staffing Level,75.0,Red,3.0,0.0625,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-10-23,kpi_006,Patient Satisfaction Score,1.0,Red,3.0,0.6,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-10-27,kpi_006,Patient Satisfaction Score,2.0,Red,3.0,0.2,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-11-02,kpi_002,Staff Absenteeism Rate,20.0,Red,3.0,0.05000000000000001,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-11-02,kpi_001,Staffing Level,80.0,Amber,2.0,0.04984383748269379,0,0,0,2,False,
DEPT-ADM,2026-11-11,kpi_001,Staffing Level,80.95238095238095,Amber,2.0,0.03853245459558304,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-11-13,kpi_006,Patient Satisfaction Score,2.5,Amber,2.0,0.10824812795528192,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-11-19,kpi_006,Patient Satisfaction Score,2.6666666666666665,Amber,2.0,0.04879800315230077,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-11-21,kpi_001,Staffing Level,83.33333333333334,Amber,2.0,0.010253997377805918,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-11-27,kpi_001,Staffing Level,78.94736842105263,Red,3.0,0.013157894736842124,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-11-29,kpi_002,Staff Absenteeism Rate,22.727272727272727,Red,3.0,0.19318181818181815,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-11-29,kpi_001,Staffing Level,77.27272727272727,Red,3.0,0.03409090909090917,0,0,0,2,False,
DEPT-ADM,2026-12-02,kpi_006,Patient Satisfaction Score,2.0,Red,3.0,0.2,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-12-05,kpi_001,Staffing Level,80.95238095238095,Amber,2.0,0.03853245459558304,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-12-06,kpi_001,Staffing Level,78.94736842105263,Red,3.0,0.013157894736842124,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-12-18,kpi_006,Patient Satisfaction Score,2.0,Red,3.0,0.2,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-12-20,kpi_002,Staff Absenteeism Rate,27.27272727272727,Red,3.0,0.43181818181818166,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-12-20,kpi_001,Staffing Level,72.72727272727273,Red,3.0,0.09090909090909083,0,0,0,2,False,
DEPT-ADM,2026-12-21,kpi_002,Staff Absenteeism Rate,21.052631578947366,Red,3.0,0.10526315789473674,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-12-21,kpi_001,Staffing Level,73.68421052631578,Red,3.0,0.07894736842105274,0,0,0,2,False,
DEPT-ADM,2026-12-22,kpi_001,Staffing Level,75.0,Red,3.0,0.0625,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-12-24,kpi_002,Staff Absenteeism Rate,20.833333333333336,Red,3.0,0.09375000000000014,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-12-24,kpi_001,Staffing Level,75.0,Red,3.0,0.0625,0,0,0,2,False,
DEPT-ADM,2026-12-28,kpi_002,Staff Absenteeism Rate,31.818181818181817,Red,3.0,0.6704545454545454,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-12-28,kpi_001,Staffing Level,77.27272727272727,Red,3.0,0.03409090909090917,0,0,0,2,False,
DEPT-DIAG,2026-01-03,kpi_002,Staff Absenteeism Rate,25.0,Red,3.0,0.3125,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-01-04,kpi_006,Patient Satisfaction Score,2.5,Amber,2.0,0.10824812795528192,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-01-07,kpi_005,Patient Complaint Rate,23.809523809523807,Red,3.0,0.20592779884815235,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-01-08,kpi_002,Staff Absenteeism Rate,28.57142857142857,Red,3.0,0.4999999999999999,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-01-08,kpi_001,Staffing Level,78.57142857142857,Red,3.0,0.017857142857142884,0,0,0,2,False,
DEPT-DIAG,2026-01-16,kpi_005,Patient Complaint Rate,22.22222222222222,Red,3.0,0.1255326122582756,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-01-22,kpi_002,Staff Absenteeism Rate,33.33333333333333,Red,3.0,0.7499999999999998,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-01-22,kpi_001,Staffing Level,83.33333333333334,Amber,2.0,0.010253997377805918,0,0,0,2,False,
DEPT-DIAG,2026-01-23,kpi_005,Patient Complaint Rate,22.727272727272727,Red,3.0,0.15111289890050916,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-01-26,kpi_006,Patient Satisfaction Score,2.0,Red,3.0,0.2,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-01-30,kpi_005,Patient Complaint Rate,25.0,Red,3.0,0.2662241887905601,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-02-07,kpi_005,Patient Complaint Rate,22.22222222222222,Red,3.0,0.1255326122582756,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-02-12,kpi_001,Staffing Level,83.33333333333334,Amber,2.0,0.010253997377805918,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-02-13,kpi_005,Patient Complaint Rate,33.333333333333336,Red,3.0,0.6882989183874136,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-02-14,kpi_001,Staffing Level,81.81818181818183,Amber,2.0,0.028249379243663993,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-02-18,kpi_006,Patient Satisfaction Score,2.0,Red,3.0,0.2,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-02-20,kpi_005,Patient Complaint Rate,22.22222222222222,Red,3.0,0.1255326122582756,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-02-20,kpi_001,Staffing Level,83.33333333333334,Amber,2.0,0.010253997377805918,0,0,0,2,False,
DEPT-DIAG,2026-02-24,kpi_006,Patient Satisfaction Score,2.0,Red,3.0,0.2,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-03-02,kpi_005,Patient Complaint Rate,20.40816326530612,Red,3.0,0.03365239901270193,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-03-07,kpi_005,Patient Complaint Rate,45.45454545454545,Red,3.0,1.3022257978010183,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-03-09,kpi_005,Patient Complaint Rate,40.0,Red,3.0,1.0259587020648961,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-03-18,kpi_005,Patient Complaint Rate,22.22222222222222,Red,3.0,0.1255326122582756,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-03-19,kpi_006,Patient Satisfaction Score,2.0,Red,3.0,0.2,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-03-19,kpi_001,Staffing Level,76.92307692307693,Red,3.0,0.038461538461538325,0,0,0,2,False,
DEPT-DIAG,2026-03-19,kpi_005,Patient Complaint Rate,20.40816326530612,Red,3.0,0.03365239901270193,0,0,0,3,False,
DEPT-DIAG,2026-03-20,kpi_005,Patient Complaint Rate,23.25581395348837,Red,3.0,0.17788296631680003,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-03-20,kpi_001,Staffing Level,80.0,Amber,2.0,0.04984383748269379,0,0,0,2,False,
DEPT-DIAG,2026-03-21,kpi_006,Patient Satisfaction Score,2.0,Red,3.0,0.2,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-03-24,kpi_005,Patient Complaint Rate,22.727272727272727,Red,3.0,0.15111289890050916,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-03-31,kpi_006,Patient Satisfaction Score,2.0,Red,3.0,0.2,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-03-31,kpi_005,Patient Complaint Rate,21.27659574468085,Red,3.0,0.07763760748132774,0,0,0,2,False,
DEPT-DIAG,2026-04-01,kpi_001,Staffing Level,76.47058823529412,Red,3.0,0.04411764705882355,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-04-03,kpi_006,Patient Satisfaction Score,1.0,Red,3.0,0.6,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-04-04,kpi_002,Staff Absenteeism Rate,21.428571428571427,Red,3.0,0.12499999999999993,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-04-04,kpi_001,Staffing Level,78.57142857142857,Red,3.0,0.017857142857142884,0,0,0,2,False,
DEPT-DIAG,2026-04-04,kpi_006,Patient Satisfaction Score,2.5,Amber,2.0,0.10824812795528192,0,0,0,3,False,
DEPT-DIAG,2026-04-05,kpi_001,Staffing Level,83.33333333333334,Amber,2.0,0.010253997377805918,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-04-06,kpi_002,Staff Absenteeism Rate,21.428571428571427,Red,3.0,0.12499999999999993,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-04-06,kpi_001,Staffing Level,71.42857142857143,Red,3.0,0.10714285714285712,0,0,0,2,False,
DEPT-DIAG,2026-04-07,kpi_005,Patient Complaint Rate,37.73584905660377,Red,3.0,0.9112817944008452,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-04-09,kpi_006,Patient Satisfaction Score,2.5,Amber,2.0,0.10824812795528192,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-04-11,kpi_002,Staff Absenteeism Rate,20.0,Red,3.0,0.05000000000000001,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-04-11,kpi_001,Staffing Level,80.0,Amber,2.0,0.04984383748269379,0,0,0,2,False,
DEPT-DIAG,2026-04-14,kpi_005,Patient Complaint Rate,27.77777777777777,Red,3.0,0.40691576532284424,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-04-14,kpi_002,Staff Absenteeism Rate,20.0,Red,3.0,0.05000000000000001,0,0,0,2,False,
DEPT-DIAG,2026-04-14,kpi_001,Staffing Level,80.0,Amber,2.0,0.04984383748269379,0,0,0,3,False,
DEPT-DIAG,2026-04-16,kpi_006,Patient Satisfaction Score,2.0,Red,3.0,0.2,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-04-17,kpi_001,Staffing Level,76.92307692307693,Red,3.0,0.038461538461538325,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-04-17,kpi_006,Patient Satisfaction Score,2.5,Amber,2.0,0.10824812795528192,0,0,0,2,False,
DEPT-DIAG,2026-04-20,kpi_005,Patient Complaint Rate,27.77777777777777,Red,3.0,0.40691576532284424,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-04-23,kpi_001,Staffing Level,81.81818181818183,Amber,2.0,0.028249379243663993,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-04-24,kpi_002,Staff Absenteeism Rate,41.66666666666667,Red,3.0,1.1875000000000002,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-04-24,kpi_001,Staffing Level,75.0,Red,3.0,0.0625,0,0,0,2,False,
DEPT-DIAG,2026-04-25,kpi_006,Patient Satisfaction Score,2.0,Red,3.0,0.2,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-04-26,kpi_005,Patient Complaint Rate,52.63157894736842,Red,3.0,1.665735134295916,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-04-26,kpi_002,Staff Absenteeism Rate,23.07692307692308,Red,3.0,0.21153846153846173,0,0,0,2,False,
DEPT-DIAG,2026-04-27,kpi_002,Staff Absenteeism Rate,25.0,Red,3.0,0.3125,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-05-04,kpi_006,Patient Satisfaction Score,2.0,Red,3.0,0.2,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-05-04,kpi_001,Staffing Level,80.0,Amber,2.0,0.04984383748269379,0,0,0,2,False,
DEPT-DIAG,2026-05-06,kpi_005,Patient Complaint Rate,41.66666666666666,Red,3.0,1.1103736479842663,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-05-07,kpi_002,Staff Absenteeism Rate,25.0,Red,3.0,0.3125,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-05-07,kpi_001,Staffing Level,75.0,Red,3.0,0.0625,0,0,0,2,False,
DEPT-DIAG,2026-05-11,kpi_006,Patient Satisfaction Score,2.0,Red,3.0,0.2,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-05-11,kpi_001,Staffing Level,75.0,Red,3.0,0.0625,0,0,0,2,False,
DEPT-DIAG,2026-05-12,kpi_002,Staff Absenteeism Rate,28.57142857142857,Red,3.0,0.4999999999999999,0,0,0,1,True,Highest composite severity score
DEPT-DIAG,2026-05-12,kpi_001,Staffing Level,78.57142857142857,Red,3.0,0.017857142857142884,0,0,0,2,False,
