hospital,department,department_code,year,month,dominant_kpi_id,action_id,financial_record_id,decision_package_id,scenario_id,intervention_cost,benefit,governed_net,calculated_net,context_match,reconciliation_status,fallback_used,validation_note
HOSP-001,Surgery,DEPT-SUR,2026,1,,,562,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260131,,nan,nan,nan,nan,True,UNRECONCILED,False,CONTEXT_MATCH_BUT_READINESS
HOSP-001,Surgery,DEPT-SUR,2026,2,,,594,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20260226,,Complete with Governed Assumptions,Partial,-221250.0,-221250.0,True,RECONCILED,False,OK
HOSP-001,Surgery,DEPT-SUR,2026,3,,,597,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20260319,,Complete with Governed Assumptions,Partial,-221250.0,-221250.0,True,RECONCILED,False,OK
HOSP-001,Surgery,DEPT-SUR,2026,4,,,570,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260429,,nan,nan,nan,nan,True,UNRECONCILED,False,CONTEXT_MATCH_BUT_READINESS
HOSP-001,Surgery,DEPT-SUR,2026,5,,,616,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_003-20260530,,nan,nan,nan,nan,True,UNRECONCILED,False,CONTEXT_MATCH_BUT_READINESS
HOSP-001,Surgery,DEPT-SUR,2026,6,,,620,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_003-20260627,,nan,nan,nan,nan,True,UNRECONCILED,False,CONTEXT_MATCH_BUT_READINESS
HOSP-001,Surgery,DEPT-SUR,2026,7,,,632,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_006-20260731,,nan,nan,nan,nan,True,UNRECONCILED,False,CONTEXT_MATCH_BUT_READINESS
HOSP-001,Patient Experience,DEPT-PE,2026,1,,,539,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_006-20260121,,nan,nan,nan,nan,True,UNRECONCILED,False,CONTEXT_MATCH_BUT_READINESS
HOSP-001,Patient Experience,DEPT-PE,2026,2,,,517,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20260221,,Complete with Governed Assumptions,Partial,-221250.0,-221250.0,True,RECONCILED,False,OK
HOSP-001,Patient Experience,DEPT-PE,2026,3,,,519,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20260328,,Complete with Governed Assumptions,Partial,-221250.0,-221250.0,True,RECONCILED,False,OK
HOSP-001,Patient Experience,DEPT-PE,2026,4,,,523,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20260430,,Complete with Governed Assumptions,Partial,-221250.0,-221250.0,True,RECONCILED,False,OK
HOSP-001,Patient Experience,DEPT-PE,2026,5,,,525,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20260529,,Complete with Governed Assumptions,Partial,-221250.0,-221250.0,True,RECONCILED,False,OK
HOSP-001,Patient Experience,DEPT-PE,2026,6,,,507,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260623,,nan,nan,nan,nan,True,UNRECONCILED,False,CONTEXT_MATCH_BUT_READINESS
HOSP-001,Patient Experience,DEPT-PE,2026,7,,,531,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20260728,,Complete with Governed Assumptions,Partial,-221250.0,-221250.0,True,RECONCILED,False,OK
