hospital,department,department_code,year,month,kpi_id,kpi_name,valid_observation_count,canonical_monthly_value,card_value,unit,calculation_status,value_expected,value_displayed,values_match,missing_reason,validation_note
HOSP-001,Emergency Department,DEPT-ED,2026,2,kpi_006,Patient Satisfaction Score,19,3.640350877192983,3.6,Score (1-5 scale),Calculated,3.6404,3.6,True,,
HOSP-001,Emergency Department,DEPT-ED,2026,3,kpi_005,Patient Complaint Rate,28,5.627521848890646,5.6,Complaints per 1000 encounters,Calculated,5.6275,5.6,True,,
HOSP-001,Emergency Department,DEPT-ED,2026,3,kpi_006,Patient Satisfaction Score,27,3.0493827160493825,3.0,Score (1-5 scale),Calculated,3.0494,3.0,True,,
HOSP-001,Emergency Department,DEPT-ED,2026,4,kpi_005,Patient Complaint Rate,30,3.826388532187447,3.8,Complaints per 1000 encounters,Calculated,3.8264,3.8,True,,
HOSP-001,Emergency Department,DEPT-ED,2026,4,kpi_006,Patient Satisfaction Score,30,3.2333333333333334,3.2,Score (1-5 scale),Calculated,3.2333,3.2,True,,
HOSP-001,Emergency Department,DEPT-ED,2026,5,kpi_005,Patient Complaint Rate,29,4.373521308253823,4.4,Complaints per 1000 encounters,Calculated,4.3735,4.4,True,,
HOSP-001,Emergency Department,DEPT-ED,2026,5,kpi_006,Patient Satisfaction Score,28,3.192857142857143,3.2,Score (1-5 scale),Calculated,3.1929,3.2,True,,
HOSP-001,Emergency Department,DEPT-ED,2026,6,kpi_005,Patient Complaint Rate,27,7.355285043056006,7.4,Complaints per 1000 encounters,Calculated,7.3553,7.4,True,,
HOSP-001,Emergency Department,DEPT-ED,2026,6,kpi_006,Patient Satisfaction Score,24,2.8125,2.8,Score (1-5 scale),Calculated,2.8125,2.8,True,,
HOSP-001,Emergency Department,DEPT-ED,2026,7,kpi_005,Patient Complaint Rate,30,7.240960818703933,7.2,Complaints per 1000 encounters,Calculated,7.2410,7.2,True,,
HOSP-001,Emergency Department,DEPT-ED,2026,7,kpi_006,Patient Satisfaction Score,27,2.8870370370370373,2.9,Score (1-5 scale),Calculated,2.8870,2.9,True,,
HOSP-001,Diagnostics,DEPT-DIAG,2026,1,kpi_005,Patient Complaint Rate,26,7.084523615227784,7.1,Complaints per 1000 encounters,Calculated,7.0845,7.1,True,,
HOSP-001,Diagnostics,DEPT-DIAG,2026,1,kpi_006,Patient Satisfaction Score,24,3.5520833333333335,3.6,Score (1-5 scale),Calculated,3.5521,3.6,True,,
HOSP-001,Diagnostics,DEPT-DIAG,2026,2,kpi_005,Patient Complaint Rate,26,4.405861794525762,4.4,Complaints per 1000 encounters,Calculated,4.4059,4.4,True,,
HOSP-001,Diagnostics,DEPT-DIAG,2026,2,kpi_006,Patient Satisfaction Score,24,3.4347222222222222,3.4,Score (1-5 scale),Calculated,3.4347,3.4,True,,
HOSP-001,Diagnostics,DEPT-DIAG,2026,3,kpi_005,Patient Complaint Rate,29,11.11784382174502,11.1,Complaints per 1000 encounters,Calculated,11.1178,11.1,True,,
HOSP-001,Diagnostics,DEPT-DIAG,2026,3,kpi_006,Patient Satisfaction Score,27,3.389506172839506,3.4,Score (1-5 scale),Calculated,3.3895,3.4,True,,
HOSP-001,Diagnostics,DEPT-DIAG,2026,4,kpi_005,Patient Complaint Rate,27,10.691393667333971,10.7,Complaints per 1000 encounters,Calculated,10.6914,10.7,True,,
HOSP-001,Diagnostics,DEPT-DIAG,2026,4,kpi_006,Patient Satisfaction Score,23,3.13768115942029,3.1,Score (1-5 scale),Calculated,3.1377,3.1,True,,
HOSP-001,Diagnostics,DEPT-DIAG,2026,5,kpi_005,Patient Complaint Rate,26,10.405653264186592,10.4,Complaints per 1000 encounters,Calculated,10.4057,10.4,True,,
HOSP-001,Diagnostics,DEPT-DIAG,2026,5,kpi_006,Patient Satisfaction Score,25,3.1333333333333333,3.1,Score (1-5 scale),Calculated,3.1333,3.1,True,,
HOSP-001,Diagnostics,DEPT-DIAG,2026,6,kpi_005,Patient Complaint Rate,26,16.92481604934039,16.9,Complaints per 1000 encounters,Calculated,16.9248,16.9,True,,
HOSP-001,Diagnostics,DEPT-DIAG,2026,6,kpi_006,Patient Satisfaction Score,22,3.141666666666666,3.1,Score (1-5 scale),Calculated,3.1417,3.1,True,,
HOSP-001,Diagnostics,DEPT-DIAG,2026,7,kpi_005,Patient Complaint Rate,28,15.795103401706623,15.8,Complaints per 1000 encounters,Calculated,15.7951,15.8,True,,
HOSP-001,Diagnostics,DEPT-DIAG,2026,7,kpi_006,Patient Satisfaction Score,26,2.8365384615384617,2.8,Score (1-5 scale),Calculated,2.8365,2.8,True,,
HOSP-001,Outpatient Clinic,DEPT-OPC,2026,1,kpi_005,Patient Complaint Rate,31,3.8274233747269837,3.8,Complaints per 1000 encounters,Calculated,3.8274,3.8,True,,
HOSP-001,Outpatient Clinic,DEPT-OPC,2026,1,kpi_006,Patient Satisfaction Score,29,3.4741379310344827,3.5,Score (1-5 scale),Calculated,3.4741,3.5,True,,
HOSP-001,Outpatient Clinic,DEPT-OPC,2026,2,kpi_005,Patient Complaint Rate,24,4.143899623425643,4.1,Complaints per 1000 encounters,Calculated,4.1439,4.1,True,,
HOSP-001,Outpatient Clinic,DEPT-OPC,2026,2,kpi_006,Patient Satisfaction Score,22,3.6363636363636362,3.6,Score (1-5 scale),Calculated,3.6364,3.6,True,,
HOSP-001,Outpatient Clinic,DEPT-OPC,2026,3,kpi_005,Patient Complaint Rate,26,4.470308170570272,4.5,Complaints per 1000 encounters,Calculated,4.4703,4.5,True,,
HOSP-001,Outpatient Clinic,DEPT-OPC,2026,3,kpi_006,Patient Satisfaction Score,26,3.4871794871794872,3.5,Score (1-5 scale),Calculated,3.4872,3.5,True,,
HOSP-001,Outpatient Clinic,DEPT-OPC,2026,4,kpi_005,Patient Complaint Rate,27,5.401411196714886,5.4,Complaints per 1000 encounters,Calculated,5.4014,5.4,True,,
HOSP-001,Outpatient Clinic,DEPT-OPC,2026,4,kpi_006,Patient Satisfaction Score,23,3.12463768115942,3.1,Score (1-5 scale),Calculated,3.1246,3.1,True,,
HOSP-001,Outpatient Clinic,DEPT-OPC,2026,5,kpi_005,Patient Complaint Rate,28,8.330657166801851,8.3,Complaints per 1000 encounters,Calculated,8.3307,8.3,True,,
HOSP-001,Outpatient Clinic,DEPT-OPC,2026,5,kpi_006,Patient Satisfaction Score,27,3.07716049382716,3.1,Score (1-5 scale),Calculated,3.0772,3.1,True,,
HOSP-001,Outpatient Clinic,DEPT-OPC,2026,6,kpi_005,Patient Complaint Rate,28,10.461549551293249,10.5,Complaints per 1000 encounters,Calculated,10.4615,10.5,True,,
HOSP-001,Outpatient Clinic,DEPT-OPC,2026,6,kpi_006,Patient Satisfaction Score,25,2.913333333333333,2.9,Score (1-5 scale),Calculated,2.9133,2.9,True,,
HOSP-001,Outpatient Clinic,DEPT-OPC,2026,7,kpi_005,Patient Complaint Rate,29,8.987419763642075,9.0,Complaints per 1000 encounters,Calculated,8.9874,9.0,True,,
HOSP-001,Outpatient Clinic,DEPT-OPC,2026,7,kpi_006,Patient Satisfaction Score,26,3.1096153846153842,3.1,Score (1-5 scale),Calculated,3.1096,3.1,True,,
HOSP-001,Surgery,DEPT-SURG,2026,1,kpi_005,Patient Complaint Rate,0,N/A,—,Complaints per 1000 encounters,,N/A,—,False,No valid monthly data in canonical table,
HOSP-001,Surgery,DEPT-SURG,2026,1,kpi_006,Patient Satisfaction Score,26,3.532051282051282,3.5,Score (1-5 scale),Calculated,3.5321,3.5,True,,
HOSP-001,Surgery,DEPT-SURG,2026,2,kpi_005,Patient Complaint Rate,0,N/A,—,Complaints per 1000 encounters,,N/A,—,False,No valid monthly data in canonical table,
HOSP-001,Surgery,DEPT-SURG,2026,2,kpi_006,Patient Satisfaction Score,25,3.4573333333333336,3.5,Score (1-5 scale),Calculated,3.4573,3.5,True,,
HOSP-001,Surgery,DEPT-SURG,2026,3,kpi_005,Patient Complaint Rate,0,N/A,—,Complaints per 1000 encounters,,N/A,—,False,No valid monthly data in canonical table,
HOSP-001,Surgery,DEPT-SURG,2026,3,kpi_006,Patient Satisfaction Score,28,3.3452380952380953,3.3,Score (1-5 scale),Calculated,3.3452,3.3,True,,
HOSP-001,Surgery,DEPT-SURG,2026,4,kpi_005,Patient Complaint Rate,0,N/A,—,Complaints per 1000 encounters,,N/A,—,False,No valid monthly data in canonical table,
HOSP-001,Surgery,DEPT-SURG,2026,4,kpi_006,Patient Satisfaction Score,24,3.2291666666666665,3.2,Score (1-5 scale),Calculated,3.2292,3.2,True,,
HOSP-001,Surgery,DEPT-SURG,2026,5,kpi_005,Patient Complaint Rate,0,N/A,—,Complaints per 1000 encounters,,N/A,—,False,No valid monthly data in canonical table,
HOSP-001,Surgery,DEPT-SURG,2026,5,kpi_006,Patient Satisfaction Score,21,3.5079365079365084,3.5,Score (1-5 scale),Calculated,3.5079,3.5,True,,
HOSP-001,Surgery,DEPT-SURG,2026,6,kpi_005,Patient Complaint Rate,0,N/A,—,Complaints per 1000 encounters,,N/A,—,False,No valid monthly data in canonical table,
HOSP-001,Surgery,DEPT-SURG,2026,6,kpi_006,Patient Satisfaction Score,24,2.861111111111111,2.9,Score (1-5 scale),Calculated,2.8611,2.9,True,,
HOSP-001,Surgery,DEPT-SURG,2026,7,kpi_005,Patient Complaint Rate,0,N/A,—,Complaints per 1000 encounters,,N/A,—,False,No valid monthly data in canonical table,
HOSP-001,Surgery,DEPT-SURG,2026,7,kpi_006,Patient Satisfaction Score,28,3.023809523809524,3.0,Score (1-5 scale),Calculated,3.0238,3.0,True,,
HOSP-001,Patient Experience,DEPT-PEX,2026,1,kpi_005,Patient Complaint Rate,0,N/A,—,Complaints per 1000 encounters,,N/A,—,False,No valid monthly data in canonical table,
HOSP-001,Patient Experience,DEPT-PEX,2026,1,kpi_006,Patient Satisfaction Score,26,3.480769230769231,3.5,Score (1-5 scale),Calculated,3.4808,3.5,True,,
HOSP-001,Patient Experience,DEPT-PEX,2026,2,kpi_005,Patient Complaint Rate,0,N/A,—,Complaints per 1000 encounters,,N/A,—,False,No valid monthly data in canonical table,
HOSP-001,Patient Experience,DEPT-PEX,2026,2,kpi_006,Patient Satisfaction Score,25,3.5933333333333333,3.6,Score (1-5 scale),Calculated,3.5933,3.6,True,,
HOSP-001,Patient Experience,DEPT-PEX,2026,3,kpi_005,Patient Complaint Rate,0,N/A,—,Complaints per 1000 encounters,,N/A,—,False,No valid monthly data in canonical table,
HOSP-001,Patient Experience,DEPT-PEX,2026,3,kpi_006,Patient Satisfaction Score,24,3.3125,3.3,Score (1-5 scale),Calculated,3.3125,3.3,True,,
HOSP-001,Patient Experience,DEPT-PEX,2026,4,kpi_005,Patient Complaint Rate,0,N/A,—,Complaints per 1000 encounters,,N/A,—,False,No valid monthly data in canonical table,
HOSP-001,Patient Experience,DEPT-PEX,2026,4,kpi_006,Patient Satisfaction Score,23,2.9217391304347826,2.9,Score (1-5 scale),Calculated,2.9217,2.9,True,,
HOSP-001,Patient Experience,DEPT-PEX,2026,5,kpi_005,Patient Complaint Rate,0,N/A,—,Complaints per 1000 encounters,,N/A,—,False,No valid monthly data in canonical table,
HOSP-001,Patient Experience,DEPT-PEX,2026,5,kpi_006,Patient Satisfaction Score,24,3.1381944444444443,3.1,Score (1-5 scale),Calculated,3.1382,3.1,True,,
HOSP-001,Patient Experience,DEPT-PEX,2026,6,kpi_005,Patient Complaint Rate,0,N/A,—,Complaints per 1000 encounters,,N/A,—,False,No valid monthly data in canonical table,
HOSP-001,Patient Experience,DEPT-PEX,2026,6,kpi_006,Patient Satisfaction Score,27,2.8641975308641974,2.9,Score (1-5 scale),Calculated,2.8642,2.9,True,,
HOSP-001,Patient Experience,DEPT-PEX,2026,7,kpi_005,Patient Complaint Rate,0,N/A,—,Complaints per 1000 encounters,,N/A,—,False,No valid monthly data in canonical table,
HOSP-001,Patient Experience,DEPT-PEX,2026,7,kpi_006,Patient Satisfaction Score,25,3.03,3.0,Score (1-5 scale),Calculated,3.0300,3.0,True,,
