hospital,department,kpi_id,kpi_name,forecast_source_file,forecast_grain,first_forecast_date,last_forecast_date,august_2026_available,september_2026_available,october_2026_available,november_2026_available,december_2026_available,confidence_available,unit,actual_unit,unit_match,linkage_key,usable_for_annual_chart,limitation
HOSP-001,DEPT-ED,kpi_002,Staff Absenteeism Rate,None,None,None,None,False,False,False,False,False,False,Percent,Percent,True,None,False,NO GOVERNED FORECAST: no forecast outputs exist in frozen Phase 2B/2C/2D handovers. config/forecast_config.csv is draft-only with enabled_flag=false and Pending Method Selection.
HOSP-001,DEPT-ED,kpi_003,Bed Occupancy Rate,None,None,None,None,False,False,False,False,False,False,Percent,Percent,True,None,False,NO GOVERNED FORECAST: no forecast outputs exist in frozen Phase 2B/2C/2D handovers. config/forecast_config.csv is draft-only with enabled_flag=false and Pending Method Selection.
HOSP-001,DEPT-ED,kpi_004,Average Patient Waiting Time,None,None,None,None,False,False,False,False,False,False,Minutes,Minutes,True,None,False,NO GOVERNED FORECAST: no forecast outputs exist in frozen Phase 2B/2C/2D handovers. config/forecast_config.csv is draft-only with enabled_flag=false and Pending Method Selection.
HOSP-001,DEPT-ED,kpi_005,Patient Complaint Rate,None,None,None,None,False,False,False,False,False,False,Complaints per 1000 encounters,Complaints per 1000 encounters,True,None,False,NO GOVERNED FORECAST: no forecast outputs exist in frozen Phase 2B/2C/2D handovers. config/forecast_config.csv is draft-only with enabled_flag=false and Pending Method Selection.
HOSP-001,DEPT-ED,kpi_006,Patient Satisfaction Score,None,None,None,None,False,False,False,False,False,False,Score (1-5 scale),Score (1-5 scale),True,None,False,NO GOVERNED FORECAST: no forecast outputs exist in frozen Phase 2B/2C/2D handovers. config/forecast_config.csv is draft-only with enabled_flag=false and Pending Method Selection.
HOSP-001,DEPT-ICU,kpi_001,Staffing Level,None,None,None,None,False,False,False,False,False,False,Percent,Percent,True,None,False,NO GOVERNED FORECAST: no forecast outputs exist in frozen Phase 2B/2C/2D handovers. config/forecast_config.csv is draft-only with enabled_flag=false and Pending Method Selection.
HOSP-001,DEPT-ICU,kpi_002,Staff Absenteeism Rate,None,None,None,None,False,False,False,False,False,False,Percent,Percent,True,None,False,NO GOVERNED FORECAST: no forecast outputs exist in frozen Phase 2B/2C/2D handovers. config/forecast_config.csv is draft-only with enabled_flag=false and Pending Method Selection.
HOSP-001,DEPT-ICU,kpi_003,Bed Occupancy Rate,None,None,None,None,False,False,False,False,False,False,Percent,Percent,True,None,False,NO GOVERNED FORECAST: no forecast outputs exist in frozen Phase 2B/2C/2D handovers. config/forecast_config.csv is draft-only with enabled_flag=false and Pending Method Selection.
HOSP-001,DEPT-ICU,kpi_004,Average Patient Waiting Time,None,None,None,None,False,False,False,False,False,False,Minutes,Minutes,True,None,False,NO GOVERNED FORECAST: no forecast outputs exist in frozen Phase 2B/2C/2D handovers. config/forecast_config.csv is draft-only with enabled_flag=false and Pending Method Selection.
HOSP-001,DEPT-ICU,kpi_005,Patient Complaint Rate,None,None,None,None,False,False,False,False,False,False,Complaints per 1000 encounters,Complaints per 1000 encounters,True,None,False,NO GOVERNED FORECAST: no forecast outputs exist in frozen Phase 2B/2C/2D handovers. config/forecast_config.csv is draft-only with enabled_flag=false and Pending Method Selection.
HOSP-001,DEPT-ICU,kpi_006,Patient Satisfaction Score,None,None,None,None,False,False,False,False,False,False,Score (1-5 scale),Score (1-5 scale),True,None,False,NO GOVERNED FORECAST: no forecast outputs exist in frozen Phase 2B/2C/2D handovers. config/forecast_config.csv is draft-only with enabled_flag=false and Pending Method Selection.
HOSP-001,DEPT-MED,kpi_001,Staffing Level,None,None,None,None,False,False,False,False,False,False,Percent,Percent,True,None,False,NO GOVERNED FORECAST: no forecast outputs exist in frozen Phase 2B/2C/2D handovers. config/forecast_config.csv is draft-only with enabled_flag=false and Pending Method Selection.
HOSP-001,DEPT-MED,kpi_002,Staff Absenteeism Rate,None,None,None,None,False,False,False,False,False,False,Percent,Percent,True,None,False,NO GOVERNED FORECAST: no forecast outputs exist in frozen Phase 2B/2C/2D handovers. config/forecast_config.csv is draft-only with enabled_flag=false and Pending Method Selection.
HOSP-001,DEPT-MED,kpi_003,Bed Occupancy Rate,None,None,None,None,False,False,False,False,False,False,Percent,Percent,True,None,False,NO GOVERNED FORECAST: no forecast outputs exist in frozen Phase 2B/2C/2D handovers. config/forecast_config.csv is draft-only with enabled_flag=false and Pending Method Selection.
HOSP-001,DEPT-MED,kpi_004,Average Patient Waiting Time,None,None,None,None,False,False,False,False,False,False,Minutes,Minutes,True,None,False,NO GOVERNED FORECAST: no forecast outputs exist in frozen Phase 2B/2C/2D handovers. config/forecast_config.csv is draft-only with enabled_flag=false and Pending Method Selection.
HOSP-001,DEPT-MED,kpi_005,Patient Complaint Rate,None,None,None,None,False,False,False,False,False,False,Complaints per 1000 encounters,Complaints per 1000 encounters,True,None,False,NO GOVERNED FORECAST: no forecast outputs exist in frozen Phase 2B/2C/2D handovers. config/forecast_config.csv is draft-only with enabled_flag=false and Pending Method Selection.
HOSP-001,DEPT-MED,kpi_006,Patient Satisfaction Score,None,None,None,None,False,False,False,False,False,False,Score (1-5 scale),Score (1-5 scale),True,None,False,NO GOVERNED FORECAST: no forecast outputs exist in frozen Phase 2B/2C/2D handovers. config/forecast_config.csv is draft-only with enabled_flag=false and Pending Method Selection.
HOSP-001,DEPT-OPC,kpi_001,Staffing Level,None,None,None,None,False,False,False,False,False,False,Percent,Percent,True,None,False,NO GOVERNED FORECAST: no forecast outputs exist in frozen Phase 2B/2C/2D handovers. config/forecast_config.csv is draft-only with enabled_flag=false and Pending Method Selection.
HOSP-001,DEPT-OPC,kpi_002,Staff Absenteeism Rate,None,None,None,None,False,False,False,False,False,False,Percent,Percent,True,None,False,NO GOVERNED FORECAST: no forecast outputs exist in frozen Phase 2B/2C/2D handovers. config/forecast_config.csv is draft-only with enabled_flag=false and Pending Method Selection.
HOSP-001,DEPT-OPC,kpi_003,Bed Occupancy Rate,None,None,None,None,False,False,False,False,False,False,Percent,Percent,True,None,False,NO GOVERNED FORECAST: no forecast outputs exist in frozen Phase 2B/2C/2D handovers. config/forecast_config.csv is draft-only with enabled_flag=false and Pending Method Selection.
HOSP-001,DEPT-OPC,kpi_004,Average Patient Waiting Time,None,None,None,None,False,False,False,False,False,False,Minutes,Minutes,True,None,False,NO GOVERNED FORECAST: no forecast outputs exist in frozen Phase 2B/2C/2D handovers. config/forecast_config.csv is draft-only with enabled_flag=false and Pending Method Selection.
HOSP-001,DEPT-OPC,kpi_005,Patient Complaint Rate,None,None,None,None,False,False,False,False,False,False,Complaints per 1000 encounters,Complaints per 1000 encounters,True,None,False,NO GOVERNED FORECAST: no forecast outputs exist in frozen Phase 2B/2C/2D handovers. config/forecast_config.csv is draft-only with enabled_flag=false and Pending Method Selection.
HOSP-001,DEPT-OPC,kpi_006,Patient Satisfaction Score,None,None,None,None,False,False,False,False,False,False,Score (1-5 scale),Score (1-5 scale),True,None,False,NO GOVERNED FORECAST: no forecast outputs exist in frozen Phase 2B/2C/2D handovers. config/forecast_config.csv is draft-only with enabled_flag=false and Pending Method Selection.
HOSP-001,DEPT-PEX,kpi_001,Staffing Level,None,None,None,None,False,False,False,False,False,False,Percent,Percent,True,None,False,NO GOVERNED FORECAST: no forecast outputs exist in frozen Phase 2B/2C/2D handovers. config/forecast_config.csv is draft-only with enabled_flag=false and Pending Method Selection.
HOSP-001,DEPT-PEX,kpi_002,Staff Absenteeism Rate,None,None,None,None,False,False,False,False,False,False,Percent,Percent,True,None,False,NO GOVERNED FORECAST: no forecast outputs exist in frozen Phase 2B/2C/2D handovers. config/forecast_config.csv is draft-only with enabled_flag=false and Pending Method Selection.
HOSP-001,DEPT-PEX,kpi_003,Bed Occupancy Rate,None,None,None,None,False,False,False,False,False,False,Percent,Percent,True,None,False,NO GOVERNED FORECAST: no forecast outputs exist in frozen Phase 2B/2C/2D handovers. config/forecast_config.csv is draft-only with enabled_flag=false and Pending Method Selection.
HOSP-001,DEPT-PEX,kpi_004,Average Patient Waiting Time,None,None,None,None,False,False,False,False,False,False,Minutes,Minutes,True,None,False,NO GOVERNED FORECAST: no forecast outputs exist in frozen Phase 2B/2C/2D handovers. config/forecast_config.csv is draft-only with enabled_flag=false and Pending Method Selection.
HOSP-001,DEPT-PEX,kpi_005,Patient Complaint Rate,None,None,None,None,False,False,False,False,False,False,Complaints per 1000 encounters,Complaints per 1000 encounters,True,None,False,NO GOVERNED FORECAST: no forecast outputs exist in frozen Phase 2B/2C/2D handovers. config/forecast_config.csv is draft-only with enabled_flag=false and Pending Method Selection.
HOSP-001,DEPT-PEX,kpi_006,Patient Satisfaction Score,None,None,None,None,False,False,False,False,False,False,Score (1-5 scale),Score (1-5 scale),True,None,False,NO GOVERNED FORECAST: no forecast outputs exist in frozen Phase 2B/2C/2D handovers. config/forecast_config.csv is draft-only with enabled_flag=false and Pending Method Selection.
HOSP-001,DEPT-SURG,kpi_001,Staffing Level,None,None,None,None,False,False,False,False,False,False,Percent,Percent,True,None,False,NO GOVERNED FORECAST: no forecast outputs exist in frozen Phase 2B/2C/2D handovers. config/forecast_config.csv is draft-only with enabled_flag=false and Pending Method Selection.
HOSP-001,DEPT-SURG,kpi_002,Staff Absenteeism Rate,None,None,None,None,False,False,False,False,False,False,Percent,Percent,True,None,False,NO GOVERNED FORECAST: no forecast outputs exist in frozen Phase 2B/2C/2D handovers. config/forecast_config.csv is draft-only with enabled_flag=false and Pending Method Selection.
HOSP-001,DEPT-SURG,kpi_003,Bed Occupancy Rate,None,None,None,None,False,False,False,False,False,False,Percent,Percent,True,None,False,NO GOVERNED FORECAST: no forecast outputs exist in frozen Phase 2B/2C/2D handovers. config/forecast_config.csv is draft-only with enabled_flag=false and Pending Method Selection.
HOSP-001,DEPT-SURG,kpi_004,Average Patient Waiting Time,None,None,None,None,False,False,False,False,False,False,Minutes,Minutes,True,None,False,NO GOVERNED FORECAST: no forecast outputs exist in frozen Phase 2B/2C/2D handovers. config/forecast_config.csv is draft-only with enabled_flag=false and Pending Method Selection.
HOSP-001,DEPT-SURG,kpi_005,Patient Complaint Rate,None,None,None,None,False,False,False,False,False,False,Complaints per 1000 encounters,Complaints per 1000 encounters,True,None,False,NO GOVERNED FORECAST: no forecast outputs exist in frozen Phase 2B/2C/2D handovers. config/forecast_config.csv is draft-only with enabled_flag=false and Pending Method Selection.
HOSP-001,DEPT-SURG,kpi_006,Patient Satisfaction Score,None,None,None,None,False,False,False,False,False,False,Score (1-5 scale),Score (1-5 scale),True,None,False,NO GOVERNED FORECAST: no forecast outputs exist in frozen Phase 2B/2C/2D handovers. config/forecast_config.csv is draft-only with enabled_flag=false and Pending Method Selection.
